Environment: LunarLander-v2
Agent: A2C
Experiment: wind_and_turbulence_experiment
Parameter: Wind power = 1, Turbulence power = 0.5
Time Taken: 741.0132102966309 seconds
Episodes: 837 episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-191.57543153058458	-406.3348833779846
2	-314.2300272469124	-481.19725762457233
3	-325.9086962628451	-427.62816854815367
4	-95.31931141464635	-534.2540233503702
5	-110.22697551994355	-495.0104770763991
6	-249.01095035864154	-559.5097563060685
7	-118.78790409495132	-425.1126213570141
8	-237.52735346719103	-344.14789508709487
9	-134.1881127981945	-499.90935270375184
10	-447.9752737883693	-519.5542832072908
11	-298.28387098691417	-671.2085741295978
12	-123.93583634711075	-487.2835469724196
13	-204.0580171857726	-116.34302783037138
14	-316.6187360115058	-120.02872457024785
15	-108.51316777444687	-225.33325999215324
16	-189.17014692395077	-69.61226573767041
17	-186.40736825172792	-84.30347269089921
18	-95.89145625744837	-62.44026604958023
19	-111.23371316858378	-463.8874795207443
20	-91.3920560897958	-139.820447911786
21	-250.6824178503363	-197.1174767618736
22	-260.5446107627606	-458.0646713970823
23	-179.21849911444093	-548.7616410793041
24	-121.71767199285014	-356.15158000312715
25	-9.298766510782613	-431.71622326746666
26	-81.73689635123539	-362.03416083685784
27	-52.01711436425025	-215.12905662109017
28	-77.11927674160111	-181.1614274830955
29	-118.81389379683077	-65.7768589320053
30	-82.8679342380599	-173.0370204714233
31	-142.31918547515124	-196.2843111894006
32	-127.38967135148987	-37.647903712288624
33	-22.139609495831166	-95.71742277450427
34	-261.65439907623045	-22.66189994991315
35	-237.48437911350052	-664.6316489832212
36	-146.32114564338144	-238.25642020954558
37	-139.7416956565333	-3.2657549468515157
38	-231.78258420040066	83.29297997985859
39	-78.18109511917288	-64.31132953278617
40	-118.20895456110004	-192.7271334498859
41	-236.96294183253403	-225.50842107983743
42	-204.48172664161865	-79.29323051093253
43	-128.51788736727372	-256.7061036004579
44	-133.18622840017304	-202.10832616123565
45	-171.39549507720577	-291.83325749842527
46	-233.4999381921378	-328.73641802902443
47	-134.80389601721845	-180.9946136096142
48	-172.4911265274156	-255.91493862751872
49	-210.70866697805423	-96.01681605631236
50	-219.73800803243807	-85.49255068081429
51	-277.55242094622565	3.527885044653459
52	-138.54666781028294	-562.7881046709128
53	-167.77075538755867	-155.1634530034111
54	-179.25819395193733	-684.4611988582619
55	-356.69368978358114	-81.65041405502502
56	-184.0346804197673	-235.1236702335463
57	-96.9884807544759	-400.93292625135325
58	-70.16661453254659	-325.37587699955054
59	-63.723836157652244	-622.8596323636458
60	-113.13230548683691	-24.862396443047643
61	-135.09046651804442	-268.43202450486285
62	-191.9961214691392	-723.2530611655226
63	-54.778529643025564	-269.97459292337976
64	-150.35563425677827	-282.31020095853734
65	-86.14662955096723	-330.5573031941668
66	-77.74263500489818	-274.7947869947693
67	-85.80088165462509	-228.79177014774905
68	-89.50611806902364	-743.8268566376738
69	-226.80027255316165	-408.6234459268837
70	-84.52545191452067	-279.7958270146935
71	-115.33790877843768	-297.95991818188577
72	-104.0238075805425	-786.6211965503081
73	-134.10547300425839	-756.0106417019372
74	-236.35139414111862	-335.5764818696621
75	-137.31788907181402	-433.0563770382636
76	-128.591003274119	-819.396559298229
77	-65.24389197470356	-352.0747901106531
78	-75.54076077395018	-449.59142123152117
79	6.927210599825727	-253.53763271150504
80	-94.74500505079841	-392.4113324569257
81	-147.04733114213727	-320.48191494984195
82	-95.55809419151456	-743.0291718175238
83	-87.82829577906385	-835.8770764914764
84	-41.03575379189195	-275.1143623390145
85	-182.96523021176773	-478.94052556577026
86	-110.93135199626883	-517.4950915073164
87	-92.55385963410757	-344.2913332975694
88	-71.23139525740481	-238.36693953118717
89	-78.15622451332132	-873.8295521792804
90	-113.9916324313387	-477.99969308938176
91	-64.66688654124047	-445.16292649761607
92	-117.48009313611827	-453.1767602018229
