Environment: LunarLander-v2
Agent: A2C
Experiment: wind_and_turbulence_experiment
Parameter: Wind power = 1, Turbulence power = 0.5
Time Taken: 2841.924783229828 seconds
Episodes: 2000 episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	-94.8435059268661	-174.92476737623872
2	-149.5765216068125	-166.0848203773285
3	-77.98679813354397	-96.05499142811226
4	-109.54322443174567	-147.80124905379057
5	-309.02331807588723	-491.12386994751205
6	-211.0450825312028	-563.1632634733533
7	-279.92037799633056	-490.811949417758
8	-148.0125363030991	-580.8357227353786
9	-175.4885242447196	-474.88250385883805
10	-113.89908932407859	-570.8913175641158
11	-144.29183367622346	-1258.9568499610316
12	-350.78327739829695	-959.6552852609334
13	-281.2664178599056	-606.686048837548
14	-58.15962829516654	-556.8303946996248
15	-466.7288355555693	-646.7561190349979
16	-112.12753442467633	-811.4695735058463
17	-317.1168186798377	-1730.5520195351273
18	-80.93262547202956	-274.75204763767044
19	-84.97785537336594	-595.2555292107203
20	-412.10994517182644	-2998.1948239721924
21	-107.39376486673407	-1390.053672710972
22	-152.86026024733965	-661.1123479465947
23	-60.921650781927696	-1235.6771929281413
24	-216.7955455978069	-1829.2323934046271
25	-159.2959302213028	-2793.968435420554
26	-282.9273049661407	-1199.5079644714194
27	-396.54771756087354	-596.1114502202673
28	-126.07389671356259	-529.5729231659183
29	-254.43753964194815	-1135.60646210105
30	-347.2621859120431	-1316.349161163864
31	-22.245984334074166	-1352.330714125764
32	-139.83409532039929	-632.0088091216577
33	-278.3154508164521	-595.4131914502618
34	-390.5812361373737	-802.0196907061253
35	-140.02876419104354	-587.598521516507
36	-281.6871160908787	-1248.3986135599405
37	-393.904634857619	-1800.5225447238824
38	-118.67795662115752	-746.0935262041049
39	-256.7199357451025	-806.4532432680843
40	-292.6406523524006	-1461.0764629215573
41	-450.0963400271175	-581.6804068511303
42	-259.28098587950285	-616.2573816313331
43	-243.84072464659351	-484.6840943435768
44	-170.46429627783664	-609.4782421976615
45	-129.85328890837673	-624.4378017805695
46	-384.38606250739406	-1010.4854158870709
47	-89.10395788472927	-615.3329560447644
48	-128.50669320419107	-1338.0850081614385
49	-175.27504444931816	-656.6952716382754
50	-263.5777559894128	-560.6016236192147
51	-102.14955163195131	-1704.1153324745947
52	-99.44187319856971	-1447.3499287624322
53	-113.35916312123891	-3239.993781510787
54	-51.361188646756844	-692.0708859279057
55	-150.72810356484925	-1878.1824732994705
56	-237.61357313465095	-1067.015528095077
57	-326.61074504551925	-1516.746625259136
58	-110.224258938355	-926.8482290352695
59	-186.914831378343	-840.8661307127313
60	-257.45777447579917	-962.4769720116022
61	-136.359985654576	-684.952698090992
62	-187.74958816797817	-624.3640881404019
63	-66.03233843019919	-1984.6652668971115
64	-177.48215592229843	-2065.3254335801757
65	-103.74506599856778	-326.606770253508
66	-290.34863895348974	-1158.985238939979
67	-251.08665360940248	-902.960669887859
68	-103.63888624134806	-1118.3829635425323
69	-105.45898701578932	-1076.7815707653422
70	-262.68495209652804	-273.85608182970975
71	-193.10266198248735	-2104.570937373534
72	-261.42423959749885	-1811.9461039829737
73	-275.3668354286666	-2079.865373439763
74	-168.4575780353699	-2412.1011058736794
75	-52.04895580488481	-1577.285032129508
76	-595.20169709064	-1158.8412817085612
77	-111.7445222119971	-3396.9781470080616
78	-26.461746352897052	-3612.6772035817994
79	-102.74917856016333	-1266.9857304505877
80	-52.211144995644275	-2210.4052132967427
81	-88.62325588947982	-2796.7962078653677
82	-294.91981621125535	-5545.079921535539
83	-65.19718413098317	-1334.970735270425
84	-93.15329427038965	-1898.4393013474617
85	-194.95688553469944	-1789.1759168011886
86	-198.6666538999861	-3181.007581664186
87	-45.06590116605284	-786.2084021253237
88	-198.74406142341147	-2049.0848739434323
89	-115.44324947048145	-1277.7382179880578
90	-121.08802261470059	-1424.1194350316312
91	-235.76070899702427	-1386.7369924402174
92	-380.2932178304849	-570.4973369309882
93	-245.48236499853678	-663.7097510758265
94	-351.1414959317857	-1031.0264256957862
95	-250.47520449944278	-1069.4437118440492
96	-273.3837631790566	-1228.0807487586042
97	-201.6268798187042	-1971.9184039905492
98	-403.02555188704605	-1935.1636376748488
99	-365.41748082481354	-1558.0213689688715
100	-521.7380676615694	-1361.1949983250404
101	-33.00140435828365	-2353.687110492087
102	-59.25533269912948	-735.5013878589994
103	-161.163907488675	-1343.6727420841266
104	-60.04395760094944	-1391.7331959196476
105	-67.20873956657361	-2225.777346222027
106	-51.746855400876015	-2499.789569821253
107	-100.16271625211552	-1559.8249409669709
108	-59.44523160863399	-1572.8446951670358
109	-362.3696511943809	-414.9681902394138
110	-105.1172691278692	-1075.3816319600837
111	-41.93195620016449	-1307.0177454131276
