Environment: LunarLander-v2
Agent: A2C
Experiment: wind_and_turbulence_experiment
Parameter: Wind power = 20, Turbulence power = 2
Time Taken: 1115.7194221019745 seconds
Episodes: 2000 episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	-646.8651354678132	-562.4177908434683
2	-505.46907171578357	-1571.0653479932685
3	-68.20735960742394	-613.496167037547
4	-195.89822020695215	-195.10835602513777
5	-134.57127072242116	-746.0257759547593
6	-755.14182295364	-525.3667725041612
7	-116.38718988661537	-545.1411091558571
8	-239.58154132291767	-676.0454038568624
9	-488.0529156290128	-746.456508905592
10	-241.9980498966038	-650.2715205296015
11	-172.734759903747	-806.237339807379
12	-325.22804729155393	-774.2727139843291
13	-269.4802715550753	-639.7055758531121
14	-292.8814252225476	-735.7529133489712
15	-198.88991302605478	-714.4567171283076
16	-375.2591042806329	-792.9134393827513
17	-433.9024121481224	-630.3191717107377
18	-234.82154759707194	-539.9519275593468
19	-473.3328918977511	-695.9291478660269
20	-250.87439101809295	-1034.623338068448
21	-211.91065031198366	-552.7219266458138
22	-163.26139814508076	-713.759970710818
23	-368.1791846053274	-978.3241054379466
24	54.19927790617365	-550.6366108172459
25	-164.51771863953752	-682.4131077533831
26	-577.696426148868	-855.4577370774172
27	-260.63793353158565	-690.4260189000862
28	-405.4620543689787	-544.9105093371004
29	-455.7889370638992	-1507.430843600938
30	-185.41771340922546	-688.1456312088638
31	-125.08562529011863	-735.5293170749266
32	-355.931621087227	-609.5371008086859
33	-396.82664496964696	-879.9419116389629
34	-264.6331574606491	-802.4039736998589
35	-477.8026225811934	-561.5357173540319
36	-310.97346982475096	-713.4261839851539
37	-271.0752127031028	-974.6345346251762
38	-267.9207005712359	-729.8794882810831
39	-485.30401363991143	-713.6235584948862
40	-330.6595168453814	-320.0226667664284
41	-169.8054614889208	-937.6466436431584
42	-495.5246098412398	-791.7205285337134
43	-478.97887215149836	-549.3893074620172
44	-235.51802734194894	-706.6398393971033
45	-506.17392089961504	-563.6795154386941
46	-232.74310232024536	-944.0523936561602
47	-58.70072725190296	-584.6385030312798
48	-64.34489597394867	-716.6569072193711
49	-534.1723773231872	-393.6700912537549
50	-302.9364888041942	-397.8344662394683
51	-110.38129436801823	-773.3445342058486
52	-408.6901344289122	-534.7983183620325
53	-108.66522848960773	-318.3434010441248
54	-271.393943055406	-344.43015114959434
55	-416.7991958160874	-662.7537596288197
56	-323.05771907183436	-496.54364748339793
57	-348.5147546917816	-446.038400855441
58	-176.46656672190005	-736.8754319792884
59	-198.83736857191218	-1500.5361299840506
60	-76.45015334329261	-744.6624481786708
61	-305.53570047889536	-581.0962463886731
62	-310.23944441791036	-268.5446101606408
63	-308.99726741401184	-950.6092595478005
64	-537.8791764086662	-676.1967606623786
65	-326.4585169258195	-504.63628857941063
66	-104.19073593712253	-359.35382280353787
67	-334.1443051756959	-682.1166995584106
68	-384.00057696952183	-310.5909532799823
69	-62.98096001027346	-286.47591025274096
70	-263.8573371487556	-752.3735091581025
71	-70.11308771875701	-139.08754435767912
72	-385.3066493847218	24.983613094745934
73	-226.02583069488242	-271.4185021040378
74	-255.67905310185864	-242.6675391519256
75	-101.02505551466443	-538.5406143460286
76	-367.54018701364674	-535.1115720610734
77	-89.47276638847502	-205.9894924619665
78	-173.79489823641603	-509.9940841880772
79	-184.45053919656465	-864.1792339961377
80	-439.3026872099543	-358.98204656782747
81	-253.53065221811778	-564.3067703108914
82	-308.9435519210763	-616.2755597638592
83	-173.25684246362994	-565.4596221641496
84	-163.69612158873298	-234.6967566839758
85	-310.32560732298145	-496.49235793079515
86	-248.66214357610988	-558.5432875040042
87	-414.27123116235714	-532.7649312375651
88	-80.34813468470719	-454.8628036011695
89	-133.5453484960754	-496.8208609836942
90	-69.08424182083459	-229.77993861052204
91	-276.80259810158645	-14.3400820681548
92	-287.8482925898421	-121.80867876113619
93	-427.83219491309734	-89.09300709279232
94	-82.70961397245279	-250.7286811310044
95	-298.7963599003841	-155.21748414180033
96	-92.02817157539806	-124.46056121204086
97	-320.4372535786189	-41.2639822812628
98	-302.7436278029978	-62.12520475110284
99	-330.7759846141565	-86.66609611603282
100	-260.4047504986735	-191.3804709136669
101	-262.66079135546516	-377.0715807127812
102	-304.7999736986658	-164.2849995780751
103	-429.9939462993618	-834.8856139473123
104	-334.35539273117365	-150.12398079835776
105	-72.26776096082354	-894.9104202413929
106	-259.07744177718587	-1494.0040134407386
107	-272.1780576582016	-2417.8167333915985
108	-322.2849304620138	-221.1622878581393
109	-341.5132094993538	-1589.141884997432
110	-171.43810320741574	-39.00341566199086
111	-52.14729427052636	-1530.2529398303154
112	-455.2324010977056	-1786.2949315109993
113	-195.8464034298929	-2675.0738645003494
114	-252.47889375955805	-84.1470389204876
115	-150.33549697818566	-1630.4109409288283
116	-243.77811496289846	-1488.4985845284755
117	-206.81103860277847	-993.3931472038223
118	-175.29625070378347	-1042.2410499950988
119	-302.71463854656463	-1157.3498035945495
120	-375.3750677363267	-817.1448675528602
121	-437.70375579679416	-630.8219266272574
122	-272.41786659990305	-746.4393484970177
123	-124.6278062587867	-188.02130391633628
124	-96.88042920303573	-508.9978096674468
125	-100.20442203560884	-1268.631533639162
126	-371.34875502397574	-319.90335911930197
127	-225.79078499380574	-573.7465594553354
128	-238.16004747271145	-924.3681457748703
129	-212.38591616614906	-1010.9263759290336
130	-318.11835933972515	-618.0046098768892
131	-406.31122493055886	-367.66682879361275
132	-226.97909907932066	-667.2119690957811
133	-182.16109986296254	-1157.8141609038455
134	-54.751460449620446	-681.2422070363899
135	-92.36208549005289	-567.9044809900372
136	-222.43909458042805	-826.4721464391148
137	-102.71509606760365	-481.3777115120661
138	-303.67840312137866	-601.9461851622513
139	-222.19832669710112	-591.6960471481073
140	-302.9243895791542	-1022.6266886607183
141	-465.59217130506676	-439.8250684082654
142	-284.66084056512227	-532.8068654746539
143	-38.97886404186755	-491.24772399571145
144	-273.1054954854644	-800.119688139775
145	-312.96341973614005	-801.2728260493418
146	-313.80828748341804	-380.104821863564
147	-240.8441216197269	-529.7138402469882
148	-243.54593709662788	-610.6611529676525
149	-212.74869393278522	-1412.0668191550246
150	-297.0326576503989	-449.4924164856055
151	-595.05656711129	-457.79427161576456
152	-247.77511086093008	-1310.3631503348486
153	-345.8576300068977	-271.7951103734747
154	-109.11861068662787	-1427.8382320512537
155	-291.48095007399104	-993.4585921314424
156	-147.60974781673906	-608.1746267591298
157	-468.9363932082604	-1383.650585000272
158	-61.49236621535041	-1044.861229789565
159	-232.71540661650948	-487.66749452290503
160	-450.3999387720325	-393.37026842598
161	-99.99528138734128	-698.7564496777636
162	-446.51234986758965	-373.1559508571879
163	-220.87168194100838	-1436.4713811890351
164	-448.69470694390264	-378.53457148977543
165	-64.77683916133958	-652.5198666629861
166	-396.19509286474715	-361.9746183805691
167	-180.5114715530817	-1189.927009014345
168	-415.33767602012074	-2128.183663901408
169	-171.4424447853492	-177.26901221760284
170	-270.0766991188781	-706.3058494478341
171	-347.98240995302933	-1036.079351128721
172	-273.40264332127094	-1343.05040728349
173	-275.47721668624945	-1270.1324908262877
174	-513.1570292233116	-263.18503250181874
175	-81.57333936714575	-1082.6223400668455
176	-563.9437779715226	-1199.4553154818316
177	-389.0312915322042	-341.6519738220826
178	-281.7294686900447	-1386.7325380981601
179	-109.0418399563321	-1809.6868567378351
180	-542.9401581060541	-1030.3041286773662
181	-278.69253653727355	-1365.59862757024
182	-212.15368255482906	-766.5448178059266
183	-356.1054660857578	-1222.2749990287418
184	-149.33037194878537	-863.2774507359799
185	-223.96339844955145	-588.234324703114
186	-283.1015817045487	-785.3278112059567
187	-98.45221240209382	-545.0634771120715
188	-461.86009843145496	-1247.8941253245482
189	-257.98739787771535	-2523.6833025626756
190	-126.9230426996839	-1428.170955347777
191	-73.06300965236653	-1104.7766822576957
192	-533.9545010049378	-1120.215048628951
193	-300.32506979339644	-890.6249158905653
194	-419.0675529035707	-819.9611534764706
