Environment: LunarLander-v2
Agent: A2C
Experiment: wind_and_turbulence_experiment
Parameter: Wind power = 20, Turbulence power = 2
Time Taken: 1588.3609867095947 seconds
Episodes: 1400 episodes
Max Episodes: 2000 episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-112.10425522131267	-347.0765703282593
2	-201.12412025461117	-530.6046370454809
3	-82.852869204642	-599.1049941803094
4	-304.7768845853038	-452.8644586727647
5	-138.69409645307383	-563.0416166249631
6	-135.0635729482043	-506.0266868933883
7	-381.76374849755507	-408.6424245349941
8	-415.10378593384183	-537.0948258246331
9	-115.51671784021349	-2837.1126099348326
10	-260.76078592342014	-510.40627856762757
11	-300.26535068057404	-389.16968825869196
12	-393.5683292659965	-186.8990840520093
13	-400.46383801412964	-139.139276997034
14	-118.3608506817785	-1020.5954907828152
15	-77.70774733177245	-326.1660584503048
16	-119.85165267111023	-346.64581683512847
17	-110.9990633836223	-1275.9340451695462
18	-120.8426023186876	-1782.472929132192
19	-313.5471843142082	-529.1319936293216
20	-115.6339051763272	-325.2922824220829
21	-153.05884763713152	-306.4175943606778
22	-153.13209481855688	-670.8770906874195
23	-123.09320408148363	-230.48773102742473
24	-323.812243153157	-1836.4105087852756
25	-168.6052577978794	-369.238555379419
26	-111.70521707368957	-787.8609538464815
27	-254.4023022296551	-1168.5884109732556
28	-251.07033067370057	-535.3503363731616
29	-211.36763121658043	-151.61557676372928
30	-118.8497951846191	-605.5320231470746
31	-319.8164515722372	-445.02685545610586
32	-171.26081035889962	-251.89150091753257
33	-57.97599711781401	-492.09104419778885
34	-202.4266169347523	-1136.9637772829935
35	-90.88851791658085	-238.37671039338016
36	-120.93639824297605	-541.9556951268177
37	-140.86721991678687	-470.5101608342673
38	-211.41207162790943	-352.3372705048995
39	-141.06367543631498	-81.92387381239719
40	-206.4761279345667	-422.46826625638647
41	-350.4344758169375	-300.39566566638496
42	-99.90444426758654	-304.6540279959506
43	-293.100696580445	-398.4046427744382
44	-59.20792621571556	-259.7762142653403
45	-187.2302878946964	-253.41064871915182
46	-263.0551511101138	-224.1936930572695
47	-51.402498544744546	-149.28440206702012
48	-117.02129772979075	-259.76961498365245
49	-226.8086753353353	-56.422304268459
50	-113.13191335532846	-317.57361609669726
51	-98.57469672438421	-337.78234430078106
52	-222.8223242776357	-38.26828147041786
53	-194.28950603693636	-315.92303370009324
54	-118.59264088167183	-313.1813127362915
55	-126.6842430771682	-316.1617767660423
56	-268.32305422143645	-323.7689472137437
57	-73.72093705311325	-248.04367748250155
58	-254.3549271625225	-386.45665570094855
59	-193.79316542779503	-594.7825392506413
60	-103.60770767939651	-578.3126431601127
61	-195.51050152425083	-405.3410992586084
62	-216.87857229200668	-546.407899288347
63	-106.04225542448458	-620.5025246676018
64	-122.16212189442736	-558.9708116747533
65	-330.7827700481576	-433.99408658633206
66	-217.4724776965126	-628.1529957874068
67	-198.5361600320511	-106.67611224417548
68	-115.59804319165453	-211.46550922656422
69	-78.26008921427392	-216.7447029464736
70	-118.04378884768857	28.413048720046675
71	-75.49274374836762	-342.6569861528196
72	-229.9268135427796	-29.677037081127054
73	-188.66647990076206	-336.7450030447246
74	-63.72772306160239	-329.6078846345051
75	-229.9565416799884	-97.17008037817195
76	-308.4731648980362	-439.9565255871763
77	-96.60101287560536	-449.0413170369103
78	-172.39318491160213	-259.69997397993035
79	-207.34465516761867	5.88592313877291
80	-125.84336240392706	-157.9440573008184
81	-202.44216285755033	-420.12041410215977
82	-148.36841392583577	-533.8317022761112
83	-144.98150256488924	-458.601376046691
84	-65.87265115467416	-3.107224269247638
85	-43.68972806820156	-502.59842014413243
86	-111.7216308665398	-141.44180822335198
87	-125.42996376301149	-591.5053072525582
88	-239.8171332419315	-611.8535581208291
89	-92.76798111667085	-559.0212552590885
90	-95.96121835366883	-366.0075140619803
91	-104.36025258275397	-349.785965423994
92	-294.22237692102823	-325.2199315378432
93	-194.48454777839086	-161.0416025302144
94	-200.6377175910366	-304.1882455015105
95	-218.50853252990527	-29.57459223356865
96	-143.4275079202793	-387.9543646503075
97	-225.3862881539206	-73.9717922309801
98	2.8497507158036512	-343.2740306640584
99	-93.94467540660273	-517.6644610401227
100	-99.79262381318951	-317.87446334818225
101	-325.9510950895337	-257.63676362262476
102	-64.28639851361467	-631.4065961094797
103	-102.79382047770073	-425.0853074878006
104	-21.161339444408853	-390.1274183688667
105	-142.5876071048609	-308.8237479097902
106	-15.139629928663297	-127.62027853219527
107	-173.5344586011622	-514.2134387506546
108	-217.45836737212326	-199.01328023082644
109	-4.433072104268646	-375.54908673709343
110	-154.06042777644177	-307.6986419457569
111	-126.72846236080302	-157.1280354364265
112	-124.08122136607018	-452.13226380254156
113	-87.94863605051971	-378.4038124621063
114	-125.6485044800577	-852.8073814389629
115	-129.4910210802928	-458.3678465814109
116	-39.50602005679366	38.73943026810832
117	-168.4843247864527	-646.7283494837376
118	-161.15102293893983	-470.5580804131691
119	-43.85252476770924	-659.3290187701892
120	-346.0954996089135	-520.9035580587531
121	-134.14731641582193	-578.0187194255482
122	-156.26537727596485	-576.6173379782865
123	-193.15041760873936	-554.4438516532464
124	-127.33488332842924	-344.38105990876727
125	-129.24622007294988	-466.2881189010435
126	-92.64244402462693	-496.0167547118844
127	-275.63035144425737	-282.96109098219387
128	-452.3451707541917	-292.06079985955364
129	-116.83431231014578	-243.60880087639674
130	-167.85573294325604	-439.65013279302894
131	-74.85496947103117	-367.19709725798964
132	-54.73312718483534	-575.3133212989515
133	-287.4529439807126	-270.60501518056685
134	-272.276746654131	-761.1387783115968
135	-97.78303525495018	-773.6513981522312
136	-67.87913030885133	-447.02831335648784
137	-109.96214895619973	-469.75161580804354
138	-145.96374461672423	-312.61903653036234
139	-223.26406444994342	-526.3803940878835
140	-90.36499631125693	-446.26944246652397
141	-81.15499452158093	-205.58843856273538
142	-98.35088631800285	-421.61507406771545
143	-134.1936272340502	-207.92979737979664
144	-159.01779552470265	-300.52864734458615
145	-364.8364633601597	-454.31289551911954
146	-112.37629447725759	-81.284765041375
147	-253.54224949847776	-398.1930900395202
148	-78.69193448963647	-242.1989090803758
149	-106.21158940855287	-307.2884036210943
150	-195.71829094548386	-101.81371596042588
151	-86.55473119616585	-506.9080324198407
152	-130.6284109230313	-321.3030024869462
153	-88.5653758205598	-212.57439412489066
154	-64.64228836486609	-726.9614223868471
155	-119.69773824449548	-339.5354806147289
156	-58.05677570629763	-280.82698257433094
157	-110.61021936343883	-627.4037659154113
158	-273.27353880567637	-736.2385934997095
159	-11.924733322201917	-371.50640012869206
160	-197.53584494548545	-713.4237584013839
