Environment: LunarLander-v2
Agent: A2C
Experiment: wind_and_turbulence_experiment
Parameter: Wind power = 20, Turbulence power = 2
Time Taken: 2322.5033922195435 seconds
Episodes: 2000 episodes
Max Episodes: 2000 episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	-244.99233557845432	-649.1233183949616
2	-208.80589637193083	-559.2097552237318
3	-240.17554776167918	-129.1218482345168
4	-303.7686665647409	-175.4798907239713
5	-348.8963445391216	-196.50700271685128
6	-187.02869404399468	-234.67414340171055
7	1.0694715123603373	-122.07391415172066
8	-108.5971750697519	-135.68011130738986
9	-168.96988530056865	-131.49046399680896
10	-299.97744328050635	-101.01611521755584
11	-235.9750603889823	-80.69628118252848
12	-157.55914658801447	-387.7282560824521
13	-147.01901319650932	-136.84380421062764
14	-229.5709452190999	-142.98644963326785
15	-187.7993575108798	-163.4078885096085
16	-78.57476262991459	-126.98985704202369
17	-121.18646917893864	-127.34248590753666
18	-140.86750071209957	-151.39398184874216
19	-43.54924680906093	-115.31272171138903
20	-171.49031714533305	-222.72128666456393
21	-56.81134297172507	-387.78716822065695
22	-336.29711627659105	-217.4810973528327
23	-205.58754241845958	-108.73812496735624
24	-71.81772705457058	-102.73220054740943
25	-58.41842352675807	-120.89338120070374
26	-136.8350502330449	-345.65577277681155
27	-141.58641546529714	-127.03533162158581
28	-161.84057208479607	-160.21986647513774
29	-243.37115371560728	-117.68555410668748
30	-133.64371618815798	-344.69427857803555
31	-93.20573615747692	-144.49795352603252
32	-89.12351945597652	-214.06719141282517
33	-321.65932872289295	-346.92661996799086
34	-106.85804722241564	-138.61071151490248
35	-101.84507889631332	-108.79569752755106
36	-150.61159649492714	-318.12495564253
37	-113.51270766950452	-135.84454623664718
38	-101.6770194734548	-109.48456192541514
39	-52.51898925189204	-126.61377683596552
40	-131.17185997097675	-340.20080241141386
41	-205.2551042139171	-145.9369356087871
42	-224.94624151723792	-250.73667808958604
43	-285.0244637555514	-186.60841869153182
44	-107.69481286536761	-1774.5360925531445
45	-89.50616161627904	-483.6936865319223
46	-84.45444045638304	-123.8312556440639
47	-99.2586916171563	-386.6464594904881
48	-262.4230908129297	-148.9767487893189
49	-169.82805926714985	-1460.3069133016536
50	-107.08298788978104	-192.43355880157566
51	-50.53589796485147	-286.57975066109225
52	-148.91894605785137	-140.8180441026817
53	-128.94267282875418	-152.7359898386557
54	-107.15018491260153	-518.6085126445105
55	-109.7241747920525	-576.8663044256341
56	-219.37313265959517	-505.79855942628467
57	-247.97427527543493	-943.9839591162905
58	-107.70648511703888	-553.8037452096835
59	-184.9215705611776	-1570.2030888599504
60	-70.1622292948107	-326.01423439040883
61	-304.5963471458338	-948.7712600058483
62	-146.56628042185827	-1144.746178722817
63	-124.3728242515865	-747.3093311301063
64	-236.1478955566176	-152.40493902874726
65	-75.27578937222395	-923.8088571949513
66	-240.01863941314105	-157.59932189776674
67	-79.7609705063312	-151.49843958383087
68	-98.8533708293808	-405.5546270750808
69	-329.87198833116634	-767.048358989529
70	-65.74704075114775	-425.8579213952694
71	-228.15934978526874	-1287.5490099407973
72	-143.6199566143015	-1081.7253470669614
73	-101.4702866518987	-146.76650352485268
74	-79.07685307048871	-120.70436737083091
75	-96.94817610686121	-372.80736207817426
76	-167.00537442337748	-120.16485338464514
77	-162.09325259977365	-1136.2218692177873
78	-145.601079766189	-604.4167756752893
79	-97.05252782159498	-130.19100777464575
80	-106.37971454655748	-140.16584617805003
81	-115.26848821188854	-468.34434902464864
82	-91.0445124930165	-589.0832118179162
83	-108.75426466063628	-585.7568857147444
84	-89.69674441489254	-132.2313633098529
85	-126.32598937068876	-518.3899308216253
86	-30.891469990049487	-519.8347538007355
87	-89.1706351881955	-126.62212359389335
88	-220.22101429851114	-3361.625026876214
89	-184.19580084336218	-2494.734126496682
90	-170.81538627050372	-158.5493491771456
91	-86.6376001974219	-131.55783839966372
92	-179.3472243974553	-136.6660014968726
93	-210.37213760952272	-631.0278225633435
94	-173.02801887540403	-164.27420843357132
95	-238.6606746937854	-1218.770349192997
96	-150.54099582792077	-147.2921685730841
97	-113.51075064903974	-555.4353738614695
98	-151.04519936386015	-295.80910540943546
99	48.201022827645915	-594.0567096880525
100	-37.31807825941097	-761.3570614490342
101	-318.36853606750765	-561.9858530145445
102	-177.9350588567872	-1971.6071384445604
103	-129.43916274296402	-566.6988690866165
104	-91.00022455040435	-1500.229891065722
105	-104.37694755094938	-517.8155122207547
106	-115.36189994988598	-2011.8202352890623
107	-87.43093490899489	-485.81622389629797
108	-114.48600422813307	-4376.254609963929
109	-283.52826969935074	-563.3498080740953
110	-230.03869978703946	-653.1105388845914
111	-28.282994393725673	-583.0944881797338
112	-217.91791583332684	-1791.517386101283
113	-220.7526551690898	-868.0455851721308
114	-157.03479709410297	-639.4300370692941
115	-48.627625093470364	-686.4358676852631
116	-133.96024826334366	-1250.5078471871639
117	-51.94652078463012	-555.530182675411
118	-325.82402073924254	-559.89475524369
119	-133.68614099143727	-495.79243912423334
120	-59.25096100516797	-915.8646277216517
121	-69.51690682756912	-982.9834381819268
122	-83.13191353788189	-707.3491486406742
123	-68.27183693375194	-760.6844853334779
124	-49.81193732505841	-777.2327440482447
125	-255.25155440998574	-655.4302332576996
126	-239.7906529812227	-883.4294091217071
127	-83.31133666427395	-905.4656563224858
128	-168.70906095884345	-2207.801018564391
129	-323.2717983010947	-1052.891849664892
130	-101.13601639391274	-502.2543145228042
131	-108.4219559129829	-802.201148892422
