Environment: LunarLander-v2
Agent: A2C_DQN
Solved in 1971 Episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-410.84952239334456	-483.61420871797395
2	-87.07728680850882	-94.86454755219293
3	-123.73616973486345	-109.66022508740772
4	-105.9518801294761	-104.67039847164284
5	-101.0743399616949	-325.7730581747315
6	-45.89869846354771	-321.94058627091
7	-237.20394345161722	-125.28442535437978
8	-157.6035868201999	-90.40258411201884
9	-95.10521405225083	-325.95351991907546
10	-107.39138841117203	-114.59899880168342
11	-64.45377592144652	-100.48595440581718
12	-87.56366843628615	-317.67332217390464
13	-53.44375323332517	-119.47437351844624
14	-358.1552398952418	-290.56985853742276
15	-159.17149184705397	-285.1335342261317
16	-114.64032208216892	-326.7162609125336
17	-149.72911879757038	-369.96806486465766
18	-150.57363018887585	-232.627931266721
19	-96.32849833459895	-576.4086902842157
20	-85.14703797632203	-351.80354345057776
21	-118.50026618473467	-526.7450255183394
22	-176.9313409351157	-505.9274013908692
23	-160.90542457940938	-314.4203008446103
24	-147.64251690256341	-181.87643641215647
25	-90.44430084631213	-541.4454074666503
26	-81.79129634890295	-135.4987826245868
27	-201.93874894247128	-124.3895260878366
28	-18.168153233574046	-139.3558316448428
29	-118.50495143218777	-234.8276467405371
30	-70.51705641671707	-148.79873731972648
31	-114.77129815021061	-107.64520643972253
32	-145.16104043128908	-117.46712874445558
33	-255.84227919061246	-128.94604561731822
34	-142.49133257625186	-120.1358566131257
35	-122.67221905295557	22.2973391632611
36	-156.56533889676103	-750.6445795079984
37	-43.8564678271991	-750.7952062020138
38	-94.22557727203275	-300.1005824766926
39	-102.96251032742403	-140.47029763969823
40	-192.88345804397707	-1053.662178726521
41	-131.93144432545947	-207.510296208647
42	-65.24885641899002	-262.17617030943546
43	-163.86749603818777	-1379.9198709023665
44	-75.569868632353	-164.21084325756692
45	-178.98069347111363	-338.3495439906672
46	-185.7075543244669	-680.6024443936735
47	-112.35970189577596	-168.58854094238234
48	-82.28747915571917	-251.82833647849557
49	-109.80203439862312	-757.0487184312422
50	-190.18278532124697	-231.3704038504922
51	-74.78504414781517	-877.5653284042077
52	-274.73900742103626	-177.8201431174184
53	-58.85701474715473	-889.3612189266222
54	-267.7827037916035	-752.9891698822889
55	-109.06108719860455	-2177.393947411175
56	-282.8450436354726	-1240.116006998618
57	-80.22276202972166	-985.9869107321553
58	-107.65175661960224	-619.4985393364943
59	-69.84415453367183	-515.0139331205306
60	-151.9508287746616	-739.8458578375414
61	-142.19322670273124	-570.4414348926111
62	-29.11603099847487	-402.4392065910484
63	-183.78099849605536	-576.8495030706326
64	-301.8724776817114	-775.7826509412822
65	-55.36845325110946	-847.6853161321985
66	-117.8420622051553	-610.835600147929
67	-68.24470189842214	-872.733661746031
68	-258.5939889987628	-1131.0461279577687
69	-347.65769038745367	-360.55611709169744
70	-108.84891844038009	-273.21770312286554
71	-196.0618918256633	-487.86003151166256
72	-158.241013127081	-1121.002429659717
73	-146.42469643065277	-617.8203322495788
74	-182.83561989951187	-617.2281605856342
75	-221.21319056425844	-390.7960994923774
76	-53.03332791662638	-982.6024013295964
77	-236.971889453728	-1251.3302942127377
78	-137.1583583770252	-1004.0438979227664
79	-346.152306808407	-434.48061184735
80	-70.95051316512317	-580.8700582004853
81	-90.744253603195	-1498.7366112290335
82	-224.06774005179915	-578.6146829663693
83	-76.37285488014372	-495.7034576770302
84	-360.50009845570844	-1025.390853745359
