Environment: LunarLander-v2
Agent: A2C_DQN
Solved in 2000 Episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	-164.74552093523772	-523.0754669785364
2	-299.57029344921057	-663.6566622523974
3	-83.51273929993918	-632.7968965229675
4	-100.14898023236685	-591.2477274887422
5	-75.6640863216358	-693.2162064012717
6	-121.73243233628976	-523.0561017366631
7	-159.88091645405228	-767.2553427810648
8	-243.69567548129123	-719.4200057276691
9	-42.4773160092203	-1816.203808532625
10	-123.25408242923189	-415.5202335662587
11	-168.62712379479524	-522.4275261228084
12	-109.71466956217415	-492.86286383495
13	-59.62874092328348	-565.382604710231
14	-333.9754139601634	-557.139127326338
15	-275.93131797817716	-532.7445317306307
16	-58.31549990488748	-620.3275090439982
17	-89.07877834927072	-2158.8377653967177
18	-363.81695664581986	-1890.624210938423
19	-283.2929624440209	-1160.296058759031
20	-239.61136370284788	-539.5624765378834
21	-198.04821102935287	-1822.102461356316
22	-129.12884240787753	-796.7251866194185
23	-89.74624609088967	-1154.4906519838964
24	-95.41648863195961	-952.5644584606981
25	-58.47699878592099	-1569.1980331924672
26	-336.9181840812241	-2936.836036368017
27	-267.10953271849655	-504.71699977175007
28	-187.2538306873662	-612.772208407946
29	-252.57962204629067	-1407.2648555899066
30	-105.79687282399627	-538.3686713972862
31	-167.68245210868085	-1332.2165087355675
32	-69.41427989047948	-1035.03766774722
33	-106.59727402758458	-479.6587762627596
34	-85.1012364750204	-2286.6114105363436
35	-98.57075887682878	-593.6540491913966
36	-147.78145634058234	-1536.911466402521
37	-199.48918483998818	-737.4561561843997
38	-195.88871192666375	-931.8011451871456
39	-9.319764363834906	-1919.0563136060177
40	-298.953807795183	-717.0718795021453
41	-458.3482049437041	-652.4324456269634
42	-188.51625769003633	-1459.1849502405037
43	-383.7673545932131	-567.6075341646645
44	-128.95504454174386	-382.0297810731013
45	-228.5942676074807	-324.44712221664065
46	-43.432678857403296	-783.0854800995602
47	-237.36928214389414	-529.3127487170398
48	-102.62506585269352	-795.3869685510024
49	-219.00153918179979	-501.36385509863555
50	-36.27026278039581	-1225.2648476834374
51	-185.07384023912687	-837.7754691701805
52	-524.3012850345249	-563.1432621089857
53	-166.2381023313439	-488.86271171001175
54	-121.79051937179011	-4692.513664245459
55	-102.10318324064137	-623.3368641527043
56	-54.21402022490768	-538.6292736434377
57	-67.1474272978978	-319.2610355943562
58	24.47874045575533	-541.2875774631971
59	-343.1738742408143	-627.696636003548
60	-159.57763768666825	-1424.1144923287868
61	-187.2336777377571	-1045.7381574688386
62	-317.41147318027697	-645.6333437795629
63	-62.122120371534265	-1057.981735073905
64	-311.9412821753238	-1280.6888926346458
65	-470.7299813696968	-1014.4137893440292
66	-215.30596506041326	-1646.2673636079771
67	-283.99822136747184	-1660.3172977968507
68	-57.251635475351044	-853.3848055329298
69	-104.3981207382584	-963.3954998767517
70	-150.49779327470705	-747.770828266048
71	-109.65618835259136	-1039.0567918785036
72	-478.95640934786707	-578.877186722005
73	-213.21699388839295	-858.2834733945597
74	-97.68551385727413	-496.4993590569719
75	-228.2506188070826	-820.3092503822016
