Environment: LunarLander-v2
Agent: A2C_MLP
Experiment: standard_experiment
Parameter: standard
Time Taken: 5223.333713769913 seconds
Episodes: 1822 episodes
Max Episodes: 2000 episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-379.0553247276372	-254.19699703503764
2	-207.5821735622086	-185.87897505725675
3	-300.7153999327367	-135.9177033537443
4	-120.08260778251213	-122.42296177847379
5	-98.56596040484658	-114.86393730244738
6	-103.12115979571172	-162.60645497931722
7	-100.20062292474428	-143.31582687303344
8	-77.89497289151888	-189.97100344132272
9	-60.82974721142293	-170.04474276205366
10	-106.92667482506556	-187.28586187891665
11	-138.4480623629538	-324.580781756753
12	-342.9565455881137	-213.6599728043492
13	-137.74138347883718	-222.16118516776982
14	-75.32779553493363	-232.83128879054834
15	-108.46421012859608	-145.0455917240165
16	-303.67040529479084	-405.6470636990033
17	-110.03859675881432	-275.491320504707
18	-143.12102266444464	-146.85698699079825
19	-237.048808645922	-230.88344464984095
20	-29.81479992234223	-401.3856281945875
21	-232.56571881971607	-246.1824153530318
22	-75.62136366718359	-191.94279841105597
23	-136.3752710042845	-250.12869069589453
24	-133.67841078730106	-263.0106071387807
25	-233.00027499768225	-193.23214522812196
26	-102.39315143568196	-377.1861081469019
27	-108.3043520900603	-245.75571187347086
28	-83.77300375460905	-67.79098620416114
29	-117.3643660618985	-235.9411489392167
30	-186.66886909387995	-257.61315816446313
31	-287.54168304300396	-55.94119271881095
32	-95.94687687804253	-8.011559567088838
33	-123.03812291712622	-219.57605935052536
34	10.136282197729884	-1.1946548089455575
35	-131.11594533201037	-29.158411246654396
36	-175.94932020009736	-91.81411307112616
37	-119.84772808070679	-318.7508268754609
38	-125.61034853916395	-231.2376288906253
39	-126.31034099500003	-408.9753380688349
40	-120.02149551529841	-180.70560332979227
41	-95.00032083240852	-132.8983778738272
42	-280.69903271787643	-335.591593088699
43	-35.90546379140689	-399.52661201252334
44	-96.57091799714017	-495.1876681382689
45	-216.9863658491619	-634.8422537193588
46	-259.7222124897662	-256.37075314033893
47	-85.09228247273509	-75.25697270817481
48	-114.66565061483746	-517.0742760331296
49	-68.65697265423623	-76.52270468759423
50	-160.97544416354816	-282.5570077484481
51	-358.8981146637887	297.1444983426969
52	-94.99030880700802	243.46753791248616
53	-246.78781675303338	-376.30332572082364
54	-68.29010205429806	-4.45475254659263
55	-346.93098199875465	-465.0947624129186
56	-229.56475588810258	-159.28140414872644
57	-73.64807808879323	-388.291288242421
58	-127.03418702987344	-274.9100082732997
59	-115.31874181319934	-294.5418733828947
60	-65.92857267665109	-370.754224146956
61	-102.69402922886145	-175.31078334341638
62	-76.44346346822125	-334.8415985739087
63	-141.1453832929293	-329.93912709751777
64	-156.9064500559923	-316.5098361894349
65	-99.08897413813052	-454.0704764882271
66	-93.61402960956269	-485.5057175755607
67	-83.11932385889746	-609.3152204573937
68	-117.0952446879832	-396.7838621727518
69	-127.28463231789628	-453.3815706045715
70	-166.08228923157355	-667.7818119052037
71	-269.12758392087244	-614.820199339467
72	-134.88846445407205	-413.34890449493696
73	-214.44662681113795	-758.5921750765485
74	-154.22767038680615	-784.0182770300445
75	-167.08007336304578	-557.6071605088184
76	-154.35471434108845	-825.7143206947339
77	-116.36231792173723	-851.513423532541
78	-108.5758441047819	-707.484703879311
79	-155.3716265224265	-757.0327604873423
80	-193.37005311515946	-791.6267203420177
81	-80.4193479548429	-1107.415541064407
82	-88.26366196608063	-850.6138494291116
83	-112.71614285227999	-1053.9467398802267
84	-145.09107878133312	-1020.3559137582903
85	-121.23282224994261	-1678.3339952150077
86	-87.70257667199313	-326.8980110727315
87	-58.5859015734263	-1064.1450372326365
88	-139.06665535514963	-983.9343151171447
89	-319.08686433786863	-1605.517346006208
90	-78.22751198769805	-1367.3051171455961
91	-90.03902090306208	-1498.0878675892322
92	-51.4964047621449	-2097.4373174206257
93	-93.62559655687295	-1262.8917727405262
94	-130.6323168574274	-1051.8065116625833
95	-43.020605850522216	-1583.5666407409344
96	-364.26601881087055	-1306.5827193827806
97	-416.865943648065	-760.4473164630293
98	-49.05745345584201	-1255.512808541238
99	-12.491122642596366	-948.845241521437
100	-25.39553939705891	-1070.4624035359504
101	-290.4971929831336	-1425.6640889086605
102	-227.62685814780946	-1054.28012093066
103	-273.28193520137273	-724.2107935282236
104	-117.11259050917532	-815.4743131424625
105	-77.55452613315217	-1146.4360620856955
106	-236.4790372940218	-343.1575127969785
107	-409.23223226013374	-976.2714778384351
108	-4.188269037963678	-935.4251900830093
109	-305.2726071415374	-809.9639143456458
110	-138.1788501152773	-1626.1835021603754
111	-59.56664167302103	-1237.759755053576
112	2.2948932898192993	-1707.4188810523706
113	-91.07341667227736	-1664.719320627896
114	-232.87938480234197	-1052.5702547786518
115	-426.2295343040949	-1301.682380541405
116	-5.044418881022011	-1785.3470914842226
117	-300.87811168145623	-1099.7052964884515
118	-142.98925852935668	-1490.650694333333
119	-32.892519075895876	-1199.9440527170088
120	-289.7991198651942	-1539.5855278111205
121	-36.0501423053649	-1073.3303611520187
122	-322.939159122132	-1160.3980481558024
123	-329.2752245156828	-1535.5941181397595
124	-198.56512729701106	-1441.9760779825601
125	-59.034204972897214	-1157.1695566885749
126	-177.70784457120632	-1334.6225126380546
127	-122.19605713381114	-701.7361085407747
128	-116.25533663496887	-1210.7131735010219
129	-234.7850249241075	-1055.2883992036177
130	-126.13638378845175	-2159.873546943436
131	-117.00748681505365	-2511.4225886189115
132	-284.5119302572567	-3333.368570795032
133	-110.70813217511933	-1073.6079323019749
134	-78.07543785041669	-908.2563654848672
135	-110.4619540450867	-1686.159706733817
136	-68.35461252497201	-1393.859405627495
137	-37.25598840880146	-1947.3921489577137
138	-22.695223002375258	-2716.098822621878
139	-61.154051676602826	-1512.8077807424509
140	-55.77153765746934	-2303.421528390031
141	-281.7263277518524	-1414.1132305869266
142	-86.1734554547147	-4016.062067538756
143	-116.77612870176137	-1197.4542557933842
144	-196.03652215513011	-1927.5726804907881
145	-57.69268685825738	-1200.248366933568
146	-153.06179436919285	-1719.6407338675388
147	-295.8694750364756	-227.1841106924437
148	-104.82033703778437	-1583.8127123295594
149	5.293103130481882	-825.8290156309272
150	-85.78743790611082	-1078.1842282918724
151	-186.47939319735406	-1582.004120455328
152	-237.76524024830775	-1275.4007824925197
153	-23.47567667426584	-1458.5892465424274
154	-45.65117366426854	-777.2195374828466
155	-215.81923886156753	-3757.7837127927164
156	-24.87006543643487	-1194.924498945132
157	-15.254459849524807	-1261.5060487525138
158	-286.5671124650157	-2570.413317660874
159	-78.00849034945664	-2023.505041817171
160	-67.01109414525018	-1634.779002514287
161	-231.46276710802644	-1597.4833956634811
162	-104.8435506912981	-1471.8660349479146
163	-68.79733948341102	-1286.5886116091613
164	-94.12338715952822	-1157.1355519740318
165	-407.6785641114061	-829.811242063139
166	-34.050201669637076	-1103.2408364290736
167	-171.59583134988708	-404.98290453813456
168	-68.41407814510848	-962.7920325170435
169	-47.88309066816778	-1314.9130056441197
170	-146.4400483964851	-480.65811273012724
171	-144.39476304362685	-1704.04573570921
