Environment: LunarLander-v2
Agent: A2C_PPO
Solved in 2000 Episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	-89.1566682078334	-1500.650339532779
2	-60.53743806610923	-680.187194833073
3	-138.66658243827627	-1078.6764193257407
4	-208.09505772595895	-438.3127047566787
5	-201.43026929126685	-640.741182513411
6	-57.357696778054105	-679.4286351471446
7	-282.2281560367012	-500.7470884808002
8	-427.6260483321249	-557.0414133563343
9	-543.9442324414181	-664.0268064873515
10	-103.65986009705303	-597.2571548140979
11	-520.5550489157929	-720.2559509655637
12	-396.9318817740764	-440.18121908333137
13	-317.4138677911409	-727.271172090534
14	-123.35719503022398	-437.1664123571046
15	-384.412674806168	-516.3526729903823
16	-131.48614984940156	-539.0540617441162
17	-153.273719094755	-531.848818140895
18	-186.2888201463884	-415.89175242614726
19	-345.1554294077539	-604.4705802792009
20	-151.44723254943418	-637.9204351518467
21	-103.37409134587537	-612.0925050185886
22	-144.17419952294813	-446.7076260646333
23	-202.55091076862755	-639.5938836721296
24	-376.50106680207864	-734.9362960877208
25	-346.6391239721792	-3233.6929294542306
26	-211.97727309343585	-445.3178737771781
27	-103.74864339040438	-617.7381178449639
28	-89.39196690388951	-400.026902914775
29	-149.30021804143388	-2736.831477157692
30	-175.88208380583654	-390.75442265658086
31	-445.1842798884164	-101.28274821800167
32	-325.48939209933167	-583.2395118264967
33	-219.78112897670974	-452.81896759928685
34	-350.81105861219504	-103.39216572598392
35	-395.1271243206169	-436.74566745531
36	-496.4031042809547	-390.4806579927584
37	-71.98820277507367	-603.3839151505554
38	-100.41579352224882	-338.3584094516774
39	-122.40507155653829	-214.31248025002714
40	-170.32753760159662	-265.26087826445416
41	-83.91764265476733	-276.67443937176563
42	-209.95170327353642	-831.2693379553584
43	22.911646803058417	-624.1620614955079
44	-84.1858662333587	-687.8411627182268
45	-118.30921260929124	-234.68287641087866
46	-55.794866853553	-278.52796020596554
47	-158.46365458461406	-719.6456138348459
48	-400.72966192698624	-291.56793898478134
49	-88.24195631220519	-219.1038153293755
50	-350.34163485747496	-90.21838801382705
51	-169.00310265260575	-244.6859405284035
52	-283.1893734303936	-703.7623187704696
53	-123.53864838871472	-220.37444621602842
54	-234.98877013560346	-669.8502204951268
55	-120.79633833501786	-201.15439725336876
56	-219.2608204930699	-326.7835055839791
57	-89.61212796887551	-633.8424101686007
58	-129.65689789829048	-456.2243488627966
59	-164.42374143259906	-175.9893993744501
60	-97.11698269130518	-323.1467304569346
61	-207.0549964694875	-456.69432958312746
62	-135.33367597992057	-438.09299576813305
63	-231.2759343451678	-446.14163816050257
64	-238.42775312109896	-374.4220690087426
65	-262.98461479581164	-407.36123591684003
66	-102.99384424895914	-123.59793721894971
67	-246.66210457054981	-440.73553089449945
68	-221.40944445779314	-487.8149040003107
69	-303.92345536998056	-430.8305984114142
70	-148.27489918335868	-416.9591080142239
71	-92.42151379200496	-372.81649771114934
