Environment: LunarLander-v2
Agent: A2C_SU
Experiment: gravity_experiment
Parameter: Gravity = -1
Time Taken: 1678.5203149318695 seconds
Episodes: 1528 episodes
Max Episodes: 2000 episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-236.65769129096233	-806.2505043968188
2	-345.12159009835256	-543.8401805330535
3	-203.7608042685555	-491.0109697515967
4	-342.7900352069187	-955.389603763237
5	-515.7964371595594	-429.41126001423544
6	-266.1443659675809	-462.468600876736
7	-0.3082896775371893	-752.4379814142887
8	-108.65938822578462	-888.0534650560232
9	-152.14084027418428	-902.2623236427419
10	-188.84987042305698	-1495.636212571696
11	-90.07353813001134	-616.9002092805875
12	-39.914475968117415	-810.313686140156
13	-199.4798360438965	-923.4571308450176
14	-129.92888580039138	-691.1790694719153
15	-86.48190020005434	-1387.947928545937
16	-74.4161200479245	-593.4200242977173
17	-105.05350292994207	-417.2593617082015
18	-101.03415822325421	-790.943528153982
19	-284.57047686903866	-528.9801520854633
20	-104.45086550779479	-432.30094967116275
21	-120.97470936350797	-1437.2095144181365
22	-309.70156938110017	-1596.0952763583284
23	-129.3267943985627	-971.9219436291237
24	-87.24763134514167	-700.4118176546731
25	-114.83381900139975	-469.75391441431765
26	-75.19372386091176	-1512.427839142828
27	-123.77612753488575	-524.6576300666179
28	-216.0606011190287	-608.6271769240551
29	-115.26997245000965	-608.4384219135306
30	-86.93274573647793	-682.2879868572531
31	-117.27415748263942	-979.6194534755202
32	-136.3000468174843	-476.4520491962088
33	-102.66957444715584	-676.6900879307935
34	-101.25693192051968	-680.5607293169631
35	-82.29602440960797	-700.2367813240162
36	-71.80015548739739	-825.9777308911007
37	-115.53418275010891	-862.8952834298875
38	-391.40567587097036	-711.1039506650935
39	-374.0106792349929	-460.58456739694793
40	-218.62764371114253	-427.08983504836476
41	-397.2339065897783	-1026.28706043588
42	-248.58856249086205	-1287.9688581115306
43	-144.83699744628592	-374.9027632507772
44	-292.6565688597326	-541.4626263608518
45	-412.6744829882346	-462.97604133899046
46	-140.22197984074734	-817.2473577564641
47	-178.73628475827016	-2508.284855406755
48	-273.8096537593686	-429.44880526810795
49	-262.69467765687614	-523.0054689268113
50	-103.71630404752314	-924.4723786121381
51	-288.8020676268626	-873.8836739840483
52	-224.56222120843606	-458.61433280690807
53	-384.2310556290551	-570.5535103272823
54	-190.70782278078315	-551.8517411059365
55	-441.7951556781197	-885.2160744347186
56	-192.05927576491925	-1139.3995715198146
57	-182.45246646502832	-707.306835155746
58	-100.5241433199491	-918.22806482867
59	-108.37465807100038	-2546.4749682205484
60	-107.7048654453337	-1966.8924819671747
61	-147.00776308375686	-607.9475175316461
62	-304.5000485127324	-819.2220274025365
63	-45.530996190477076	-1538.4032487199183
64	-324.4711952947139	-556.2581169358905
65	-80.19614680442375	-1334.1742793473313
66	-91.81256694219084	-694.2709389576017
67	-89.50881073261147	-600.9913451118723
68	-55.64253233122032	-572.32301363229
69	-93.6864127096112	-711.4356549155108
70	-62.98435741370915	-693.2201418217858
71	-46.49297792789572	-1118.0043212663945
72	-84.28775863938213	-728.0472144384195
73	-114.65938184906435	-2446.0426154722372
74	-69.24986145000801	-974.2599431420908
75	-240.25767978968392	-2031.463843126488
76	-128.84057941012927	-554.4046685058095
