Environment: LunarLander-v2
Agent: A2C_SU
Experiment: gravity_experiment
Parameter: Gravity = -1
Time Taken: 2438.9346420764923 seconds
Episodes: 2000 episodes
Max Episodes: 2000 episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	-349.6700363678061	-1030.2673590684308
2	-134.55924727024853	-1238.4110347454682
3	-276.18476443598456	-479.90647504928705
4	-322.8519764081537	-460.09854739192235
5	-339.35872290321095	-500.06584733213737
6	-406.249767995569	-425.4236014046326
7	-217.96527947632876	-861.2969760991047
8	-95.49771910114198	-902.0871114933092
9	-66.54610160607842	-905.7845079625679
10	-132.86259526592056	-748.8275101785832
11	-73.33989978268994	-841.8037687593691
12	-270.6328515476463	-778.5521915468839
13	-99.37574840235082	-793.6400004574974
14	-117.99114233322715	-741.1556672866859
15	-203.12647506315074	-838.1304250471649
16	-239.17882358837818	-541.3953119148598
17	-425.97915810183133	-624.8307967380456
18	-89.83224189952793	-776.9247735843178
19	-250.83223159541967	-811.3180554297194
20	-219.33433468526925	-602.873623072247
21	-199.1225298093236	-603.5751858944409
22	-295.68710863851993	-746.8597326036127
23	-44.23688540627897	-879.1443134827364
24	-157.2840734519587	-566.4827677168284
25	-441.2545454784259	-643.695213458471
26	-241.91743819098446	-875.5027426826435
27	-349.6593855334087	-871.3722963992029
28	-181.73444370537885	-883.4196816054161
29	-318.30928694563454	-436.2691193113011
30	-78.25831164001264	-504.7909209338849
31	-180.43461329692244	-704.801504604899
32	-185.42711108739542	-898.2831348690889
33	-90.85911788438335	-535.6294021887286
34	-457.8115343558922	-842.2939184498467
35	-275.80333654573946	-898.9596691983336
36	-148.37491665791646	-504.5143403538707
37	-423.0102262732926	-855.2857912074809
38	-70.21735464340554	-471.58751957465404
39	-376.4462531492187	-491.61490861673053
40	-77.52886997359307	-1084.3374255413896
41	-142.76855783519926	-1094.9443669844782
42	-323.2784638194994	-956.3457573340279
43	-144.72838859367303	-890.9348324566969
44	-293.5826914121086	-940.5056127929257
45	-137.15432787768088	-480.37085083916804
46	-256.47208411586644	-1006.300300164834
47	-160.27607669725165	-554.7476448628277
48	-125.99728996169046	-1547.6094000640405
49	-106.51662230604185	-1030.057557089789
50	-127.74650785087864	-941.5396441271406
51	-136.1950665422579	-603.3886897958995
52	-110.91009571528208	-1199.4133210623306
53	-173.73762640294666	-969.9735992759906
54	-73.81713631137285	-455.1079842414467
55	-140.62463133955993	-1112.4130126625314
56	-187.73217837385795	-1150.8310004435095
57	-113.36377275373704	-1196.476496473495
58	-69.76683010289985	-1206.201570846844
59	-212.5399328809092	-888.5915161919623
60	-74.63370696785594	-973.4664419685322
61	-132.3888344386533	-1572.0576086050824
62	-48.0137940795803	-777.6529307619019
63	-54.765357805941846	-1112.7562414392655
64	-136.90820865710702	-241.90562530172488
65	-58.93347925532998	-1095.0358446037237
66	-129.5488953862988	-790.5585141184188
67	-96.420651133369	-277.7322686412357
68	-54.566787181273405	-910.9507166915015
69	-238.7053255906066	-909.4304592697049
70	-205.0082078105404	-960.8956609308176
71	-68.17114887015201	-709.6284575918096
72	-158.4621015794422	-961.855949786579
73	-95.53471567135301	-714.1866916528088
74	9.090014302974893	-1150.981158256536
75	-111.04306362949865	-946.8395298430812
76	-66.8162986395832	-1408.9308729630136
77	-55.68942945699341	-1264.9308904114089
78	-337.7207462556001	-577.9285518069023
79	-62.46386197426733	-1246.3031070045665
80	-250.8850131173533	-1133.6175161560147
