Environment: LunarLander-v2
Agent: A2C_SU
Solved in 2000 Episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	-403.73148403304157	-562.8654161825368
2	-227.80245989626283	-487.18948504755116
3	-172.1981369051648	-518.3819122604491
4	-217.86934419746166	-809.287546916726
5	-485.77986492325323	-819.2880437470393
6	-481.03182415939006	-775.5168447885718
7	-75.78300967369356	-544.8637909043973
8	-246.282872895908	-372.4974858942569
9	-114.70091634458004	-511.7584207383993
10	-42.215741784466374	-459.6508469143412
11	-162.00373583659916	-410.72666699968323
12	-107.73736305468192	-682.6718624603458
13	-372.72210984832543	-545.5320002264455
14	-164.0562234501066	-617.1619373451373
15	-293.3961031794381	-455.5429656525888
16	-175.19516401908098	-787.6899641353482
17	-125.89167519026506	-984.9907948634124
18	-292.4175914678772	-506.8148739736656
19	-191.68879668015575	-446.775819901008
20	6.724623982226831	-372.33087982081935
21	6.110357085969412	-484.7579342842787
22	-192.48753189815395	-491.8861724131013
23	19.809468971973644	-498.9770385730508
24	-18.73311247704156	-487.73748021193006
25	-103.09089849514721	-482.11755625128694
26	-166.94303894633717	-469.7353138961949
27	-117.56931947491074	-470.41522123874427
28	-238.97999559201185	-597.1782743480853
29	-102.63245566790958	-393.5479646203429
30	-116.04366546819293	-501.024188967877
31	-151.99707581343807	-557.9818655945787
32	-128.29829961659743	-534.7108126751133
33	-81.91713607586917	-601.3437996656472
34	-166.0584058714707	-685.2966294123976
35	-396.8629883849114	-707.6392348937827
36	-177.06616061372375	-444.9819342469375
37	-442.1903384569059	-411.2005426423639
38	-108.76776841199006	-336.58131493682106
39	-224.4797010342542	-342.34530720062037
40	-104.30403740843364	-408.0881940322
41	-81.92497126808459	-282.0633558072113
42	-111.60245410240124	-269.10140525778684
43	14.913339061146232	-228.07725197204138
44	-133.29320070056153	-406.1981199384449
45	-95.9710712802502	-337.65839390465806
46	-383.79355657464134	-296.92222890045673
47	-147.99209635472513	-230.86858413290037
48	-132.95071718075047	-321.5455316045916
49	-140.04094862905174	-239.13368627551353
50	-22.709497608114162	-271.8065292854497
51	-94.47644189571788	-495.87322554085057
52	-322.2050419656416	-384.85041941446025
53	-210.91533273188386	-251.95086589991524
54	-44.53075174954822	-298.31759587168415
55	-128.55675501423016	-208.71040290495887
56	-251.91016203344978	-227.97914354548078
57	-235.09349936945762	-252.84019418985935
58	-375.0097299906462	-298.908953321096
59	-113.62377083832943	-221.97989451879963
60	-142.64722658668077	14.850412503565607
61	-110.79260896469617	-227.26035937237145
62	-120.01463262658427	-184.04742836424558
63	-81.43637382532647	-85.34204841315609
64	-130.42129035419663	-244.1946917159995
65	-105.17527076780588	-117.46536179866277
66	-79.24701130940453	-196.38718544768162
67	-94.90299378282539	-204.66419477177226
68	-279.22947488370625	-286.84151144828945
69	-273.1686186794547	-216.38662879984648
70	-113.27708942338424	-204.4715671519191
71	-121.99649331326735	-257.76051710517015
72	-248.64894426006845	-260.9503993634588
73	-227.97178288344827	-239.15130533396456
74	-84.7935990287945	-265.62459455531643
75	-116.53878819798777	-235.58988324678555
76	-334.8681594638197	-228.07707156634618
77	-101.51041696069323	-283.07175194615263
78	-450.99763978227656	-207.00278913677317
79	-128.75277137453259	-274.6980041723681
80	-179.53744510168156	-310.3099040774736
81	-437.3860806004835	-330.888303344394
82	-92.18168306340253	-303.38875332245243
83	-205.14693562301835	-331.3462686277028
84	-156.0415639310255	-256.8961184608616
85	-298.1485797243242	-132.1310895474492
86	-108.76005019439468	-137.1864029924596
87	-108.13007434379975	-142.12469805630627
88	-33.746925041987296	-139.7052216629435
89	-110.85042511089911	-166.30994782145459
90	-68.49243285634267	-195.14245668304358
91	-81.49793754640092	-41.869628634475575
