Environment: LunarLander-v2
Agent: A2C_SU
Solved in 1387 Episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-315.5583224258313	-127.22538618773001
2	-93.63780568555534	-272.5646233997129
3	-375.50668718085495	-116.43249704065994
4	-0.8424421145882945	-81.64284874605283
5	-177.2666438709509	-101.43830353834213
6	-212.01458913326388	-112.33799196532752
7	-119.87240195005802	-113.91534495831544
8	-103.35189692218309	-121.90210190307877
9	-246.2863454213239	-189.28668078239218
10	-171.0176013920446	-11.868497484176231
11	-174.48899168433366	-95.36051519888497
12	-278.07947389598877	-95.37268691380231
13	-111.61956138210975	-27.976461004428074
14	-177.7460638537144	-127.05041041296786
15	-393.2682350593075	-123.79810376081448
16	-195.5477601347302	-129.41910028805373
17	-135.34915550405523	-135.27033081989447
18	-75.6064686851017	-117.49700547543199
19	-118.36302506189043	-167.67045806047736
20	-301.87477154488124	-156.2918907007201
21	-108.42949115380333	-127.47946860761485
22	-82.24346515036895	-507.45282036157477
23	-88.15292768004655	-100.81146972314994
24	-285.43220078239	-134.18973968269916
25	-141.1165553289663	-118.66714497010383
26	-109.79553240480243	-126.4472990361214
27	-248.75157887984923	-138.56662665822245
28	-87.15020351310281	-107.0903946707356
29	-150.79748793056956	-138.97319179325672
30	-280.04387004290777	-329.28943146004985
31	-107.25441860330677	-80.68277510594231
32	-96.31543085044791	-415.0118612711642
33	-248.86019689382258	-112.24105084808369
34	-100.03940053828056	-134.46041169122685
35	-165.16942305173674	-183.1394805077321
36	-74.76112148741001	-111.05019606956313
37	-92.69169396853842	-82.45059427224703
38	-227.22763401096492	-125.13050444558812
39	-99.5889347910319	-158.88699521502167
40	-102.76620588190409	-472.5246817819832
41	-226.3748182488696	-409.4916369321348
42	-99.43343993427587	-125.55997281154123
43	-282.3005546673695	-387.4484491264014
44	-77.79993855174382	-345.76303376587543
45	-232.83926320667422	-120.74351865424958
46	-15.238692759910833	-266.7278056755644
47	-102.1218557862579	-279.5781627615455
48	-99.84671855445917	-118.99878708925651
49	-131.13277768661754	-128.581003735363
