Environment: LunarLander-v2
Agent: A2C_SU
Experiment: standard_experiment
Parameter: standard
Time Taken: 2275.5791738033295 seconds
Episodes: 2000 episodes
Max Episodes: 2000 episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	11.365681090034428	-761.1903286732771
2	-248.31446075592874	-439.3964673209432
3	-279.736758398112	-554.4773384016189
4	-124.39187437465792	-635.5245928671086
5	-389.2192571509203	-474.3084375614421
6	-151.16428212551023	-556.7253479665849
7	-106.52566652892119	-1004.5796802744396
8	-88.8877044907047	-454.0814707889891
9	-110.98069646648905	-515.1140045246254
10	-425.607993049687	-587.6458975352713
11	-101.69279938021174	-443.91342568815656
12	-158.53605117035704	-548.2756924251371
13	-62.11237484991085	-725.4825543529031
14	-301.0249351946502	-983.7445925735783
15	-170.7014569480205	-736.4561558003032
16	-111.10867271542402	-369.5287527117937
17	-271.8600263505079	-377.6506962364769
18	-331.1273816138422	-1235.8961688938705
19	-73.16718670314904	-700.1004567152695
20	-280.9010801799101	-1790.267399936779
21	-448.40282467316916	-772.8255440867783
22	-208.63237148566935	-814.9890046026975
23	-397.52762732205093	-568.6907114929526
24	-398.8449520577234	-2307.7559076209
25	-256.48139278535467	-747.9684632803703
26	-217.573943779003	-2619.465723050726
27	-373.88419510964144	-726.1339932790443
28	-230.52236806302983	-679.6910203873349
29	-242.13805366311726	-605.0492064006291
30	-178.35687445404375	-468.13961407683666
31	-122.73716371848698	-922.0323446154788
32	-236.2024408321875	-589.6666539298928
33	-57.79631664036879	-1166.563205173887
34	-256.04450273449277	-682.8359463593757
35	-148.6283189978697	-639.6265609166882
36	-231.4665836864156	-1191.6761406037824
37	-258.5096665668274	-1281.0370187416538
38	-212.4447663793129	-611.9646610525449
39	-257.0443270630316	-2650.0948678635846
40	-193.37263346119482	-2921.6707620368124
41	-297.6395948394404	-1203.9704440370822
42	-234.54757220408757	-580.3250618066218
43	-301.9545030619374	-1329.2303647759452
44	-120.54986077370444	-1581.9805934553594
45	-64.14697701833182	-760.3156317688197
46	-202.1297104248053	-1181.8894108354432
47	-79.90156552568372	-4910.977685812488
48	-187.68132042518624	-1576.0530159695911
49	-199.6362333754943	-1980.8111937369297
50	-107.16023962176973	-4883.485441757608
51	-94.79025673757641	-1040.390902721676
52	-43.43577657102287	-1040.490805575857
53	-362.0951029679865	-1499.1253642146232
54	-291.7910552920815	-1160.1051348934
55	-214.58919636444207	-891.4990216694475
56	-54.172676109786906	-1657.77123469176
57	-128.232202131871	-1736.8385382707368
58	-195.1150958912034	-1210.037480004749
59	-260.5332787338515	-891.8574247717651
60	-82.87877744294715	-1268.3013721070083
61	-191.8279362614258	-1159.029571754488
62	-83.65188086315572	-1137.1991820447306
63	-87.6637399085537	-1641.7929550750723
64	-316.5813931984581	-1157.7130954347747
65	-65.21952587706635	-1044.39317731669
66	-73.42586330607296	-2112.830714643249
67	-211.50018027579108	-1222.1070001535647
68	-143.17264887803475	-626.337859633626
69	-111.97013443934266	-591.4542828663434
70	39.919848334456304	-247.0955961419644
71	-166.85321926158218	-2728.769338489898
72	-365.4814116959833	-1677.8871612406303
73	-64.14783159673533	-2239.8773065202977
74	-77.20171440547249	-1808.6116093713783
75	-165.6424563098078	-2478.6939320334545
76	-79.26288175120024	-677.3863507018951
77	-37.79400357692658	-1445.2192349819863
78	-200.68394097087562	-1267.556680909033
79	-125.08285991473207	-1061.5514994569762
80	-87.49355365878138	-791.5997828399995
81	-251.11411846011612	-1441.1220210996585
82	-150.7627975779402	-733.3019678592757
83	-55.568611966911135	-586.491095201613
84	-77.11016635312862	-1535.728838694211
85	-72.505385118698	-2335.473374806067
86	-167.42881412375107	-4401.556311753613
87	-89.6104646411688	-4909.165972932606
88	-103.48680770055856	-3360.3928732558866
89	-130.93085060089803	-5492.854837570324
90	-210.9598848443956	-5809.364425604371
91	-30.238208128237517	-7625.678859012144
92	-263.80897700771646	-5533.947859829283
93	-107.00022170282546	-3090.1276254004106
94	-60.662071253142614	-2279.8895368027106
95	-124.63150124765647	-1525.3009654631223
96	-155.51928458728742	-1503.4594750132853
97	-221.74226191576446	-1593.3467403506897
98	-220.1960359526057	-1572.6031517610218
99	-130.7643166096242	-1704.9690854274972
100	-83.99444246500823	-1777.4721107271994
101	-248.30300698089374	-2093.224077937519
102	-31.45591067343902	-3771.9690019309237
103	10.9328863620849	-5087.914016445817
104	-124.48972397132471	-4202.808692234076
105	-85.14321198066772	-7065.172653320809
106	-324.0413803056507	-2994.997581211394
107	-57.47717604324528	-2889.6750451628423
108	-26.213562279750363	-2566.6634653570477
109	-218.9379819826148	-2273.0363266951176
110	-54.11131785375802	-1855.6870231110638
111	40.071612242910035	-2925.554410912924
112	-33.17664211442538	-2263.0796421469176
113	-53.83330818531283	-1677.5195581056669
114	-124.6526499731996	-4979.776565604857
115	-279.350873542126	-1821.9934581863436
116	-66.0344631788368	-2181.338866575226
117	-21.094671905509472	-1906.2393596782188
118	-58.38690502532881	-1552.1841810040978
119	-48.590052885601594	-1987.3103164216209
120	-204.709497674067	-1045.1210012131842
121	-52.314910669432265	-913.2020298181022
122	-60.95096070317122	-2251.5085055298387
123	-90.52924477140286	-1109.1284104849376
124	-330.5103682884588	-904.0169850618014
125	35.89138856173521	-2741.3040321523536
126	-60.24654211632325	-1148.4004838554176
127	-73.93826014270724	-814.4569358421171
128	-44.64572752053056	-1695.548319655933
129	-118.78015097698172	-2025.2712441478054
130	-45.48320103389023	-826.5033316200347
131	-262.95639414147433	-1419.5992725371157
132	-395.4075838399428	-1375.0959463545234
133	-23.5660150633164	-2116.9330541754716
134	-326.5264958832225	-2084.4210741316183
135	-138.86588905106737	-1458.4509364794849
136	33.42935979055363	-2069.615557145481
137	-122.42517717332699	-3117.0855041193445
138	-35.56795799385305	-2245.042106453668
139	-297.1165807473679	-3618.5490343564734
140	17.470415273941413	-2991.2250895759935
141	-169.30652040027914	-3852.3545761724563
142	-41.93927776676169	-3965.111236939575
143	-328.3954727398311	-1417.9691913850813
144	-22.584195155002973	-538.6918613054331
145	-72.11203301909018	-807.5312526470927
146	-13.107996539233213	-538.7586440282968
147	-90.98778064782958	-571.0857410533629
148	-42.02583834555573	-426.5882810806007
149	-52.98424780823787	-626.6128839270789
150	-180.97336091229593	-481.06761648323044
151	-22.231054751022512	-376.52060097031114
152	-6.995109443058453	-341.22001805062797
153	-55.01929793888802	-607.4046476270776
154	42.31222392419442	-387.76905932734354
155	-27.372123991707653	-431.7934823627784
156	-215.11840904483935	-732.5291556071764
157	-88.32811242438888	-552.2134708120878
158	-56.7140689857039	-767.9927401216526
159	-52.32518079164883	-1017.2585577390199
160	19.578294101089185	-604.8191454524523
161	-15.67764777087487	-1830.4134325717794
162	-150.25301525269143	-1175.052330417996
163	-76.73190447135168	-1113.570528740022
164	2.393375062791293	-580.0452007136328
165	9.18844249816614	-837.8616824102514
166	-9.627331514204712	-916.7176807998852
167	-16.01484491408388	-563.0055789079634
168	-66.75672717692625	-924.6321315030173
169	-150.0993322265163	-244.29084753898147
170	-65.034097793935	-1181.7550246125152
171	45.5944640797806	-578.8462589491055
