Environment: LunarLander-v2
Agent: A2C_SU
Experiment: standard_experiment
Parameter: standard
Time Taken: 1396.376719713211 seconds
Episodes: 1881 episodes
Max Episodes: 2000 episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-142.18429327822008	-491.40428639356054
2	-342.6976275328574	-194.451177340828
3	-57.889935564844535	-538.2229097979261
4	-135.09827060375875	-497.436988082745
5	-132.8613770416285	-211.7280552222686
6	-238.5209665852168	-627.400543603638
7	-375.5208793866989	-682.0392337484891
8	-72.57082981012724	-81.4694793064493
9	-47.527542717111174	-785.4935061411354
10	-74.40669456240312	-1488.8640421291857
11	-263.57727448484894	-1270.6285069431478
12	-260.31287798696604	-2941.262519451019
13	7.115426383840784	-135.38376112282117
14	-133.21391245364634	-996.3261268991624
15	-124.14111231634278	-212.04903607661117
16	-140.7528243109509	-126.81737911455048
17	-90.36844488474263	-112.83810600673583
18	-104.26751468129666	-840.0650497946593
19	-79.3108564546167	-651.4186709939074
20	-131.325415772804	-154.45553706125128
21	-112.50158071432006	-594.4429349369286
22	-145.4829407901115	-341.75479988902305
23	-137.56058444826078	-119.56411138632431
24	-94.18730853591848	-272.7165627845725
25	-261.37912068397634	-100.62389142856681
26	-124.12500938488317	30.615655937913914
27	-96.85845191552596	-152.5740593871255
28	-183.56775458735189	-687.8970034657623
29	-132.80569571431133	-867.8916571464404
30	-271.91645294102796	-665.6683026895429
31	-216.33909373271894	-139.0568559338225
32	-235.79601255372597	-626.4245781705573
33	-289.82980034116036	-1.376073380268835
34	-152.40421884291368	-126.88374785178182
35	-69.36071692203168	-132.61961899437
36	-71.61370807646563	-1541.998925469178
37	-384.4068362825078	-846.0769694109506
38	-72.15741806473525	-164.20635073108707
39	-212.03259669585373	-990.4592146323
40	-165.33585348171584	-150.09491066895575
41	-24.65022662347954	-698.3000234103105
42	-209.62349516036022	-150.4042845825192
43	-72.74202669701437	-716.880880981949
44	-168.9592134527456	-631.80093750937
45	-285.81441934850386	-159.85816466000634
46	-117.72724439664191	-716.3994973610753
47	-70.61762717168658	-2593.3836446930636
48	-113.2867929782843	-2.0147341246387356
49	-238.469344256608	-616.3938420594378
50	-138.7383297164348	-1404.5120283317328
51	-212.9991578540041	-604.7163047920699
52	-100.74737344709386	-588.4102469078185
53	-36.747193635880464	-467.50675042273764
54	-111.24038374202188	-583.6406677923701
55	-116.75330025427417	-788.5337410311223
56	-166.73607189910564	-555.1590909416402
57	-116.00901492374396	-801.2959637340665
58	-157.23464261626214	-519.4462099935816
59	-139.37027481298927	-847.3557336261118
60	-143.44230620651348	-496.27585598027116
61	-229.46302805662532	-519.1853319050379
62	-85.85993685132739	-451.85849092511603
63	-126.61051632701296	-523.2409272570897
64	-99.14958961706519	-2451.114492532589
65	-76.45989172123342	-871.4829609237603
66	-95.52819068688437	-649.032432804411
67	85.90359687662435	-943.2920826104532
68	-122.74652288706818	-743.0324709304424
69	-184.37624271914973	-834.7256149924059
70	-125.12574151125774	-613.1406486624402
71	-175.4930978749456	-607.8496601058021
72	-106.09002733195098	-1440.3133623674798
73	-107.07611034248707	-1004.4224615117339
74	-119.70143215317307	-1095.2375100001982
75	-111.56781398400194	-450.4154928232436
76	-207.75332916596014	-564.6048793118694
77	-72.21244530303477	-482.6782019897315
78	-67.09075469251037	-600.6650698273197
79	-154.33460591468568	-978.0648446399478
80	-375.8816174042857	-1695.9205788767154
81	-46.15284858512577	-631.3483264222449
82	-112.25463797081414	-681.9428663125108
83	-110.32592883643491	-531.627690012903
84	-106.40978478803896	-616.5819333554475
85	-255.94552137780485	-726.5128335802448
86	-137.6207583732022	-1620.0702269742817
87	-143.19406543883397	-603.9820065486226
88	-84.84556396361107	-597.6127386241536
89	-127.00794983751805	-575.2785350881526
90	-99.60719647654513	-3997.802814232716
91	-76.92614088863725	-663.647283246727
92	-105.3199201876435	-751.8296403806994
93	-130.5680314009985	-993.72038850986
94	-95.48308783193141	-1245.4708739105865
95	-99.32572874031423	-1462.3107840249525
96	-161.2970249477106	-599.4453970377874
97	-273.71591982525763	-430.9938088895106
98	-190.41775168097678	-606.8244735651125
99	-76.2908967897452	-577.7994084204263
100	-115.0883468216986	-705.8157259470677
101	-94.6414767980473	-534.3070187075746
102	-255.25257985289224	-1163.921261232006
103	-87.31141529466258	-848.81143823519
104	-102.26080908435044	-318.3751403210307
105	-189.33440114051888	-463.08308355212625
106	-358.9301492146167	-777.4295021789396
107	-86.66056929939354	-648.0824461722499
108	-17.868577608172004	-511.3495997035809
109	-175.38044642927144	-1228.2723387672409
110	-86.37996693011738	-2781.1449445025805
111	-153.10455472277937	-444.57708669472885
112	-114.33392824407406	-642.2230742966154
113	-66.67101656768054	-752.2516593736192
114	-71.23926189738762	-1052.0103554448594
115	-249.46023815840238	-1100.2488292941082
116	-88.1452092128326	-469.9233112422125
117	-228.73945998922196	-3089.072790951502
118	-197.5116727857132	-498.05627713681577
119	-73.57196533466734	-665.2559766406491
120	-121.47581672872296	-434.55466635550454
121	-106.02766584405919	-450.93172167429435
122	-83.56237037136188	-849.3230670792606
123	-177.6116134075554	-2470.4183801622053
124	-106.21094716789987	-861.8777914571123
125	-225.13564281332498	-647.8486189868968
126	-368.319807356094	-851.4407394046452
127	-71.34329977265742	-491.8754137414391
128	-66.64919547677758	-523.6573107083101
129	-311.9216976500047	-509.3162118814862
130	-154.3673524191446	-1215.103675643882
131	-100.42433034293927	-480.17836660132184
132	-145.53109553055845	-647.8722507561952
133	-84.17793531538373	-937.2013815958363
134	-32.69249291078211	-729.6828944927411
