Environment: LunarLander-v2
Agent: A2C_SU
Experiment: wind_and_turbulence_experiment
Parameter: Wind power = 20, Turbulence power = 2
Time Taken: 866.4880740642548 seconds
Episodes: 1622 episodes
Max Episodes: 2000 episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-457.00844306575385	-130.67137685293778
2	-153.0934043540202	-183.35799884917623
3	-91.24687022703101	-70.40385401032245
4	-88.08152884267855	-148.37777881223346
5	-78.82403391016189	-127.23781418877499
6	-108.40047515214299	-183.32538505106888
7	-118.05837985842557	-105.37678143210604
8	-111.99125345660158	-118.17874074293701
9	-79.80526673009788	-127.78701783119396
10	-257.93450220379515	-124.35012479843908
11	-334.4869091381522	-175.9448566178224
12	-106.99404514253763	-150.46730055342678
13	-293.23725967960365	-125.85133734366559
14	-239.3119045687386	-190.8184710716098
15	-173.6772781881479	-156.91660844717967
16	-191.93253320070244	-156.18210234940807
17	-118.10909894260966	-150.89365053643976
18	-497.7813862326011	-141.79302029077294
19	23.937962725104526	-146.18580461417477
20	-292.08945693670375	-66.0865829013349
21	-102.96990726842704	-167.20843295689767
22	-143.47629796492797	5.8203379920158795
23	-141.36196457912564	-154.53506374552103
24	-77.83666181001152	-90.91362361192535
25	-30.015828315248697	-162.65107549026087
26	-134.38867811493748	-119.48728488972117
27	-159.15432511462248	-129.3433352692703
28	-49.7183702331235	-151.05978481770964
29	-87.45119125470924	-164.31565616553377
30	-345.6437613731475	-163.02739243094692
31	-92.3463841725468	-179.48237762061427
32	115.29710618157216	-176.5710415454157
33	-98.81472001986083	-116.54076185126115
34	-43.72118248951902	-118.30810865987601
35	-127.31768963926577	-95.84408829839495
36	-153.83859984197062	-136.42288429074765
37	-173.0973924246029	-97.60790707982122
38	-182.7611976112734	-171.38514987722826
39	-165.21080860702648	-130.6036241738767
40	-160.03652864732467	-130.21392702144925
41	-52.229549557487005	-119.92980582560048
42	-8.812626464060884	-140.15600383843278
43	12.236345270577004	-287.77842274476916
44	-113.39514301145175	-161.92531778876366
45	-109.98156589771611	-138.44848720924958
46	-173.27832407571597	-94.82800241648215
47	-80.17095425374333	-115.42667933548029
48	-113.42572994037376	25.42832016120586
49	-88.49470525249205	-135.48705184812528
50	-188.24217868334128	-117.00202241434089
51	-94.22802220913083	-131.70876141378358
52	-225.7365086932009	-80.68344791495889
53	-107.08539342076028	-39.83343546049906
54	-69.022149688946	-125.34415504473907
55	-106.80507204918797	-160.88989727776203
56	-128.99442001536113	-48.6534310535928
57	-140.69217721897905	-111.04269643138274
58	-97.83689848145143	-95.67827804605267
59	-110.68725796929778	-189.6454721230151
60	-157.12251941759715	-43.71113646056011
61	-113.65059949842819	-48.613682429088925
62	25.91793500024187	-65.81106077046883
63	-101.81072956232282	-37.692997083053
64	-84.39498553188531	29.803828672476584
65	-239.0575368364699	-112.0061888407451
66	-122.34421235810201	-47.13241752756106
67	-87.97261303712973	-116.91356103185137
68	-79.59212338199387	-85.16404303910078
69	-180.36822089414687	-15.19765358236711
70	-128.1367794198609	-173.28768918540607
71	-58.22816221313073	195.33990924490587
72	-95.0071806368256	-134.0483682681416
73	-82.75344748921682	-89.46913285524829
74	-159.00307561519918	-130.66076612644991
75	-108.03939155516343	-123.46505113319155
76	-48.90406297082068	-226.05132843082566
77	-65.67758612560081	-194.18442194839662
78	-170.836913048038	-254.88015719793935
79	-133.76777351775905	-129.29435454052486
80	-178.0551911294699	-384.11295674921706
81	-142.1180646479619	-295.18721299700553
82	-173.59265198519614	-194.11971758965194
83	-46.964652787739354	-430.9809737384342
84	-161.01259511979936	-206.66907162618952
85	-232.1010632811988	-327.88023368157815
86	-212.32280311711207	-524.9366062706679
87	-214.09608148777582	-744.5968280882638
88	-109.65495384726597	-276.8421791211623
89	-109.03561137884499	-693.6334001455319
90	-171.0113681675536	-513.0488363103055
91	-105.68807287476541	-514.1593124680428
92	-152.0915853903948	-436.30939082328155
93	-175.9373246424283	-339.07342571839933
94	-70.75692141569894	-938.1448963201019
95	-74.29249936926603	-533.5472903651437
96	-74.89281503414469	-545.2962230515263
97	-152.72456009858473	-431.8522190749734
98	-73.80173575103841	-463.86403994101715
99	-46.594333894238105	-475.7996027927424
100	-250.998065161276	-398.4187328945356
101	-117.84513841409095	-264.49339059105876
102	-126.07827055651202	-703.7694111831152
103	-191.68249109890326	-561.9501305720328
104	-350.0749045140113	-369.6218084995685
105	-68.44834721317527	-467.670497366458
106	-300.03492366946574	-541.0269784187807
107	-158.8107635078947	-379.5120542476794
108	-4.985241078594086	-1507.7752042084926
109	-180.78941405064597	-311.67445534252374
110	-200.5849286942709	-877.257303151559
111	-105.42844622224165	-734.5674401692777
112	-112.40075915245735	-617.3798953879639
113	-328.51961636965325	-985.056136581271
114	-311.79228778475465	-545.9967538004305
115	-162.0378314530206	-1935.8984856566055
116	-664.7719460249077	-513.5580563836121
117	-264.35358344796754	-375.32792002322816
118	-341.03363138913573	-444.5630147860415
119	-673.18694384767	-804.7812419287902
120	-188.68964563131948	-2169.9568077420595
121	-472.13589262842953	-839.6644168782119
122	-1032.8667641313173	-467.1741557452861
123	-775.3301829531285	-782.0734861690655
124	-869.2507948754858	-548.559168646853
125	-390.4280650996617	-389.70977453309337
126	-1040.324959533325	-636.3218070940944
127	-204.71458037221544	-441.77886829743136
128	-568.0860546844739	-2487.5425147663595
129	-1166.227404524628	-1569.751567229936
130	-982.2264516633591	-585.7390953132926
131	-324.1677114943571	-659.6845270504924
132	-661.6720069364545	-594.3419777781239
133	-816.6628153686223	-679.8448771734105
134	-325.55901933796395	-912.1976817074046
135	-101.29430231608796	-2187.066486548652
136	-343.72704424714544	-526.6143379874245
137	-50.516891940292666	-470.64439467349473
138	-767.6632433099136	-1165.3682359526806
139	-200.91093859852054	-1126.7345024198623
140	-57.7364981683476	-1011.0517660284213
141	-176.09711993508978	-743.1798871698002
142	-234.9607901154007	-449.8134486980203
143	-96.15803735988325	-417.5194013521728
144	-70.93322283384684	-260.68896359790733
145	-49.26059039600487	-193.90293506729668
146	-159.83982748795927	-1027.9466819542376
147	-169.07454404069503	-257.0179269605643
148	37.740815095598606	-573.0404113510823
149	-257.3078529308091	-404.8506012545816
