Environment: LunarLander-v2
Agent: A2C_SU
Experiment: wind_and_turbulence_experiment
Parameter: Wind power = 20, Turbulence power = 2
Time Taken: 2790.761798143387 seconds
Episodes: 2000 episodes
Max Episodes: 2000 episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	-125.87032569561774	-722.9279550038873
2	-322.6669214161509	-956.7006266179786
3	-97.56253832109203	-1782.3882527318801
4	-176.01404942495986	-517.0778578590489
5	9.697423673966043	-562.301274628577
6	-203.6960418414064	-1156.8305448712692
7	-331.6977548750143	-513.6904777925822
8	-115.60765663661088	-472.6889587112264
9	-73.34358717919235	-444.5049138201385
10	-174.37991067057095	-661.992277832157
11	-85.9968783799055	-583.6971287780234
12	-89.06403769734634	-724.8372868726278
13	-179.5359729242902	-734.6359366240424
14	-48.00616963439127	-400.5026375107727
15	-10.163127219838032	-600.519567669708
16	-172.91923780906396	-598.1719130177554
17	-431.8378588455298	-647.3048112980506
18	-114.86842460548151	-3738.651316735725
19	-336.2591557589134	-1081.2988986568953
20	-155.6377223703285	-482.87119024405234
21	-453.09758052416527	-616.5620301154554
22	-433.34361914131784	-590.7684633215783
23	-362.2081430221525	-622.2660374428694
24	-175.34361571042615	-683.6301582642309
25	-65.68370803803376	-1696.1610614943604
26	-205.37542171499342	-944.2585624144435
27	-420.21484159421516	-607.4645748888785
28	-96.17871787577477	-549.9188541424385
29	-29.03441327726287	-561.7443046196091
30	-128.15766049228762	-778.9820155161256
31	-302.21179396028845	-485.7075762259535
32	-117.28411733559633	-593.1684485656999
33	-175.11805736080112	-811.654268996795
34	-28.558105627747196	-593.263283539131
35	-173.96785757076327	-489.8163594948272
36	-156.90042637162594	-843.4352519746442
37	-91.12766898241775	-706.9667282236212
38	-362.33655231034305	-697.4911416736825
39	-450.65477741136004	-797.5986363197725
40	-255.04380580105953	-2647.474748814404
41	-412.2655918344649	-456.5875281773084
42	-224.5796020311337	-1008.3786078613068
43	-547.0607506853196	-822.4643981542982
44	-320.9015662339708	-1449.282925060502
45	-129.36549138913543	-1110.4751605579286
46	-387.73222164252746	-457.5857890292986
47	-324.24923301376975	-1040.3757173843314
48	-45.66272990206157	-786.0023150092879
49	-113.49088291996736	-2131.923999182364
50	-148.61009632629734	-1714.1420408513243
51	-5.2253898075236265	-748.5559729188607
52	-96.94124563360869	-437.8666998907977
53	-238.06789213892768	-1735.5427531579269
54	-192.32200079751868	-1831.1441276275957
55	-12.165008333404984	-1551.4562093296963
56	-247.53822039049544	-699.6473653792365
57	-9.789891938521123	-472.3980533987007
58	-33.031617644462614	-697.4201142945972
59	-148.38810095392657	-555.7986486923651
60	-72.25365155732143	-691.0383875083947
61	-97.17312023476207	-544.8025821819714
62	-175.1535430831213	-591.1671049056185
63	-73.69038966281369	-1444.5989078249688
64	-194.78832620015453	-565.3162133830381
65	-131.03880925020758	-758.8025635062855
66	-217.56268467554983	-975.1614333107933
67	-299.0550917356445	-540.0765591424799
68	-159.32997923815435	-1240.8200392016406
69	-42.1050074643109	-684.9888215904726
70	-166.46607448409418	-731.5197261631457
71	-44.172046345660206	-428.4167367485541
72	-373.92476341363783	-990.9507863963853
73	-381.7529069347139	-771.2345185943924
74	-237.85070371332537	-415.1453638071972
75	-81.11967017320367	-661.002385729957
76	-56.338226918617174	-402.4911299837002
77	-387.16321204904915	-953.2582834842523
78	-306.2761840561767	-511.57845046469896
79	-357.30176558109906	-677.044032988442
80	-279.5707314784179	-607.1141504002662
81	-422.51347761812633	-610.2564119475263
82	-377.95566484180637	-601.68912047648
83	-502.26925915604846	-804.0584974693428
84	-252.47341394122202	-536.6898533852283
85	-343.6742021109786	-588.4309147501422
86	-493.0899659573881	-572.3206639090627
87	-705.108032725995	-638.4326743850214
88	-151.0808875425373	-223.20660470908064
89	-111.90663025380846	-717.423121251127
90	-226.64086211109793	-844.469494268279
91	-264.64105099426126	-452.20620258983575
92	-60.90464280331441	-1210.6946341449461
93	-151.38808080222339	-493.9811148564311
94	-273.2461646051195	-651.2464143361688
95	-79.80583922645707	-987.4689788351328
96	-5.043795390964846	-649.9516969546964
97	-127.84872627627033	-819.4574150250625
98	-226.45860124438025	-604.8402640431823
99	-119.64639153916151	-618.6660074763073
100	-124.52790425848758	-752.132252023969
101	-154.35637304640238	-1091.5844122574943
102	-38.04816066824347	-1262.223391170035
103	-251.16829763475738	-1405.2222623592895
104	30.07290750161451	-957.3708877598174
105	-31.16865080994981	-893.3495824780288
106	-67.46484073391404	-663.8515548170842
107	-139.66152019477772	-837.3338379159375
108	-59.66840627982878	-1350.028071401718
109	-87.63058232809247	-306.48738297067143
110	-78.97069598578504	-574.8506592642376
111	-11.944135399531817	-807.7745231608195
112	-177.32064157434797	-574.1724436136979
113	-67.12505469673623	-516.8028645748552
114	-345.6356866054864	-1057.1226953927235
115	-104.55167191516212	-1078.4023119836916
116	58.69673344077718	-1013.6706891212932
117	-176.00485200722596	-818.8707083677024
118	-106.8141080126796	-1400.5456960348424
119	-89.98734542722241	-490.25439611448644
120	-189.32945488056703	-1869.5136307123742
121	-321.9923726606754	-1486.15784499858
122	-75.87455070352797	-1201.8943376133134
123	-244.59237659727088	-1091.6873502749938
124	-78.15467067590785	-1536.4930473660138
125	-341.97757522188533	-1072.8700323128746
126	-50.104103280414975	-1187.997300418427
127	-249.25585292410915	-2059.9788580171225
128	-188.31108217604066	-682.5725800570492
129	-193.248873906127	-1758.3002181923382
130	-126.24763061684857	-1621.8053693789182
131	-61.65259640772007	-1959.7954127665562
132	-50.5200239308071	-1120.5124169461455
133	-157.79198119117572	-2415.5506485909236
134	-159.99550278664714	-729.8989777978129
135	-84.7363753613111	-261.73151452536104
136	-294.0605119888228	-3525.560304889358
137	-139.82403648680665	-4773.354130539817
138	-116.49585507177932	-1326.3171809265486
139	-24.975489494089956	-1871.5562871517989
140	-41.7799512628887	-1768.1775846721632
141	-345.9108095488043	-199.6559397642966
142	-311.8597994705459	-857.146137908784
143	-79.11427114797829	-1405.1254260824464
144	-273.833399367556	-1183.5318954508543
145	28.5561270771897	-1367.7293494336473
146	-363.7129548348219	-1249.2566275232523
147	-108.35991352764515	-1413.439130780465
148	-810.8375951718207	-434.7585603679034
149	-714.0764283477426	-312.52463381293353
150	-331.73367726242236	-1136.9496775204595
151	-429.3909967185729	-996.9764729897954
152	-86.45489059665866	-862.870729896483
153	40.43816175751681	-849.0417080050431
