Environment: LunarLander-v2
Agent: A2C_Target
Experiment: Random Gravity LunarLander experiment
Parameter: random gravity
Time Taken: 2405.244788646698 seconds
Episodes: 2000 episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	-74.348517265016	-612.9962760781945
2	-312.1161074045151	-480.15567667337683
3	-147.55450395926576	-597.839359572436
4	-124.86525726324729	-285.1994272707925
5	-259.5317447554536	-886.4569227317808
6	-100.6333868049295	-594.7286188672076
7	-187.22471163517548	-686.929924411734
8	-105.75497297288635	-409.6323883840506
9	-188.30246445328726	-905.6404778934174
10	-87.88669096923982	-891.4280743888154
11	-91.62070008060148	-924.1992889120415
12	-117.70801230279588	-1325.5133113476734
13	-94.4525171546766	-1382.0231911536837
14	-117.8200743119243	-147.318006159679
15	-159.86228411043504	-132.20189146238147
16	-119.65210957915865	-150.89393542873205
17	-150.52561600345578	-175.45217191231882
18	-6.772114896494912	-161.7978779915129
19	-98.14919664061415	-248.43785560575685
20	-63.95235016617963	-117.09355667634226
21	-178.07071317241335	-187.5999507171861
22	-71.84696495314698	-135.8093348016671
23	-93.9572849852049	-141.60050092957894
24	-170.96243840401388	-337.27015163130136
25	-57.621654825980634	-170.222211549953
26	-86.57489073701004	-214.06892241151735
27	-87.59761723514494	-185.10799982340006
28	-105.54073835866217	-127.24850095989501
29	-178.97486212339408	-114.77939067872877
30	-113.80627622801666	-93.63552609728215
31	-158.9354158907309	-124.11980194546004
32	-136.16981558220903	-129.68165051901832
33	-205.08832906408887	-325.629427899875
34	-205.5874145654249	-209.02984116867634
35	-93.71075273697708	-155.11185054318813
36	-130.12935222238463	-210.95139330489314
37	-118.94104098740335	-119.2245576757283
38	-161.6008361517496	-135.27836549109568
39	-132.48558116225894	-138.0055716037804
40	-199.37766212460292	-142.41140631442607
41	-45.64286474545055	-130.43619547241946
42	-204.11041793943429	-132.04778638743406
43	-100.15636888902792	-292.92059123911633
44	-71.09677384350564	-1577.4343441380295
45	-193.9168040038856	-1160.8375251107045
46	-137.98910667425355	-106.16367993857834
47	-91.11174743843341	-49.41782920841244
48	-229.4122246223386	-724.4212139285304
49	-322.481903467294	-585.6513560608508
50	-238.2109389051957	-287.6928937978117
51	-92.85691227319604	-318.80465190220036
52	-51.28665550342973	-1677.4015274203564
53	-85.82209167431583	-1814.0873644234887
54	-117.1930828393173	-268.86036042695196
55	-68.13742830218483	-1883.1407813706476
56	-73.01128079333535	-1117.1873705108533
57	-243.46133497435892	-333.8728212776281
58	-226.61268196297527	-1176.073910236027
59	-154.62540852484085	-1945.9796307779177
60	-137.2871964468224	-994.8903451046602
61	-116.85576351243236	-423.2558808446321
62	-130.34063920195217	-797.7663226540218
63	-16.810335770979023	-1164.8654310599984
64	-94.78865607852211	-1333.0957333569258
65	-86.9059230435368	-398.81136474967076
66	-126.94370198798042	-1839.798750785352
67	-110.68118332488443	-1473.0037529134509
68	-100.73119843456303	-759.8948551574761
69	-167.97188264373608	-919.5202241827297
70	-118.49973483783296	-1497.742400982124
71	-173.81598950779193	-1684.5927518536319
72	-148.1070612573521	-1258.7821212814727
73	-221.41424907344933	-1465.750533135415
74	-120.42087543603051	-803.9268701445841
75	-178.60373034520606	-2244.203778145768
76	-96.25211426944449	-849.1147255514727
77	-102.39719810226578	-672.1165508670009
78	-245.34253487985563	-531.5484019752904
79	-42.41342159052974	-301.2883439372437
80	-3.225097550065783	-1087.7006371946932
81	-96.47402423906712	-587.9403087356931
82	-34.28909316314356	-1312.199080271135
83	-341.14405576514446	-600.693868049688
84	-66.1906958202629	-990.3022025401352
85	-281.11017273323466	-1504.2074565309863
86	-50.10179430353702	-962.31298851458
87	-93.81877228437956	-564.0976829360388
88	-48.39776338746537	-1586.3349093253707
89	-355.9230553830005	-1522.2694828459407
90	-156.81762251899417	-1401.6535373257552
91	-93.9117869148019	-1225.6805788525578
92	-374.8126573560943	-2253.6077505758485
93	-170.1367012690548	-1721.0056317158474
94	-55.594288519725445	-1214.2695967957472
95	-217.53697193846222	-1086.0465226676065
96	-278.3178039890356	-942.2864076480365
97	-54.86343853358376	-1316.0238714001887
98	-82.73328565792914	-945.9299723457751
99	-83.20550325799843	-1305.4528761473084
100	-134.26016119744858	-2097.7274138323446
101	-268.22413628388335	-1716.6641840746613
102	-19.87580871881815	-1037.1614134355373
103	-65.6858344972083	-1674.8880775268847
104	-155.1185273082154	-1981.4251550830281
105	-82.67568692974959	-1725.0800732235557
106	-60.534981755327536	-1971.089847466437
107	-143.5841280164251	-1369.4020591631513
108	-74.99899280919007	-1378.0269841834452
109	-6.0690422854267325	-1453.4683048929098
110	-44.6085978599419	-2096.4488962025976
111	-40.8292820709875	-560.4599561539189
112	-406.92173940253906	-1073.7240375984134
113	-156.3235683703663	-1892.5307555017112
114	-53.84527636112671	-839.0300247856045
115	-216.75842555564392	-905.9890610495713
116	-20.609372436911485	-1822.268990611075
117	-0.6648633822385897	-1319.7431158331917
