Environment: LunarLander-v2
Agent: A2C_Target
Experiment: Random Gravity LunarLander experiment
Parameter: random gravity
Time Taken: 275.2708249092102 seconds
Episodes: 707 episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-460.57580122091787	-497.7586563220289
2	-131.99009258602814	-638.8921886016079
3	-105.26529649874163	-560.740677230989
4	-311.61164161529257	-348.8148891378723
5	-55.33772201859736	-203.28171596344697
6	-345.33167285341165	-164.13662558867514
7	-122.00930803694766	-186.12320914041345
8	-147.4066330779909	-201.2959278919416
9	-173.663615309793	-242.5892636703841
10	-67.63609974687597	-132.90260494696946
11	-157.9092623630001	-112.22201458453793
12	-298.4713700405558	-125.91142220372637
13	-145.8708468579983	-139.9219355960867
14	-103.34536990154973	-149.15689317574484
15	-92.04788434701514	-231.3263050720212
16	-30.70081006345417	-177.43189496902554
17	-102.85257937609285	-154.36209482738374
18	-93.30403893878463	-344.1702978506727
19	-314.11749574390177	-144.05606499036793
20	-88.27490510973074	-118.86774485325775
21	0.8644361868493178	-102.24197010294253
22	-84.20383550381715	-109.87619367179288
23	-231.39597204110547	-148.6187070002668
24	-60.73874239096072	-132.368134325649
25	-211.77671966295964	-134.46109598440987
26	-110.59276607089704	-126.43831461537373
27	-161.5301261161717	52.55556671266447
28	-123.8577621228925	-262.4951677976229
29	-88.37559600014087	-203.40816019958237
30	-127.85244565265516	-101.1434250916697
31	-119.68894725956346	-145.22240701862347
32	-91.98325759765424	-169.88538305489718
33	-241.0784204148846	-116.59329236082364
34	-170.89609598129124	-134.55199076412936
35	-97.17555232916037	-125.58913823454984
36	-93.98880742650097	-370.86583697289166
37	-185.5504652684388	-296.23766752876884
38	-346.42627894048405	-228.55673876678634
39	-129.3615981929805	-131.08447784211026
40	-109.23981607538839	-134.68961505646078
41	-209.24937311589548	-226.993804104498
42	-269.52700419414873	-362.1717189321954
43	-110.65984452843499	-121.86793893079039
44	-222.8854532386016	-210.47750975954702
45	-103.7951548145456	-178.41155878152568
46	-213.04143121924568	-242.8909567666351
47	-212.53826199988322	-135.85965340964609
48	-138.58617833006434	-121.98677683373951
49	-134.9132113693629	-175.71024457878298
50	-122.60147558845813	-211.32981104737425
51	10.445041821443056	-221.30689864793953
52	-99.19886363586667	-276.0615750387103
53	-234.25496232776405	-17.573455105746078
54	-120.12018559513976	-253.221661662357
55	-92.50462882722329	-363.19783750614585
56	-108.23452655842941	-282.22681324809196
57	-122.87305954438433	-309.2466891318353
58	-85.12961823400704	-214.23148868768536
59	-150.18776103808116	-204.88285769949343
60	-95.66431358344958	-275.62018037363634
61	-178.33836410038407	-83.06025612370527
62	-167.0169707536724	-127.85834283877574
63	-55.52877440605046	-39.368486549947605
64	-70.810779198451	-134.62957989938502
65	-210.38999873122324	-132.18549691561637
66	-183.35759602313198	-69.5857466800415
67	-45.57675139759721	-19.519018987340218
68	-309.2292938855156	-275.1790817622531
69	-32.746632705402334	-145.9641649117159
70	-50.37113208789819	-63.73883273010213
71	-162.19714226832338	-41.63018103294634
72	-81.7958768096512	-148.2365398033387
73	-81.8588566557211	-105.90472489372209
74	-157.4221832451476	1.5397057520783903
75	-107.33603534663702	-269.6089374299908
76	-66.50342030362654	-160.71947646299319
77	-94.55858300738781	-126.50859865879093
78	-111.29904432083403	-100.09422973880017
79	-116.94685072385838	-173.00351221270722
80	-74.73905791710507	-32.86607447227959
81	-97.80427853635757	-115.54262867258853
82	-85.77601755665982	-80.79560607241643
83	-270.15083682609753	-92.07558987655803
84	-110.04310997651245	-103.80913695139135
85	-92.07136139400266	-52.724705033920884
86	-86.9923737703174	-73.86832726643189
87	-97.861241066204	-97.95152932895428
88	-120.77528733062874	-192.86042759290038
89	-132.7001180961225	-166.4641787056068
90	-90.19263731551047	-51.77782216666881
91	-103.74249223983664	-234.27541055871683
92	-98.97842434428121	-3344.9214533247637
93	-176.96388629604883	-288.08381209995844
94	-146.73428889989103	-1798.5205972572746
95	-171.16095307173492	-1919.1695716725592
96	-155.6454736093251	-1786.7735587998907
97	-97.9362706183372	-3232.7792759687854
98	-268.37560729588654	-1816.5079239790452
99	-87.36324462787655	-1159.9688227341815
100	-100.23879313822637	-516.1500715551176
101	-23.461077847030978	-1777.3202407391518
102	-131.95807111256644	-953.04132659419
103	-112.92528741913002	-694.9172927076537
104	-151.36304982249877	-1342.4807985966293
105	-299.1307051720162	-605.3820963218029
106	-119.49842428080024	-1419.9647624082158
107	-131.8375820878142	-586.5176960751924
108	-115.43831208833276	-989.8601156724482
109	-80.65230397152237	-532.2488364854964
110	-119.8750671587585	-1045.1946449455027
111	-112.6744726315976	-1099.084487127016
112	-74.94663253003444	-3050.346354307485
113	-78.00730103005861	-1005.4118740577545
114	-252.3981460599657	-1107.6736516399374
115	-72.32621863842553	-2662.7131184893005
116	-293.60923908454345	-450.7724261958473
117	-128.16043437325095	-826.3203188469564
118	-76.13594117352604	-3258.471977337068
119	-71.78743363373502	-2347.6088322438004
120	-25.609538554672994	-1799.8830342208614
121	-216.87264888056023	-745.8472185256029
122	-82.70473034349672	-781.8809339033645
123	-262.1982852238602	-765.2054789656221
124	-453.75677623357257	-826.3873198873413
125	-221.805591890141	-1268.4384080940054
126	-218.95860354983438	-2477.5642071124935
127	-212.3428662934848	-1232.0625930736053
128	-214.30528622414408	-971.6305743460193
129	-199.72204607688911	-986.7030732493112
130	-245.00666476496332	-865.3922505813033
131	-45.4550557182328	-663.6449609182624
132	-63.109825168633805	-850.1449132019154
133	-66.62516075090986	-617.7327892088468
134	-169.14242078147714	-401.4402763302563
135	-139.5784805839509	-1153.0127198772257
136	-20.960892026338655	-265.6856312265992
137	-94.42379394840638	-544.6783770776067
138	78.17002113464255	-242.2110858975477
139	-284.2712887670297	-650.6911794726219
140	-42.70098734455392	-352.0742953155062
141	-66.40527630975973	-518.4193431326098
142	-37.77278097665854	-659.7695562905376
143	-160.59266250793928	-702.8554994547831
144	-121.4215597954867	-751.9621577948492
145	-184.22529117116864	-830.1344841991254
146	-120.99446746954635	-239.5262575106261
147	-29.85650081691618	-828.7566361455442
148	-270.06310447080705	-759.976631362664
149	-89.70826468719311	-592.5971773086471
150	-112.08313752204641	-721.9094708762932
151	-117.37915748816273	-525.9295456247639
152	-27.11410172494365	-1313.404401881358
153	-79.52838586614311	-832.0853585909833
154	-142.4770503026545	-524.0884821870318
155	-290.079877907012	-1325.4197830017645
156	-238.6947533803459	-1177.9925911719993
157	-331.259281683752	-684.9797599107641
158	-263.947422826839	-496.86867883464635
159	-29.478305803647075	-796.2315036664227
160	-169.99758665397482	-212.4432052441578
161	-200.31044626517422	-844.007133279055
162	-86.24196201541804	-939.929199443132
163	-74.54119588042151	-1062.4077304589127
164	-232.7892501941883	-861.1338221589413
165	-69.8366804450639	-318.6742347864971
166	-75.79398105830573	-296.60437267744044
167	-117.12144013472789	-545.4298500362911
168	-100.66540283725594	-719.061731344588
169	-108.7308887629783	-833.525107313213
170	-59.59694792610747	-568.2978797621831
171	-221.69459364013198	-709.4695981453565
172	-83.81464021966676	-859.5135707783314
173	-70.14325950786387	-885.652345269467
174	-70.3380426058641	-932.8131746950918
175	-17.319309980906056	-1006.3130030650358
176	-305.2100007557709	-595.2974690934097
177	-131.02492042716486	-1310.3426027938358
178	-86.43350511706109	-891.8928883748902
179	-28.522529806375744	-764.400101103004
180	-309.06553324266065	-1001.7130032885776
181	-96.07413586919839	-557.256400736602
182	-85.47630517197133	-679.0148235743785
183	-220.28648707556394	-319.2266722577577
184	-124.4689082531884	-775.1231414622312
185	-245.8719406290201	-975.303687649272
186	-61.18260302688434	-657.5387211890662
187	-16.061025271445857	-244.55350948465866
188	-61.8585420235901	-885.1887706143859
189	-69.32033002470466	-500.1409880845058
190	-13.96705397884324	-232.73694272034209
191	-260.09606245800734	-187.5262127709503
192	-75.55639997722653	-212.58275498214343
193	-14.668314487415742	-173.7435101763325
194	-61.713208091029834	-336.0958109722866
195	-47.86484657253687	-303.467456862148
196	-53.66280807116942	-560.4167402015544
197	-19.336520884938594	-467.343878790353
198	-46.80658551645273	-958.8921331451178
199	-74.89318052652487	-201.6459533429518
200	32.3507601334278	-321.75355456130717
201	-54.491010312098574	-662.6036479986175
202	-66.15321393821742	-266.97844657537235
203	-28.207303610790987	-303.44236517517254
204	-91.59695621076303	-216.88488064199973
205	1.5501425934812687	-208.50601054249307
206	-23.791807640471475	-279.76783695359086
207	-58.28099341074477	-280.9350705922019
208	5.6344730784426815	-210.0017109067719
209	-47.17600808614381	-700.1195064653898
210	-129.554896816456	-227.72139517645616
211	-54.28110274249417	-222.98721746145617
212	-79.95557177452261	-281.670889906123
213	-71.68941587126793	-248.3729238100669
214	-4.411863327705689	-228.20727472935397
215	-24.35477734743138	-212.47413110306633
216	-24.53250416329479	-150.65367325994012
217	-38.434711075984566	-137.89378844528042
218	-48.9398978738294	-137.07587222041096
219	-16.618684913207346	-275.53846178489334
220	-70.41471579984358	-151.39495596969596
221	-48.15860021148316	-136.73691297039625
222	-35.82873988857253	-142.12464770881144
223	-104.10539804910508	-154.6230654528677
224	-106.10769250540146	-161.64987271143124
225	-84.73786245164516	-176.36376379785798
226	-23.486758344543844	-172.6384222528705
227	-0.7165581578061477	-208.4652490577613
228	-76.19822402494846	-265.804753545625
229	-71.006026910499	-186.3480423761152
230	-21.06646708078064	-179.48755764972756
231	-205.20542506344603	-176.73861292995662
232	-44.71086465084336	-177.70432622338967
233	-16.173305431266627	-217.33128798860406
234	-68.86416136548607	-240.54073200636586
235	-148.0072080086174	-224.37508003238577
236	-6.314382734470485	-221.40052318866663
237	-108.58096723961606	-194.56504043750903
238	-90.01138111965541	-68.03710400326291
239	-138.47907085537125	-188.3200231335374
240	-93.16633561573384	-237.17536048266496
241	-69.67177862655443	-191.3615323802215
242	2.740524427885802	-278.751405792117
243	-70.00599509144784	-243.72119682249675
244	2.2189334889432075	-251.86935008514604
245	-25.4564590021526	-176.59951398182847
246	-96.34627929643986	-235.52333463797137
247	-26.891415862247584	-190.27362250580853
248	-59.56748627283652	-191.41965800761938
249	-37.559197500252495	-198.32250237363843
250	-29.977187399259563	-276.7554284712029
251	-95.76653035653987	-213.385367700078
252	-40.27493122114137	-194.8576994708563
253	-110.68008303815495	-228.2295430528268
254	-100.93191982681967	-236.01486886232402
255	-9.959188438137346	-240.78206318717903
256	-115.86631396157145	-73.88573701310709
257	-39.514875498186825	-201.18932763623238
258	-45.97030620064972	-128.49389311534173
259	-46.32130961681129	-125.44981509293973
260	-6.798608974946902	-99.33669627062946
261	5.498747061109668	-200.56764309216373
262	-44.403234658690835	-150.64593794924764
263	-85.79171380016683	-138.8035595648758
264	-82.23410208120909	-193.42134550854615
265	1.8670370491725947	-189.97571290526815
266	-34.62643930228401	-151.84917667060327
267	-35.523109217243274	-110.29628919095397
268	-109.60717461465349	-187.9459623287911
269	-51.777340355115	-158.4263944159203
270	-71.31238040389235	-158.96111076885364
271	-217.30941800031655	-147.81142358976774
272	-37.060281082065515	-364.32019688534365
273	-34.00506551905485	-230.62824662626767
274	-76.23299894376066	-168.74589157800523
275	-40.504845379254036	-152.9663240270379
276	-93.00023463663857	-134.2606562393181
277	-42.7048642958915	-135.59448237733108
278	-31.29011437993185	-121.89130807172764
279	-226.23297379445586	-116.89310318805474
280	-49.992447882349396	-48.92724316515107
281	-30.91090525143929	-221.000079343369
282	-152.5834393855821	-122.92118721672786
283	-58.084053566981346	-163.0846129087049
284	-72.87458121113536	-158.47561535105797
285	-50.238054078340824	-151.074304307117
286	-83.69884443680819	-176.22686696962427
287	-45.292711133381594	-273.7370019684104
288	12.198127746836832	-176.21483290782976
289	-135.697897534114	-257.9062344796193
290	-72.78669030715602	-207.1283583816137
291	7.736444359537032	-267.0518619330197
292	-84.7085453116597	-157.387885422703
293	-153.844908148951	-254.33729321309667
294	-107.10435201182662	-55.59801453066021
295	-58.33765104034228	-265.314782915214
296	-213.38599728078097	-189.43453047018448
297	-18.09899555720598	-233.74145712078428
298	6.8480675535669775	-233.5802856725108
299	-10.520331496854748	-251.3371545334835
300	-6.238701772625532	-217.38851638106863
301	-315.77739640313763	-202.48158440846714
302	-29.131961915961682	-232.13143487985866
303	-41.6901006667992	-282.6067260016031
304	2.183131227777608	-137.92467869991225
305	17.214822209243962	-113.49866840069585
306	-11.500062849630524	-150.29652422791705
307	-165.7780690793411	-201.57255364732242
308	4.304528620900982	-268.2198250528145
309	30.931020102809885	-183.9806418500279
310	-62.69351863957029	-177.57366171147703
311	31.45761652553213	-171.05469920301948
312	-20.323685645247735	-49.57422958783515
313	49.37226598420739	-238.70245801359906
314	8.793157565618614	-232.45426653810003
315	-33.34136382139138	-145.56654414684203
316	8.707595177536831	-188.28366975948092
317	4.7235708404842995	-77.02410055767045
318	-0.7906066212952823	-66.13521007072322
319	-22.87410507342537	-261.4602199018171
320	-22.44049852186295	-257.5876763677734
321	17.09123681556649	-260.32251581194737
322	-180.56953687596084	-239.67940918300735
323	16.52233037241362	-207.84577125923244
324	1.4537481862932193	-174.43250095158632
325	38.71708445231141	-286.40493828668866
326	-38.508380403670756	-262.66147427150224
327	-157.61895766793805	-52.58501362058462
328	13.433730843467586	-203.63284071437087
329	-9.58690368362997	-207.03174303942694
330	46.40111355311268	-108.1921274464373
331	-2.2089034628844644	-144.04783228065253
332	-47.1256749260061	-198.14050029112087
333	34.478095190599305	-109.56068919859274
334	-158.9256239535064	114.97008736400119
335	26.054008564901622	-120.81247389598221
336	-34.921165228405684	-112.81256714632028
337	-2.3104077644606207	-64.59586329808442
338	-0.8754493122116287	-98.5743608163312
339	-78.90748701015482	-7.696896643946774
340	46.527972882127855	30.513542105929304
341	-20.80499719651543	-28.828012341036956
342	-33.310022879686926	-114.68490661026172
343	3.5423942637738435	181.24217144172673
344	42.98073094409471	-185.52193511739415
345	-21.44977539394135	226.04640784093795
346	40.23248462663332	81.5227084055212
347	-4.024193884633718	213.88119445125716
348	-27.112902655020633	180.19626823723
349	-31.505508589437255	-102.13363590232387
350	-10.737278436632323	-96.11999083770476
351	-14.653934418945667	148.02878016645923
352	-3.3989890756559324	101.65541277363272
353	1.65021866512636	-100.27512054297223
354	-125.40915201494632	-118.20300890625832
355	19.548552467356103	-152.67801983412357
356	-26.382028448611663	-107.2199148774817
357	1.0130043804406483	-127.282667008115
358	-8.245525471644825	-160.73256013332923
359	-175.36672963052212	-86.11769254007697
360	16.135513911529916	-126.7162095538218
361	30.428572267176893	-140.08934962497116
362	-46.76450577104769	-45.101192057983326
363	-8.728531807547924	-78.46060369455435
364	-20.93739777758303	173.5920943523489
365	-3.426405674141307	-160.44890009430793
366	-120.2620503850325	-183.57105623701514
367	3.419235924463205	-99.01140793363028
368	48.54626586530661	-136.21648584495483
369	40.88645023844953	-151.2096325408239
370	-267.084795345083	-161.42573981005893
371	34.25091857424417	-152.62635250725214
372	2.763453474366185	-273.91547490388
373	-118.54512607553289	-134.40681381839227
374	-47.80731709998064	-227.53979144613356
375	-239.160112474658	-256.7782085435267
376	-37.40551071475113	-220.45428082705584
377	30.985883091245558	-288.3608225437566
378	-254.44291445951941	-263.21923085356286
379	29.0883773429751	-111.39580462831069
380	-176.59485588752693	-271.0871491869117
381	-55.924423780549844	-105.77508019849611
382	-61.300781811463295	-89.88596838837624
383	53.232550058845156	-207.72534665029679
384	9.395991147275026	-124.79602812555034
385	76.59961275575549	-53.13966238229605
386	89.43917024027132	-161.77159270795335
387	-20.840134873733636	-64.90640204526643
388	90.78398642271739	-30.958639124722232
389	107.97789188097298	59.47520334599051
390	54.19519722176392	-109.40605593668708
391	23.467104475614022	37.542999699946705
392	130.87326488764953	-57.00596125565664
393	22.91800622419308	6.647152479185779
394	96.19956718297212	-42.17657110876696
395	-3.335120891768227	-43.27113372920485
396	3.330156688968131	-29.067490952660485
397	-7.033699928424966	-74.30197536827717
398	-85.51450474534073	-149.29242191925357
399	120.21027136267757	-93.21760593733593
400	131.44700921343107	-116.91358226116117
401	101.00478752029369	-78.02870716111063
402	-55.7187065263809	-77.02595539804169
403	-25.586207295797493	-161.3928339225572
404	-35.432394114834736	-167.69491807938934
405	258.22196946376255	-2.104211778697257
406	234.5397293389612	-179.94342964126707
407	226.3259126292777	-223.83874426620076
408	-13.383864083668826	-15.361028335209085
409	227.4092732995191	-295.86539993943893
410	30.055478856353943	-200.71268337245007
411	177.0114966104876	136.35431506454552
412	-11.078777105343022	-194.79243937658833
413	249.85002820491755	-78.55266452847975
414	-62.987324588163794	-217.94314661661227
415	-186.33463444321956	-125.83360530739394
416	-57.43389492249519	-156.34069961003223
417	-195.2979362186193	-214.83558064454354
418	-28.61788895919888	-141.34937907083665
419	202.9269168512002	198.2924733331585
420	205.95403500806543	-198.4613396718309
421	33.310040709919804	-200.11707169796483
422	272.63944990352604	-205.1826890897163
423	-73.30911773630706	-151.15348123538425
424	35.85764160867993	-171.1634231595371
425	-11.827382653471076	-188.81323634753954
426	-67.18204938163666	263.3335682015116
427	10.801110156926825	-173.0894867175212
428	-28.57255185631948	-188.51877877423848
429	-2.586203171546117	-165.35312206916106
430	50.142548184573315	-5.674273589338867
431	-71.11149033914863	-173.7857031961761
432	-10.529290880289153	-22.08900632234503
433	5.243527216795258	204.2392045100504
434	19.71012239401955	-100.38457130805378
435	-6.356713370959255	-90.4435482716147
436	11.460196806019255	286.254775862068
437	205.84412825141735	285.307309806463
438	191.83744337003674	232.22215129951115
439	-3.025858407768652	-124.05105275250618
440	-18.818455635632446	248.67641137827854
441	289.1936208645784	-77.54834847356904
442	-13.709971249176519	-105.73491628382553
443	-21.01184072716255	-57.23031465426542
444	-58.25898063241665	251.791110124893
445	26.4023712504831	-109.68917632144665
446	-1.532652371072345	287.3020165158093
447	10.584906032501706	-151.70717878770307
448	-9.30306480651744	-115.04163436846645
449	-3.672412638918672	226.13573317107478
450	19.768465659553925	243.5444441845615
451	-203.58538427438538	238.87977760533016
452	35.045234263877035	-52.64980452360899
453	53.44838396821109	257.2020620172367
454	-20.925682642436016	268.79224186828264
455	16.528426975292973	226.88110930886614
456	31.623450471472495	-111.30142116605839
457	-7.601845758321076	239.57991673108444
458	-84.12054198603485	-82.29249037707116
459	272.97142811110723	-133.2038673905498
460	-32.38978072785133	-155.97205875510957
461	-13.662555414756383	-80.7982741064448
462	-172.38958558526153	-126.49490388946438
463	-0.9157497067369036	-138.27670821472034
464	-49.315528639740734	-42.430648458347264
465	-12.649157913952735	-43.519683618078716
466	304.36328893859115	-143.04085327336713
467	-37.22138456853207	-94.60517197575388
468	289.9487076954557	-65.78987330223029
469	210.72713393350446	-161.95156660335834
470	-33.5381435999777	145.17675057471172
471	201.05951339473035	-101.50193375530733
472	0.5147716991772597	-113.74835266649993
473	-62.8541437329371	141.31307046254892
474	182.78709291431753	-180.62743849638798
475	-139.99887997587055	191.1510588807024
476	262.39971733673815	-120.13274076222564
477	1.9120344505987106	94.15185098578148
478	-47.34512739553027	121.4706586931166
479	55.35210584794231	-96.74022143747777
480	20.024391904702924	-121.38444888404375
481	-13.240255133898003	-80.95450008195783
482	-4.535153119603962	163.69296777038025
483	-198.43951151018092	-80.91343204766665
484	221.5527810945427	176.3306394448988
485	-21.85985044298988	217.09942310058562
486	-84.3912445859983	-50.694341540697636
487	273.7464212532346	-97.32528098361865
488	-3.574732112211535	-89.25635763685496
489	11.236874342930975	-79.71986140239954
490	189.85883877347123	-89.73473678736039
491	25.735294490241955	-108.5011457572796
492	-48.69920927588906	131.4331485144804
493	181.86741910324622	232.2442251552202
494	274.4663139577486	-137.78382467630382
495	-30.19256601522342	115.59222398261178
496	28.783580314782284	-123.045023431831
497	13.907618589500487	-196.0944738642101
498	31.164143188793304	-70.16130008424264
499	277.22626972945955	-130.89238114365116
500	255.69967932137274	-210.5865136967103
501	279.0138128473391	-157.28907699692206
502	193.24659012213885	-123.75480753089741
503	-271.89126190074717	-97.77681009317293
504	25.89617996613954	-64.5042883639632
505	227.6928465539723	-70.8828371264099
506	247.59426901091945	-146.89012179636052
507	296.193099250293	-91.7637863193411
508	234.7461333546067	-160.84951878429652
509	217.30923325503394	-106.31260286056279
510	221.5746773014027	-41.66962089763998
511	264.6740798425888	-145.20641711379412
512	277.39621871490033	159.19010424733662
513	190.091217451399	-58.04958523114883
514	259.3464690714458	-61.26165737705057
515	232.75531417234362	-84.72785846996912
516	258.81594432478323	83.92850000513057
517	260.1524404518042	-98.04815367180392
518	205.01860070036128	138.7800438593095
519	71.1748666382978	-28.684526961137678
520	248.00409261823643	-44.86477225646044
521	-16.545943914364784	165.46973708161437
522	68.26808761272	168.74196622029464
523	29.318976884856227	179.272096747543
524	9.981350673896202	198.7393420346007
525	231.690618341145	-67.3387644736912
526	37.589295166004575	204.60527230452595
527	165.535181241488	-123.87831367195416
528	22.319014064148405	184.3392767352022
529	6.017990010268221	238.10314098824273
530	33.137161529126814	227.6286210060051
531	1.413685746285097	182.0689466521903
532	5.510857080925689	-43.322219723020226
533	21.610071208800377	-52.731384390467056
534	229.26187846387188	215.87730364014345
535	29.42605017291345	282.2207472027335
536	-3.112921208275935	145.60927760553045
537	-6.446218778282827	234.60513860061238
538	21.907290450341435	183.84077921750355
539	24.87251672988424	205.65347226055357
540	238.80471224319808	-26.641250918201266
541	309.50191120308614	177.9229808681857
542	37.805477386252164	-59.563879289659155
543	20.238538956819554	155.7018731339257
544	242.03194167205825	-38.37918136042033
545	281.14765285337285	191.09164661987265
546	270.2752384092454	152.77230337674854
547	277.4653430544564	173.21425439990824
548	-8.070299340173577	-132.71571294277746
549	62.139250720390976	-12.359860796540517
550	262.7595367368177	-48.99219577400534
551	19.898950286505297	194.7214648101401
552	293.9788994951225	154.62486705655675
553	69.44240348947073	221.67479473831298
554	253.79162698573558	163.86060530864637
555	27.33853782058192	-21.56941984605291
556	218.16209107990687	97.59559284475415
557	226.35713356061726	159.14911543437015
558	-50.08803995316657	-129.6123431259786
559	-21.546563017219825	-115.8577521211179
560	5.192014575745134	167.97346236836415
561	232.44727805826346	-39.05511589666102
562	-17.650433951711946	3.4160727778572806
563	266.1439112131151	-175.19409349246308
564	293.07707943731504	156.23115087754206
565	22.808372480092515	-32.62964636855321
566	11.081097013470696	222.7982330659527
567	13.9210688321171	204.72401919757328
568	267.9578225466959	139.5334417642015
569	40.580191879334876	177.43277636513756
570	30.161573431972954	-28.774594174485287
571	248.2122260610004	-5.226056518842654
572	-12.315072563559454	-8.3724425148785
