Environment: LunarLander-v2
Agent: A2C_Target
Experiment: gravity_experiment
Parameter: Gravity = -1
Time Taken: 1144.414771080017 seconds
Episodes: 2000 episodes
Max Episodes: 2000 episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	-329.8629492276119	-575.6725467841554
2	-174.53987512204748	-623.6087247704438
3	-109.63773543366695	-559.4084476743541
4	-108.6226650779332	-908.4138800115782
5	-25.234504161576183	-432.1759802103618
6	-315.82995912234014	-536.3521571783892
7	-318.1834055939572	-1133.343062483671
8	-73.21774796946711	-2187.9603552588515
9	-453.99860060947486	-962.0819943762122
10	-71.77399154318346	-577.8188808369758
11	-110.29024008682127	-610.0666464634935
12	-54.227484086894755	-583.982528243659
13	-231.3058205348992	-738.8333303550573
14	-525.1191374889593	-461.8047862232839
15	-91.91108547790706	-590.9325201148447
16	-95.95199831518535	-697.8417324316414
17	-118.47880031730547	-724.8746395397305
18	-78.23676015575361	-417.8104802274976
19	-80.87871654104751	-874.0673710115683
20	-36.63265047791171	-1880.4149663191963
21	-129.47967822349545	-795.5225755793431
22	-115.55788556365916	-645.5152524034452
23	-98.62886612263678	-968.187425785738
24	-269.2259785460817	-495.87608629245
25	-141.49104142370214	-554.484518619432
26	-133.87008807467308	-1264.5596293196875
27	-95.6332006154495	-899.7910730828326
28	-171.44688555920632	-946.7133813629958
29	-139.1154290464964	-636.8428627472443
30	60.5469118801613	-1682.6709974639386
31	-121.10179350708897	-367.41568921650037
32	-96.19896327059567	-442.1817520414542
33	-259.916637553501	-613.8437081572719
34	-163.58236374589458	-2123.978259408351
35	-95.51984257879994	-4115.888410276685
36	-59.73159455133849	-818.4787153384068
37	-333.73407741522675	-601.2888220726451
38	-277.6483114925643	-432.59724391069716
39	-55.51840114054665	-680.1929099282974
40	-256.7040075393692	-751.6249323884789
41	-382.26642500141395	-1042.6148081907813
42	-189.04343388172828	-685.2287748191695
43	-233.91178730202392	-699.6498150033989
44	-240.79282029852712	-2306.317545351168
45	-344.0539636748874	-1422.6593811811708
46	-98.20314867531098	-1109.2378646848879
47	-75.33606258591965	-802.7914135148441
48	-438.5256554353459	-1047.8656407648868
49	-151.943565397887	-604.299273079678
50	-195.44341323420738	-664.8854011000534
51	-173.90674488343416	-397.7740998328345
52	-97.31519918199307	-578.2360826789583
53	-45.59749595792532	-690.5635809392826
54	-272.4911293236897	-579.3906468261563
55	-96.93241272498241	-655.6148282902283
56	-159.7989273288928	-1289.01660483897
57	-47.169676942198365	-618.5316749016137
58	-69.26402849137673	-921.748615285599
59	-432.358868550438	-656.4372949076707
60	-297.3291385029096	-652.1137752621923
61	-208.60621865607322	-869.5157305412737
62	-77.27895256576205	-976.4505823304693
63	-112.01178432362008	-425.71187825874387
64	-74.867165780935	-1125.0284187609373
65	-299.2704581178168	-892.8458110461091
66	-269.93782824393224	-782.4017506686049
67	-58.93668796187232	-763.4990029729248
68	-12.74175771517315	-727.0788843928864
69	-130.03382826359467	-931.4422105043506
70	-184.1383582480824	-797.8810213988763
71	-63.601604705550194	-906.2284127710137
72	-324.64628947945425	-730.3975261862148
73	-78.02423508681332	-1029.8680756540368
74	-170.52271463336626	-1724.6575183720577
75	-58.66302435642461	-2059.203140257202
76	-168.26882030015884	-3118.2843222237775
77	-221.4909794091543	-565.5651672789402
78	-1.8775738940575764	-700.5837446128899
79	-61.756485342381694	-554.1807461287749
80	-21.673030810831065	-448.84396659877035
81	-189.3856997018832	-971.7908966477773
82	-123.61672377655863	-633.0481803586578
83	-85.8947912771996	-1098.5702544587148
84	-81.19195293261544	-594.5498038242974
85	-332.7578702929511	-504.5865600473459
86	-1.8703028848925243	-538.3738394887979
87	-19.89044475769107	11.46352047991212
88	-259.5907119637833	-619.6828556456065
89	-30.78005830371619	25.511728972968015
90	-346.09955918435	-707.2480470941515
91	-89.06520124483559	-887.164646788974
92	-289.3582625068751	-778.2271954123183
93	-69.71822787529341	-903.340843306796
94	-82.69366546096505	52.851997065959324
95	73.7569674275341	-828.4535338716806
96	-100.67642440858013	-911.0220439146783
97	-147.3675230748488	-84.9492448039387
98	-179.232426745032	-183.5663628016586
99	-61.445540409154624	-120.39387619325372
100	-95.82983801216818	30.290571840483977
101	-55.43327072956555	-186.16683150185793
102	-75.93677551895584	-96.30981265615631
103	-129.87260009899467	-88.26061014750988
104	-105.79333025833614	46.5122281105879
105	-159.93351782000914	-161.241874904236
106	-185.11477047542462	137.2373979504108
107	-72.84412881729352	-3.8670971656324866
108	-149.18297256266206	209.75649969106053
109	-62.4072936528852	-152.75369426575247
110	-101.45610622117505	-139.208806950809
111	-91.5306984565297	-159.4097656037714
112	-69.36455435028157	-113.74004499697236
113	-176.06504854389965	-158.16008178636594
114	-166.12224732025703	-152.74208898343142
115	-156.9001889797753	-196.53592231549482
116	-35.39098394552033	-129.27829583761473
117	-110.9901063572459	-98.5464426268585
118	-58.947659685447064	-214.47921093103082
119	-15.338011038476779	-200.69789123928211
120	-88.72001673644858	-174.67322066503357
121	-159.40140189036543	-236.63121498630468
122	-37.33045140161698	-239.65304865262402
123	-75.89175844474534	-247.72170191508405
124	-84.61992290833774	-288.24918394362726
125	-147.32906575594183	-381.1878631504133
126	-69.4148154610136	-299.82488404225086
127	-41.184851839986095	-458.1322844860721
128	-96.49096282206392	-380.1864046567223
129	10.657427720092556	-433.83494702444744
130	-115.73897097502658	-403.903056916211
131	-131.5279995847857	-396.3527349516927
132	-123.73272295555526	-325.7429900962442
133	-117.74088723175377	-337.1544028478738
134	-201.4880528793575	-294.73311305687855
135	-82.23373426439069	-254.34777138119546
136	-76.42972816135529	-307.4001771663851
137	-65.94205706865762	-214.9497270046649
138	-87.00493468235628	-224.78360544298016
139	-51.841475847298305	-291.3879644886695
140	-118.4644413118863	-245.3799512797756
141	-26.84906010373743	-163.19690107351448
142	-74.60234899873748	-201.75382870971572
143	-23.087191727523475	-282.920779133647
144	-94.24887101232056	-268.4427025829223
145	-45.900559061685456	-217.57621035230517
146	-14.495105092455049	-164.56907399321858
147	-69.28733583387	-171.47671998922743
148	-71.74651339207523	-179.916414401696
149	-89.20456054179546	-254.65566155678613
150	-123.34400042102713	-206.2243589575305
151	-72.52565401748893	-214.15538207753855
152	-62.60767453089969	-286.1950929182933
153	-82.86893705226825	-145.1988957757916
154	-94.37952042204216	-225.20917440283608
155	-114.54273722798587	-210.3419055317698
156	-241.69514861572912	-237.7453272312344
157	-83.8630126311817	-149.84200193524225
158	-98.4196399796223	-164.10804258555305
159	-69.01957773287882	-181.61618468489297
160	-21.662430766539302	-267.48424533031573
161	-41.32511372425454	-210.0526394564472
162	-71.23247006805562	-225.0315274559358
163	-14.948102617936797	-205.89735523783816
164	-80.66469075365958	-177.06008266734776
165	-54.30213364183287	-201.18658689809354
166	-102.09827114687342	-164.46275958534844
167	-99.87076631114256	-271.90117625006553
168	-47.20977179834153	-187.05298203444048
169	-86.58686407868427	-270.06926886518085
170	11.089905284863192	-124.67073931860685
171	-46.85552468466179	-235.53542728075294
172	-84.52595644109537	-160.5804722686821
173	-22.655152911478567	-141.29764887152493
174	-52.84920672307976	-147.36541809526494
175	-78.97243244107848	-224.0858983952822
176	-111.21549251672822	-175.7502741000833
177	-42.79935452444808	-285.3743893036984
