Environment: LunarLander-v2
Agent: A2C_Target
Experiment: gravity_experiment
Parameter: Gravity = -1
Time Taken: 386.10339736938477 seconds
Episodes: 584 episodes
Max Episodes: 2000 episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-166.18499588801382	-488.60573438244444
2	-129.23713932395137	-269.0724018270803
3	-215.46601736813173	-391.49436967130526
4	-199.16050853071198	-383.2175701155622
5	-239.28295671609692	-500.71047945833396
6	-125.24359298368087	-348.0708837419681
7	-160.04317135878216	-190.91793338354321
8	-90.63256579860217	-190.21272408525567
9	-190.52751608806625	-139.9261915344976
10	-98.63737670069033	-38.01779481156777
11	-96.89867090888342	-11.001400911784785
12	-76.52138142509398	-251.5432975472697
13	-74.66718304798897	-51.20139298705682
14	-85.45924297532306	-22.067788325433966
15	-80.28020720445134	32.300288954346456
16	-138.24185558620024	-54.14672043216655
17	-95.7432114934617	-49.08621828079469
18	-96.98179177383743	-94.55457580734928
19	-66.63781714328903	-76.95557627489448
20	-64.88104298146607	-133.13573142253162
21	-142.65435475871573	-129.0197365869795
22	-123.32238972703819	-130.60877099761169
23	-175.61826292858706	-279.4037215280992
24	-134.67749725652203	-439.98010178455803
25	-55.85715560942188	-1320.7829506702178
26	-113.21056620753575	-2152.379919159619
27	-160.90807858847418	-387.4715483314947
28	2.9863947783244527	-3201.9385179853953
29	-117.65173657610684	-2209.336127101577
30	-91.10817804123911	-335.4215554580204
31	-105.56112575629525	-962.8804960902488
32	-80.34851072884149	-371.6725496770462
33	16.00524162478402	-404.6719980214455
34	-139.4633043754153	-598.784317747814
35	-114.90798378179561	-780.8870728411695
36	-15.675770137664784	-520.1528369021928
37	-94.17196617193989	-687.403441490858
38	-91.86715199261577	-460.284974015251
39	-171.4559792126101	-1201.3583820900353
40	-110.716959814565	-806.1125907525998
41	-79.87546654274591	-765.6108713385129
42	-118.29643234769888	-503.34605815145363
43	-104.54576602436472	-674.8464353801812
44	-264.1926712736373	-895.5570745955861
45	-291.21270521651684	-670.3203827474877
46	-102.73458759518742	-676.4110072650668
47	-170.89380829123965	-954.882253116271
48	-62.86472864444781	-1683.8790265703644
49	-44.253780658600775	-833.3857473012828
50	-317.37422490449285	-1078.5444603153624
51	-79.99354355380034	-772.03136424855
52	-83.30662347499582	-530.6852163493722
53	2.532898115588253	-961.9775129463846
54	-82.18084273519601	-736.9502902201241
55	-309.4010469921994	-841.1197582484624
56	-73.8001881479988	-958.7731139089938
57	-67.2509435725126	-1042.6567022774034
58	-146.95992527385044	-835.9522274078627
59	-119.41191831484205	-2345.1852665422225
60	-63.44540377768571	-745.6607269579853
61	-65.77984465768014	-807.8146141001066
62	-66.21373826568282	-789.9862662732598
63	-160.61851543595935	-1033.049891146456
64	-64.29626956726727	-1174.6865629618105
65	-166.8251747818931	-464.557384817151
66	-350.439628155517	-592.929290700122
67	-42.014737791765555	-478.0527627406827
68	-257.81017448227306	-628.4871983045465
69	-169.86902901801437	-1147.8700770898788
70	-154.09339674036778	-977.3418893455678
71	-72.60025097828118	-1083.8458808814614
72	-53.02006624689257	-1354.6188814503275
73	29.299664116250455	-1367.5523207568365
74	-210.2866872727426	-589.9525797328062
75	-282.8862196344754	-774.2886020041021
76	-360.40117560681034	-763.8102421060381
77	-250.2418000214927	-437.0034065264829
78	-131.97033411573113	-900.5334558117803
79	-180.0033700568885	-749.1686567813142
80	-35.48728403243395	-1227.7751815362249
81	-258.1999549494153	-797.497018071925
82	-91.17751701254652	-797.1026650962687
83	-81.99559025635848	-596.0785238675871
84	-79.81730414535586	-878.5387990342026
85	-92.7618033468758	-897.0912216697039
86	-184.7627643883635	-847.058407758443
87	-77.92182739281215	-906.590425497376
88	-85.81242964798184	-712.0604282988011
89	-523.2403277073623	-698.5725364956776
90	-116.96283221596357	-737.2481781794262
91	-163.6808542005008	-625.84945924253
92	41.75816431591872	-1198.9731452419053
93	-161.6196183398546	-651.0452087380734
94	-106.55545393039904	-369.8346268455949
95	-88.37507088342292	-639.895976869831
96	-163.13478080008036	-426.94124142289604
97	-158.71724524999323	-339.42613357685235
98	-139.56949249363083	-1242.922544882798
99	-48.433566134523495	-942.444251836572
100	-143.9412939996625	-767.6743191158805
101	-46.498217328737695	-612.9569670484286
102	-69.75891889056375	-1037.0840600933507
103	-175.10520430418904	-670.3136216160187
104	-286.41601620839424	-497.64395464384233
105	-81.74611152237783	-711.0473638797075
106	-37.66415154172519	-415.49463851231593
107	-113.54085107977362	-862.9947609612336
108	-26.709196394504318	-718.8049440308116
109	-85.62318650283163	-698.5617312030753
110	-48.53773785728901	-964.3869783444256
111	-127.95408431245481	-519.1188245746357
112	-215.27016807092838	-874.2717326228611
113	-70.91066561859556	-952.6344943090877
114	-114.31804547960998	-179.40916940808808
115	-52.641479707602066	-702.7841731069174
116	-68.83186289899788	-599.5392683025364
117	-290.1597353055845	-732.1001314371559
118	-17.368673007683853	-446.83134166055595
119	-114.22698017943947	-658.9999700737213
120	9.574380018715743	-697.085651973502
121	-175.7206455491076	-918.5260281419578
122	-71.1746160751735	-666.8149568750786
123	-100.25057830718863	-729.4422104940189
124	-12.733758853862966	-739.3556437348041
125	-236.28774823065416	-681.9992640309548
126	-303.9412663833937	-595.722177175885
127	-356.5984226262807	-562.4236060999627
128	-63.52192189001159	-651.2222844971583
129	-391.42334217468124	-453.06960484489144
130	-502.92989987725565	-570.4945591806005
131	-92.86870752227472	-781.5664085554719
132	-572.013298677839	-664.4218342680259
133	-52.39734881549336	-935.8052339428632
134	-79.3820685629303	-469.77852154179993
135	-132.23373936492308	-636.3756081113731
136	-36.68307263688894	-475.7344566418503
137	-483.40444112593593	-848.4380450672124
138	-130.45880671566036	-447.4457550372854
139	-71.12359693305314	-512.7403093564278
140	-112.73183887557892	-489.1850847697377
141	-43.82738574968396	-1395.1468668189536
142	-155.84751664440205	-391.7374231380578
143	29.25479139387909	-924.8256480501957
144	-286.1955524211488	-421.55268731206905
145	-350.15826340062875	-817.5462175877486
146	-147.7824771428559	-1612.4304038750931
147	36.18747040951166	-1268.3177904629358
148	-276.71235268440995	-1287.7463529554009
149	-120.31856551406437	-1055.1263740104214
150	-72.60590717872674	-1130.9246431830186
151	-96.29133933437792	-585.967723650083
152	33.09813250368978	-985.1599509684677
153	-18.27523039772403	-358.20290404990516
154	-259.121100435878	-852.7132608124479
155	-249.93852728917503	-546.0590665429152
156	-6.558121568203731	-451.2295830883255
157	-160.52427547076135	-1058.2788286508196
158	-32.52749065133875	-553.3377472894873
159	-73.08564504706658	-468.1231700380086
160	-111.11913211676163	-372.05405821093285
161	-205.3718751996874	-176.13408020127864
162	49.719430704552224	-235.72796100330265
163	14.561017024250669	-642.3491836830312
164	19.029747929499738	-375.38910706701915
165	-53.28209587101797	-193.80772412930435
166	-69.09773986318903	-394.376789518655
167	17.50621368589043	-472.05148518577164
168	43.7660342034174	-1343.6170574025025
169	8.298739294333728	-821.6778475506818
170	-34.69834837457768	-267.3221643369096
171	-51.43908757741323	-356.1398262426826
172	-5.223722550563252	-326.07495578206635
173	58.353149222631984	-690.6174557772554
174	-0.15218404149064213	-445.6169764523636
175	-56.412526483620695	-338.62663996276154
176	-246.03899349877935	-329.6718600817894
177	27.716393093459047	-713.2006047572893
178	-9.86768107959341	-1011.9227934929653
179	-25.237659687602815	-567.3391583873853
180	-41.4938028236311	-528.6380083538206
181	-200.52853192403478	-283.476521353527
182	-190.6243023074037	-264.25400782851636
183	-12.773122181636356	-317.0361568739846
184	1.233337180949945	-559.1612951417014
185	-19.143764160047255	-584.0243361964983
186	-159.17135288390645	-704.8292297857181
187	9.39674583778088	-580.2219673516759
188	-136.81723291507043	-481.54711056729855
189	11.157008302814944	-343.15424249836303
190	-101.54739406691071	-442.3014078220701
191	-280.44069888003025	-489.49317253792276
192	-3.1766833386483313	-318.9132295610035
193	-255.2883882283612	-296.7836528298177
194	-9.64707877106143	-600.9616505441836
195	41.070768578351306	-528.1809842938691
196	-0.24805577984193938	-275.53308826850116
197	-143.55981968453636	-344.4571141391874
198	-342.4869844916152	-566.9225083156106
199	-152.3596002263578	-317.1621061110702
200	-5.523353090001223	-333.29143958114344
201	-175.5512669053929	-466.6519165175087
202	-85.70381904062305	-594.3515865955549
203	-201.69189187189772	-727.0520349474092
204	12.415283982885029	-580.051037011686
205	-325.1927820843804	-657.6025052509784
206	-28.502835894726672	-751.3394581977386
207	-34.60315406732856	-891.3309521078608
208	-211.42694862135005	-263.0956726766516
209	-202.3030015686498	-308.9666416023256
210	-367.91016939885276	-469.15190031830565
211	-303.0887703662404	-277.0534941892965
212	-110.0085970634039	-1097.2125687289845
213	-141.47510326759644	-678.3274820990648
214	-67.05075324115715	-394.1467085758239
215	-327.8898526980013	-850.2764646837636
216	-263.69275073551955	-200.0755189352422
217	-321.7996921217723	-484.3880809140886
218	-66.60120947155325	-493.83069151826373
219	-19.328210968630003	-985.8024698486234
220	-235.22164123117273	-460.20742850618853
221	-288.33436663479677	-248.54143569605682
222	6.064221421910929	-554.5387008298517
223	-331.6073401023144	-284.8301803512916
224	-339.701991953157	-260.37231915602246
225	-64.18551173819	-337.0869986088578
226	24.472189057225805	-824.9047190252354
