Environment: LunarLander-v2
Agent: A2C_Target
Experiment: standard_experiment
Parameter: standard
Time Taken: 839.2484030723572 seconds
Episodes: 2000 episodes
Max Episodes: 2000 episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	-375.92949374073885	-102.50305959109197
2	-118.16117782559503	-217.2295008359273
3	-64.19430230264776	-94.85302374717577
4	-330.7696439005963	-477.09200565330417
5	-130.32901059119507	-160.98183302341175
6	-54.07074163928654	-124.77611467590557
7	-111.05360877105176	-150.3691189493373
8	-90.4305911909372	-121.34521144773885
9	-121.83801147772243	-96.73780076385131
10	-167.9709353494104	-126.90024276241857
11	-232.72951780613616	-92.18005227467344
12	-86.51740587776345	-393.9003174233688
13	-314.95663738933933	-125.13155886271613
14	-110.31374298959446	-126.58525743810517
15	-72.20253664181499	-115.22033732877134
16	-139.33174330698418	-129.95602870566736
17	-118.7431118232416	-111.39889932749671
18	-384.0622702941956	-156.40368832253384
19	-332.94747604208476	-126.837421866596
20	-120.43286817621134	-354.5857353440063
21	-6.854050425159713	-89.48772688156131
22	-155.91733475520675	-83.23455161997967
23	-279.43254064469613	-140.4184244172143
24	-243.8250709951028	-290.64591698882475
25	-60.787426345021835	-103.62952681640684
26	-216.152520054998	-125.72440896721463
27	-96.12200894609612	-132.8000219972454
28	-93.51992178878804	-85.79477593433154
29	-123.75244120761045	-36.02272906681596
30	-68.09725359770061	-80.59548310513688
31	-85.93699771427556	-253.51798040343206
32	-211.9023604792622	-22.815586209968373
33	-136.4671907726996	29.83029032169597
34	-70.91636095982616	-226.691762293372
35	-175.59531610127118	-78.37175156744593
36	-122.27807513261357	-360.47927294373824
37	-295.1338492182676	-237.1443752959405
38	-68.00581438790638	-310.92842357220223
39	-239.02266298514598	-306.4175040240486
40	-141.4978712255284	-92.44087369191668
41	-82.52407614216153	-289.9738069784597
42	-150.23772712256851	-162.67742026998735
43	-92.06535272570093	-330.7863730490815
44	-267.043679192102	-57.48212146819608
45	-520.7851821982724	-281.9658335187206
46	-187.08430389221198	222.4495482372095
47	-245.22972620767993	-307.75504987569195
48	-261.93736240858834	-73.10200944198746
49	-49.7930863537278	-66.45547197876581
50	-31.4560136775972	-271.98761050103883
51	-54.51332574977632	-375.62917455544374
52	-114.3423146098915	-294.293689019191
53	-228.53137044483134	-137.69917636405603
54	-135.66565792882278	-392.38269442992413
55	-186.15315322511185	-526.3574330991871
56	-225.6723728509395	-419.4169071539851
57	-98.81615401872892	-414.9028800234391
58	-112.4307098395728	-150.69461747321307
59	-50.56625369923725	-387.0637461435306
60	-85.27352253028056	-149.12160699324656
61	-38.08604224699776	-423.6498265707426
62	-72.52330571592046	-92.40641359421409
63	-184.2720893776253	-364.34851969743636
64	-62.42884635800366	-370.38930862779955
65	-184.8048795208275	-334.91659597099425
66	-59.47445185944113	-362.54898381653214
67	-80.36535473412954	-477.7571810718428
68	-355.40383240007975	-191.8834929885937
69	-50.59959365741954	-239.40768259862142
70	-262.04282988862406	-73.71056893822983
71	-103.230436074998	-34.69238915136431
72	-40.970310916358514	-542.3765060766144
73	-242.91597817152774	-277.5962484760579
74	-210.20833680888975	-438.7115979727115
75	-52.87316824862073	-453.4906797136747
76	-125.3868366073604	-206.97836211209284
77	-61.80997065454777	-357.8723985929292
78	-100.52950408744884	-187.12397036716538
79	-198.7572781120043	-145.37274418715288
80	-224.6333730157818	-360.19185604458727
81	-81.11117039948475	-480.81067760819565
82	-69.98603145443201	-444.28450460383675
83	-65.72923419060103	-457.9455007039853
84	-166.3760019465579	-381.28852839389094
85	-49.88824917142827	-175.35314836876304
86	-70.65767297969468	-290.4580279739032
87	-94.65690375402154	-71.05662222323868
88	-117.95469512491673	-84.96267446989476
89	-57.21659546301852	-108.17396104253001
90	-128.91598733671776	-413.1335947314563
