Environment: LunarLander-v2
Agent: A2C_Target
Experiment: standard_experiment
Parameter: standard
Time Taken: 713.6488993167877 seconds
Episodes: 1513 episodes
Max Episodes: 2000 episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-120.64011377879208	-435.95844780440086
2	-119.61393786483522	-685.9376708776149
3	-103.83675508358021	-475.54456110999024
4	-93.69219302709321	-445.79396827975626
5	-94.12019134912379	-643.5340192613257
6	-105.30629554078953	-446.92520664110435
7	-183.21603873883532	-762.7005503491569
8	-106.53713311582041	-799.1779813375488
9	-195.8627459995895	-606.8343424767993
10	13.165344917931819	-354.23514559085055
11	-108.02570773543408	-409.35217886832976
12	-162.66952014774898	-487.9571156401743
13	-180.20888257070496	-784.2785297510342
14	-282.35351111011653	-720.6284992624857
15	-92.15518407345957	-621.9948537179436
16	-51.31212651799784	-583.7751312420166
17	-90.01092748850238	-727.285421417487
18	-294.602907455478	-732.4519101828892
19	-356.36878966914867	-744.854148844059
20	-280.12587900937115	-492.8062646534616
21	-146.20169444994957	-469.1178102714398
22	-40.380984094119775	-703.0394007906931
23	-102.69307708474575	-598.539195216578
24	-121.63911674839169	-290.7835196744078
25	-161.3259821290498	-666.1201349020469
26	-91.94231034173225	-1106.1953433368585
27	-162.37521156635762	-710.4885260117148
28	-309.6749880171951	-1171.9123312295387
29	-225.0044084115334	-607.6748824575265
30	-63.40625972119855	-612.6802707235356
31	-185.9440190996717	-667.2574001789939
32	-93.58687884827468	-691.9288042862355
33	-256.7009750148411	-508.118004544677
34	-136.27438036725673	-1443.83719395289
35	-160.37217879789566	-838.4298291206059
36	-187.49973973219542	-1878.6021117011558
37	-143.17895744518324	-1136.9552129428587
38	-175.62240808311958	-567.5992023224072
39	-497.7157444469815	-1022.0407993229019
40	-118.56317733199917	-666.5647868827016
41	-359.08134926993665	-835.2675667136673
42	-117.1235995383809	-1556.6490316724946
43	-77.2438284979156	-742.6890751758033
44	-94.69542127501195	-865.286455321127
45	-293.72955418582706	-1534.0358223319088
46	-140.3798999050797	-697.366167423001
47	-32.1045632452242	-817.0998208055984
48	-87.16930114282269	-593.5983234692762
49	-150.4200338291053	-696.499202899192
50	-56.0357561388786	-1790.6150841447316
51	-115.8483255295591	-443.3863117657993
52	-225.29718907495106	-404.14855848020926
53	-78.64039032622527	-517.4503785420368
54	-20.502879629108648	-337.16034071721174
55	-142.11657451508728	-555.2561852615531
56	-324.32298426322234	-217.25413290278254
57	-70.60396456274042	-267.85055546365976
58	-111.26452494049613	-403.8630426064624
59	-360.8338069385284	-489.93759459948143
60	-339.8141173433235	-329.3728315790172
61	-164.75187334598758	-431.73334096855643
62	-265.9696483646643	-937.0626513640271
63	-63.87891363025745	-429.93573758172346
64	-215.8763281278869	-778.0237217369967
65	-254.21352418813055	-715.9597597121818
66	-211.66300260046543	-1751.3261555449199
67	-68.85657427792736	-948.0816648342795
68	-81.56026035020962	-471.3263725763496
69	-399.1074305035686	-529.9910819153159
70	-233.44207264751182	-423.94444589394294
71	-79.10956891618926	-1095.7864801557032
72	-300.6368496814923	-849.3530132056737
73	-177.44393397899879	-727.9069036036992
74	-208.218384100037	-351.77527456250846
75	-271.3889442033926	-1189.9636619581916
76	-173.82969472275795	-854.671459303962
77	-484.44002020519525	-603.286685602239
78	-67.16568473677239	-1801.0794464791181
79	-342.8209153762558	-646.5530958163581
80	-333.98263104763134	-828.088850622379
81	-451.69935716654777	-453.82678122682967
82	-122.83115584127583	-450.40870637220877
83	-85.67548083739901	-1124.4581094515463
84	-100.2086780754069	-2120.7754193377937
85	-192.22708591249148	-507.20553413943975
86	-76.95970632130927	-699.7721162042183
87	-470.591337917404	-432.48371787840847
88	-297.9578135720751	-860.9987574400108
89	-133.0792050926341	-359.0319897258768
90	-61.737733958622556	-3281.884964708655
91	-48.553454391697585	-488.904570415039
92	-211.24062658888303	-481.7172534592041
93	-336.17747986816494	-920.8871836488354
94	-97.3672239546302	-938.1528250408561
95	-226.9935110194658	-539.0517130348452
96	-256.6087865399869	-433.9140906347771
97	-321.89713624560306	-499.69602355710373
98	-195.54970205537467	-533.4436292198354
99	-313.82851883559204	-584.4358178166585
100	-387.7123246984925	-394.0650943239009
101	-100.16098598755195	-702.0612649909826
102	-150.34086403472588	-577.2754242918245
103	-178.00983503635592	-736.6705840735995
104	-267.1522117694359	-350.2091596497615
105	-144.6317876600482	-536.1277585316811
106	-337.7290206614497	-374.052980060742
107	-57.01835162979379	-484.66061411799944
108	-15.85556250453277	-231.9001255071923
109	-254.7813162400417	-334.8455129615482
110	-315.507753153307	-183.52839389195572
111	-140.59632371125704	-293.0008590827137
112	-200.35619942844716	-284.9463863516437
113	-238.4915091168956	-207.8606364564232
114	-113.49254829288903	-219.23248114191324
115	-272.1852582638302	-193.18163076327207
116	-213.3263867004697	-215.95768945474185
117	-219.0339205664055	-579.5407226678003
118	-55.9275744536708	-204.07105265457682
119	-189.92586229024715	-311.24798846491495
120	-70.08637094487328	-448.81851917859666
121	-60.931510511190616	-369.00136173971424
122	-43.41462187044213	-162.14270452243863
123	-0.09592968863148599	-40.922476424862765
124	21.892006597073717	-335.6499684307153
125	-107.68016343483879	-209.38639699918633
126	-115.32427929856553	-313.82621853273304
127	-82.15539585455524	-293.3285958817875
128	-116.40631914263295	94.11010283785919
129	-135.86721336657874	-372.75489071693084
130	0.5886910313451921	-291.12747354168084
131	-202.67837192138475	-167.32419669454643
132	-76.12548981644662	-313.76015435694023
133	-182.11668943276075	-241.24992271626746
134	-86.56170358326992	-68.19509365261005
135	-94.65022019712049	-77.35448115222088
136	-107.43011427877245	-212.09658026848547
137	-137.74645505955115	168.21123138439
138	-90.82706171566949	-69.89191629681586
139	-257.9476237022891	-57.824212205877984
140	-84.73675512999073	-177.5878272996674
141	-52.983468222503475	-215.42139036098536
142	-69.45290033609697	-60.16295616010334
143	-151.01400617027738	-193.4454682984118
144	-82.02472153968206	-241.92700983676306
145	-166.67917080200033	-15.049251353283324
146	-19.68490805236418	-338.27684002617735
147	-71.79489131267684	163.87091623822727
148	-103.91525004293777	-178.0737054179479
149	-61.881558238884956	-158.2530424170434
150	-74.66842383166659	-165.31787565547378
151	-133.0752518939193	-62.13823940403353
152	-57.8546662315582	-187.95238205468172
153	-21.467045989463614	-190.2856458599532
154	-109.84502807539855	-167.538857099497
155	-19.938903842466786	-507.71108800701666
156	-126.73733202141892	-260.20386432348255
157	-101.19826613379713	-386.50254191360375
158	-91.65515072756952	-286.2469316297536
159	9.85796350215638	-168.42318124503063
160	-223.57017652375643	-582.9970522969139
161	-330.20938763026595	-417.0022438502587
162	-226.15927764614895	-158.8175519939338
163	-73.54902061943818	-227.92702858626012
164	-57.039156831819554	-213.05385754490902
165	-389.52784711467564	-257.81715368701794
166	-47.64347403457896	-240.14692573027142
167	-45.39228950927976	-290.0976815645069
168	-108.50068697519276	-212.65524096618574
169	-27.775290335475304	-196.05954289722186
170	-291.41499702329315	-261.7480637248171
171	-402.6799152008289	-291.0083329093562
172	24.333886989389523	-234.17433463598184
173	-173.50639653329284	-291.77873953868084
174	-156.5749198088019	-249.20464927973393
175	-79.71566465172066	-258.0198419352912
176	-100.76797859003065	-381.1697686021265
177	-251.43739413798397	-310.2197172588668
178	-73.34868156129835	-302.8824090309553
179	-125.25834097768157	-542.451681133381
180	-260.86932353716185	-258.90250279228843
181	-33.515113203244155	-554.2096120276776
182	-23.485635209346892	-380.79821771577025
183	-142.1905924746097	-309.17440282996785
184	-207.96680249024354	-301.28514134946715
185	-103.07236339699459	-473.4018079706851
186	-60.299181130170254	-575.2087081654203
187	-158.12032147384775	-278.1349581589918
188	-344.546095075543	-348.89127496265974
189	-135.3797272394327	-348.29118383310174
190	-22.43782760716674	-302.64625125069796
191	-290.1440506305596	-179.40662748269634
192	-324.9127408480605	-396.2063770649907
193	34.776911110558586	-352.6812404612448
194	-26.692190788391684	-301.10636547094043
195	-268.12846061643353	-413.5223255354563
196	-87.17709397113052	-318.76138429057477
197	-130.76337824380232	-323.61715238524977
198	-213.99860952893516	-265.67754876218373
199	-156.2927378687122	-284.7636877057055
200	-17.98824841035163	-257.05786852576296
201	-92.45853338006215	-255.44217422087507
202	72.23334626719867	-490.35307994211405
203	-70.96613940726175	-219.95874141947752
204	-12.658942182578194	-342.76034388683615
205	-1.5388137620064555	-139.9668202819938
206	-33.535978917042584	-269.04087393240053
207	-159.27541736351333	-211.33481028008578
208	-22.096270141423517	-272.66186342609143
209	-73.93396618075184	-243.27209495809342
210	-74.67203339435406	-271.28250019119315
211	45.67970165306565	-185.0377151176142
212	-52.83114431798511	-181.44236089003687
213	-76.90387451984861	-296.32409068014726
214	-61.7384190476058	-222.99716087154414
215	-178.38017859402117	-159.4401411488085
216	-63.85489284557286	-313.3604888955375
217	20.884718367124336	-331.6441282120468
218	-9.15200764197026	-170.02951969447435
219	-79.2095728944471	-321.9620927982791
220	76.74999065684229	-299.3407190896953
221	-36.06846283588233	-324.89334733828684
222	-199.55871608342977	-312.37610730908943
223	73.78438861466113	-201.49692389625466
224	35.85751630445557	-264.8743290048752
225	-20.649582826234223	-123.24582700855298
226	-108.82157134960777	-232.97470683699282
227	-10.476138212552414	-104.78372344219305
228	-299.174605108652	-159.98007532915815
229	-168.536155899299	-375.74441959843443
