Environment: LunarLander-v2
Agent: A2C_Target
Experiment: wind_and_turbulence_experiment
Parameter: Wind power = 20, Turbulence power = 2
Time Taken: 1854.8536920547485 seconds
Episodes: 2000 episodes
Max Episodes: 2000 episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	-160.2302378290205	-489.75187209752374
2	-99.36711512576527	-504.02275052843373
3	-106.90791248278506	-864.611625904974
4	-266.37813819093407	-817.6417412613247
5	-118.02942717363274	-523.1053457024027
6	-304.89925096870655	-573.9976511196355
7	-141.44515760628437	-353.111340319422
8	-123.9448479082929	-741.139430237957
9	-73.39387112576873	-366.0143212671772
10	-132.8995706537416	-663.5126422326767
11	-424.3252472814114	-687.3697454394202
12	-152.41861595836195	-400.12982658012487
13	-326.7789722340227	-492.0541283261854
14	-80.1957109030673	-484.2829351648429
15	-359.78039899485424	-78.02855965765671
16	-131.48248551208837	-361.6689123935086
17	-130.32924530785613	-406.11066990578036
18	-170.94126875815886	-821.5652479474344
19	-91.64806002294061	-497.34613014994073
20	-136.95088951417955	-1165.2911791532656
21	-130.59977887998548	-1160.4650220598858
22	-313.4794143166627	-1312.417918651039
23	-93.52566024225794	-624.9797837166867
24	-85.9336746331659	-1900.375414015674
25	-58.70125910948217	-1036.607668041128
26	-75.83702823717871	-365.82020835774284
27	-91.31664227140995	-756.3897519248142
28	-110.28665081671035	-653.7478323537022
29	-136.0690858160862	-719.9238103181509
30	-121.28435446952771	-722.1309476101519
31	-216.55679553218332	-366.62406366718074
32	3.222766265647209	-516.1414706981045
33	-98.71088936048454	-896.2010971915236
34	-54.34563709925349	-902.804771662902
35	-157.27581443876807	-250.83572183374497
36	-333.82233171975327	-741.6160912518191
37	-435.018072336577	-511.41062751227685
38	-269.4447853931911	-322.38916697704593
39	-458.60643027185864	-177.50750421237063
40	-145.93170130591983	-360.4895339821467
41	-150.04926744884898	-433.42463345168744
42	-133.1517270371449	-290.5855089682325
43	-255.66743391191602	-324.7099655256533
44	-120.25820882563147	1.6150834293372753
45	-333.3078646104957	-213.99941687694354
46	-114.8484649413269	-264.6571798376947
47	-79.4325203914764	-7.641713260753576
48	-124.85556214212	-383.644289336787
49	-129.9695703239671	-433.6511912815597
50	-123.65431460237228	-272.8666941184771
51	-276.47181439490976	-535.5034053978729
52	-75.35520045491357	-271.9738424110266
53	-104.41377216486107	-30.820362802574692
54	-151.46370884738155	-134.2349240506071
55	-86.00637416283138	-341.80221954313043
56	-124.56006915469821	-395.6055631415629
57	-125.04191899256195	-567.1198894616173
58	-70.81694876736387	-536.4931878870948
59	-137.6678397074985	-498.0662381001173
60	-86.35604173566395	-171.5935819927565
61	-115.34906156881684	-124.7751845957431
62	-96.53534536173046	-506.1112509559644
63	-109.04927603676647	-578.3000712653659
64	-161.64030474324645	-692.555232945294
65	-114.7430841729255	-673.3471690562739
66	28.720179150836003	-1542.818872857468
67	-155.97859533723627	-1328.8947534521908
68	-64.07189511056569	-1264.3559013796612
69	86.84657385621851	-1312.0407634834057
70	-140.58489065239274	-1379.3849141264993
71	-99.50152183553534	-1146.8083812828506
72	-135.1342358905123	-1600.9316872791549
73	-151.72516964728328	-1823.5846128393134
74	-77.80307001292634	-1300.6086980598618
75	-70.39448127676714	-1013.0873361301662
76	-150.90957827539643	-1231.91921431406
77	-78.5337085318547	-925.7785031600461
78	-99.31048517941743	-1018.8857602291175
79	-89.59564124773054	-1110.9365278976925
80	-186.41632803784734	-631.7924562800864
81	-120.22370653568893	-502.747234082369
82	-71.81614117895803	-1391.104280457877
83	-91.9699734478948	-741.0498004127064
84	-49.06273973007646	-458.59167778382266
85	-199.87654383255386	-727.5979096392339
86	-121.89715411195294	-594.2114060860467
87	-177.39586124633576	-950.0190823615903
88	-76.16556980199594	-470.90841472514484
89	-101.51498356450467	-416.93223491612497
90	-121.7686632924477	-931.4577743450542
91	-140.38047494960728	-1405.2601508588978
92	-61.2577200646643	-911.1900365350135
93	-100.38770339455992	-1220.7140598201922
94	-199.11187179736604	-1325.961347673263
95	-181.9076146230688	-1977.0648562813585
96	-84.46478814425696	-1705.6478874163715
97	-6.679604267133186	-2632.6053291778308
98	-96.97573320499103	-1619.2626997443224
99	-155.75880596631288	-536.7389013446124
100	-39.6252052624302	-1283.193353052419
101	-107.2310423598039	-1644.6651699163035
102	-73.53422187178761	-1331.563256229995
103	-10.05547462781088	-1717.2691877920597
104	-56.15746409261118	-1493.9682850355566
105	-132.17120631961666	-1122.0793969586612
106	-113.73066172073331	-1581.1997757177392
107	-139.09425481233717	-426.8473181729044
108	-71.45896301464032	-2385.071733522587
109	-50.463255228770336	-476.61612312457015
110	-206.93173223524053	-2154.9899000208097
111	-17.750648870061553	-1354.5682703235786
112	-244.68665752907134	-432.006031401302
113	-59.47919746385668	-1120.4721283623753
114	-75.78136696252956	-2076.7150899595767
115	-171.9909795711243	-1987.0640041770926
116	-88.8023370580622	-1439.8677517403648
117	-340.9771754582081	-1412.9128292202324
118	-290.46018294728594	-2278.564525585267
119	-142.62526613245058	-1952.9949057041983
120	-263.43830453815445	-566.4281833884901
121	-332.60137790470253	-856.751358740432
122	-99.65553952856612	-1204.5975026306658
123	-94.38503267433207	-1360.8531500578615
124	-176.07361548840578	-1257.3587397264973
125	-93.76352850265431	-3782.2403941245925
126	-44.77657041968526	-2508.826350237202
127	-50.84333718239816	-1909.4888934233663
128	-178.99274738036297	-1787.7199226215337
129	-52.291273043043816	-2334.836344789975
130	-56.359543322146195	-2837.1355194821563
131	-59.77369396691465	-1806.4792855652684
132	-750.995394565312	-3076.012705498538
133	17.258665860583818	-410.9923269183776
134	-71.19617120925993	-6454.047390040521
135	10.359406925683075	-5834.484351143189
136	-45.04021196608957	-6001.461149856489
137	-30.2861003222105	-1525.2750747081056
138	-68.48955996761735	-1054.8717818124328
139	4.099094664006685	-1410.8225366524348
140	-205.001993865658	-1423.623617236834
141	-89.5320526318661	-1239.2234170830266
142	-24.12769334353044	-1127.1066863336805
143	-59.044811252823706	-1056.5101090982293
144	-100.63221788093055	-546.1915943633447
145	-210.89769597187473	-837.8098895175484
146	-220.95640743283218	-846.7784586900594
147	-38.63872487834138	-947.8817129898616
148	-37.270986355786135	-1145.4825273487634
149	-478.6430024007611	-715.4291606932279
150	41.973552543696115	-918.7346037498152
151	-76.48427294571263	-712.4056491741824
152	-27.41042393005756	-759.0042659951555
153	-419.38219809818736	-1012.4046116482679
154	-229.85560122884718	-1580.614011609231
155	-181.10970802057062	-1923.6560259028608
156	-344.91601273045853	-1280.436780849422
157	-489.360905337947	-898.622410421004
158	-308.894962898108	-768.7778547723709
159	-262.7392277441933	-1222.0368900917026
160	-86.38947859108622	-1886.3840708866653
161	-57.49535898817415	-759.2776753247302
162	-163.14172186912305	-328.6062929798797
163	-336.47852138106066	-2062.858788621338
164	-28.357091963810632	-330.73514215774065
165	-58.70501615385818	-1114.7495865854903
166	-157.86284819919547	-1979.988397483784
167	-75.87962903181092	-2571.909995331753
168	-65.22958933372018	-335.8263960184034
169	-176.8765256853253	-347.5360006094084
170	-49.48550903744602	-1010.4016319784307
171	-235.98986150456074	-655.1407474899647
172	-159.67620148342286	-514.3739992821428
173	-147.82685751434263	-652.0577060891374
174	5.914918018693058	-514.2960794017688
175	-48.65936761783348	-1043.822179752828
176	-282.7897327386735	-864.4565123867925
177	-135.0064474976691	-1368.7561533772707
178	-72.55139904210283	-1180.051291884156
179	-260.4927370835743	-224.94143812959788
180	-57.840543282011765	-312.26295457676974
181	-38.62352874248192	-388.42520994243455
182	43.207941596292244	-464.52260231397446
183	-8.945792708691016	-298.9844547545789
184	-13.657271521583297	-428.9711686824161
185	-6.786065654268924	-396.68134123415734
186	30.578435375483025	-304.27778458889804
187	-142.9052555658256	-380.32894481875115
188	-16.954291762249255	-329.17753834657935
189	-167.92768701257	-295.7443054841342
190	-235.47480967617926	-406.82529214836677
191	-246.75718192020852	-287.9395119836494
192	6.265884055249828	-671.0134449403976
193	-52.66606739990479	-872.1555845267258
194	-26.12715397779759	-630.6129790638735
195	-284.83450265513073	-981.3476881750007
196	-88.78420888758177	-1174.4985532775397
197	-13.094346699246842	-1082.5242502493998
198	-42.67177935595775	-2326.36537992484
199	-93.50104102375165	-3355.762710953247
200	-363.36975587588336	-3570.999533120157
201	-228.86596701714024	-1348.7982701171143
202	-290.5779521998244	-1766.212082530566
203	-336.4585776583015	-920.9536396254452
204	-64.78833983142216	-382.42135235536676
205	-95.93316251935218	-821.7652471257106
206	6.132804633916181	-675.3142782719881
207	-27.24952826894402	-694.2768149389764
208	-86.04024169646638	-206.6472965859972
209	-102.74836318320821	-557.0444112783098
210	-51.01831226609612	-521.0945085829204
211	-24.409794886234803	-136.97942308754227
212	-99.2510571445508	-359.8448738294529
213	-209.42710740823685	-500.57642850246145
214	-46.48973837459512	-377.85173796428194
215	11.941725026512827	-383.2130786899073
216	48.28474469644773	-519.441781216588
217	-122.15983477971756	-683.3691555404014
218	-71.62069882021493	-834.1473587002198
219	-39.87551758732839	-284.05316070357986
220	-1.7577427654699045	-660.2980796758962
221	-79.39097759214671	-528.2979966969993
222	-18.216361369473574	-260.2483103108694
223	-34.56575988063746	-165.70309040117223
224	-101.63314538834007	-238.25715529962702
225	-94.82824144941402	-197.48442125462753
226	12.575338914365048	-97.73073737793021
227	-71.45887224474224	-176.93486963071487
228	-45.15788937090204	-152.86500757199775
229	10.435047635811173	-147.20297908606034
