Environment: LunarLander-v2
Agent: A2C_Target
Experiment: wind_and_turbulence_experiment
Parameter: Wind power = 20, Turbulence power = 2
Time Taken: 1211.1368680000305 seconds
Episodes: 1760 episodes
Max Episodes: 2000 episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-89.43029705576203	-143.91728819568408
2	-75.80988235376122	-118.92171681768954
3	-111.45996324484074	-88.23405716047566
4	-301.1101575564098	-338.0801778880285
5	-101.59395172157686	-491.4014105276055
6	-117.83674714127007	-238.41449563219845
7	-99.95454368779626	-516.5869379007197
8	-326.67228018497383	-750.772414426864
9	-223.36262850140406	-951.760781561506
10	-101.22413302518923	-98.38678161667563
11	-102.21276785901269	-547.8913734955565
12	-72.73679195825925	-624.0626466806827
13	-37.22940821509365	-618.6024167694048
14	-85.76003863158542	-920.6516548275384
15	-250.86112580201296	-104.1048781107951
16	-152.46024896170766	-150.98673512660474
17	-161.97041483506845	-1109.0363639160933
18	-120.49490729998142	-111.03512483294728
19	-209.9901140189764	-2633.104074211225
20	-111.09035960429243	-1568.2550447645424
21	-99.62220614908041	-1110.363331840734
22	-241.79229912777183	-1258.8392854348835
23	-74.94535466027823	-1344.187687868094
24	-187.62884185303508	-2502.6093697246492
25	-131.21368104494192	-2017.4358598983767
26	-226.85376301847236	-913.3095293209905
27	-133.5044788832755	-1615.903657161076
28	-104.53481130521689	-1719.9792346951058
29	-201.50363503714487	-203.12382071554305
30	-200.40486385973668	-2769.0303894261015
31	-133.5587324381423	-1225.6103157781122
32	19.416619792728724	-1611.8552021466082
33	-88.94852790602123	-1620.5212705588574
34	-219.39466514645534	-1306.6074831595936
35	-103.97809445959527	-669.0975396869017
36	-227.81555548702704	-2282.758723753037
37	-140.25487211538396	-1278.1874254610905
38	-41.17380713409396	-1708.9235641648356
39	-37.815644120103244	-1184.5453479654705
40	-132.49904680313733	-1113.852861799262
41	-93.31549153058876	-584.4626137423091
42	-239.8161083716962	-1146.975880624258
43	-249.56729887050486	-955.3662731328465
44	-85.7546460027888	-913.116436162443
45	-204.39704475037064	-612.5439890836731
46	-97.26368866480254	-2085.108874869592
47	-52.28114086268244	-1218.6338155107435
48	-66.72050913800388	-818.3391395465711
49	-69.56781311390012	-847.9725143984058
50	-150.05770994203684	-1085.8296678295033
51	-76.69760934022227	-953.0820930315183
52	-66.09067625732848	-1049.7680452751538
53	-95.29587660735457	-1218.967792652164
54	-71.18706344325182	-743.0127056167626
55	-39.84433938469722	-295.6637978236962
56	-166.11499518571753	-584.4840465216432
57	-39.82210877696947	-360.52940975811487
58	-45.39942172593026	-909.8554703141575
59	-289.9535893470233	-552.6205358754638
60	-145.37892373554178	-259.6091881854495
61	16.16325055510532	-682.4356223842311
62	-105.57307809486366	-838.8565074304154
63	-183.31143758470245	-355.0117714676139
64	-121.2273943274959	-1113.4502111784184
65	-90.4624838910374	-688.8742964530276
66	-56.25173716701464	-1357.404742747637
67	-89.07551163473072	-290.07008637114757
68	-280.02074209353754	-791.9816545902554
69	-57.12807168736252	-389.2529431647063
70	-106.28337934691903	-502.8001409950458
71	-22.420711434563657	-1114.758635947618
72	-63.85291693605188	-840.5787491166969
73	-138.49578664469595	-1546.1483822717237
74	-136.7998364228265	-878.3484345148102
75	-198.14114340874085	-1264.0354482593273
76	-89.39616820173012	-2553.628684125059
77	-76.76914436650159	-863.5608770691077
78	-71.8904795816841	-540.7612326558259
79	-76.57721250146365	-1136.061663496484
80	7.736570836625646	-399.25441366805194
81	-90.93827399096499	-600.2692278366421
82	-78.97843663061545	-1036.0168532383
83	-101.70473717316503	-885.0372317906613
84	-84.83051837816267	-557.331700180878
85	-46.532743323134625	-360.66651349251697
86	-78.33091911436033	-599.3400563751218
87	-33.45056815515839	-737.2526366245927
88	-36.57445044658387	-800.6608948063922
89	-95.4882313452027	-600.9942649965269
90	-24.61654856979996	-1436.390611494447
