Environment: LunarLander-v2
Agent: DQN
Experiment: Random Gravity LunarLander experiment
Parameter: random gravity
Time Taken: 1099.31796002388 seconds
Episodes: 1024 episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-471.8668604165414	-92.88683499317628
2	-107.18294267092121	-116.44521119857785
3	-138.7425219446593	-145.92693722082146
4	-249.15604811734235	-146.81495072689387
5	-77.19721532940767	-131.01205469830003
6	-0.6919665102770267	-148.87330142476614
7	-201.85554855775467	-638.8204750088754
8	-151.92619205528138	-658.6126497452345
9	-124.2638400554827	-459.5369749792932
10	-259.5520295709328	-517.937109012456
11	-88.84937573948207	-525.6035234056449
12	-140.95523845267394	-557.944748556342
13	-184.52931512068167	-667.9071214107315
14	-218.9285327414763	-577.1818400298137
15	-102.27679825833647	-721.5430197454648
16	-304.8700205249875	-601.6361726049839
17	-76.36634773825196	-739.9992860302123
18	-84.5437414305861	-659.8250067531317
19	-349.9588330632985	-528.113114027171
20	-264.06396675891597	-2570.413202862521
21	-181.20142028975468	-684.1610311993821
22	-213.84923147645617	-933.6401126905123
23	-66.88496805763228	-883.1584530377123
24	-344.5287825358688	-360.1548850875579
25	-107.56178494528683	-1105.0794966387477
26	-154.21811805974917	-507.816646544829
27	-57.635955316996885	-1047.4159343662304
28	-57.80459177696641	-744.287469212234
29	-127.65139901193562	-887.5018656180974
30	-266.5355297711864	-799.1717503093282
31	-254.22639331452126	-687.7122011925808
32	-322.092183706984	-605.6738663179476
33	-209.4810393642025	-514.4710750519059
34	-58.611671786107415	-730.1956044001683
35	-85.16069803631333	-719.7521471695468
36	-111.1281598249165	-673.767801816287
37	-176.88753515060912	-721.8121587164698
38	-347.5814597290982	-752.758338523023
39	-322.9145070432061	-692.9903262547334
40	-384.35547044106556	-515.8311558786015
41	-503.5027591552837	-250.7766681570573
42	-174.9852301847845	-255.31208058511825
43	-275.2230446159609	-187.51456798279517
44	-24.945399695687883	-180.5727654152218
45	-94.04580679349482	-120.3810425372699
46	-145.4551588951865	-137.39526220534836
47	-25.163305618132853	-104.3504458296461
48	-93.58071780001556	-106.01694986346112
49	-289.8509435973825	-138.6772185652725
50	-117.35810532308057	-157.7726776688181
51	-248.30544328313925	-74.71653805113061
52	-303.8934468483975	-139.03272601241304
53	-93.3842291231689	-336.92780512115587
54	-370.7945943109059	-209.8681703467749
55	-124.99338269693928	-165.19906221955125
56	-190.0323916428942	-142.42227444360728
57	-83.63290694563361	-154.10374149467557
58	-252.85435727298108	-293.43091587460594
59	-78.14476363235497	-196.1773570121444
60	-179.92071146228437	-249.78771455981905
61	-350.22591904416174	-209.19302318301325
62	-45.4883015610525	-191.66843079933886
63	-200.73925554282363	-306.3716577355185
64	-236.3518020414101	-190.54539474745658
65	-242.08414840707974	-191.77548899987477
66	-204.13209885945753	-149.90876846708835
67	-207.5022957914054	-168.07016219470358
68	-82.53192781635485	-102.87381902051732
69	-455.7175190792298	-180.53694874525877
70	-202.84201218350074	-340.1370750923313
71	-173.94035364383362	-237.08582163080783
72	-129.44805634846077	-256.9710245758355
73	-92.56377793309005	-299.6798378621214
74	-43.123236757910924	-315.1282970470676
75	-120.6690034358496	-153.64239853494237
76	-253.64807434967992	-202.62606670917384
77	-29.039666285979195	-223.82058218677136
78	-208.64833583383515	-256.31028233081526
79	-178.8147630646901	-208.5896051569715
80	-142.38749086323983	-153.8004133396022
81	-75.59590064479193	-162.68713586118454
82	-156.75741586143192	-180.67106041732922
83	-157.4459455536108	-221.78282886972403
84	-71.41396493349524	-192.20053754294565
85	-189.65138763175068	-201.79636431017846
86	-155.41623485645715	-251.45419840483723
87	-182.06921755404363	-300.1776050082043
88	-141.18041443902337	-253.0693572362197
89	-150.4015238230372	-102.03103680761309
90	-50.098538118559006	-307.4363606379378
91	-236.53647564535925	-259.92796754793574
92	-118.80964768388972	-224.70995927114618
93	-176.8510620058168	-238.74669981570017
94	-112.76978540042265	-243.81910960471137
95	-205.4422535017761	-264.1069410595893
96	-236.50537119701121	-180.9134731877612
97	-123.53093744505374	-242.7477314144049
98	-2.339259144752944	-444.3907056049134
99	-209.22953552430124	-120.16148270884091
100	-72.69527548489768	-196.27895513780112
101	-142.82889052612506	-141.455359013048
102	-104.41604647470471	-172.1018963040789
103	-217.30405888628133	-149.75379085471565
104	-128.13577761530402	-170.78001749599235
105	-166.6674995018603	-229.3712433876677
106	-73.68418763013223	-176.90831007169436
107	-151.21329293079074	-203.7105453993813
108	-173.89834278535602	-433.73996104635796
109	-106.7328087257399	-383.2258592726421
110	-30.867474484602752	-311.8830532114244
111	-52.95817502071665	-289.0116901620679
112	-13.470915510066163	-198.89713134183475
113	-107.96013379194751	-156.58142141628957
114	-179.0257349287869	-162.0454850166854
