Environment: LunarLander-v2
Agent: DQN
Experiment: gravity experiment
Parameter: Gravity = -1
Time Taken: 938.4616003036499 seconds
Episodes: 2000 episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	-714.0340479322557	37.25151768575893
2	-818.4522210334721	-20.093373869409916
3	-537.4485813984309	9.991338207832598
4	-1625.97849407461	-3469.35599465362
5	-446.9672420840194	-34.61552284987485
6	-1045.7498253997276	-8.055546265949744
7	-478.3444805420816	-2075.0428388676114
8	-458.32314649966	-1665.2165378413786
9	-496.8067252230914	-5119.769037346399
10	-562.6571791712684	238.0856902827929
11	-564.8265707679271	-224.5459591080495
12	-2478.0057123826073	-3675.6041793554637
13	-580.5507265253603	-1622.0297004181177
14	-573.9867730357244	-223.30426490262295
15	-236.49914758756765	-508.5240925545259
16	-1144.9289051414146	-4844.134470022474
17	-484.84873478508746	-301.61943350711977
18	-1552.0831848643927	-95.65828008438424
19	-531.3878544199031	-3514.340051484711
20	-299.5601761606898	-1116.5598745236668
21	-443.58365069734833	-530.0731390474355
22	-1103.0988934654683	-516.0541481260404
23	-814.4359880176884	-1858.3766229570638
24	-872.0294811657642	-404.5485234506653
25	-2950.8019392327906	-179.34301654686516
26	-3647.4163112220062	-3054.114329574996
27	-237.45834426678726	-364.43549500969516
28	-728.555287586031	-610.8350099702798
29	-609.0041884779214	-5051.428929947905
30	-928.1048693006946	-115.73038998247426
31	-505.25286112972856	-7952.987419629334
32	-6744.316228418013	-143.16295734672914
33	-527.4895221859615	-410.52605378302604
34	-476.6559204919473	-103.1989790169579
35	-3924.328133599225	-111.33226805828068
36	-375.4170429820756	-407.5817328143114
37	-922.6851754912709	-366.9719704108397
38	-1346.2191522900978	-480.54612067078114
39	-1295.264980227919	-413.20048449256814
40	-1698.3670181609625	-427.2850547333227
41	-889.967906386174	16.06116641593826
42	-1013.434519235265	-452.5374275559118
43	-698.1285075507706	-91.06345548623567
44	-1151.7075632107276	81.3502096112466
45	-542.6336070085392	-675.902023482765
46	-1409.811122594278	30.047220115706097
47	-2166.3817426705828	-472.44542047494497
48	-937.2851131136051	-207.47456915741094
49	-776.6108135281095	-715.9239511482538
50	-2838.879041060157	-448.82500995534315
51	-489.2402866117411	-71.95750392696218
52	-981.3199563476951	-28.995798677314156
53	-2461.3872303005496	-698.9950729984777
54	-401.13064635640643	-1303.1568518949693
55	-573.4783538755294	67.5257454373692
56	-427.14423345819915	49.545530174826695
57	-318.4930679551901	147.80117997691025
58	-542.9155561042598	60.034601418171746
59	-1120.082879397747	10.144861080925281
60	-604.8534863746236	-1098.5634129325608
61	-1542.7038751677053	22.561067201087255
62	-2003.2260227623788	64.29399520717956
63	-519.4042035225668	-811.6385205309992
64	-1553.8645947601117	-2644.572522617722
65	-469.1526191367539	-27.156830381591675
66	-1295.1652481396875	-302.24515062665523
67	-397.2782673737585	-1106.5966273882295
68	-420.53240179826014	-337.3983285055258
69	-2737.119721524344	-308.47337026283566
70	-861.2190475437301	-1583.1306063972017
71	-1210.7778325716024	-900.5298167410898
72	-885.0521414714742	-694.2630046241428
73	-613.9788808889004	-432.31147652758136
74	-1616.5902837816843	-35.03173384925785
75	-368.6750919974028	-307.1902531586769
76	-135.4877379695147	-401.73116859782317
77	-4002.2784715570106	-438.7310159126992
78	-573.6163496827621	-52.19437534755894
79	-346.6561616218514	-772.2916549371436
80	-503.93683034636337	-6.970491681743638
81	-640.9281796746602	-1477.504390195843
82	-344.856211426787	-388.753402099958
83	-977.068165430298	-80.24090247793592
84	-2618.8980491887587	-264.4159916517541
85	-366.61491821582734	-147.6579372627146
86	-1519.6041996140787	-209.8605327077105
87	-394.5537337312862	-51.92090035173901
88	-313.1216827297294	-314.87114534116307
89	-614.466961968744	-68.72192380462756
90	-834.0346782785214	-403.63781948132475
91	-1051.6081990620605	-300.81597504473825
92	-1319.20833087619	-351.60625438651107
93	-690.3240318719133	-67.3455574098467
94	-414.6542050294421	-371.75639074626923
95	-770.6467677397856	-183.3525982995413
96	-603.9916944250388	-289.63806678536736
97	-725.8042598650773	-9.678144090482618
98	-1574.629900674905	57.32902863113469
99	-1166.764633866676	-188.46357033332924
100	-1163.8463384254578	15.66974975429499
101	-1289.381905438765	-43.51738606026131
102	-480.72875064646195	-6.879255490504022
103	-2266.7411037395723	-3.431644486365613
104	-1063.8163152189004	-691.0541865074314
105	-1655.071986097238	-398.66318352652496
106	-803.7090729706836	-479.7184037567002
107	-951.2228345187953	-1.1845845607304568
108	-1160.351743510748	6.1445362509421955
109	-1539.4210289435875	44.20147944198638
110	-3770.9262904315037	-442.3682046525329
111	-912.2444045394819	-64.6986768194873
112	-1661.8954962741798	-422.8927754158733
113	-2087.089852328352	-240.3855556476753
114	-2545.348247647655	-181.06075939224084
115	-156.26789901681136	-137.06478299344093
116	-1627.7569896553896	-240.76048816147937
117	-1841.1796623672026	-48.00871080856474
118	-1783.4472806369713	-38.15471073586231
119	-2543.5817545582163	-114.44468704172948
