Environment: LunarLander-v2
Agent: DQN
Experiment: gravity experiment
Parameter: Gravity = -10
Time Taken: 1564.9297976493835 seconds
Episodes: 1204 episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-124.57039274757173	-149.214266199783
2	-239.88332234472082	-401.61814074675937
3	-418.001474008179	-470.59088633215293
4	-173.3201800448478	-384.16158885625003
5	-100.19360920231105	-525.8675158887871
6	-57.31792698536099	-739.568693762592
7	-78.30396123558646	-835.9818186682718
8	17.529983356198073	-748.6229775624181
9	-124.11818264268639	-592.639452006117
10	-292.47165241127556	-658.335739638555
11	-105.45820633956565	-423.91719754539974
12	-117.50684362627777	-546.0800055134641
13	-92.83282685818908	-669.6607959532794
14	-308.27012322536973	-308.6324901995722
15	-337.25001804424016	-213.4838620828607
16	-128.18837375327945	-679.5027896308183
17	-28.17616686048558	-252.80274822782513
18	-147.37528412730433	-677.9732837001708
19	-231.8078326723108	-648.9523749848848
20	12.443313909671929	-126.52540500726197
21	-501.2832950398937	-671.445712745079
22	-144.40655875167798	-677.5207683756535
23	-465.3682208164856	-732.3251062604711
24	-137.71165245182078	-697.134760106445
25	46.74089437318818	-751.8823610507962
26	-244.06629845191833	-792.1341254173315
27	-127.66004308556543	-397.9047179234166
28	-240.63664003012292	-169.0916581219584
29	-208.64094425865073	-65.47435371693919
30	-80.53337659524422	-148.73508506456778
31	-242.8295361527781	-773.8622268088858
32	-115.55367831633625	-105.67692721966299
33	-168.62171835619938	-691.2719682976133
34	-103.75990813445836	-765.7413402479174
35	-166.18565817310633	-678.8302815282703
36	-360.43365234939387	-716.582740482572
37	-85.29490623448699	-681.9717756509681
38	-80.21311757814046	-679.7630610652499
39	-131.2172660997653	-779.9632575244234
40	-182.9488915463857	-782.2280768339751
41	-70.60146938252313	-93.64326212974527
42	-38.70835088541713	-355.204753002606
43	-70.15151524475696	-110.68201823691903
44	-424.4555854772548	-609.6674188328623
45	-265.0587518730885	-770.9642851001018
46	-199.62898185978074	-255.1476779147621
47	-123.27001637921083	-104.36856379071233
48	-193.86311251795775	189.4124304290209
49	-120.55695175958273	-820.3146765685084
50	-49.9037824677968	-617.6831390573811
51	-140.687048586616	-598.7012930743583
52	-58.447871023577015	-597.0349138920913
53	-124.95860289016767	-296.87274082891577
54	-374.5327032767101	-269.7424288510829
55	-343.4890179916408	-299.815325345747
