Environment: LunarLander-v2
Agent: DQN
Experiment: gravity_experiment
Parameter: Gravity = -1
Time Taken: 1004.292717218399 seconds
Episodes: 854 episodes
Max Episodes: 2000 episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-59.86580569723836	-134.62997969531216
2	-135.92558301896887	-334.50403040327905
3	-94.47974384004807	-482.0729562288219
4	-127.36123622303217	-477.23142307473256
5	-447.74662295993886	-510.41803265457384
6	-185.03131899323722	-818.534411579837
7	-127.87061394748325	-679.0194678504382
8	-158.05765732522985	-416.42631520909765
9	-392.4474132190376	-3232.650709603884
10	-139.83831545056955	-1274.2090803537765
11	-79.78371121496198	-682.8064982521497
12	-325.2681512462731	-260.2163835958532
13	-1.9001941964680498	-238.77223835379763
14	-145.65909332854025	-216.94794387220557
15	-337.7936571796596	-587.3802122063935
16	-135.0428228953883	-97.8780738734537
17	-519.2654931793759	-156.9180281069386
18	-124.88898677390502	-693.4263156557203
19	-432.25272747073205	-630.148616769407
20	-313.59370065820815	-706.5226384357093
21	-169.1471077039345	-340.1048437796574
22	-258.86649360124585	-338.5654056985175
23	-178.64241445979772	-453.5190351739789
24	-386.48626410932707	-530.6851204059275
25	-141.9726907883942	-617.9392202751798
26	-27.963022951576107	-560.514198851153
27	-83.06910476916224	-672.558344360144
28	-94.43067389869464	-476.91080429850945
29	-92.86568146175826	-428.0832366407012
30	-160.82950337269497	-424.3401278805037
31	-235.96129703965565	-670.5637969107825
32	-227.8474776434803	-393.00879003166557
33	-209.53233938461182	-337.73942836929433
34	-79.26536267181983	-605.9949551422069
35	-40.199864879371546	-320.2384743325799
36	-132.8784258944342	-533.0302370991797
37	-366.7779619778845	-344.33073039088254
38	-153.1947820977492	-411.05704631387994
39	-48.37430523828748	-316.90883340099714
40	-105.14285143573416	-276.0017467560131
41	-120.98860677089986	-532.905627770128
42	-105.29049130332226	-491.7649530536204
43	-125.00759226513726	-473.02224675514964
44	-150.23081325687497	-396.8391666301286
45	-55.97019493917583	-538.2880776913803
46	-153.90385444645227	-546.3507576961192
47	-285.1019510493064	-1203.935766895253
48	-33.83282856612645	-330.6124232605049
49	-56.62097298481042	-431.83887167604206
50	-274.32654606633616	-250.39283772769699
