Environment: LunarLander-v2
Agent: DQN
Solved in 946 Episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-192.09589672030677	-125.08062144195796
2	-74.17035245879808	-280.43693361654806
3	-68.51670180513202	-103.40059899252644
4	-301.04977870050743	-83.65335142935635
5	-486.5956755082002	-457.26347729951397
6	-578.9187543178584	-523.2806687191351
7	-400.89542434517875	-534.9979412178976
8	-456.58048909651893	-485.29706505865704
9	-437.81479214717467	-459.2282465855011
10	-569.3509414774594	-656.9434988368959
11	-716.6662837853927	-455.53301395790135
12	-489.4027016103053	-463.16070497607876
13	-363.63730600828444	-746.842734519114
14	-372.33338073612	-503.02199160075384
15	-569.3812209900066	-443.6821896866794
16	-596.3726171023635	-582.7278676007252
17	-688.1590324440059	-763.0807157776292
18	-878.5255950006457	-310.4025882403079
19	-136.63942835605593	-150.6107138089732
20	-267.10979639543746	-176.3043797548208
21	-291.4120128643084	-145.99882880730627
22	-135.40852802271684	-402.56239744869083
23	-176.62992117997118	-262.1551989435959
24	-341.5384003518805	-120.18484552784173
25	-344.8213625835233	-414.67059622686867
26	-246.5517893384269	-286.6237824290909
27	-239.80530518805818	-339.09639815285163
28	-302.10902962207336	-97.80547413688844
29	-152.6554213024164	-450.24487260730575
30	-393.49325682285684	-377.8752688836798
31	-478.7972419848154	-517.5899343061683
32	-473.031374168915	-345.73667335426103
33	-397.59260963344366	-379.2681958124292
34	-508.399981121077	-532.0008064432061
35	-430.8712212819121	-411.2381437496817
36	-489.78113110513385	-383.2183448172269
37	-358.46944173915057	-414.5991492910227
38	-371.1420474761994	-428.3258996421817
39	-361.5881198068422	-347.5955398992603
40	-342.7141062913007	-172.6799179685704
41	-491.5830505724742	-392.7475014002785
42	-103.79749943274749	-303.089147503234
43	-433.96512954757	-375.07567745502786
44	-378.3275397085125	-393.59164764236795
45	-448.4260845437175	-431.32459768590525
46	-373.88763688926093	-408.47964964989956
47	-335.6492541205942	-314.19216122412456
48	-409.5312917684091	-408.5628789441291
49	-539.2233873560667	-487.8183362679556
50	-426.17541532150267	-337.1711029796521
51	-476.6094605279762	-464.547330312648
52	-272.0638007268232	-161.57973867923
53	-297.05399702870255	-367.2081588609068
54	-444.17911431218926	-231.75367108773443
55	-262.80233118567844	-91.73697126072328
56	-210.65561262022985	-31.66623002894407
57	-194.98635315619498	-373.4833980543752
58	-131.4947230960676	-237.36128378066076
59	-229.03912397862544	-327.5131358955088
60	-195.17385291957237	166.58101811471784
61	-197.28955522754197	-125.90576459008663
62	-280.05996707433474	-217.77880582543816
63	-68.1362774621174	-471.5318876204343
64	-384.82233617545575	-211.60485685806282
65	-213.31154167194342	-225.36838723686037
66	-296.30651999611734	-279.8022644572119
67	-213.62871644215676	-267.00634581302967
68	-321.2582404365966	-315.61289983180734
69	-81.85654242320629	-185.6168008534519
70	-334.2182234911061	-373.8264571822823
71	-54.46090054967633	-406.5157112130933
72	-336.1531109194325	-180.04365498616212
73	-379.8702008400306	-358.82622432580416
74	-318.2358671594784	-295.39658321590616
75	-167.44733911838995	-329.8081198548585
76	-329.8262935691565	-229.0860778999089
77	-284.6875664417049	-229.01884932428644
78	-356.4927302990783	-21.78522748225008
79	-280.87888570880045	-454.04505599456087
80	-255.7052616416106	-69.17877905982412
81	-311.6146989923675	-198.21072811739305
82	-361.3904625648674	-162.76860883161027
83	-108.60242886335456	-419.6901676618522
84	-234.73451156335912	-123.22709329811413
85	-305.72423254608856	-219.6697443303859
86	-74.00860933123506	-65.29847741735905
87	-242.77334499041442	-96.89965161943603
88	-276.0628347114483	-62.31421848389734
89	-168.16931089120516	-199.52905973104856
90	-216.8472082076472	-65.0639930877825
91	-365.7913602762073	-123.46349159815239
92	-124.978897271336	-196.50921840228534
93	-54.7080242360972	-78.25293963293618
94	-374.3594198669669	-131.4433746368868
95	-94.72457038865906	-125.88151643027025
96	-296.4176920235631	-217.56417851474586
97	-149.99022674305678	125.62636199948716
98	-146.34230287535325	-180.41650331500915
99	-94.4703566604641	-108.28716908903097
100	-195.91402794311642	-469.0486152141671
101	-139.3648792495023	-121.69348313813356
102	-160.21112504504015	-104.6875705401504
103	-135.96319732023343	161.24309210588174
104	-331.9572933609717	-47.46567064535077
105	-65.86158945681245	-427.5777427487354
106	-117.06316478342275	-112.8518267873021
107	-171.92192018215889	-124.90125654877873
108	-64.67686057412837	-183.0144341986422
109	-264.9003366492343	-236.0526858954239
110	-271.4592997020958	-19.09555153432484
111	-213.08873444329944	-134.03343046196616
112	-165.01682365817163	-79.90513752401844
113	-128.38346879192287	-125.95172616165101
114	-224.1121252388758	-326.21870055098543
115	-225.86257816632076	-244.90536280497872
116	-120.89353575513405	-81.41698003927343
117	-159.8999056359065	-244.36823360810502
118	-124.60642709592088	-70.21308035880168
119	-279.5712654690934	-216.28629861196308
120	-153.6177107483963	-71.64266086003124
121	-99.49623594892924	-263.82865547691915
122	-238.6939820861427	-209.32814184149277
123	-165.77396561405732	-145.99176866675097
124	-118.56014809810773	-240.24700669488575
125	-75.82026687618324	-130.42461173321686
126	-160.11665837827496	-135.0660967399642
127	-90.5685359478467	-190.82587558706365
128	-265.35912274966	-163.90739426875845
129	-59.894214716283	-83.11839730294277
130	-147.99635361522996	-131.20555007204098
131	-104.36658202801854	-104.80354244025703
132	-238.7846622486895	-106.67500371314651
133	-110.09167954298685	-117.19778144870844
134	-219.34128356485644	-225.08071151112443
135	-34.227494573544796	-76.66512268289188
136	-217.31033019628305	-118.39076522180468
137	-161.3787600079001	-88.13503825098645
138	-44.483972328463175	-182.4992934179861
139	-125.7610541273687	-331.55913218086357
140	-56.174487828138886	-104.78268321692245
141	-129.449569005589	-151.48849172206275
142	-189.8718221150243	-117.03205612046055
143	-171.97279455868846	-87.63880017062897
144	-114.56833152573222	-87.90457266225826
145	-136.08128270808692	-56.71708855703793
146	-123.65899041781127	-186.54249351516154
147	-278.7512657681651	-82.61734881242458
148	-167.42283551528976	-225.73538880827397
149	-215.98065445159523	-67.33019117999055
150	-177.0254113059894	-191.9282947538494
151	-80.77115875410722	-111.16693891858029
152	-65.43072367485188	-85.94356609968567
153	-74.7313972704039	-139.77601424743347
154	-168.68003982302673	-179.2671806612033
155	-85.17224576308804	-4.075006762985765
156	-183.1423248484122	-94.42296107197798
157	-93.44794740536413	-90.6089468113555
158	-70.5636308707499	-45.83482348566844
159	-121.76360474306126	-225.33741328045804
160	-230.74318637214282	-84.28394191038157
161	-105.2385158881666	-51.30184658944422
162	-200.2635090105705	-106.24201317496919
163	-110.34691494552894	-131.81361713928143
164	-34.03925629884534	-83.35871318997303
165	-61.43745150592093	-78.45365586556375
166	-148.8624705850101	-113.28008162977775
167	-36.54445356487789	-98.547306219226
168	-97.94395472167831	-96.92643800433585
169	-104.42786967636509	-94.04686508182358
170	-128.91956312472178	-28.02884435383962
171	-95.74517703675093	-111.68334851989823
172	-239.27888342884384	-197.2349963415307
173	-109.66511368831769	-61.61411750631897
174	-78.06526325954415	-200.5649406225035
175	-10.287137176325245	-106.90725451487879
176	-144.17245455568366	-108.38413719476262
177	-80.75921147421991	-131.54779802402518
178	-122.68773094601255	-254.21747261207744
179	-158.06590167575973	-126.06495806539614
180	-107.6974484847977	-100.20390772356981
181	-95.96695455747768	-218.81244331146422
182	-96.46490863339483	-184.01899757901225
183	-102.3409873395662	-73.76233797773946
184	-101.50022384574424	-209.64773794909635
185	-135.01331677401933	-155.5605694884096
186	-70.10934758183681	-99.6703748190657
187	-129.73787071548892	-158.6473876144118
188	-93.67071701205468	-117.17037417515178
189	-130.88930615796465	-113.02924893545234
190	-69.67274711534411	-139.5225421864747
191	-95.38310961594587	-124.82173467398066
192	-101.69911871428518	-269.773540426673
193	-94.54212957746357	-34.85520906833124
194	-77.6049072528953	-108.49708680630002
195	-129.8648930425699	-134.49894483441113
196	-299.5409677582899	-118.66789394701141
197	-109.466615799867	-169.30747067682154
198	-114.55184740220463	-108.55685697547796
199	-121.35634718961892	-173.68210885625962
200	-76.39035750769055	-65.6398658402386
201	-239.51089142715054	-72.01954255734488
202	-144.75980471091967	-190.78362589707277
203	-77.09673136062085	-119.17221036535942
204	-57.04162260467843	-97.03525169438349
205	-111.67442067977836	-70.15777708888177
206	-186.74995811481378	-114.83971852418854
207	-155.15918384814938	-77.56112276625804
208	-124.32366082524051	-69.29260486804388
209	-70.23694719879117	-126.64790042272787
210	-55.551133707507496	-75.13206378208326
211	-94.26857188667688	-92.58306344239152
212	-138.547531325755	-71.49862062182633
213	-76.24768650093459	-240.05622671784457
214	-54.46551270384706	-73.71527743509128
215	-110.52288436529118	-207.9881835911507
216	-120.31305441098688	-84.94587805225359
217	-88.33112586946832	-180.58594172439302
218	-86.566157200601	-80.02330917828718
219	-109.4794777998021	-98.32005187539409
220	-112.54173784457883	-75.36191701444379
221	-129.57447862386903	-111.39164993524004
222	-81.3353067082038	-123.75605230282586
223	-58.2053905091032	-91.11576581297724
224	-60.74759329388093	-62.35235787465501
