Environment: LunarLander-v2
Agent: DQN
Experiment: standard LunarLander experiment
Parameter: standard
Time Taken: 791.4794337749481 seconds
Episodes: 710 episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-86.5911376930345	-148.34294647402325
2	-135.74086790162465	-405.37427440217147
3	-299.2582081309904	-698.318977934094
4	-519.5527370823006	-525.900228156247
5	-101.41753042848057	-540.8956802532264
6	-462.2879231755624	-559.2638990378822
7	-436.2330723832047	-1756.5526911696568
8	-345.81975319904063	-519.7490442715006
9	-89.15375047386921	-573.3710750170346
10	-73.85959334671874	-384.2517189861008
11	-429.99299556191716	-395.74727876528493
12	-86.33426179943874	-530.6233315624405
13	-483.3352096969031	-529.9819534143548
14	-160.4457483051095	-409.42414470702903
15	-218.48805968227248	-846.3779473067768
16	-24.150056778093543	-924.7432572127632
17	-234.66010031363635	-679.2063784124065
18	-123.42193933511925	-188.32864662255827
19	-261.50670417637366	-164.74210922661285
20	-189.01447583244226	-259.997075858185
21	-162.09964785497826	-201.50819738359598
22	-40.66601176257028	-321.87397172722757
23	-163.5083063260592	-557.2914997494761
24	-270.17548255642106	-104.98410993200496
25	-121.39978397603389	-401.8806310214148
26	-136.79513958307535	-400.3672786568058
27	-167.30703119429148	-480.28918307093676
28	-147.65657258245955	-666.8527698903705
29	-473.7845130087685	-740.7618727607594
30	-102.72567950740515	-431.9216899582151
31	-105.75650051525655	-184.45471264062422
32	-199.40739334152818	-340.0456145592864
33	-334.2760307295574	-123.24934683320942
34	-225.23312417684122	-210.60159648203373
35	-318.35184106752104	-426.089714183552
36	-105.46643153458086	-512.1356285010065
37	-269.69462058237923	-721.7194596519822
38	-276.51183768362955	-151.26294077604547
39	-199.34492987358823	-249.31420611921675
40	-113.5146854175134	-205.29693564260162
41	-88.81122457697926	-146.12744133138523
42	-125.73744386615554	-601.5583896671415
43	-245.50221722854917	-1003.9476390685227
44	-96.38201917301431	-679.8683074191347
45	-90.10403934571572	-120.23205174654207
46	-128.19819446613826	-321.5958298508401
47	-200.67146274980558	-318.0910893775763
48	-108.89220278308268	-483.871332352107
49	-86.17661742233763	19.843332424070113
50	-50.09436167710541	-553.026127654504
51	-202.62907322044708	-461.4068283734462
52	-237.86282270188545	-548.3252593298491
53	-106.68720300822037	-507.3679651038826
54	-80.87785150554964	-707.7149290977311
55	-137.31515574607255	-359.883779629219
56	-338.22334974137516	-372.5695481091654
57	-144.25891080202618	-125.5706711383457
58	-199.6149298334504	-284.89643160052503
59	-100.05313199302645	-454.2690821950612
60	-237.8742571535705	-434.51576612157515
61	-142.50575715048592	-591.2577619306398
62	-217.03588089633217	-949.5558373184841
63	-115.42811409589753	-334.1711825195016
64	-108.06868259764984	-553.1398337102637
65	-289.1397569528777	-443.78232794016236
66	-97.3022907405865	-385.0476864146956
67	-152.23438480877473	-431.1581450915331
68	-65.66609190062167	-659.1180557836853
69	-60.82273577376226	-329.9509902503706
70	-62.28934388567387	-350.9945005067327
71	-251.1820079581297	-372.01093451591373
72	-85.7645793326677	-251.1408380950755
73	-156.9885358786841	-306.89016970612835
74	-150.74308123579485	-281.6652044252541
75	-273.0922224533614	-299.89686266213164
76	-304.09439202109064	-318.7835311896756
77	-264.06590216643303	-245.1075077630761
78	-86.12444332738644	-534.1595244337034
79	-456.34566414388877	-430.7667673258637
80	-253.92961675911576	-569.1783775541928
81	-65.40322664193907	-366.87780785084044
82	-35.75479902400963	-220.04350482739267
83	-275.78907812514933	-226.07187186366147
84	-283.86970215885754	-177.72126668409007
85	-260.0683090083949	-334.3693653446552
86	-369.9693619835782	-593.5150947545922
87	-120.05315370809558	-85.4794641911194
88	-97.49568046419586	-150.16149569003295
89	-149.7174590917462	-96.39662818544335
90	-115.47347262374745	-227.6007905058265
91	-195.31376713942478	-193.72201551244734
92	-182.58389686857447	-387.696806324605
93	-257.1655451809517	-220.6382913359247
94	-62.394002017361046	-313.9626351249999
95	-144.0935334583105	-312.86886577982216
96	-150.32725225735322	-193.419749037572
97	-229.01279742286553	-267.48017209461034
98	-320.5196758692192	-354.3513127159474
99	-168.1442187671637	-127.13666910320332
100	-141.018733370444	-137.8332111120556
101	-16.85852193989956	-165.18515842110125
102	-20.176770184485363	-159.84721944723483
103	-162.8654322953795	-189.71088206738204
104	-96.3656916645974	-34.805255345965264
105	-92.67715775014518	-178.46734266705138
106	-105.21924081416746	-156.0062608439735
107	-14.984518872299276	-194.78962710943284
108	-162.0034554361091	-222.66466019110243
109	-41.33946733668641	-165.84715646682105
110	-120.26461868992106	-210.96987230185596
111	-124.98786116069624	-241.66011351300338
112	-208.35430441710076	-151.33809836372916
113	-127.07460213304503	-161.14716020922341
114	-92.2282683721438	-13.03880425874081
115	-132.65839348906712	-210.78244817939515
116	-72.8989715772594	-234.4874146932572
117	-255.10204307334934	-173.07131128114082
118	-94.46087023275716	-193.66074932764096
119	-60.346014719141074	-164.97820711975305
120	-123.71054190641954	-235.15363075067808
121	-117.7097999780775	-137.05704350621158
122	-107.55529443368982	-201.87800149491963
123	-57.469428925193945	-146.07671400331978
124	-152.55421244861031	-147.00674933184905
125	-220.46719411578977	-183.78893972893775
126	-90.14632439220266	-171.0450624639219
127	-121.11784333604925	-166.3995791652036
128	-173.99684332682108	-198.3054132076718
129	-26.180916113566497	-150.44441576908272
130	-67.090700729488	-208.07701945921445
131	-143.77454820066924	-61.84257832903947
132	-100.52855595295009	-232.07473615650852
133	49.03742637063176	-172.46047670677635
134	-64.28481752354016	-173.04098220439593
135	-72.56946951232642	-167.1740987483389
136	-150.11589973779786	-255.86676180800322
137	-98.30597493631987	-148.29552947186443
138	-80.0416063063113	-223.15003338852335
