Environment: LunarLander-v2
Agent: DQN
Experiment: standard_experiment
Parameter: standard
Time Taken: 856.523232460022 seconds
Episodes: 818 episodes
Max Episodes: 2000 episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-119.31346230572233	-163.20094941456173
2	-96.04906797268441	-197.5712678492534
3	-149.64520919872353	-620.5100766954641
4	-228.3205059365959	-3671.424322780595
5	-67.28076529392766	-595.3657618135669
6	-276.6432805431999	-392.3964159900825
7	-189.43131074619475	-660.2094824823749
8	-189.62235421069067	-334.2883594992933
9	-138.66836526197628	-241.37915556279214
10	-364.67185229198776	-189.92281319352128
11	-90.47860967562453	-408.3275866567957
12	-111.4150864882461	-649.7152817188218
13	-108.91089724854614	-455.9120294136778
14	-200.3681775494747	-215.99787346806482
15	-255.05705883973243	-513.4176818776771
16	-127.1959792040347	-708.054393229942
17	-69.27436275665383	-421.00071178507824
18	-300.1002938135449	-308.81483292662375
19	-172.36639563040052	-232.14366194352095
20	-126.17162052435229	-265.92322502046454
21	-175.2344578763981	-729.9248928403957
22	-106.73309096911966	-383.3071056059672
23	-216.76875000738227	-374.6652610515282
24	-77.41961358806722	-245.39089685395965
25	-137.22197302330264	-479.19679262180813
26	-196.53060039113933	-446.657965126763
27	-154.00941796929612	-497.3591973408069
28	-118.39897541524604	-642.3249316805318
29	-52.42635700642755	-336.4338412127655
30	-197.8838322120709	-600.629947028894
31	-216.79614039106445	-525.5001566706243
32	-98.18588513477229	-530.799824171878
33	-146.5543050380345	-368.9193445735593
34	-119.16538637805178	-686.1513167521086
35	-171.68715083926537	-462.7248016833697
36	-168.14306848031157	-349.7019744665707
37	-116.19243484573289	-591.6516302656964
38	-60.703618071870245	-398.6183528826659
39	-204.16005539113826	-267.89377117307345
40	-124.26039686498999	-473.1533034327026
41	-43.04181202401886	-251.9012579899685
42	-227.4729790712916	-270.3628288725881
43	-112.63734836470269	-618.1156670107385
44	-250.8135632489501	-442.38127863279686
45	-97.49012889639947	-598.8518658636567
46	-315.10470992056895	-717.9478897085685
47	-238.36001963821596	-358.10212100783434
48	-162.51512325419685	-617.8061003470426
49	-292.10318653226034	-277.7504772167005
50	-85.76227923273149	-351.6500409359533
51	-498.55835061062334	-630.1905192204861
52	-119.50104180687704	-492.1501521385143
53	-293.3557831734562	-374.9260748394147
54	-159.2983036898155	-468.75327804297837
55	-118.24303263287874	-481.08422875207975
56	-220.9086582281135	-591.2206355048695
57	-34.14499379936639	-515.8976303446377
58	-252.39798301254388	-459.47913945639596
59	-154.99261209099592	-408.843019012693
60	-342.4164975725634	-588.8017969300165
61	-422.48144388312943	-178.64743058959812
62	-64.58146883235206	-155.13559663839058
63	-85.66030362692676	-380.8081245908248
64	-89.6403832082417	-189.9428069391341
65	-82.22598635261801	-382.27602983846367
66	-73.568252816675	-292.9697947825908
67	-235.0978321686825	-347.9854291395061
68	-84.85809508981943	-195.54044581298692
69	-71.22397324096151	-290.75737796176406
70	-8.039882159876996	-316.68071488251223
71	-105.67188146432201	-206.70974811526335
72	-224.56057445800332	-166.25097276568727
73	-136.11410595352086	-234.8471610383659
74	-160.20466625392632	-338.62951939021093
75	-184.11841592763403	-379.392513007216
76	-186.7521947451698	-229.72095468325594
77	15.441074766127329	-166.9172035200574
78	-224.31644753864504	-214.32622989743865
79	-249.6918501736768	-331.02344212359344
80	-192.0286191743806	-228.05681843051067
81	-255.12930711618452	-129.24132445950121
82	-206.32744504341258	-191.97843469043627
83	-190.856967760463	-223.94867043069596
84	-207.53942685346584	-345.72420489432534
85	-49.413313682164414	-138.0446177560056
86	-196.32437317792014	-8.471984602578303
87	-238.6176411877007	-83.79540224503033
88	-275.91251113368935	-98.51079515140904
89	-308.6863866275042	-305.4850275138098
90	-74.19259414596166	-354.5093042646298
91	-38.20677845445917	-269.7002673534902
92	-167.17808883218163	-179.74572258813865
93	-251.16748375605223	-70.49494565944343
