Environment: LunarLander-v2
Agent: DQN
Experiment: wind_and_turbulence_experiment
Parameter: Wind power = 20, Turbulence power = 2
Time Taken: 1024.465490579605 seconds
Episodes: 1012 episodes
Max Episodes: 2000 episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-294.8578966370844	-141.9929365255845
2	-102.50625039117004	-88.23692987915949
3	-197.5080636453522	-44.01703371542213
4	-154.57147587350704	-629.74869527318
5	-313.41604680452036	-209.98923358372866
6	-114.93688932462265	-511.1767035211885
7	-260.16642116236153	-364.89791471114756
8	-110.8271151322337	-343.7338643570192
9	-265.8506753667333	-718.1116314152031
10	-144.54409379361636	-774.2743906809962
11	-85.58198533124359	-509.7235896288015
12	-90.43832317771117	-464.61477052544933
13	-87.85633797790426	-494.79895333708544
14	-210.79033138151334	-466.57041539348694
15	-163.39358323785598	-448.6875184829962
16	-119.04384830104405	-59.00426763217259
17	-212.86665548458245	-191.31285679567685
18	-102.07095195929801	-49.8195579220252
19	-80.02181676911891	-529.9829483898759
20	-369.5117534809334	-304.28390212106194
21	-184.23514249380042	-317.0933321502031
22	-307.0170493711257	-757.880026289337
23	-187.31726149250207	-151.34169115923316
24	-105.4858266534232	-127.3580960057964
25	-80.1432623821145	-467.3166243038901
26	-130.32264125153694	-140.26235910411225
27	-90.60699564166242	-134.2670058419888
28	-140.349503475475	-189.70279466537164
29	-148.8206984749047	-229.71955658772268
30	-194.33468982789623	-210.34133948280817
31	-425.9735146958245	-185.26578565805818
32	-109.43079525643599	-191.23932827368085
33	-118.27920549149457	-186.6974343617983
34	-444.6198703764795	-208.4870014662631
35	-146.63201934225205	-158.30510286644574
36	-192.0577964054528	-228.56677864912027
37	-74.11371334093158	-112.37092096887969
38	-110.65303805402061	-118.47922043544222
39	-136.71724668310242	-225.5344200755353
40	-260.27090667521395	-220.6445565149798
41	-213.41045262368158	-481.9243160941405
42	-172.39188251527247	-285.60849464041496
43	-52.13388488921534	-202.7496738093158
44	-309.61978446367186	-211.90053151525345
45	-308.99947753677463	-183.4457733738268
46	-92.90926996116019	-213.67691321945455
47	-73.66862996842075	-276.41238736208834
48	-48.68816640233134	-332.558177538924
49	-181.44608104227632	-228.2239004042515
50	-214.75694366199895	-294.880339813163
51	-37.111156420018474	-210.77459377238839
52	-177.3244412808234	-191.8697782450079
53	-226.33136158506113	-192.9649317357729
54	-53.01001240955802	-64.81543619586941
55	-231.8629301066071	-174.44247250648817
56	-192.20032747298828	-81.34596578571868
57	-327.02617470413236	-413.05759878518677
58	-139.8557833380546	-217.05756349284496
59	-289.16152024817427	-306.36405056224015
60	-86.10989927221848	-335.10464989648216
61	-189.55586152136732	-259.25872864628855
62	-171.14486797777096	-307.40753700228447
63	-269.4443424642153	-361.0474936133134
64	-47.885458631611286	-247.29319324998684
65	-212.62583972577696	-276.61836587403286
66	-74.16432298537703	-232.9856976557964
67	-96.69638803856859	-199.456998186352
68	-193.07537453746065	-165.9939714609245
69	-197.11191305485468	-149.646087272284
70	-182.07425098384488	-209.4783344392594
71	12.099528420461482	-125.49251833902008
72	-91.66393073567367	-349.2813009696275
73	-237.80641141660374	-187.09414868403803
74	-269.01964079511663	-223.80940986800016
75	-161.13150998531438	-109.22219877101814
76	-162.68062866864952	-350.01779840972017
77	-350.88991689376223	-429.3051977724556
78	-216.87802430820992	-376.251759522877
79	-101.18515258108688	-398.96023347250525
80	-196.92659860199507	-456.3962613377209
81	-142.72789547614025	-425.89863051690617
82	11.566252252427844	-286.53120897925277
83	-117.29077001925835	-164.68457061056736
84	-208.3864242933199	-293.7577247060888
85	-253.78342785499132	-153.98625863846632
86	-132.29423641316828	-256.41804462112975
87	-66.33759760702576	-504.8106133815337
88	-192.18570756405103	-308.31615328517177
89	-113.21175327240746	-430.3273483541466
90	-39.35515995109829	-331.1620297876879
91	-228.28401206234983	-399.91624753973485
92	-71.51107250866275	-371.61301909515066
93	-154.9412152786752	-404.9020614120779
94	-71.75114505042303	-68.09299025409453
95	-202.05799579789246	-77.24002265014002
96	-73.50362042806364	-39.92222141089018
97	-195.3516710468071	-88.47658973349552
98	-145.61449017183742	-81.62927427694665
99	-285.0295026108872	-267.3135935496517
