Environment: LunarLander-v2
Agent: PPO
Experiment: Random Gravity LunarLander experiment
Parameter: random gravity
Time Taken: 1669.4131200313568 seconds
Episodes: 1110 episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-135.18155615162613	-279.5004056905295
2	-90.2759291168941	-281.98147077119984
3	-131.68312773626548	-813.5483465518437
4	-197.98294620926552	-752.307549975992
5	-283.7982180376367	-657.8418047976452
6	-390.62277577237495	-696.3046649767746
7	-526.7144281548367	-591.2709039062802
8	-68.47147402862123	-527.1692817949832
9	-104.06685660118968	-339.2295620795891
10	-94.75166822219663	-406.27662251089254
11	-121.39392338041247	-185.41327915732933
12	-229.2680155148871	-300.03620256717875
13	-145.01233781180844	-154.9485092294017
14	-436.31009147408963	-134.13760388352227
15	-56.97029413910256	-693.6864129029824
16	-294.6806053142729	6.903784339088617
17	-98.16155814743023	-17.66209148522435
18	-91.14393112654693	59.89674060012757
19	-126.33086403284251	13.957398930260851
20	-107.42437090330252	-74.15383359288043
21	-222.68349847841117	-69.86810062176222
22	-121.60123112975572	-8.971666936343183
23	-101.89536661345812	146.83901732410695
24	-211.06881359555706	23.143822241871092
25	-124.02984113162226	6.2045219281285
26	-140.716654424492	-6.6800443664625675
27	-91.51336981311809	110.4222330698343
28	-57.500528629450635	1.6140432627394035
29	-106.60580499407027	-21.954036012647293
30	-59.2560091340709	-60.846269556775646
31	-150.52334923664532	0.6015408444064763
32	-146.33789811858247	-231.51506542961295
33	-540.3284667649409	-249.30311432550323
34	-204.92580767658515	-201.1042856810773
35	-44.20515216738961	-375.5354519816864
36	-440.32652837179705	-488.3310611716161
37	-410.3961954664923	-552.4726024017971
38	-521.6787812420142	-563.3261208026889
39	-120.86286171719605	-786.0779926314062
40	-107.08600572099009	-404.0610524786448
41	-242.07716703703528	-1028.1119256391696
42	-96.09700915720704	-516.8923065730264
43	-52.375136208962964	-736.4419893585815
44	-128.03263401432383	-416.878835790564
45	-49.79684592144892	-2307.761162610648
46	-30.161788461223992	-825.4517376185513
47	-171.31037968158202	-888.9531613449489
48	-59.10997698029732	-2043.9807744270329
49	-42.10651087688339	-702.7315141486307
50	-208.2512750620033	-1037.8698660108926
51	-384.56228395020673	-867.6212912001188
52	-196.78605657892854	-520.0339551057655
53	-196.15873972524656	-707.9445823749816
54	-347.94154024326326	-578.2302398912548
55	-329.75820522704726	-1245.086578557446
56	-534.3885650537411	-1274.3180016481058
57	-310.749127468301	-489.84300166736597
58	-188.2394543005206	-5541.94617508131
59	-401.5686164614604	-1546.917579933597
60	-184.5289085797838	-964.6583831572059
61	-229.74473967384472	-1199.1242659953273
62	-491.70764013573285	-1965.7741925814564
63	-92.4300261269539	-1926.9946035466378
64	-33.307746312148595	-1239.3071034804486
65	-311.89443541552856	-873.4134439182803
66	-295.23633698743305	-880.1399862045031
67	-27.67682546930554	-1168.3794705299724
68	33.97757623788536	-971.0353690624978
69	16.9010219105424	-907.165586957887
70	-12.778474009828432	-841.0084237986395
71	-287.29780641109755	-1115.472986147755
72	-59.17816916608889	-1163.2874267086877
73	-34.267407607860704	-1437.3318815425816
74	-215.07496131657058	-1240.240440157757
75	-1025.7921508213267	-791.506100594
76	-140.6582645330357	-1041.2152127885552
77	-562.791412815058	-1129.8380953724427
78	-969.269207179168	-973.792809554791
79	-1089.8840501502814	-767.07567266487
80	-524.1825744766329	-1489.5220963564325
81	-234.48247189057332	-1924.1991926650876
82	-10.417416534050943	-1136.223693264591
83	-196.50577702285509	-1754.937675101427
84	-21.904487682289204	-1178.7540121555128
85	-72.59687028666526	-788.0768007710976
86	-2.9617070584070833	-493.15648392932394
87	0.9037034408779903	-379.8144272620809
88	24.70815549420773	-366.56552470635495
89	-233.35726078307505	-410.43659124537794
90	-47.71470575055773	-542.2346081241348
91	5.905558957510884	-523.1150517944097
92	-30.554673117427285	-448.29115067658364
93	-18.94489432587251	-330.63884785633866
94	-62.6163798994603	-311.9361185700448
95	-100.1524264624694	-379.18967751002197
96	-49.483716916066655	-526.3226419196403
97	-96.76796472419737	-592.9835717965532
98	-26.446978006450134	-640.2602598889475
99	-94.41584996770949	-636.1208690192427
100	-180.15949803975622	-748.5693834081767
101	-2.503754738107367	-1116.0506938883445
102	-23.137483022437944	-1004.8164590780946
103	-6.731720818951131	-562.4904361091017
104	36.31654018354942	-438.81947516926465
105	-72.92608779959889	-355.7121544591061
106	30.477191306293673	-273.35105810227395
107	18.95966737645413	-225.2757316987386
108	76.64301111103383	-243.07499658835627
109	47.34434417667274	-338.96289738193155
110	-36.02360896672348	-643.8890275364646
111	-34.56265475339491	-1392.8665785236124
112	-173.88556274237354	-1611.388212424773
113	-180.64878308438165	-774.939794587353
114	-37.27588707757464	-386.4636547172832
115	12.825112381639936	-252.40942885812032
116	-6.233488016529412	-224.3232955948215
117	36.030734083389824	-209.0739535846037
118	33.63363272468227	-198.0354024960923
119	14.518194462159244	-268.0821752977385
120	55.29799626240874	-287.3169174333626
121	-8.579211668911762	-375.5161535970975
122	8.665259945348575	-330.1439614695537
123	51.45632787382994	-227.03411059011822
124	82.87498295827264	-288.4446327991894
125	-39.716146825959314	-471.37590205307254
126	40.99827115016902	-752.2123603972449
127	17.14491812593535	-706.0637669925267
128	-39.68859305854133	-670.6273844144749
129	48.6883729088736	-628.2658746295155
130	-79.53410803958081	-706.3669492373659
131	-102.78943895464546	-515.370830467552
132	-55.12636302137039	-268.5014824450692
133	76.52078212240927	-194.5533929351366
134	85.53432893918051	-180.9805668234153
135	54.651357663302825	-119.06558561488328
136	19.335899331900052	-126.07690933155308
137	77.8631271906472	-123.76641738503199
138	74.74180259876238	-117.95914188777263
139	62.6171553589146	-148.404092137441
140	98.60998713240913	-163.23806351910332
141	87.96335386183786	-138.063572234481
142	8.354904627404617	-86.73502061258819
143	-20.45729952796512	-150.79999701972304
144	68.73380858224361	-333.6069330477345
145	70.96330867554482	-211.98848905580206
146	-70.58952463395269	-159.09827274738925
147	94.07809308641761	-160.00156127161796
148	55.624229814760234	-156.12644367912944
149	37.81347790656928	-132.509150353583
150	-30.744232398093246	-187.6899925703301
151	81.64253704667448	-112.71616511811882
152	58.41453873829723	-89.54976467931135
153	82.52035330127909	-104.30666939541508
154	17.455302081118575	-22.616726185504007
155	46.29030066015654	146.24325209045884
156	107.17524969668668	-36.3860629404677
157	156.51077707785896	-33.671476806773576
158	-2.4616163260224795	-48.25548224756405
159	113.65431546924373	-84.85117240766391
160	107.83007399116288	-54.468202189629295
161	138.43419612154162	-103.11662245104449
162	102.54058028099037	49.30177006765728
163	29.442102485471736	-41.042356914963946
164	7.820948712695696	-24.448691235529495
165	120.23938532160986	-49.400425831211706
166	53.05067039239965	-35.626793955460094
167	244.72750263351261	-51.30174246422352
168	110.34390628308958	-42.75531639091236
169	96.44596251359664	-119.47878181388788
170	99.71987194925482	-47.73970543045307
171	77.30664913829509	0.6557449958635506
172	92.1782124267714	-23.621121774197324
173	102.55145916318506	-20.33214154806552
174	98.93827992240882	12.49775611206151
175	158.13447756521165	-35.29622809058992
176	150.94473575953882	-40.88516400918482
177	92.74626545799926	5.266980842675757
178	123.06628560682485	-4.900526819509956
179	111.04858287786548	17.49246176413402
180	160.36061544179995	-4.3186879233941795
181	108.58644285014853	136.3602918053458
182	143.44272856128288	-40.107436607075414
183	118.29825242942668	-48.2195205923366
184	109.92922428642387	-97.16553747677175
185	77.79563348184959	-15.01395429292574
186	97.79008354043263	35.270941860543644
187	115.89477121356599	-10.663001335099965
188	147.7646534358889	-40.99018271772424
189	1.601426298070649	-59.789207089217356
190	107.60831334997106	-93.41212476597256
191	18.712237431555813	-73.43851554632622
192	-27.788532943187164	-76.04990065629441
193	112.64080499227869	-65.243145617892
194	39.775647287406485	-13.047947025303658
195	76.66266085475122	-89.3826771872423
196	104.03867557632555	-42.250571032965595
197	87.19882344434708	-110.23415013032694
198	38.404803551578844	-95.24454953938626
199	96.13580333430613	-63.936941993298845
200	66.66690758764614	-11.976463299547481
201	47.14957985819912	-35.05231004784538
202	212.4749213625562	-22.12650691916995
203	99.16677696207852	-21.239493296966586
204	63.27398617048932	-14.270254171711471
205	38.370223726506346	1.6908156585715788
206	88.60825869293458	-49.42550358790012
207	85.62085185897269	-26.168619006846402
208	115.18805895272277	48.65028147529574
209	43.02079204781479	-86.6503364667862
210	138.12892466529044	6.1485597844373885
211	98.0017282103089	20.051896440187562
212	91.69280722378623	-20.930552723933335
213	80.54190255877569	-7.558085914969254
214	223.14268944494086	17.087318578674825
215	88.05592840108388	4.487083972361894
216	96.15144320940428	47.879814694745086
217	123.31313189161824	21.980698338321464
218	110.82458829841329	-28.759696257966645
219	82.15325546870045	-38.09429998442724
220	98.84710032175812	-16.756033240946824
221	129.97705749320778	49.391218778768135
222	100.8161231470014	62.21681531357347
223	108.3785223833944	22.784421947036726
224	103.99735029538937	53.49469688169132
225	154.65013747186097	31.467409503494533
226	205.4420125881312	-28.655337457971243
227	122.8155779187872	53.47345008629963
228	92.93084292835044	-20.04271911374218
229	85.63572450890399	-19.929644993828187
230	58.607082589934656	-17.79416405540866
231	23.839637928044294	-67.94211340318844
232	94.99711783839788	-35.64190984039851
233	95.67020184351333	-4.684862162173845
234	80.87262193625202	-20.800743055002737
235	68.13022575717808	-47.73396167685077
236	57.61508224265213	-42.43230659460829
237	56.520770843306636	-18.00562511106386
238	72.53343442594627	-61.992045473779854
239	106.09915817438343	-34.73792653314664
240	57.58446088503841	21.050878425023704
241	215.62061295848113	28.96328209821828
242	95.55707224042268	3.643079631600907
243	92.20024372843554	48.96673193858407
244	143.5546383247828	50.33856364569573
245	220.02696694887337	12.442851608609399
246	65.96614534089794	-11.924859969571436
247	143.72246215935135	-5.5096367297522315
248	85.39991988248036	-27.046283161831163
249	86.3855280106142	-74.38657909109635
250	36.41316626971095	0.8448895832629826
251	67.60075303244116	-44.83623673469026
252	0.39590478380864613	-81.23495836837763
253	63.66785882705279	-100.77887594312868
254	258.93315490945224	-8.20465325850375
255	35.52817247422591	-123.65135082944262
256	38.1595998937172	-68.11675324229614
257	22.405679594770625	-62.2735789443069
258	21.52158722112529	-103.42421118986275
259	83.47358412622768	-104.69643779141678
260	72.75587951654056	-79.96792233131606
261	55.88322899865478	-61.67975772229162
262	68.20730287592652	-7.697141747513446
263	46.08950280385746	-57.424015509210314
264	20.634590374742878	-76.4277623113283
265	69.80280455055242	-35.55567801918256
266	110.78926400749947	-21.278251045197795
267	70.75796990325915	-47.56553961945614
268	108.46753300490383	-74.73531008401748
269	76.71245542082285	-86.6650566014678
270	72.60922843042735	-76.5054639095749
271	61.14822251534438	-74.61606746524254
272	29.312080158514043	-79.40826631489713
273	43.112591885425765	-79.41080795757445
274	89.03514741825481	19.078900656632367
275	25.916355077598606	-46.37819160213881
276	72.65354927505635	10.449240035878729
277	110.97079078870836	9.621865706683261
278	59.72972209341781	-30.568514761560348
279	134.624644107274	-1.444562905121574
280	51.31748937663356	-76.2885803361276
281	90.51317903373324	31.780376528520822
282	72.80110932446276	7.09523897183238
283	57.430347593321684	-0.9257902177816311
284	107.09533066269918	32.514017791033446
285	81.82842271038399	34.99255272237312
286	79.29757100393424	92.00803472636792
287	153.89091913988557	74.5325753601204
288	112.55487667443326	43.27642818052021
289	124.7008437830291	71.32721225190592
290	88.91264210626329	65.26274922575824
291	89.89874880888503	20.93262261042658
292	100.29344586046491	92.90739519757555
293	97.25268508805942	59.36449492400913
294	60.40288759107163	24.464072467191105
295	124.23737376791827	19.384539781828444
296	99.9932515284775	65.85089403425746
297	116.32753298824628	21.910681762048043
298	90.7794667638841	94.3881115562447
299	150.67608902818472	-13.431322735505795
300	86.44060002496927	17.679403092863605
301	82.73745710479535	-72.61025882145458
302	113.79039870525465	24.031476846924452
303	140.25891308801877	52.461508284463086
304	97.46261677869839	51.06616272825394
305	90.02711001050912	48.49623368130324
306	119.8007148732512	157.17714834270214
307	100.91796065196722	15.70115396060777
308	47.73083266187812	10.904020460923759
309	122.03961661275824	22.122233609575026
310	125.00839091201496	51.6964513290628
311	130.25158648698854	70.17991727004666
312	88.77460896645044	46.57839907802349
313	112.14522156928578	102.87566680052201
314	143.90160496649742	89.25453384443638
315	88.67465989008736	84.15589070460885
316	255.9404327572898	73.6317983393809
317	259.89217811491574	117.5271750850317
318	26.9364296852319	106.64692852038075
319	106.40352205325168	48.885380038623516
320	200.15932794541413	76.06404813282371
321	212.29334023816148	188.15104551010145
322	199.81216283366555	32.494431982231
323	248.48383780904663	-78.63929486640157
324	33.53270925627254	158.25001198230947
325	77.45532846140675	38.26906265410153
326	186.57765684940657	-11.906311869464147
327	171.79842841136093	189.84171802537037
328	190.43929898333516	181.91997722970814
329	53.36047443895856	152.79393776454188
330	210.57968696725572	-81.5622908723382
331	248.01517196723916	197.19681396932646
332	-37.39225426918927	143.79186880547098
333	16.96855699739821	-27.73320450551404
334	231.45242509428732	45.018541145266845
335	235.58019072321642	233.55708493179142
336	55.348267955196945	213.21637612929882
337	153.9942634435767	210.1646854556559
338	31.50623233738409	33.83318750943563
339	-39.50858561130257	92.30233409102387
340	121.99481540865817	40.24600850250856
341	208.115854908119	187.45099705206897
342	-21.15863119176241	148.7668416270148
343	45.03956016653394	178.15274566350934
344	223.78965226407504	180.915017659331
345	140.0681072548265	47.93839169031243
346	126.57640704684441	177.4305094736632
347	141.09780585308928	194.5646595185628
348	131.87598974424643	176.508837270612
349	210.97517243268516	50.194612932600855
350	-22.328193857343322	171.0879415322725
351	220.8834922560053	12.75997994931998
352	104.76268364059123	-4.773572466826389
353	182.4159803201162	127.55143364752958
354	100.61867747226684	149.19671228683538
355	226.23841729747417	143.3229035920246
356	24.960727864773077	-24.77711323487778
357	83.59695359513431	-74.87064292568502
358	89.51349076274668	-39.99758657013498
359	62.330690173502596	-107.03309658709604
360	69.2967398348464	-7.761733032157881
361	150.83930207622535	-17.686399365420947
362	146.90353456808313	-18.059641652602863
363	162.62257872810727	-104.34293573629787
364	126.7098530757944	152.85940354852457
365	87.76209473718592	147.81862261810375
366	138.89871014247018	173.58937064730713
367	230.63808342943858	42.095125989023224
368	224.9331209984657	9.279449070797527
369	106.57233518630585	163.03168507150292
370	60.8589967512109	-2.1214791061997422
371	60.482583029039596	106.16866938594765
