Environment: LunarLander-v2
Agent: PPO
Experiment: Random wind LunarLander experiment
Parameter: random wind
Time Taken: 3431.656322479248 seconds
Episodes: 2000 episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	-255.91050799676674	-693.7374929755525
2	-71.43180181910999	-373.5612252692488
3	-439.25701054368443	-379.8036865024928
4	-92.95976260919801	-227.25816219395048
5	-247.2997977536035	-104.28789785626351
6	-34.47731020868261	-78.35836493300087
7	-8.671140294619263	-12.214439309147963
8	-102.31719200424298	-120.00819916764402
9	-57.030989573380985	-518.6529270089814
10	-159.1620722022588	-572.0692176924709
11	-88.37341985058913	-97.59798471927341
12	-104.40925036314353	-638.7373169552277
13	-195.23589863913236	-483.4739157140504
14	-265.44593912209587	-198.1830652289678
15	-60.08001243019585	199.47134756081425
16	-57.07498378750404	-88.06688267692653
17	-74.02706395426512	-83.74688595387258
18	-69.98196143951213	-2.6700983806865537
19	0.027316136676475367	-154.39139915987005
20	-141.1872590607989	-18.39683044808163
21	-132.90539543541598	-17.32862626540158
22	-73.5198195148545	-11.021711271347996
23	-124.00502458198949	-189.28255815046555
24	-63.215160786378966	-166.26277096748754
25	-73.59019421318348	-10.17633661741803
26	-64.31292379796864	-82.04017558227397
27	-87.10645580636407	-15.500303120633248
28	-225.75157097073892	11.820437550715823
29	-16.911280626941988	-22.702504834409126
30	-73.83522434504408	7.516021174043573
31	-98.52803763066686	-43.89949957201779
32	-53.34849004232434	-449.7813235697997
33	-84.66074566902239	-403.3085426528816
34	-59.969790291340416	-274.3694192942975
35	-84.49921136257015	-468.22424823823786
36	-230.20893921290858	-465.7397958490546
37	-225.25016609454283	-743.4361523436679
38	-29.740391068023655	-1280.9296572616227
39	-47.45237953511456	-342.64969622840295
40	-226.40663716845668	-1807.2211908675529
41	-1057.3126597077057	-1486.6558280717152
42	-70.7524644337239	-1310.4823180143983
43	-194.72939565649347	-2953.1305260798795
44	-333.4756497365776	-1537.189136665908
45	-230.0912401149317	-772.3703923456084
46	-75.07360900955652	-579.7138277648477
47	-73.12287163385983	-665.2199803373334
48	-30.2853899767491	-718.4957591670807
49	-210.10830303120997	-648.5638347149778
50	-45.56171890846507	-634.3397900635658
51	-32.25354237397521	-744.4939482661143
52	29.46951365745835	-1008.7867860640132
53	-19.07019941699795	-1612.3723202420485
54	50.51547608736429	-2393.5814522233823
55	-33.942784816296026	-1974.592805526353
56	-76.58498930877943	-1407.9720166106633
57	-596.5660999669376	-1735.354296076209
58	-27.040450261514877	-2972.7944318842287
59	6.109799888691029	-2755.023064955938
60	53.64630783171562	-1070.2016726146683
61	10.542901079465196	-1434.719744968775
62	-93.45035818717508	-2750.4805649523964
63	-33.20820349592071	-6890.204840993921
64	9.803265279933472	-5454.40745760946
65	-309.5646591025727	-1859.3119780332652
66	-57.62035141728229	-742.0665936522868
67	22.635703851411073	-558.1556747538667
68	-48.42763603239429	-522.2742943417144
69	-244.89739277498808	-566.370690810775
70	-64.09893314867598	-497.7501715753802
71	-104.09902218624686	-700.2758076609992
72	-26.668389930189406	-633.4362352527255
73	-100.20439386359679	-682.5988630472051
74	-58.06190906609379	-583.8988390819607
75	44.82187178641562	-604.5450298096374
76	37.04391274248861	-488.10539669643356
77	41.51109676901802	-506.6306572215629
78	17.166099134063586	-532.4505041301354
79	39.00895661844834	-553.8494095599324
80	-110.91977076573554	-688.3454401257965
81	-36.075574288713256	-784.5634012361182
82	-96.91628662540664	-640.3934472798564
83	-231.18759772329594	-824.7758931927515
84	74.39664982597023	-943.2928875905629
85	20.72225010991812	-1029.5001796040385
86	62.055986229350395	-1636.2264134346485
87	36.87283838454654	-1458.0358707970179
88	37.563806604039456	-714.9454274113742
89	86.56864399025315	-435.12372279101925
90	-17.206387180959965	-472.5838918289916
91	70.70472170707328	-373.0625305046166
92	123.98261748189562	-364.29838748431683
93	67.77433882532115	-404.1053118052455
94	38.880413970354226	-362.09380638566137
95	-20.83027356973102	-392.06936242970966
96	43.098350625420466	-335.1481038334667
97	19.632529620298072	-401.149322979467
98	30.165796880331616	-439.0108701476409
99	-71.93265752247828	-365.9862005486853
100	71.42909244203258	-289.4835293403768
101	16.838806652938892	-199.83676197019773
102	43.89354083567733	-166.00238915355612
103	-16.275859882122262	-192.92441464476727
104	56.37736856209146	-200.39743123106228
105	51.24021148568522	-175.83366758647873
106	128.48546742638734	-159.7787001083053
107	108.00334019700611	-169.60445218159884
108	56.631871861695885	-219.11658296668168
109	101.99437580908216	-357.38366868128514
110	20.184348415251357	-347.46610178679117
111	32.68694999073444	-292.1127679932423
112	68.67410847425309	-277.77233516824185
113	-36.781702257550585	-508.3764437427033
114	136.50347889676706	-823.2957511769805
115	0.02377257366500074	-570.3733084121452
116	57.10494774078077	-466.1079494352065
117	-17.47138870156003	-393.81629195157717
118	-59.06076009066101	-354.80254755184296
119	102.03483734585275	-237.35521952706924
120	-14.887188454671987	-181.95907575700124
121	3.376103232380359	-206.37848349099752
122	97.88522705412045	-265.0604309928168
123	140.25957129564918	-293.84394601200574
124	57.60943931023728	-221.6879889532214
125	14.98339643899758	-220.00764434589252
126	-155.42421503247323	-412.28084773554394
127	9.946805901467112	-444.0902654753137
128	-36.36845794740031	-450.08585271995736
129	17.613636701299576	-453.87148056451474
130	17.887691627552208	-434.47742499881105
131	-38.94871810563333	-230.45223639892197
132	-82.32804914141293	-269.0852581184515
133	-24.300731719139886	-232.40033219582068
134	-97.69492193598887	-269.1733726662655
135	45.89852916400227	-283.0912926189556
136	8.312494808578048	-205.23341465208506
137	15.189633958846638	-174.3438267059632
138	69.06004642900132	-175.69766775773422
139	27.513612448302162	-165.3871345886
140	70.22141250700308	-137.52201443207719
141	74.28526048972333	-63.55706271696836
142	72.8676606408827	-61.01360966581583
143	124.31491736338612	-102.80243022153779
144	95.50088483274114	-39.8984852647489
145	112.92260460570432	-30.737692853275604
146	-14.916697566400686	-133.05174296231854
147	85.2876154203164	-89.22561629386708
148	96.48014785904647	-123.87767673060547
149	94.89210312490083	-73.71907897219525
150	57.188288985340236	-53.37404696378834
151	66.99321738286721	-96.07506181434213
152	-23.88505569918013	-64.41798772862998
153	77.0124489514663	-69.56287628361666
154	123.60298248855925	-0.1551840342745547
155	159.54553512328314	-36.38148468484468
156	61.228757688807924	-65.09348336973696
157	92.71905414555322	-65.66334432275758
158	94.72708642109585	-80.33059206809331
159	-35.121547573577786	-38.8603220927977
160	144.5345695104034	-78.28894547666795
161	41.46999510949758	-74.36288287092866
162	54.92106998865195	-62.81078960042568
163	95.45980160701514	-106.23354009394484
164	87.63790884000761	-50.28130047889588
165	94.365815736479	-56.409418848311496
166	81.14463111757918	-25.493289935270802
167	73.45386883072204	-93.29159137692584
168	97.65255725581818	-110.12569004637473
169	44.57212395348539	-37.15150458719325
170	82.76219436238522	-86.98012244180651
171	102.2963473836702	-38.51139091417821
172	156.13396576054086	-65.57605667603316
173	135.5233110124742	-95.19319286888488
174	48.993872751713454	-88.83522196946038
175	80.15906267961938	-19.521472951468102
176	125.29514300009448	-36.02918206648474
177	113.96038251192397	-22.300463890826176
178	133.76197593310698	33.66350787091399
179	94.77700892585035	31.908510182735466
180	114.0183045517514	-1.1140000937129764
181	132.1977184632391	0.8891956876947045
182	76.43525174507221	-30.250009199015743
183	155.9242281038937	63.13688762048494
184	105.45471549514764	149.68106300280704
185	101.77191353180862	85.46930169454583
186	131.4325585926867	47.09174918309032
187	93.59972103139249	4.32103737839938
188	150.8815299988109	10.530094482572212
189	90.77819493424319	44.66509627403708
190	23.192720214400367	-31.892462459385875
191	90.74079592369816	-57.60691325175388
192	47.1805159768842	-74.85051103550674
193	85.40980933252196	-25.127618994214867
194	132.15693685299198	-38.752613945109744
195	123.99105780049274	-48.228828429691525
196	120.71809282254877	-21.309822135503328
197	50.21933171626688	-71.90436544951564
198	138.17886945261407	-6.6528743658797085
199	42.76203378103123	-31.470725093710623
200	113.55101674443667	-27.9595137946786
201	83.71750481320875	-39.905769578681685
202	89.35455525947548	-41.30242149181721
203	75.0751563904228	-42.555409034304816
204	100.97399766676108	-37.904678736759884
205	101.67850420492854	0.9131863701227254
206	53.689661834685346	-31.583591362881254
207	102.36367383997685	-12.770747762915692
208	48.45107725331724	-9.76463884246434
209	149.97997491294393	129.65284990758795
210	120.30218589196015	126.182638279795
211	143.12295066672473	46.20486715282441
212	157.76026500119488	183.31849271895433
213	121.2679722198284	152.66605680682267
214	110.27936212851583	212.30520464569094
215	131.63696126832673	231.58829861993885
216	130.32633659899423	181.03327896877403
217	138.5734302282321	248.5640225163452
218	18.713883323633524	158.33070957291474
219	127.54604879813233	215.90537732875805
220	146.58064248902525	226.65124948851076
221	135.68973633788906	211.267184736617
222	97.56413762749405	205.4389074408366
223	125.2149484074488	104.84048153008169
224	125.90915293358918	79.81775919221894
225	-14.07910348188038	181.4025390354181
226	80.27133953952307	-62.57602547182478
227	-64.79140113894438	-32.327437652906184
228	118.90156095399556	121.37968321198758
229	-42.691500453393346	-79.2175251099645
230	47.39659946416855	-32.17917622938885
231	-89.84733306364356	151.65542986869303
232	-91.51789293884255	24.085211012775968
233	-23.42017139568007	161.88991824673394
234	132.62758620718952	-54.94135554787991
235	100.20383147941362	8.637582917163968
236	99.5219551406934	203.1928239371033
237	-61.54626046328231	19.97932422524951
238	162.95011129429096	-32.35894304287946
239	142.72962946739264	23.819166659775142
240	90.80143149393507	2.4304714076945437
241	90.57671339715397	144.68135638176665
242	132.60728302735654	175.35702775128829
243	15.25786834407107	157.83040527164425
244	129.3754963396451	90.77803627244724
245	129.79726707035064	188.3558786251116
246	-13.62857287732335	1.8805930929222632
247	120.7555554754536	-37.280172317105546
248	91.417487321636	-117.03139465449742
249	99.93397919874991	33.34878245881968
250	105.72666914854669	-74.24392309454511
251	116.86929589184939	-107.07589700418573
252	113.14076982893225	-82.62080754561906
253	67.47236625507662	-148.84708440616978
254	90.3251265978715	-150.44706062733965
255	62.83518356523405	-13.99856758308712
256	103.63829241323222	-223.2611753146619
257	108.13080076574046	-190.11434177763397
258	50.541927707477626	-6.679074798291685
259	49.524866600255855	-87.13894390489223
260	62.44679517485575	-16.184942705109318
261	84.89560413310735	-11.071991361322304
262	133.4354343056752	-26.5683681994924
263	61.831231460710704	-78.81756294252088
264	-61.24210317733171	-114.3185591305059
265	70.29368960481456	-50.493618628272294
266	93.86991686879216	-18.17071542456946
267	75.70269573369156	-49.663325418646835
268	50.541262252688284	44.586074801870645
269	85.15980106234531	-23.14700064737177
270	127.93104119432604	-61.0673141324136
271	93.88947716520644	-27.041659811233124
