Environment: LunarLander-v2
Agent: PPO
Experiment: Random wind LunarLander experiment
Parameter: random wind
Time Taken: 2232.3229229450226 seconds
Episodes: 1616 episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-380.10410926889114	-605.4375279075232
2	-481.7197451657219	-404.4963076835763
3	-191.52827237081783	-659.6229490834739
4	-111.14283066578557	-662.1397216343427
5	-213.28677783575802	-147.26289257725847
6	-69.8139879974038	-519.3098981656681
7	-118.90751530985983	-439.7433419961516
8	-157.81463375512988	-194.92610924245676
9	-322.3688712680661	-342.6638295267627
10	-102.37483188380442	-357.03864295378935
11	-129.1874534772939	-377.86992685370603
12	-257.25776204256806	-259.3520346362553
13	-128.90777616258777	-384.8514258259328
14	-119.549116397607	-89.04446321065092
15	-32.19999976200501	-228.70554718497303
16	-98.68380370701085	-224.8729084298211
17	-99.32822678631963	-425.7723683378994
18	-94.3263164804138	-522.8721764531374
19	-122.24684593680686	-253.96810698202427
20	-506.66503747918466	-259.7338594035898
21	-243.65960811153587	-120.29886628360778
22	-104.92567322698555	-527.9831185278742
23	-58.03744003052508	-784.6981157869933
24	-96.51810773100313	-922.64452278008
25	-204.4361988153903	-558.7506193444738
26	-64.27847506085132	-496.9694257098496
27	-192.42159202937012	-844.3809956377513
28	-451.6521526194223	-1204.7847587898593
29	-131.43861292997804	-635.7576915082517
30	-245.54140055336512	-476.25318743782566
31	-113.38229867578929	-1169.3551324996859
32	-161.8314150682408	-1110.7663083580483
33	-148.28568103649826	-644.0758087985641
34	-464.6106667214641	-472.77557510769554
35	-263.3566690278632	-496.1841375781954
36	-367.0590082345576	-470.343771795761
37	-435.54507858842817	-866.0317347791138
38	-312.5694950185938	-1665.115501361833
39	-466.69437878857644	-690.1529778434317
40	-481.41777735710866	-957.6578682739774
41	-315.3776371054693	-450.3116509173159
42	-646.5315941452345	-664.669601347362
43	-671.4507725804413	-768.1988232150114
44	-275.5784521057034	-851.5933738395344
45	-316.3964335419871	-668.028532236955
46	-516.9449326857825	-649.4072622406338
47	-224.52608479671306	-687.8276112787639
48	-241.15821900063509	-789.0290694099685
49	-152.47712328907284	-1027.0639102020878
50	-109.11632795406076	-1030.5796770369814
51	-122.14984620438	-527.4304698040378
52	-388.5615864190392	-945.4686254436738
53	-664.7863554526741	-1546.9103668886853
54	-97.23126524033219	-245.7114442148082
55	-239.3866769446677	-235.03656532597367
56	-125.94810724603974	-261.76643123179446
57	-155.56083123582192	-150.813740718074
58	-199.4927237857888	-161.23465642379557
59	-71.30716654917903	-167.47615982538008
60	-101.82185945092151	-433.69258912661775
61	-110.42480796087237	-670.9385957802948
62	-96.17491048626002	-665.5358085913822
63	-143.98413179859992	-510.5793940295843
64	-201.46016884714132	-658.3206220502983
65	-377.43624863641435	-459.43275428684393
66	-281.3863258753721	-429.16127612844934
67	-272.1851290182085	-580.7605514688091
68	-75.73850820827053	-1228.9351104565721
69	-204.62338715115564	-461.38921789443106
70	-120.91703828339065	-867.9941119706517
71	-39.2227870447978	-388.9079548122952
72	-92.35382636412281	-501.885348137405
73	-109.7946356402829	-848.116584764261
74	-393.7651168910088	-1152.196461050407
75	-117.58212920091654	-1828.1551552134258
76	-63.8009946719381	-1143.237746833909
77	-91.5463856703328	-1051.2932089143692
78	-220.52568098835633	-1244.0702535275313
79	-63.61717933949508	-1406.5271230643446
80	-72.7691287895464	-618.8651031316714
81	-177.72764958725958	-555.6010735790933
82	-96.17312445319415	-727.276908850558
83	-238.00943111562506	-1409.6579173337702
84	-173.3704371915843	-681.0832752910876
85	-91.50288913706787	-690.367082772959
86	-218.39593532750115	-843.8700110820885
87	-249.45528976857315	-645.3902673547128
88	-41.36937130530918	-803.6862061511374
89	-70.68230314790043	-676.7713523638754
90	-45.63168572684009	-953.3038104692641
91	-178.74888989262064	-498.6905036603737
92	-84.42642686934082	-3929.1621936844695
93	-257.197659579565	-343.0129585829774
94	-19.01832550608171	-782.7218646197152
95	-258.7229847079933	-1121.3507741302674
96	-15.490333313918129	-1633.4342878537395
97	-435.7810726156266	-1322.994471138184
98	-88.0974349444453	-416.52841928207874
99	-1.73863181567107	-485.073534504257
100	-293.74469414602146	-858.0222963242733
101	-316.4343661266153	-1937.8779973532532
102	-164.49344490584016	-1417.908204757648
103	-224.97800966177417	-713.6557793223559
104	-520.208376764863	-343.0553645867767
105	-185.95336628763113	-521.6997292523477
106	-235.57242834569288	-710.3152652087812
107	-235.4398225849176	-314.3659438693121
108	-293.48295869115157	-697.88049399106
109	-217.1500566766645	-698.3452119921255
110	-66.23486015111504	-644.98778005843
111	-108.65047615552767	-661.7368105764539
112	64.37943545993332	-763.3024873571638
113	-315.5224480412021	-539.3141230843552
114	-365.3205160286227	-652.687439731582
115	-80.9941354462947	-560.869892123787
116	-3.8251092630694927	-302.5806918382814
117	-101.50897655314667	-513.1879619021577
118	63.51053419009867	-248.1532990285695
119	-25.43060473840046	-420.47531574810483
120	87.30791518882603	-370.5149915761988
121	46.1561949514946	-771.065015651612
122	-73.34305734543767	-779.1926698368658
123	-82.54519943532102	-929.4958113440947
124	-143.77657382341215	-976.7243054357057
125	-235.57824332130645	-1167.7248874692605
126	-555.6126437640287	-232.97615318921655
127	-192.49295943955343	-1814.321384231103
128	-407.14605255249455	-803.3876145423393
129	-118.18941561869823	-684.6873596775897
130	-134.17670658360214	-607.1196931440138
131	4.395508623640282	-468.79992812140836
132	-19.010998069311015	-454.2727518851364
133	7.329852775583923	-465.8006158519629
134	-243.08019415253523	-466.85113531938003
135	58.81244777046563	-371.5124302701522
136	-20.925038067302836	-430.44733195907696
