Environment: LunarLander-v2
Agent: PPO
Experiment: gravity_experiment
Parameter: Gravity = -1
Time Taken: 680.9916241168976 seconds
Solved in 2000 Episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	-2624.0446158699206	-3352.3041684742916
2	-664.0029930150836	-924.2859568843432
3	-362.31244679577543	-483.6792583581539
4	-401.27764592078915	-51.256423107781174
5	-480.2333499586088	-323.49109684703365
6	-1435.1804415137	-284.13004217797385
7	-800.148848218816	-208.86586842890222
8	-588.327952280265	-261.9825743851315
9	-670.2826744493733	7.055950705194618
10	-204.00390316121093	-133.19493630571722
11	-338.97414162344063	-17.346162049387146
12	-316.8078093717496	-73.41052086469203
13	-473.015060475768	-208.55259298424923
14	-536.68068302485	-213.62149096328082
15	-317.94998195112265	-233.43267575515063
16	-201.74420280117715	-41.99953294942621
17	-94.62456361843508	-65.3465353712786
18	-206.18182195982132	-207.69880387382995
19	-145.62504525505463	-278.686064513788
20	-183.76429442483447	-288.89708314077757
21	-405.71619322647075	-264.55563837036635
22	-300.56960506572034	-91.48928175180612
23	-190.40188683945817	-49.23243422361979
24	-86.89915049035216	-362.96684208210564
25	-309.0795661888982	-310.01101371069615
26	-156.0369990983268	-216.97815351871645
27	-279.32210862660156	-225.9889890790234
28	-266.85718439669404	15.379616169451594
29	-158.18388984995784	-48.555086459709
30	-173.1857667702982	-229.3305145338407
31	21.163414220623295	-213.16075544881116
32	-253.9343850205483	-3.6690918086699753
33	-305.6283191511222	-206.36738008964377
34	-225.98348185959674	-168.571295288083
35	-261.20600583398397	-198.96196394102105
36	-202.83984147129638	-173.308865633536
37	-108.54938921002774	15.707372102252037
38	-204.7085272814533	-263.06783073186864
39	-202.22746112435456	-205.5026877943111
40	-119.86090185869742	-17.87770308714063
41	-117.49322175003616	35.049377597868045
42	-106.13136756017742	-299.8328575654838
43	-90.18781732355842	-292.5930527685632
44	-89.43995147684922	26.45176387155722
45	42.73452046090216	27.15987609786559
46	-4.154107378422324	-160.89125879934087
47	-27.68793004933113	-34.15864605581173
48	17.176418437666015	-245.87808757527017
49	-51.1979945452202	5.111897578443404
50	-24.547672902447033	-5.849611626559238
51	-92.30626747461733	-41.865719925413515
52	-56.31331103037374	-203.61182674587224
53	-41.09897572421629	-197.1806407284679
54	-148.3231353310088	-202.78398368885635
55	-30.33638681956168	-253.88275567002432
56	-164.55618802139279	-190.0859132094996
57	-354.7649542339458	17.672660059529278
58	-221.4171703328861	-55.29558666573831
59	-188.2865187404579	31.315975787547927
60	-33.08377590386371	-20.079255317927817
61	-154.68749128860838	34.80883203316557
62	-117.2715638095102	-309.7281235686439
63	96.08777829438401	-193.5029637275819
64	-26.715515814060026	-13.192280397992974
65	-229.72048459448945	-45.38760916505831
66	-169.73143140348475	-52.05257136208877
67	-191.57368908710143	-196.88420874294172
68	-164.3538493633312	6.239882419932883
69	-304.29289905066145	-246.98348806819305
70	-198.06530522550565	-298.3935512125385
71	-158.73961951837626	-215.519899750879
72	-63.24658670465049	-240.5097015575263
73	-242.64875602283715	29.099290606782517
74	-69.21858143074978	-24.99254817204843
75	-232.41042487302684	-199.80259260845128
76	-179.37413214942075	-139.22238658096822
77	42.759182847826224	11.24519889682108
78	-353.4552911623854	-304.88173760226726
79	-187.0827988417481	-85.07526612582745
80	-852.1968427487856	30.39828654764628
81	56.11858589399708	-313.14004445542633
82	-262.33889475923195	-304.584743607515
83	-271.2355724680699	-359.880824451535
84	-195.04322678532412	-197.99629675014353
85	-319.1259871738927	-29.140618011170034
86	-510.43556350920164	-15.31169762524587
87	-106.55008644850236	25.7416733285188
88	-106.86215089273279	-290.46316876120284
89	-598.408353372992	-239.89437961645552
90	-2.147402723330613	-121.59266571849878
91	-291.28191107137064	-37.52928447134087
92	-50.066668211920316	-7.685108409860717
93	89.90422529118406	-302.92079089865285
94	-47.312856958507155	-291.68558709089774
95	99.56705860702768	-41.21375632317133
96	67.83297664417147	-41.80584721142472
97	76.43186439474222	-78.75527885929131
98	107.09834359883492	-28.76495441889388
99	-108.04928916075434	-289.82224551119293
100	-127.92256471169168	-236.60365930128694
101	-259.05949253023175	-292.0080594077491
102	36.077912388262874	-1.6849437801806033
103	-225.96012640507556	-117.66476764702243
104	-246.0855229430232	-24.212971960170435
105	-84.52299049141267	-254.38129464729477
106	-206.11303094258477	8.103914529268522
107	-75.02941233144628	21.540161966952326
108	29.77510849710106	-263.1567416715599
109	73.19009335078646	-258.0310728514657
110	-182.92451452323658	-26.30086391568163
111	-157.77000724449064	-20.96771274225722
112	-94.02904878279396	-99.81071282532119
113	51.5633872672844	-29.342354821608524
114	-203.92122878868605	-294.4368200760271
115	-168.06738096630505	-89.88038816762734
116	127.03781200063483	-267.4379778762441
117	142.2874648140357	32.698621121075604
118	-77.73907557535922	-5.898003452353805
119	13.880676536157011	-276.467188973717
120	2.864728093381858	-6.803218674723638
121	50.35266096655738	18.065147804365466
122	-39.09241397336302	-46.97550638103998
123	69.32934493894771	-10.514083055981985
124	-186.47522815531755	-84.94413477794193
125	-55.20223210303612	-262.1299940242354
126	-79.94750334786497	-17.40863503039128
127	-123.40619498838701	-13.718803430223545
128	-157.6260494692233	-19.706300483879474
129	-47.05527664261559	25.20237598123549
130	-315.9942814838595	36.97038229064623
131	-168.66132957664726	-0.4507124560558111
132	-11.284816741903299	-305.52341368524344
133	99.10999632330363	-44.88488197172317
134	-91.3484390670703	-111.49902198967843
135	46.73535364784547	-111.27257006294684
136	-153.58944521460828	-71.57514795943412
137	101.53362984643375	-204.6922662821584
138	73.55930765941793	-251.29370276832765
139	-116.98244776690171	-27.504392158352843
140	-47.813152676337914	-55.80711539483698
141	-54.45818116218021	-31.075961771804884
142	104.84987116633599	-122.11230918431326
143	-155.93488835346056	19.756421418204056
144	52.61920856622373	14.867033795834573
145	-169.68543942120365	-87.6785381934274
146	-161.42959558501784	-96.57297935292812
147	-173.57508160165867	-308.92171096067926
148	-138.21926677145453	-242.2058317585956
149	-106.49533642369278	-138.88051406045295
150	-247.5130195316789	-327.4107002713554
151	11.973740375193545	-85.3403593630501
152	-140.9900624872624	-87.23436696678034
153	-177.06442034830127	46.848512336867714
154	25.242682560138675	-259.79494641326005
155	-243.38565130029232	72.64037514355797
156	13.076108607748111	110.87045511981758
157	10.552999499115657	-116.01588333661707
158	102.43959232209981	-77.59943676649296
159	33.52287683549122	-185.08250195849268
160	76.78789394433596	-140.90435803493716
161	-104.09416772876065	-270.24542367006177
162	37.28253168986945	-122.10227501983087
163	59.355631786592824	9.618617797300587
164	-175.44956611737882	-154.23666216635488
165	-65.01489763386292	-206.6288952533465
166	40.87093932258375	-74.28085412423508
167	-195.31337040551603	-234.1341982123986
168	63.006568133420245	-131.46840380032168
169	174.21903063026937	-131.16171444098273
170	-232.62706343151797	-219.35882660322213
171	129.89074076399802	-262.6894765047863
172	80.62224564818709	200.19330588804436
173	-171.25898803318597	-109.58501505382921
174	102.66141287248577	-43.77001868478425
175	-21.273497869573262	-118.8560675922268
176	141.02961140212366	-14.514131420148559
177	134.85375528315953	64.09027266643233
178	-49.50595966133096	-324.1707899210264
179	-11.641460062554401	-110.60622894585825
180	-82.86222872827767	-43.01447875613179
181	-54.456166892665465	-312.8251970630614
182	-71.04801930754508	-97.185602906046
183	-72.43890936879461	-17.74599346861561
184	-159.07310878906821	85.73971231793797
185	-43.669237846798595	-93.35398932306262
186	-30.85786117008024	-50.70545130609881
187	157.70163725704202	-44.21192942599336
188	-77.36441023718999	118.9837868191594
189	-71.86085982474161	-21.93519750317921
190	-314.97496881544663	-29.146000141588416
191	95.97435294137725	-83.7991051592661
192	-48.162612956908106	-53.260349334936805
193	-104.12644659851084	-106.2719599812799
194	-121.1117553867845	-92.16605259123683
195	-87.96806163774987	-309.3793468291358
196	-309.2598112773583	267.10791461649154
197	-102.97943455863926	-97.78222564401591
198	116.61814426317972	-193.88738320630284
199	-148.72724504947462	-46.16132434113721
200	-51.00120287599788	-44.7418934289331
201	38.98383582559023	-264.67190839072174
202	-13.712641966470784	-86.68384683839459
203	61.09145432869201	-245.56877289245335
204	43.37094632115435	-141.9982036555881
205	-73.4262151648226	-87.75614870346043
206	-20.1690946048746	-222.5777812113775
207	-185.65000422821157	-90.19549237337904
208	-132.5699539484122	-170.99778142694424
209	79.9384070052375	144.30480705683937
210	-233.51793759338344	-73.33310297007635
211	80.73405816373227	-180.0661227335638
212	-74.99639806913193	-231.872031971628
213	82.87844596361785	-261.880117094313
214	47.78247111185824	-128.28680717921267
215	-106.36937070532436	-15.375838728382078
216	-283.16192049546544	-88.93903067867485
217	-107.31913901178876	-34.80485121462621
218	84.17724602378249	-311.4158017329589
219	-95.21076677098858	255.10884866765264
220	75.06679180231524	-219.19637557230212
221	-131.2855714967575	-138.78091829363237
222	-281.6478729838441	-98.08718495958965
223	-78.95951738967713	-103.92712178128369
224	-309.6601791589994	-90.37639268582103
225	-142.06215938206634	-238.2159398737491
226	-101.9341654207169	-298.51573569657177
227	-151.5738018114081	123.165934232974
228	-119.55609295645604	-111.92247572407169
229	-100.25727698958966	-298.7834420212795
230	-74.14236893041387	-302.1751819112184
231	-137.92334109643116	-82.30394047402405
232	-43.22420852177234	-87.85275220566538
233	-253.6551861527858	-118.04856875451618
234	-308.4735268786113	-118.55760813786308
235	-121.3837748935465	-233.1297904407358
236	-107.19017432324236	-284.42232012771774
237	-110.4665110964724	-132.64867083607263
238	-311.60948793881744	-253.8957890565253
239	-91.33113046925295	-129.86000931001473
240	-64.7727765935074	-77.49075669309123
241	-77.58385175269119	-156.085346279818
242	-124.49431916876655	-271.415501596489
243	-147.3457471749183	-83.71958023513348
244	-104.803227332465	-216.19836436380677
245	-273.71466932712974	-103.49203667196315
246	-127.87550686887309	-276.0175482080574
247	-248.44845880990826	-140.33883262539322
248	-81.36157847171637	-285.376694656529
249	-39.625180811302556	-94.42475863127443
250	-98.51360037780461	-108.59398100620646
251	-75.81841626519223	-323.8597963868821
252	-101.47456692709422	-105.29209192127446
253	82.0407225444695	-90.63690392572789
254	-175.55255641022535	-140.55216526773845
255	-209.78900538744716	-162.05103996284922
256	-261.8400589939358	-215.57874155611182
257	-60.86933912128552	-17.473426299038223
258	-63.67488159355321	-296.7681831035596
259	-318.48766483404256	113.66254050276198
260	-103.86359358548142	-190.32648174929943
261	-139.71753146769822	-107.06599668086893
262	-242.61612788270585	-120.81063223326422
263	-188.2066851923898	-120.15115829573175
264	-18.784466203591194	-103.08428834761709
265	-104.47720272473349	-133.5471181197209
266	-138.8692773533282	-226.765747062449
267	-38.27317185732208	-59.93730306481305
268	-133.01797483649995	-111.13719323511874
269	-161.996652988485	-168.19353193268955
270	-126.8615461001556	-134.6481389424153
271	9.498643097482073	-110.94170225343824
272	-167.14587668771208	-172.21593237656504
273	-110.9960878789171	-86.18318625567593
274	-174.69371706189185	-179.68065133051886
275	75.11912123773143	-115.39152572702324
276	-184.30510360342313	-1.211324864590253
277	-169.0893225876439	-221.73214986324487
278	43.40639107709988	-141.55780327603748
279	-119.9508535224861	125.09569920392961
280	-122.47751113160066	-57.09514092357746
281	-62.88717498349459	-203.2550671739516
282	90.60119220819824	-107.49493100062755
283	16.709310023646967	-69.92211437789615
284	-92.83644146423089	-129.00261099049948
285	-129.3077101403728	-183.36025413644762
286	-175.0965230330333	-182.1493784491863
287	-180.8145101164436	-141.73014811497268
288	-134.18483851307857	-211.45093936411868
289	-70.24262413779829	-34.659724564932475
290	-93.66008008814217	-132.343730428762
291	-258.1585867474924	-303.15384364903235
292	-167.0554229483791	-247.54576797997964
293	-164.94370449456542	-153.79002580202504
294	-65.77572739743968	-174.15553919322969
295	-150.43484922195813	-3.18504716829608
296	-223.58580025774654	-32.06847592392944
297	-34.16298599508663	-147.55668839897095
298	-54.210120221347836	-192.9347658607746
299	-149.0623478866588	-164.47844985288856
300	-121.8971796308837	-105.480016374777
301	96.60823129915693	-163.3317754923041
302	-196.30810848372047	-62.999772129739924
303	-180.97051270809183	-307.627762483545
304	-72.2628615030454	-148.1805509672302
305	-91.8719493860941	-153.66347670940547
306	-213.78242324285168	-64.27265478683238
307	-208.22728165830299	-91.70125359830476
308	-68.75287570360044	-318.8288528264835
309	-8.68962460226058	-131.56807417640607
310	-9.56241789243056	-21.868265049745546
311	-251.73306449645804	-152.21974932035815
312	-57.489557029753385	-154.76013279219242
313	-182.14651006329015	-156.73573017478878
314	-131.37438857601384	12.02964189475135
315	23.936546580214554	-231.1011773914546
316	-139.96724261914022	-202.14579767332555
317	-77.52496333015313	-104.3079912958683
318	-299.0161481354831	-33.83273547133744
319	-203.0990271354863	-23.028427161673562
320	-199.10976563377133	-129.27070909304703
321	-63.82305307517319	-142.2444456818273
322	-302.02206441713747	-81.20939664828484
323	21.039628403335215	-144.44468481597167
324	-148.5476392946293	-110.28911353415711
325	-163.8602416733153	-213.3906331966002
326	-153.12073219986019	-163.7576110398022
327	-113.08497324843101	43.505843584755155
328	-142.11299426606988	-123.0169352299893
329	-43.35426020590701	-159.00800493653063
330	-148.0725291467167	-207.74144620126296
331	-169.2852966762095	-45.26785108239022
332	-76.82571881255949	-62.38687534878516
333	-55.28049742681921	-118.88136047066232
334	-146.68787564512309	-143.3393318832545
335	-84.5865972092806	9.716533761747854
336	10.381343199532438	-170.6203578209484
337	-152.98030341239357	-15.578352715404122
338	-159.19773390246664	-184.7559539846207
339	-110.36089473116385	-264.17964321854765
340	-86.69111638779452	-223.17935160034892
341	-140.9021263113609	-195.02163483259125
342	47.77739088849995	-237.4828168971865
343	-147.94871439972303	-70.25110453455744
344	-157.71017230645694	-9.268839270271883
345	4.366556467839814	-135.52529454231714
346	-146.40209618478272	-50.63325295316252
347	-152.9120735625078	-120.11259735224763
348	-270.9697365817275	-121.90258785376923
349	-120.57401375043833	-31.231310116080437
350	-96.16480852893349	-87.23009239927845
351	-143.45229925648948	-273.0253967748414
352	35.5890939761436	-36.888908191931044
353	-103.351287921311	-310.51942747884357
354	-71.55558715475462	-264.81714457260347
355	8.18481935109834	18.008055298164464
356	-91.7365606451693	-123.60982838189912
357	-47.3066330097233	-103.4286502670336
358	-26.152509546272412	-48.95280480419764
359	-89.35750900461461	-265.50326905727707
360	-142.72898018515767	-34.57937173525093
361	-142.28640781890226	-110.56327687500061
362	-134.1923096152107	-92.1994319589956
363	-100.77297772677854	-74.45581759612668
364	-148.6450753751811	-255.13271134279827
365	-117.3425425120777	-288.3044589389276
366	21.678582168683434	-304.3240529477178
367	-44.36099262897129	-22.295850967995506
368	-122.71016028772833	-126.5604545436961
369	-142.96735590406746	-100.85318357652032
370	-24.25408883175298	-103.06772370109394
371	105.33068784618942	-236.99869470572224
372	-90.8571300447119	273.44550954803174
373	-73.60081933115035	-220.9314247882643
374	-82.49556642797663	46.10903582651187
375	-131.11170955992895	-310.51029690851146
376	-147.78584192689473	-15.618069936310292
377	-4.7677524306419485	-38.04895064533916
378	-320.7933850275091	-168.00723272702916
379	-131.85577364999148	119.99094844794536
380	-302.5071835577002	-245.01547163437218
381	-51.51717721645771	-5.594545200242251
382	-98.63051644071078	-318.1564093426028
383	-123.7739940698838	-308.56407708767915
384	-93.68681783787676	-269.97040886673426
385	-144.98993747160569	-86.4541825819937
386	-150.18471157373403	37.25020673187143
387	79.56216467660217	-65.69414929508946
388	-254.13527990646367	-180.2510951330509
389	-287.5274939866844	-268.4999863912569
390	-128.75178090852208	-93.55993315251337
391	110.69934615505845	-93.677693894847
392	-204.54390528837632	-57.47605009233388
393	-106.66966226302578	-38.63878848856231
394	-35.322805809162645	-80.85275277339947
395	-5.131782520244258	-99.98181662832212
396	-102.45534124697161	-58.89840137262547
397	-91.7294532894723	-43.642984522956624
398	68.05128814895589	-237.6883426933349
399	98.65518737226056	-290.2077846388183
400	-100.08129757494343	-178.6334552172694
401	-24.114100331857202	22.621650840604346
402	-77.16015705184546	-304.82913039826735
403	-103.2804004376458	-45.44075922243922
404	-67.36753622870629	293.08270619677194
405	-96.77979251351427	-69.90686975835936
406	-153.07412924541288	-80.77074869819856
407	-35.064933299811116	-85.93390610768377
408	-314.9133411513599	-237.42995624987955
409	118.38862252488312	-70.68462414825156
410	-19.421476644318915	181.09210827459424
411	15.645095803795527	-86.04492839570504
412	-62.52514456330624	-60.57936370514028
413	-86.76329477062811	-310.7812673659409
414	-97.09977334942597	-105.04263394417261
415	-82.65163357425489	-91.77041857631386
416	89.43092425538043	-267.67863174114234
417	-151.61338485080128	-302.0109727967851
418	-243.1002422015705	119.67245923984686
419	-291.6943796132628	-75.62541549163846
420	-105.94087750034583	5.640807443977735
421	-55.91461561729433	239.85568110217793
422	-88.17558310993905	-82.87857573350742
423	-55.555885344037364	109.19924212976684
424	-114.39231961385065	-87.88983620986969
425	-92.22283586989865	-291.726647348346
426	-89.44586670087872	-300.10668633645264
427	-100.28060529122459	-237.97155507771143
428	-7.723505246409701	-165.97815317585298
429	-75.22492063931323	-83.48595755711429
430	-123.63449023025703	130.87606971656083
431	-179.46910592437567	-43.43011576910634
432	-141.05622344997977	-31.72110314401661
433	-90.56836119798564	-6.87283858074251
