Environment: LunarLander-v2
Agent: PPO
Experiment: gravity_experiment
Parameter: Gravity = -10
Time Taken: 624.6638646125793 seconds
Solved in 615 Episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-80.10406904085829	-546.162527829646
2	-383.5252980384939	-828.8105045984244
3	-412.2876652631076	-618.3297425780207
4	-307.25615714995365	-724.4302834724792
5	-184.18812056207656	-133.8283958509034
6	-213.44048436068366	-723.3505860508849
7	-226.83143179116922	-171.7933867367256
8	-116.74736532459966	-328.42882121731907
9	-122.13893902859122	-704.1576921824521
10	-120.79251883412189	-4263.5076817623185
11	-89.94702413113625	-753.4011450818925
12	-182.9577550151829	-545.6716904970592
13	-135.7277913305304	-521.1261903503339
14	-65.11787521931484	-2203.4770345054235
15	-246.10080496190406	-652.1610326777476
16	-39.78750121414702	-888.4444359248682
17	-109.19938387028643	-941.8722876413341
18	-108.45916414748673	-1549.4221320587337
19	-416.42583541622326	-1031.246785706823
20	-51.63155673141125	-498.6230598558045
21	-373.19685375770615	-706.9473759091401
22	-182.68566773866144	-866.865160686141
23	-273.6942939200818	-1106.2984581606638
24	-288.1103135942941	-1290.2221483890019
25	-38.86973269628007	-447.6047748343544
26	-175.99291496551132	-251.898428614859
27	-375.1467688068444	-1842.0705454655158
28	-537.7461119113581	-645.8189377293389
29	-136.16882582137276	-911.7209015654485
30	-283.71269687396415	-713.2576312796047
31	-240.2907458086201	-773.9405191343654
32	-215.77422426771642	-502.6497894218968
33	-210.274340897451	-356.8471362005355
34	-393.40792819291454	-1474.2915250522503
35	-122.85741388833473	-398.40068767423134
36	-88.86180950664067	-779.7638088427028
37	-115.19353945974441	-984.1858697664702
38	-92.68243185051173	-814.5161787934525
39	-1.3259204149677544	-474.1979679483461
40	-366.9904862134771	-398.48835437825244
41	-67.45779830432859	-1026.825063978436
42	-62.970089024294495	-1039.7722414554835
43	30.067197320475543	-1133.4895488720892
44	-183.84564663979555	-1269.8107270809262
45	-50.878084083829535	-1193.0221225672612
46	3.5621011803907976	-319.60666237971986
47	-58.299017595360716	-809.4668537650349
48	-80.77351353060658	-2256.047186596849
49	-16.049898572129464	-1396.4902501136708
50	-833.4995188688059	-698.7837084673961
51	-53.03172549231077	-1167.2973624740034
52	7.869109583777572	-1792.899994842181
53	-699.5512377605157	-2030.0220458190968
54	-935.8378442912212	-2245.935412066579
55	-326.9300519455352	-1528.9567451628193
56	-196.20123925866903	-1913.9327782513633
57	-244.07331841641894	-2600.1153646746325
58	-36.794808323930226	-5829.366430483299
59	-254.6580395108435	-5147.103911424869
60	-102.66937632793504	-4407.070596671293
61	-151.67837042858898	-3932.2027372317884
62	-44.154691333392165	-1940.7736156845258
63	-1502.9084179312706	-1214.8665686984482
64	-602.6392566848651	-1129.3273600392054
65	-782.9767260798537	-1422.7586978639258
66	-204.60296358352733	-879.4245761420888
67	26.54423249445648	-916.3847603563868
68	-121.82587937445373	-786.2094737142276
69	-69.18127170745862	-1570.1828960190885
70	-76.12615334760422	-1647.8498376658672
71	-300.19298575940354	-365.50547357282716
72	-120.89384199820827	-869.5242020423497
73	18.6726635997112	-699.9279844534777
74	-108.34016962468772	-424.65432075237226
75	-55.862294834976126	-812.8278632499536
76	10.347629525066608	-1029.911461718802
77	-56.595053328483395	-1358.6764747033424
78	-224.3973729009802	-2076.4691560191814
79	-86.93675977827034	-1492.5057427068823
80	-67.06404646740528	-995.5303847369916
81	-29.191039333809712	-1028.0821283576934
82	-48.73352752376529	-843.588178906148
83	-88.90100034277773	-888.0191035522561
84	-631.9580137048237	-1034.3094454492398
85	-37.195013026743865	-1144.2723428523918
86	-124.67767730523084	-1268.503627940139
87	30.137079060433734	-1156.3185327271028
88	-859.7079674793654	-990.9472847879
89	-24.563881047117846	-1002.7363687507827
90	-733.2194054486444	-830.3581099433117
91	-196.59315585640422	-766.2152652407577
92	-558.1450299569501	-995.042901383335
93	-413.37932450510715	-834.2644704697038
94	-142.82026901031557	-640.9471785159704
95	86.58639831452089	-435.57589615590103
96	265.38110024265274	-350.6614869756487
97	-174.639281570099	-265.13056887388177
98	-46.84762659132447	-328.38332453770585
99	10.587494685469693	-319.66453477312393
100	-51.34164828474425	-335.38477476705776
101	-192.8696652737166	-351.3832740413563
102	-38.64966730549317	-421.82534862152517
103	-74.89701859963661	-476.2089099321407
104	-160.22850837039604	-407.38477450483737
105	100.3592642175606	-384.45748750639086
106	-105.48007455439988	-396.17720569036186
107	-35.42697359688603	-471.12030586794145
108	-108.55256680074078	-465.2155943858241
109	34.41777704451542	-525.9385717649373
110	176.34869379720982	-450.26741457371
111	139.43938615417306	-389.5911899168394
112	161.84989854368112	-213.41627892146522
113	-24.257548631588634	-224.833510283997
114	46.26797597732951	-341.33055572304005
115	-92.0354608159654	-259.17566757632363
116	-222.31986346480693	-452.14877963089606
117	-198.05128056581708	-490.1331592432082
118	-93.05709091927729	-387.81553220667155
119	-83.84949398493129	-249.77794818510554
120	-47.06726898046849	-239.19873122239136
121	-53.368293104922934	-195.16725595871043
122	-46.29596716290831	-224.8083994166307
123	166.08268903344228	-204.07193933251872
124	216.5589508044281	-265.39892883341474
125	-30.165276901740345	-306.2820877585372
126	-38.11964100099111	-305.5616558349198
127	134.90008101478105	-475.89866522101573
128	-78.88947596180283	-537.9519840547148
129	4.100379750844996	-514.1693207845681
130	-111.38604413731679	-281.3137785642896
131	-32.606222583592924	-179.72414056517204
132	-62.37806775747677	-207.70836884682348
133	100.57107712486214	-80.61209797857617
134	85.10087687948747	-92.01086219660517
135	-43.45332267657774	-98.80053621371434
136	165.3343845363758	-110.75213148019837
137	185.22984380974322	-137.94514094588473
138	167.87180288816677	-70.92936876875748
139	-129.92911022618028	-54.0519864988593
140	170.07540079122123	-113.72015547788348
141	-37.578667610560956	-175.52163572677097
142	-123.19582062887727	-103.04934038681407
143	165.73088187680423	-97.66930616419043
144	-28.75561321115839	-88.91909582481912
145	-88.30201594664163	-280.49182281461947
146	-78.40060879666167	-168.10184239281534
147	130.31372257379297	-134.48759805406596
148	-50.101132421419365	-91.10579401352975
149	-212.05162353397952	-188.79970846736364
150	-84.07645114724644	-190.41979782989833
151	195.1693841196757	-100.88424544410606
152	169.75332358284163	-95.304278058715
153	159.31244631503085	-80.83786792458898
154	38.23386007410869	-96.49272042785506
155	-244.25783239697225	-92.44550523031718
156	-165.81615967417227	-91.67816872859223
157	-169.21468641342582	-46.41968833215097
158	17.172586016343715	-98.3435135228523
159	-16.769991810595826	-137.43034470434552
160	77.57650795907011	-151.08928189939442
161	-263.81948638685327	-142.18800909910135
162	41.735953180903635	-192.46674504400286
163	67.74353093128876	-194.68941895827933
164	46.37102792044967	-178.59971306462324
165	47.85003738533818	-169.6194866498513
166	73.7322268631981	-136.39095727479454
167	91.99897693232961	-81.02212060074085
168	110.58229591655699	-59.97260234935538
169	123.48473150373954	-51.60083309868709
170	113.85912313800604	-38.01845464607408
171	148.79095000619358	-28.8041150450423
172	75.41669696664518	-95.04821317505586
173	91.67683790513598	-44.91873130803335
174	-13.629022394394326	-55.47856175035768
175	132.87930054096836	-71.75104800144719
176	30.56789124878884	28.3761254727413
177	18.187805315893826	-52.01810336348174
178	139.12673596953567	-3.1888773786728635
179	-11.956483616647105	-46.59560468606133
180	22.56198175989634	-137.01105177847847
181	-22.69751569562446	-204.04885789894564
182	96.74388151968408	-218.04501679694934
183	146.65037404846268	-378.56374666478604
184	-62.811143312782505	-385.3511989119218
185	7.725820411760792	-310.43315829083355
186	13.838205959293774	-305.78574054425934
187	-11.787871535907751	-283.07892645940564
188	17.27441841160114	-229.81673569056258
189	27.31300954302126	-138.22038640880342
190	84.83972639240281	-146.16554514082085
191	52.360985857898164	-132.2923077027986
192	88.8146558312203	-65.39030141229365
193	-28.62348567923631	-29.39023110196618
194	121.66051396902198	-54.18993153230497
195	90.90465884861797	-33.489488050697105
196	75.75587146054471	-8.971293933882635
197	107.40710732783774	-79.0211238094595
198	-39.40321132577235	-49.098744590028645
199	63.904039543859746	-49.77589919813149
200	132.32829106401434	-49.25618055663515
201	137.4812907543369	-41.5226312442724
202	137.05831712803356	-42.31347410043924
203	115.08996795408461	-37.222532083830174
204	128.22922397315372	-37.964310901807025
205	146.75168194240794	-6.457154044145347
206	88.52011883540463	22.074164589311923
207	119.92320488239424	29.66457773877169
208	-72.70355083172315	165.6204713405199
209	144.13259421759025	14.552080306104939
210	121.55970764241717	-0.1525643619378676
211	9.000235654237898	29.997510083741048
212	42.48737276943353	25.17122115266851
213	92.02294755508557	116.71292562488665
214	12.961667271827636	-3.6950888004392715
215	139.03868062350725	-16.145693605410845
216	124.28032896763045	-56.00376747266532
217	85.25927866193284	-54.48754035199127
218	39.04736836478813	-86.01770119768591
219	115.96881083739244	-20.57533769175227
220	97.7423490572747	-40.82678136456726
221	116.55907721359785	-10.042893975629383
222	127.64970970873176	-14.27005750513306
223	94.36713546569331	-7.154264329700757
224	84.78342324160992	-36.874291299582936
225	70.42784340319689	24.618160549428783
226	115.82116351292072	40.374976772318576
227	117.88561274658717	2.6620286438347303
228	106.34882781864695	-49.49943912517139
229	34.60579762614529	3.5165480624434946
230	76.69307666681	-60.51845725745648
231	122.37299485997553	11.04758269934723
232	97.71234051411219	-41.82611427883755
233	142.98996039558415	-83.9444460497139
234	101.11799108877467	-51.82566702402159
235	102.2022949657301	-33.32721754119155
236	116.7168408098241	-5.168642657266902
237	110.68323122505514	-23.302689729811096
238	88.36215704649172	-44.40612847791707
239	109.24207911317916	-39.8945184906064
240	141.59839875763538	-26.113026610410675
241	99.51831937918269	-43.802582516382834
242	73.86099804800234	-21.616386563084333
243	118.86722108140171	-37.97580202769636
244	83.89533736020253	-67.39970962338752
245	-68.0981830702224	-77.2639813996354
246	68.51522425572682	-34.13323824225625
247	-10.3566180509883	-60.258625929840704
248	38.08280251752542	-36.84120846066936
249	49.70920317291477	-63.85131054656156
250	77.25130232169626	-95.17638819088656
251	46.28463372806755	-79.05850976086374
252	25.4986810627278	-32.690130262995204
253	-36.298113719489336	-76.70503537442939
254	28.432592188950093	-13.844464542089453
255	72.6243288713356	-111.31363745113437
256	40.307295711797664	-36.006530357136576
257	66.12423833791713	-82.23855908055397
258	68.35425619224581	-24.32161506189412
259	1.8316564719607646	-69.98255320215303
260	6.355318239198865	-39.640489956459916
261	13.295111138401053	-48.561522221324644
262	15.441014433411056	-45.668968352941995
263	69.8344898859274	-21.73107588291226
264	25.060786240840986	168.2307283317009
265	71.31310232166553	-24.01947424454838
266	91.25969581848882	-21.358638824561005
267	92.99813352600417	137.9430671410755
268	55.10707040439809	138.61030642328421
269	132.26810215286812	120.0185983587849
270	94.63169162639929	34.86919821084156
271	77.48992656910386	43.206725516033984
