Environment: LunarLander-v2
Agent: PPO
Experiment: gravity_experiment
Parameter: Gravity = -1
Time Taken: 657.2634925842285 seconds
Episodes: 2000 episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	-737.8827282190689	-1037.2615934569376
2	-1408.0449991035082	-2194.6280397781447
3	-1749.5036535784488	-146.8721693628277
4	-660.5294919147171	-380.02911066617895
5	-3846.4682578846346	-14.16828568538439
6	-578.6370667530334	-177.0481691079231
7	-723.7697443018342	-299.3787189513864
8	-413.67867341136827	-1540.0667724108696
9	-279.7114908640783	-1171.4689128971168
10	-2077.2084275934967	-746.9457760446329
11	-669.6710490364821	-1244.582571841268
12	-581.4632746578966	-546.4641356716318
13	-698.9013834292545	-656.0183534669671
14	-844.3183422980879	-702.5537978389142
15	-1837.0006167886947	-725.1158886363287
16	-2539.05579388854	-1113.6976519596521
17	-2022.5418671585298	-554.0980353495427
18	-587.8010132930002	-720.7331133558318
19	-635.7827969748265	-12.34875230465525
20	-551.087142382916	-866.1689262125567
21	-1812.9343741249518	-1064.4289722873898
22	-828.8746261530835	-238.56013460197346
23	-488.52830778641135	-263.519820431375
24	-261.0241261460912	-20.194483463875144
25	-481.76663996672454	-293.5707817224417
26	-2461.1463188707785	-1904.1863426569903
27	-1776.4217219874574	-443.7811333899152
28	-553.7099309587087	-34.64819769439899
29	-796.6964963441044	-294.034923225949
30	-719.4841738303581	-34.32154490708206
31	-340.08783610625545	-224.22125854941103
32	-189.0434817907484	10.171549805376245
33	-344.44338668593355	-609.3413836187918
34	-276.8156872514557	-224.79825197139863
35	-525.4809556702817	-45.78653531395517
36	-307.64848679669376	-306.932818764319
37	-3798.756253616327	-223.42472326469561
38	-287.6604690310892	-11.817755279910301
39	-113.13954041073553	-56.30042589201693
40	-388.8105546052537	-222.9474592088237
41	-524.9573643090162	14.24452394901185
42	-122.17630749661986	-289.44308195104105
43	-261.6870490147577	-230.90307103726985
44	-162.97206756918365	-322.91215768380454
45	-154.81858900525498	-0.2562495871541586
46	-259.26305627505815	-258.6189735413061
47	-1160.4739087611458	-76.47592039928382
48	-643.1089170764518	-135.86474597231725
49	-112.2822197192151	7.565184125267237
50	-401.4224404739115	22.742285791104877
51	-627.8356855444262	-280.2065609140379
52	-132.02393461850025	-198.9100197026057
53	-339.4512227145733	28.10450215563762
54	-529.0280523586844	21.738376389990933
55	-424.093319230093	-54.40285379181584
56	-224.5035212315537	-30.834807058399008
57	-290.34012280316307	34.34933883272345
58	-557.3478959750144	-264.79782510086625
59	-584.726057109788	-244.74263438180787
60	-6.882378332638737	-285.69443522328265
61	-210.76990270639692	2.7615541710845264
62	-431.4409930920106	-73.38565923420617
63	-154.86630833383606	-711.6370928899385
64	-170.11826913868336	-418.59095815101097
65	-512.7583232620522	14.03634650319755
66	-234.21746857561146	-238.52363692950672
67	-411.34554557498865	-374.089371695275
68	-276.1236877860696	-673.479046301321
69	-587.8586383862876	-308.6104198150749
70	-51.53940549631483	-415.31049990443717
71	0.019774946365402002	-230.94398723147202
72	-116.33142392681339	-7.895554569948118
73	-391.2911805722367	-205.38197737466785
74	-79.63214725222713	-381.845142843544
75	-180.88513750842583	-16.7560972806492
76	-116.50565966750278	-781.1337817756315
77	-716.0221903310679	54.851183735999115
78	-406.51355348377916	-70.87926172185321
79	-267.93575662888725	-73.45656838287475
80	-141.50115855950776	-206.90034415511766
81	-399.0940593548103	-198.5216833626041
82	-151.38047290053828	-240.62267099230095
83	-182.3294068771795	-171.0662464700477
84	-107.98215627768609	-679.3516070965002
85	-85.176664935771	-239.32779809333303
86	-291.2228362905788	-264.64339507989376
87	-271.95961989766454	-184.38281632741285
88	-237.32180235796005	-240.36023809848513
89	-6.238960397235786	12.163984326887928
90	-178.13448256266136	-722.2345906740362
91	54.61668285738082	-277.35494128963904
92	30.473568137518697	-183.4857751342922
93	-182.12315783206122	3.888017344655495
94	-148.30803685891493	-201.0310900472772
95	23.30810366581713	3.5304425513987354
96	-115.35834010355904	24.863642023146753
97	12.623631931805704	-159.55173124778497
98	20.220897720902883	-228.27226056132724
99	-498.43771811985266	-198.2175130117555
100	-249.76992840269725	-190.90342872212693
101	-268.743427360429	-8.929532874317132
102	75.68089201647038	18.71042451360715
103	-33.073801197463595	-156.56370399385756
104	-30.34970666252606	-234.25838851722744
105	-274.85276629431286	47.41570946365641
106	-193.46050760633682	-195.761452954204
107	-504.8050591570388	-201.40526140309254
108	-293.477430705537	37.10372646370348
