Environment: LunarLander-v2
Agent: PPO
Experiment: gravity_experiment
Parameter: Gravity = -10
Time Taken: 1456.477771282196 seconds
Episodes: 1880 episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-79.82035024111876	-481.10708947487177
2	-98.24089602898424	-440.64019131522724
3	-80.29656233796915	-534.2127397523543
4	-384.2955671159985	-360.65221128908183
5	-372.5455685378231	-537.5672960363977
6	-156.15434417534684	-492.1314037021398
7	-288.78722575276686	-479.4297565837468
8	-73.78485104463594	-635.8899830621983
9	-21.234540704013227	-196.11346554691804
10	-131.61900306352908	-495.49340611610273
11	-464.24826225938784	-213.93215959004368
12	-124.81357110197717	-804.4478492322163
13	-103.98133232710835	-648.8753098689718
14	6.998929367430085	-771.2242744859954
15	-32.454466350684	-761.6350090245812
16	-20.367598176905275	-403.53894493388714
17	-289.1203266310785	-800.5678176959838
18	-307.3036311753299	-989.867292547859
19	4.697823726858445	-287.8867361853647
20	-83.705913866883	-910.6209064891134
21	-75.83440472618504	-206.928921310131
22	-55.777168329844315	-533.0465919896627
23	-330.93893133462404	-222.9398295259975
24	-237.58280013399005	-722.3220647098718
25	-59.03916923978039	-439.04491121887366
26	-103.44609874169684	-794.5283022262424
27	-169.60017765511782	-303.72129633192674
28	-118.2511654704557	-836.3630992505493
29	-146.98884666187712	-283.0168487765218
30	-87.58535329510079	-515.4711626232502
31	-66.60381734397563	-165.18006245683472
32	-291.4480097385699	-1099.1431949940916
33	-32.296326228952836	-876.3264451964255
34	-201.63445813754856	-556.9207840135903
35	-419.82971797561714	-787.0886461339826
36	-28.22835218370483	-705.9102805082804
37	-164.62340148057663	-585.278188020964
38	-269.49764448844894	-1013.3694775902742
39	-190.3753094640571	-1009.9024838016342
40	-216.4262859991531	-667.6332597343641
41	-277.11198975458035	-2829.1033756999063
42	-424.97628217069234	-562.2281171580769
43	-207.98147650161968	-838.9847621485908
44	-89.43309221467058	-1246.2652238397563
45	-435.5336914142557	-653.2835401695015
46	14.1085677993932	-477.04257932884724
47	-129.17165895787966	-444.0152537870269
48	-124.12401581610915	-724.5497675370867
49	-48.34093868644912	-798.8874500448311
50	-542.2022683466726	-393.8492084298438
51	-274.9018885146668	-693.6048222864417
52	-568.1152450421471	-830.5361778830098
53	-82.2518595511034	-573.5178378099015
54	-256.7950128658737	-662.5931786237504
55	-27.056889426201167	-710.8766282230752
56	-286.5398074613024	-115.88484373635858
57	-35.87159894009008	-158.66798553757303
58	-37.319020151820254	-198.6624756694938
59	-25.982286706734712	-348.9996279572131
60	-219.02906284410034	-236.30256514765128
61	-141.60811153970775	-245.7614076328886
62	-117.30815705878452	-522.6754525529102
63	-163.24760641017298	-250.3902424900919
64	-319.4166495404768	-447.3347911037416
65	-205.56540937224744	-522.5127620514966
66	-225.15865229178846	-655.1126380696023
67	-180.2138146566249	-735.6652953328381
68	-55.53417234016135	-627.5096597111076
69	-21.064150535742783	-943.9188422486739
70	-340.0639971187402	-685.9871036933986
71	-188.02537607546014	-625.6614643718125
72	-230.18831651348043	-980.2556910782072
73	21.472065160837445	-971.7258614622654
74	5.4863708739914046	-1174.2389808605517
75	-295.843733801016	-1953.849233052512
76	-268.41250650267034	-1897.5973381735807
77	-245.97559411025796	-2356.279180408262
78	-390.1657111370519	-2449.951165259652
79	-68.55853158968016	-1506.6495254860577
80	3.9808789533073394	-1120.9986368769933
81	-38.12457667921207	-920.7389429023298
82	-224.21015289315363	-1072.1483235221294
83	47.74135733210878	-890.892508936838
84	-91.6673493054437	-880.955338741952
85	-41.77429762187607	-475.3710364321537
86	42.077707446061396	-411.0436917306903
87	24.949150093741878	-695.2093226614883
88	-11.12089638840429	-705.4175624281579
89	-141.46286797779442	-582.9177662045183
90	-1.4397715606563395	-610.5053900656983
91	-600.0102189822697	-677.2809260407281
92	-64.66277303082362	-546.0628290076925
93	-189.83280358581146	-659.3923387976846
94	-353.61340032719227	-450.61921817422933
95	-223.9435479378619	-734.442507516002
96	-117.36604096506471	-737.6719748883536
97	-173.61104052213025	-655.0578905157973
98	79.05869456306775	-700.4530014484965
99	-51.08173117811516	-648.3271011835996
100	-12.251126785894826	-607.434955826973
101	-56.79139162215218	-554.6087727464148
102	-76.8011887971633	-435.5307811405276
103	44.3818348582236	-600.3751560971742
104	26.11825682964468	-521.6282017075483
105	-162.26873171038176	-623.1741489423051
106	-7.040266010418065	-602.3992675751617
107	-13.721157428764585	-789.171850248404
108	-83.53349103959297	-844.5481942640298
109	25.494641881102055	-812.1180561130943
110	-40.92827407805801	-859.106510929251
111	-87.1430049337151	-1225.2779382012104
112	142.56968689107669	-1135.8487086355644
113	-471.61402946759256	-986.1527252918899
114	-248.7844896582386	-690.492474407326
