Environment: LunarLander-v2
Agent: PPO
Experiment: gravity_experiment
Parameter: Gravity = -1
Time Taken: 686.1280319690704 seconds
Episodes: 1103 episodes
Max Episodes: 2000 episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-324.0134337538283	-688.7701802931217
2	-127.33368406713484	-725.0105373728939
3	-347.3212249591686	-532.4510585872401
4	-225.39104097414665	-253.8042053378038
5	-155.87358486338903	-222.98455321371125
6	-222.71900317653805	-220.92166665738984
7	-139.45913042836787	-349.0167922524548
8	-207.1135024427776	-296.72082227435885
9	-81.99817964504155	-237.22827435576272
10	-102.48801530503593	-285.28177997865816
11	-59.95209445015765	-582.2465878959506
12	-76.1236750629299	-1010.7386980831157
13	-87.08667826787492	-1503.5242301459846
14	-307.9105369178029	-503.6202535857016
15	-340.1512248880249	-315.2542513304837
16	-260.3579460093755	-301.7536500591977
17	-523.5572603634071	-277.3423689119619
18	-348.64640790824467	-523.7250557674215
19	-67.19126315511451	-436.3007010597759
20	-179.13988937207358	-263.7778412636612
21	-334.38925797894035	-224.9410899657767
22	-435.7240072503513	-425.7704247613089
23	-55.29173052565055	-309.8414505398159
24	-284.62030784309354	-410.7858548985553
25	-326.25541700653173	-365.62418180694505
26	-303.42882057128213	-480.3570394204626
27	-485.5070329771668	-404.53745227628
28	-568.8828870955906	-279.2457183506353
29	-694.5310417542747	-413.343886432996
30	-27.235748294801766	-444.45737680243604
31	-264.20272408095457	-325.193173628659
32	-415.7403720164278	-304.7799558089447
33	-269.14152812063037	-370.087998278211
34	-369.9923975071148	-442.09735973757387
35	-284.5556847872605	-370.7032895328344
36	-174.46699831637932	-347.3046591811693
37	-392.1953399419135	-214.63187063948942
38	-249.47432326991537	-271.5696217110361
39	-347.8204404666998	-409.14368619438426
40	-264.03889290959	-219.1143512698368
41	-150.8740317709507	-185.32778853415283
42	-223.14192121760334	-97.34068549020216
43	-63.7690114677027	-99.74369020113927
44	-111.63108339407518	-256.6559233292015
45	-390.4668522771708	-295.1454064796702
46	-133.33890412449747	-271.1644897085846
47	-75.54069627114369	-254.86784513030423
48	-68.75696344784589	-309.9016864689961
49	-239.7464661936624	-228.43001438169875
50	-76.91081630877937	-220.90496059336277
51	-133.53609275681404	-332.09735858243766
52	-149.21450028620183	-282.72165203842303
53	-265.1325933597865	-252.8145406783609
54	-120.22180524065948	-80.1339189177338
55	-70.4493386141801	-202.85840236755195
56	-60.19958535139625	-242.04077706589064
57	-290.6258565328273	-277.4327020248987
58	-190.31837737928072	-181.20101251059958
59	-93.54117078564775	-309.46281080278675
60	-96.83803460116229	-175.58075028764603
61	-63.473526012731654	-328.3324203345876
62	-111.90638395050522	-355.9560389533101
63	-177.8332889753258	-200.27997259453764
64	-40.85667936329168	-265.26843623777563
65	-74.73090268373815	-296.4514867297056
66	-110.75325948231895	-297.1996287515625
67	-236.01930615797627	-241.3085600337561
68	-121.52514524981622	-508.5069208966781
69	-62.332151648101096	-567.7615211806467
70	-372.26425409001695	-382.9696703921755
71	-150.22594267865378	-697.8268720517327
72	-179.79165589031894	-298.29922294846074
73	-207.28343096814916	-370.86322695357416
74	-125.35147824501112	-368.5584285434841
75	-236.33607996632077	-651.7187279210754
76	-76.53085539213691	-512.44970265031
77	-199.73851372622542	-438.581794945406
78	-138.62261997317478	-337.24973558221615
79	-203.7564568486858	-304.2906280200282
80	-150.639147975108	-261.19002351779295
81	-84.86720790328042	-303.8503380736292
82	-498.72782375532347	-253.19496351068463
83	-82.50498825706674	-616.7647945884769
84	-308.9034575207766	-283.63061821088337
85	-345.9537172488517	-316.8724098535885
86	-294.75897027901465	-495.54520536995926
87	-115.71736867763572	-263.85286605513954
88	-351.0195334997893	-498.228219688899
89	38.72148972842368	-357.83874692541826
90	-105.37543200668385	-583.4324414099752
91	1.746490147925627	-361.0391246324467
92	-4.955437896193786	-473.00257440184663
93	-106.0165696825874	-280.17711779460313
94	-625.9480233556133	-453.6442195713239
95	28.879604180814397	-396.22458253944444
96	-32.192176576009615	-497.7282688965289
97	29.047876009091	-258.6723774580221
98	-111.93551880401279	-670.9618857679583
99	-53.727128026048106	-288.1758871576577
100	-39.60583173311724	-291.2804333537681
101	-366.3274910134113	-779.4351350003343
102	-261.9963749318709	-430.3745954597814
