Environment: LunarLander-v2
Agent: PPO
Solved in 2000 Episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	-104.24554112784077	-836.4788232052007
2	-457.98842566241376	-838.250400578122
3	-76.64616355068605	-453.0778235308765
4	-138.8231902150962	-464.68648234296455
5	-169.9329066750351	-835.0266478898126
6	17.24745319354524	-780.7121709331805
7	-381.38468959676527	-802.2911506251513
8	-541.4629538308657	-821.6897378049416
9	-255.710569287813	-462.6903385518601
10	-341.2862267979069	-364.1699731367295
11	-94.81429502502787	-487.51980712806005
12	-318.9430652701567	-591.1993452700592
13	-290.6941964905855	-448.7078021436089
14	-163.10980335434533	-524.4007850643573
15	-287.1107351432995	-531.1921158477653
16	-513.8017177766496	-359.9601839739296
17	-630.9970035064316	-481.1014198062871
18	-426.5264702190908	-637.4848988913984
19	-90.81315564480512	-285.0854068308365
20	-201.52378641601857	-388.1033789659492
21	-103.81990468016107	-226.270110640159
22	-126.5021652042695	-357.90207875770164
23	-95.28328796323265	-295.35533805922114
24	-218.50705624503712	-149.15999432528827
25	-78.50279262360735	-373.3933440628207
26	-236.1603772240432	-478.2487258102853
27	-161.341537607316	-480.25449304681854
28	-251.02586476673184	-21.55998236770688
29	-394.39635347821655	-438.33179802256967
30	-326.4108056034927	-463.24456899497807
31	-123.08550489565437	-422.5416480308521
32	-133.32034481000102	-446.42946457577176
33	-109.1550232658983	-548.3807671013096
34	-42.59751727430013	-547.5602177874576
35	-145.21689879314388	-566.0521044848225
36	-285.422012433816	-435.53011299646045
37	-82.80141678285726	-440.8850558568998
38	-69.88890564463622	-656.0615251873141
39	-94.53848612779936	-663.3298995709604
40	-96.87572421659043	-505.1320448069592
41	-423.967907277141	-678.2378337213651
42	-173.7547147795492	-802.3333127163553
43	-118.6598472619461	-804.2329942172961
44	-213.8089622164088	-1747.3159249196347
45	-342.71626139723554	-539.4609425345043
46	-248.71555547657206	-398.9638701873908
47	-381.90434538623407	-1225.2587532883242
48	-398.7683032964677	-527.137543612213
49	-173.05711527470265	-1026.8294168186721
50	-68.65449071630918	-556.5888083276413
51	-772.0067283862112	-586.1695707065921
52	-918.378154298114	-524.6886716537113
53	-77.51059447263825	-1285.4410031230525
54	-207.86712210835637	-760.9335124196688
55	-207.49711846491738	-379.33591493767506
56	-367.754285023709	-804.8958359354874
57	-253.69130171003562	-341.7505066909562
58	-157.5179046806039	-1341.4895336481884
59	-396.79851763143415	-500.1630788722303
60	-1058.2036567489376	-376.3576709499337
61	-402.69716963897645	-647.9052809252365
62	-525.2589218900498	-682.170997554074
63	-382.5581493269224	-656.6436498747489
64	-478.2006871952591	-1047.2683396916207
65	-488.89733444628564	-2348.6761634524696
66	-357.6978486896442	-718.4679793477062
67	-56.24334991596253	-710.6683305609344
68	-400.14607789857615	-527.5897407665905
69	18.225480864834466	-524.3704877243263
70	-58.00825802159683	-268.6029241016445
71	11.866293842556217	-294.6974044775045
72	-231.25091945465925	-315.84776707170874
73	-42.650258675424965	-177.25308295163208
74	-292.5044525758294	-251.48754740087898
75	9.528955648687926	-344.45221839004967
76	-139.796777795234	-188.69948315892225
77	-249.44216845427832	-433.70395986117
78	-151.90989668715952	-135.55583499287042
79	-84.31119803995668	-461.1351484708653
80	-202.1147380164172	-750.1818214536892
81	-265.3377626257678	-405.5292962734979
