Environment: LunarLander-v2
Agent: PPO
Experiment: standard LunarLander experiment
Parameter: standard
Time Taken: 59.487691164016724 seconds
Episodes: 148 episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-541.5955851150334	-110.06730449119166
2	-164.15507343208498	-94.99710696687879
3	-352.9845105596884	-179.668422900346
4	-98.88493554126129	-144.75903362870665
5	-232.30645015968216	-58.1659327761643
6	-143.54288030125258	-952.7755810472263
7	-275.2712835806244	-669.955338284995
8	-210.07979345168388	-1236.934295544865
9	-139.8972629611211	-1220.7960290504814
10	-100.53711590969937	-1524.2067879649305
11	-313.8584566117506	-991.4651419199621
12	-81.5463770371233	-946.1996091488613
13	-47.3936314984081	-1294.2417881458252
14	-145.019971922852	-338.3116233695061
15	-216.64310764593722	-1144.2690743258952
16	-277.37926361834707	-638.65127442046
17	-516.3379083404111	-633.1435256832902
18	-153.57336037177674	-395.94511390982734
19	-741.4904217979765	-407.0032104406338
20	-633.7946386517743	-1388.6766002266406
21	-598.9026368489288	-902.7172357583956
22	-195.66233969307348	-407.9126054491094
23	16.057317320073366	-1303.8029892549746
24	-67.06667610079316	-693.7318178075434
25	-185.0479763863151	-341.04828293247715
26	-86.67097372055247	-118.40351865416741
27	-218.39318458732842	-111.56953645591011
28	-44.11752223163959	-102.80114743132725
29	-89.6327549351319	-202.65850096380663
30	-75.925451509279	-212.03224269380212
31	-74.75235286089614	-189.7181827763206
32	-89.85242254103113	-252.96536581922646
33	-40.766317248035676	-275.6817957521555
34	-104.08579536929659	-259.2369340101792
35	-49.91929952724052	-266.4313311309844
36	-323.508150628862	-459.0034319754013
37	-299.207871805693	-288.09855953365457
38	-437.6761817786995	-783.3487398327052
39	-179.39377194930236	-216.82445345115724
40	-81.27045008927354	-353.6273839862406
41	-43.55097655488646	-181.08390822599992
42	-66.94502334043956	-172.2881148460634
43	-112.48728648749896	-203.99653036941595
44	-88.73625887484664	-200.54837670840675
45	-48.87105981243158	-184.98920577664268
46	-224.65760581441396	-219.10924774127784
47	-173.3803006940467	-249.2868486323329
48	-24.060311639418202	-119.90790828595438
49	-92.85767970672862	-168.05415243314647
50	-89.68563792992828	-121.30311162833371
51	-18.254757933771486	-218.3621633303507
52	-65.15821548158638	-177.00525021263218
53	-45.962088515654926	-9.402454598903219
54	-95.93161996973345	-185.94719650105705
55	-14.462325249475413	-156.3374510657638
56	-55.5399918648233	-218.67962257657922
57	-26.043008493472854	-180.0717837162826
