Environment: LunarLander-v2
Agent: PPO
Experiment: standard experiment
Parameter: standard
Time Taken: 290.3577239513397 seconds
Episodes: 298 episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-238.98618410013756	-121.74067440263138
2	-88.42600397298773	-298.5634970571808
3	-282.99283746021354	-349.6491648528496
4	-402.37568112204383	-275.2394248410684
5	-99.21217057892115	-109.86337465814847
6	-414.88685192340154	-111.35060887822914
7	-120.97447726946768	-98.46525422193798
8	-126.15814770913371	-129.01596696882768
9	-159.88417270851764	-101.26221158904849
10	-144.15907798810218	-117.64166769553199
11	-127.64421822207723	-107.46445513572371
12	-103.8424853772039	-138.4898463011783
13	-150.3114117304573	-173.23196733951985
14	-83.34460339907739	-125.15740547467925
15	-147.0822107030424	-180.6507871980015
16	-180.95305516020326	-106.37188881965326
17	-108.67031407328555	-135.07005348514085
18	-123.92358516345195	-8.378281689062419
19	-69.81922109876422	-140.81229757562474
20	-162.47835592663563	-117.65698312422074
21	-75.22066061756388	-165.62853225104215
22	-84.39284889700039	-512.7755509328239
23	-154.16703327867995	-32.29218975866554
24	-120.67268058543586	-99.38742992519795
25	-220.90196125527942	-225.14458432325844
26	-302.4833326145526	-598.1105698965976
27	-137.83230508815805	-307.9314892534052
28	-223.88405648888752	-78.39749264211257
29	-196.328574448129	-496.84254204696856
30	-126.19096740827757	-27.286014542200704
31	-100.95597410169255	2.87231886780782
32	-206.64909540681714	-236.90021364492227
33	-360.66054547285705	11.625082860904769
34	-355.48981606211186	-488.1856300512426
35	-101.51546152826123	-304.297046958096
36	-43.4546448418521	-43.09410152205905
37	-101.21686378390874	-462.4469976359803
38	-53.78785391527515	-143.27144835410064
39	-90.44059686070267	-207.26605737783206
40	-169.82876837294341	-371.8188414587571
41	-31.54498884941512	-107.46295835867588
42	-60.285645059229054	51.81540346851705
43	-108.55418968180588	-49.312098454330595
44	-139.89250605662426	-442.7252512780589
45	-246.19970901175972	-783.4121444402484
46	-100.2473463182563	-210.86559912167962
47	-62.42214996856166	-517.48946251047
48	-337.01002042123326	-470.29231593467296
49	-245.06566177328241	-827.5383627814392
50	-357.92716188806924	-578.1410540654099
51	-230.52686993000424	-3508.0090696762322
52	-2.303682870145863	-544.5205977219789
53	-1056.8962037871725	-1986.1410023794367
54	-732.4337275531393	-1190.250854206521
55	-499.1735644704972	-962.9405324033869
56	-59.95325112991489	-933.9354374255207
57	-149.30778384668724	-798.7181086624383
58	-310.19705254357507	-1009.1210462302718
59	-74.79730761536274	-733.9546303899922
60	-186.21855341717995	-852.6069144208998
61	-291.696862975827	-481.79755510474376
62	-312.40465405674155	-532.7203026076613
63	-107.40317950085777	-209.13344284274024
64	-59.98318616812411	-580.9209037748877
65	-41.67343549422054	-532.3176121557631
66	16.01330671439831	-662.8836585453463
67	-77.81550396413202	-435.4038538752293
68	0.8890277525617307	-769.4647240712662
69	-85.00262318250921	-879.3821033720735
70	-281.54246087875816	-542.3959136667175
71	-323.03205080394594	-543.1258121456198
72	-209.3475978360521	-654.8399508404891
73	-200.51847422765906	-591.4791762279101
74	-189.50395299521685	-831.1652154039194
75	-154.2533149643116	-581.5745690286088
76	-24.480000766737803	-512.1973929537285
77	-104.75558659956039	-606.4999046885985
78	-162.37555480866	-826.2150451111752
79	-806.023009136352	-994.0860585647102
80	-470.96030566554117	-436.9444661443073
81	-641.8788023704814	-618.3745055939855
82	-445.43986363467565	-659.2532412896524
83	-442.7820848135007	-456.13571749601755
84	-273.43896144651563	-574.4307790725936
85	-109.26885559956254	-477.7562281532539
86	-88.66907312460302	-335.84154309160675
87	-391.69267839071296	-1366.1158872174428
88	-919.9560944409677	-713.891500499796
89	-622.242119254987	-379.2030340657757
90	-209.43809487957358	-391.30018647038185
91	-408.43845664223426	-351.3029000826167
92	-294.36473111204896	-409.6336496468619
93	-42.80779388074281	-229.2625625269518
94	28.10804441713157	-396.761174183821
95	-140.0716514616061	-292.6022903533816
96	-71.55069196783992	-355.5749676949514
97	-162.2051290682183	-392.5478132051947
98	-16.228124202235023	-433.0782150928116
99	-96.36880500616597	-287.97426076932743
100	-59.99239197684951	-419.5504034154642
