Environment: LunarLander-v2
Agent: PPO
Experiment: standard_experiment
Time Taken: 1068.4571554660797 seconds
Episodes: 973 episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-96.78306183793224	-469.9011599309006
2	-123.92501264762136	-529.339810025409
3	-87.76995767819501	-954.1030654428138
4	-421.48363054904604	-758.3738967763526
5	-290.2394287918379	-596.593947714715
6	-154.41908934689286	-1601.3920917235628
7	-80.45728850661763	-371.34183958395613
8	-25.391809492493664	-250.77094723334892
9	-37.65228971616858	-266.670114391397
10	-70.64299944232958	-294.26357072071573
11	-395.6714174860514	-265.09441973637877
12	-261.92474548964856	-261.841141266802
13	-183.83801624581437	-290.2802122556457
14	-141.21347663465227	-99.14766320926557
15	-6.870135179100458	-115.44684307698904
16	-407.3165167117877	-177.15357010645505
17	-61.55190556246296	-416.3180296632969
18	-21.92200412520151	-334.1495399237334
19	-484.44473630314144	-186.39874647743704
20	-192.53780323863296	-344.86102052667104
21	-129.21098815100402	-260.26960802998315
22	-15.224246976855511	-332.1076935266258
23	-147.1714270181058	-78.73672876053341
24	-59.25675494423623	-169.66844749730177
25	-81.87806776689115	-101.62100818380034
26	-106.20840632002283	-189.7107421840371
27	-167.64457749740802	-202.4215736545142
28	-37.16832376389007	-163.54314411849975
29	-194.39730595315126	-390.0474807113893
30	-32.09703523350923	-367.99327890743126
31	-101.60939326627586	-426.1378278965778
32	-271.22913459667575	-321.7245964227044
33	-253.42934374852484	-329.01899272482046
34	-139.99598331523293	-296.6401016523072
35	-197.49243258018703	-300.93302526598376
36	-343.892834185068	-363.0895514905274
37	-80.79679724591031	-237.71924636787216
38	-38.48593362261781	-317.21189452655005
39	-150.61755204588954	-253.84966474835892
40	-29.636780164835358	-154.6027040725882
41	-18.327079142509916	17.250485561995845
42	-68.21096782440745	40.15352377045278
43	-164.7145435719218	-201.73858566520246
44	-93.30340225631733	-69.59104154356609
45	-55.1027029475362	-32.30676963168281
46	-75.66631040056149	-97.95830550739315
47	-84.82886679138241	208.08823635228845
48	-47.32869744573918	-46.872971985093045
49	-106.73464667014237	-86.21447451600382
50	-64.93994847140434	-206.19982496989445
51	-64.70818270562937	-324.3205691399856
52	-6.523377110160595	-324.62135090199394
53	-140.9879021947673	-234.85929798620725
54	-96.31273434883373	-313.18599286024255
