Environment: LunarLander-v2
Agent: PPO
Experiment: standard_experiment
Parameter: standard
Time Taken: 3196.4506883621216 seconds
Episodes: 2000 episodes
Max Episodes: 2000 episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	-281.1952117866921	-956.5708844628382
2	-189.30658965873226	10.017511920764505
3	-73.17044962129239	-188.73944931256386
4	-111.5185218782905	-133.10915739920424
5	-137.77484928101956	-145.70415237261523
6	-127.5438079688998	-129.36286406397727
7	-107.19155619054915	-176.59390440097235
8	-227.6889740165318	-211.65915856318227
9	-69.51364547598094	-177.59109646463935
10	-174.99682226474573	-285.1115902167861
11	-290.43586173610896	-324.61072847564776
12	-339.7847531431071	-264.52449041186753
13	-357.1644582797842	-548.5692995462465
14	-150.5878715571582	-188.99360216808276
15	-217.23471061551345	-168.19894199561696
16	-236.37124304685372	-3832.2690058372755
17	-189.21817586079288	-476.1881443612054
18	-412.0734100571901	-1056.0249809944455
19	-124.02205828256095	-116.74545167865384
20	7.9449360005939695	-162.49894545209887
21	-56.06213212174234	-65.54490136131218
22	-297.8268259490958	-134.503894588539
23	-144.32263638422404	-80.69968012180252
24	-209.14333982975694	-139.82596534529827
25	-159.20592343999175	-59.50297874409351
26	28.830170457891228	-116.48098279868637
27	-108.99362586878493	-151.2880368672102
28	-135.91768322285742	-117.99442093117204
29	-123.27363284248719	-165.9744414855953
30	-153.09126762643328	-112.65608022000313
31	-79.12027307054468	-123.52530885631015
32	-79.90693905790053	-106.33567192671285
33	-188.92583010752531	14.711911870441241
34	-88.63673801878635	-583.9152447252975
35	-94.8096961769544	-1194.7381172213281
36	-145.08711585691333	-2891.352430142055
37	-487.0967372009189	-195.0638973252009
38	-437.21499039256753	-1363.0888557060953
39	-344.69353736899006	-586.0366869137806
40	-1115.9097739995527	-508.4211466264408
41	-800.9330501776727	-1463.7690448341493
42	-558.2240249951244	-1939.4590316618505
43	-628.6189470239385	-1885.646960945897
44	-284.3778991531832	-401.05034416295416
45	-394.3901060197783	-937.1806891242175
46	-827.1158996145242	-657.4255261946062
47	-644.3003443494792	-409.08724287490725
48	-267.7860428521668	-366.0222031700365
49	-90.79856225489826	-292.5097558873839
50	-503.47471833000066	-335.67645295811803
51	-340.0560461645401	-419.6497785553663
52	-669.9014660139418	-382.7232362219245
53	-251.09082353568496	-437.2456486636359
54	-387.4217519921927	-649.9061826426456
55	-275.17444288492135	-1188.6880234934301
56	-481.5455221267876	-642.5807702056236
57	-418.93790190578534	-608.5037505825178
58	-514.608285618028	-518.2361056884969
59	-499.9319483628723	-581.5302087577943
60	-295.2470475699712	-594.858425116011
61	-425.97534868433263	-743.1660672410811
62	-816.9734682123966	-955.6125587596119
63	-657.5953704948334	-575.6515366453674
64	-428.08015196462736	-898.1289922516843
65	-463.4183727982149	-1558.7039546714127
66	-696.3276298639697	-1074.259153088365
67	-577.2958508254027	-789.9970517433902
