Environment: LunarLander-v2
Agent: PPO
Experiment: standard_experiment
Parameter: standard
Time Taken: 971.3168921470642 seconds
Episodes: 1338 episodes
Max Episodes: 2000 episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-108.4308526847972	-470.0338836145422
2	-120.9907610727933	-483.4912139800039
3	-136.63105048653438	-691.9431594110915
4	-168.21872877612918	-716.9836964456529
5	-97.37804281166231	-1440.8100783304178
6	-353.50502870146	-752.4206639904386
7	-270.92565897578686	-937.444540610377
8	-453.2819790373721	-897.8975810925624
9	-406.9754504774604	-816.6451971295664
10	-103.58761015457893	-645.562443650835
11	-115.78376935474606	-1038.5848170039321
12	-177.84391491761266	-330.6351246704105
13	-196.5233331370183	-866.4331354067805
14	-208.2845406040656	-1062.3628477643106
15	-314.24871874373264	-953.8970016090568
16	-216.6875173002204	-1443.2228238365672
17	-140.87267955408237	-2255.2348397294077
18	-641.1042939276365	-420.8894342921304
19	-277.6139956041652	-1150.5103750446629
20	-355.4285118665862	-874.0037543106056
21	-268.39447525612457	-787.1491838748557
22	-76.8243113687792	-779.7378846021853
23	-34.35027854448653	-1584.059728238752
24	-38.89682001903559	-509.46683472681394
25	-137.43290607296203	-799.2847527953639
26	-43.0200761743009	-677.0373184335083
27	-405.14970355067425	-793.7910063498746
28	-213.54430866479015	-829.5230209361141
29	-228.35635684768877	-972.0029848543792
30	-245.34656412368196	-561.0366178216132
31	-50.76500036020086	-2646.576342017472
32	-489.9382408062788	-1534.943909749221
33	-407.54354060176973	-775.9828593949409
34	-194.18758734308364	-865.4915730400584
35	-256.3450752538231	-684.9389584453941
36	-99.89156425111173	-881.5220126159011
37	-216.97817442997234	-965.7449943191117
38	-187.4588746365144	-882.187106907681
39	-217.66785642932967	-905.1319969502048
40	-70.52002300147647	-1437.2340508071852
41	-196.9337043123024	-1233.9257107174665
42	-48.21961921532927	-1335.2645903764178
43	-47.751841997589615	-974.7836996819906
44	-141.14609540894966	-1074.7942939792867
45	-203.6722691773815	-308.69348758032515
46	-71.46395315735269	-1118.3608337527141
47	-270.5449558936027	-1425.376378508007
48	-208.3271379495627	-478.8261457311726
49	-222.86134529949067	-1173.9437923951307
50	-196.51457461725633	-1671.946829979221
51	-165.7186918829482	-1117.483545312293
52	-11.525548974054757	-1638.4033553194286
53	-168.10078475908412	-1722.3829479362096
54	-307.52897322789266	-1797.5153420025324
55	-22.029442702340432	-741.0938142949772
56	-45.94703761972295	-3404.2291671508174
57	-118.50711816018988	-2833.004922811762
58	-80.48232244734538	-2771.7568325747256
59	-33.96956664812441	-1990.6291608027645
60	-118.46432194581078	-1530.294314929144
61	-63.840704362388394	-670.9223585171185
62	-46.337548843318565	-1262.2556880801749
63	-227.28891174245285	-1745.1015112777625
64	-33.98705859737062	-1065.0561824040005
65	-537.5677943623502	-1165.964644510346
66	-420.73505160710494	-1068.7923581494863
67	-66.197535472351	-1933.4693188148294
68	-226.62894329428065	-524.834196291601
69	-16.61616035585898	-998.3098583731094
70	-81.376488795803	-810.7018023026529
71	-9.558470732909996	-1202.1382215013102
72	-55.9950963201912	-1087.378122051352
73	-29.7709878447113	-2993.0338558521266
74	-113.86001586821789	-1364.0574795666719
75	-13.777428780717514	-728.2726617262555
76	-580.8881055203688	-997.7488391559073
77	-195.41622517441257	-648.1559059915717
78	-151.5635843074846	-616.1780831896539
79	-255.77471359486043	-524.5131961977295
80	-532.3253927630219	-1333.761566420057
81	-108.4165288010194	-409.74930790048415
82	102.11508978111594	-661.5207261568834
83	-74.15215238516734	-735.5329639462369
84	20.420947237317094	-574.0453298584348
85	-80.39665361201314	-431.01636195337835
86	-56.205222639110275	-822.2680900952596
87	17.64488565336451	-504.84007455680563
88	-89.07978647162045	-200.37218894062988
89	-208.85179347893614	-375.8920131232465
90	-60.66219700785476	-521.6219280110213
91	-16.633777303544434	-408.67903067268014
92	-136.08113567380846	-587.9115702483957
93	-113.78553103276795	-392.3767387934645
94	-19.133060408800347	-501.40824137825086
95	-20.75195883424061	-558.6921089054408
96	-90.11973762640076	-148.72447337826742
97	-57.767621984000655	-442.0964351986394
98	-232.93106439998405	-294.5952868280401
99	-143.6467595740008	-175.07155425103738
100	-184.64219469456788	-129.45319952078836
101	-48.30160640952165	-244.45411728953357
102	-93.78908076592226	-149.02274161496703
103	-119.44395810588004	-200.5551470602635
104	-181.6723187625368	-508.81081414824513
105	-85.84565271461507	-352.6897367609044
106	46.600711480167945	-110.90358449693429
107	-0.8067039333065367	-164.877883995333
108	18.395106014749302	-196.4132866230541
109	-143.84335781677282	-151.70580302010444
110	-87.82597745420682	-1030.784441450156
111	-10.03664563969366	-751.6685217819288
112	-14.054638556983875	-923.5266199922942
113	-69.51162931057348	-239.25143567074707
114	-29.668236762228176	-555.5518710094184
