Environment: LunarLander-v2
Agent: PPO
Experiment: wind_and_turbulence experiment
Parameter: Wind power = 1, Turbulence power = 0.5
Time Taken: 328.7567300796509 seconds
Episodes: 274 episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-144.9298267424631	-159.10936101823467
2	-117.38352210002708	-377.01866244163176
3	-98.32673823549547	-430.28879904990487
4	-297.52651177699664	-562.7965456176528
5	-456.05946139491675	-586.3036047625313
6	-265.74958678212715	-140.09700073299462
7	-98.6961506594352	-559.9492737163212
8	-369.79645660223485	-1193.2888415823365
9	-180.8946449836438	-685.2523990232027
10	-102.67495024202692	-621.8825115619518
11	-182.72979563658964	-171.6629535954497
12	-224.2936302820777	-116.11797745031551
13	-67.56342169115682	-140.8965802568597
14	-97.10043017296347	-117.39561464771815
15	-138.18292341321046	-139.04271194852805
16	-165.55245650432147	-25.466192111040144
17	-73.96153893577147	-83.2469610666965
18	-51.21187906802737	-86.22842722526987
19	-68.21555021895125	-140.847928677894
20	-140.49041097800585	-325.8045220096487
21	-108.46041852472544	-136.11877955340748
22	-38.98586143359627	-200.91948513100579
23	35.624703495810536	-323.20225105756776
24	-211.85114474564102	-246.82920211077123
25	-81.3985317999483	-155.79381277854355
26	3.567684758043555	-231.55784715979408
27	33.982006849496884	-189.6458388345774
28	1.7440490110510325	-157.96668067295815
29	-188.52224987321603	-104.71802817460373
30	-106.6388391963285	-176.30344105352856
31	-14.042011404628994	-226.58574015234512
32	-153.30199802738395	-156.1476847009455
33	-264.18580388422845	-117.27559587555947
34	-262.317402799157	-80.45573371536773
35	-40.91519338305725	-203.14278307899792
36	-181.02783366551478	-204.86300701834247
37	-115.35909059055456	-219.3704773387891
38	-77.91534660208899	-47.53749522577807
39	-111.28124922091911	-249.56876204887084
40	-90.97760542498423	-175.56353182474805
41	-33.51784699211785	-247.28999196116553
42	-17.640596241627037	-363.7844285635453
43	-28.348121234007706	-453.9429394521418
44	-24.22714855396903	-375.1173296828522
45	-239.44363296758462	-789.4859605047998
46	-105.12917852241038	-273.25178048320146
47	-80.15470372304218	-350.2280832618821
48	-278.760199860071	-193.00332815843853
49	-319.5320550879582	-256.38404626249314
50	-171.5033167206517	-350.6486372764066
51	21.267801355082682	-129.4856171098708
52	-253.07452868473482	-510.8849598431524
53	-289.6918995497251	-158.77218264081483
54	-89.09967180796806	-335.8656766636265
55	-237.6755853668429	-184.58094364945208
56	-185.60018188431914	-277.41341394339565
57	-124.25331698153926	-268.0113039678258
58	-239.9525326740186	-534.0937020262996
59	-233.4683205826441	-164.48953416122112
60	66.55482514758049	-176.90042278378067
61	-209.17962195597835	-326.35059154024725
62	-148.87211317918343	-294.6218015268961
63	-96.08518671411355	-253.35678387172908
64	-54.35765614639051	-322.02027439850156
65	-72.95212426253005	-222.72789054419053
66	-11.352031775655547	-373.39858946910414
67	-130.30701987639887	-453.2434781428845
68	-23.01268819635598	-262.8674790291381
69	-189.7749833961139	-271.55105950950406
70	-156.98131005919274	-231.50050524023763
71	2.3174988808968777	-176.04385975350576
72	46.00728449880377	-199.18176446352953
73	-161.0335811233869	-195.61037846347475
74	8.569134101188709	-218.8622670484197
75	198.71888877913048	-388.359474731445
76	76.84301532657874	-777.1093483584713
77	-60.125754486854774	-810.893057064047
78	-249.4914713100828	-717.6794720082504
79	-186.64391796008496	-907.1241256267763
80	-53.04304467130762	-766.6813479348709
81	-56.82886902475397	-734.3182780865699
82	-62.66323631583337	-850.2282094318881
83	-68.31778625865009	-951.5264579616896
84	-255.68394976020795	-765.3208817661379
85	62.39654695127914	-329.47031252129364
86	-298.4833279944526	-254.44877352573363
87	-23.362322540158047	-195.55484601858387
88	-105.51884493115647	-247.5074973300951
89	-97.46461507174406	-284.5446302801017
90	-86.8409590120453	-404.7337447828537
91	40.48828608559071	-702.4199884145022
92	-141.14791462053847	-548.4694667375024
93	-279.5128587941212	-209.1935563271383
94	-345.6734886650987	-136.00064049424034
95	164.09074806134245	-474.1585438356679
96	-54.045555939369066	-657.1100526441542
97	-178.78760298559334	-910.9675830795384
98	-264.8238642861995	-643.7476528489328
99	-73.10935682652486	-519.6855183895293
100	-111.80962492140831	-518.5347704081141
101	92.58842450486658	-471.5013058742272
102	-153.01514293955887	-524.900535121655
103	-137.62306929466732	-223.10788646406826
104	-101.20888916218395	-395.45006835858555
105	-98.03795747292031	-530.9493288331331
106	87.282950287271	-439.3446939162285
107	-73.33343494254243	-476.4898002498427
108	-173.21633781517454	-388.1449364951201
109	53.452767567488976	-244.6805497256351
110	150.26254272659912	-312.88651835496483
111	-179.18817571128943	-366.82700242618716
112	218.71625627614497	-367.70609247312484
113	157.43788568829166	-258.4647410812152
114	-104.93673256744091	-214.5360148025267
115	115.84063599161118	-168.86446282489987
116	-97.49451942066968	-214.9122079936246
117	-253.88883991466574	-306.7199746460573
118	161.19044285020345	-249.0733906169089
119	-77.92081549556772	-249.5080228934444
120	126.29922805014235	-396.01317161501606
121	15.621936723921822	-305.1181959181653
122	192.62175457709245	-196.87506874123414
123	-20.312886727293147	-290.2495978460575
124	-150.01334603071666	-287.9551017174673
125	144.62027994658462	-353.8712768279525
126	-82.39614142998288	-326.4608499445354
127	135.6779289494004	-218.10713653935832
128	-71.99797519342042	-306.00306030830916
129	-222.76737332520375	-256.2103094969468
130	-35.66376226547944	-277.1535425001045
131	-176.79686094318106	-286.19700114712356
132	-51.64996981976425	-336.1735766425063
133	-65.15947684792492	-272.3247244813715
134	-95.14758584445377	-298.2424593719893
135	-130.92725087066702	-256.225219070159
136	-35.93137665847395	-425.76904134696
137	-50.36363063436874	-435.7370199515964
138	-98.50505410487652	-348.1892790902132
139	-44.76031429280655	-479.8055431742736
140	-58.32383312946253	-215.18713021030018
141	-60.410033720197035	-370.70721765795133
142	-85.21043806061769	-227.33928803641408
143	-94.38842465363847	-497.74555069758134
144	-144.06395622868894	-481.84301724326224
145	-82.14206287355825	-230.58093360199788
146	142.60552637871731	-404.5180556131194
147	-76.98300846945942	-532.2421530169789
148	201.43222788163675	-462.7984357954011
149	-134.11390757943926	-250.4799758918717
150	-59.1770638076602	-199.27463346491209
151	-113.68967663389327	-433.9597633913642
152	-176.15434462719287	-697.557645628317
153	-121.37580846998188	-515.2028912279437
154	-127.171995346498	-674.265342410086
155	-225.48492376866707	-376.5883509149282
156	-122.06261934774612	-280.7629569056079
157	-314.568577567989	-168.80887973805932
158	48.42407193174904	-165.66827898723378
159	-82.83896788484515	-156.147700009902
160	-133.52903100189823	-162.59985962320104
161	-42.913884273626046	-169.72596514016826
162	-103.4310541045806	-144.68145693539066
163	-96.94583114669632	-173.18429303300098
164	33.19414127975687	-179.7878207667399
165	138.91789151401076	-201.5771627301755
166	136.63182559252573	-153.52157993780784
167	48.64413594546002	-102.38965816958417
168	-3.525718994517959	-68.09521679596672
169	215.336190029921	-120.2590284300011
170	189.87011286641538	-40.639571541339855
171	-126.88371453991579	-101.13732958855138
172	127.60004900327594	-149.9034050985797
173	-63.289356126757845	-97.36090066558285
174	-180.21624136131004	-103.93758591097014
175	-147.31317682939843	-185.6058124821703
176	-98.28781488078654	-162.44142645640957
177	-171.06126708918595	-262.37112340597804
178	-41.783038755902034	-164.31409513874647
179	-50.12497356091038	-165.37150520718197
180	141.37139490836609	-136.461294841494
181	-105.02489781840316	-115.5716205014954
182	138.88618546950806	-80.32481337838745
183	-5.755380921078866	-65.27998803081591
184	161.73126608640024	-85.76914824214346
185	165.5734502702691	-53.96680113518604
186	-114.23701880161033	-56.59248011479767
187	143.64918192473152	-90.64196681552656
188	109.6551420858748	-16.40393373398581
189	213.89596291333885	-32.65262415963662
190	-69.11172566927739	-21.646516446753996
191	115.52380281010154	-21.99225723977605
192	179.9654021516822	-83.67969683515078
193	189.3051402632754	-48.137497165215336
194	5.821848370309153	-56.28936479452231
195	40.19753882635092	-117.1909302374216
196	206.63855081756833	-49.652053626814386
197	158.27053663804702	-73.96818085509983
198	151.19848339231672	-51.51469720747155
199	-200.3444990114486	-30.19066456725819
