Environment: LunarLander-v2
Agent: PPO
Experiment: wind_and_turbulence experiment
Parameter: Wind power = 20, Turbulence power = 2
Time Taken: 212.0232903957367 seconds
Episodes: 773 episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-274.25652515013235	-362.09074741165057
2	-96.93156097567592	-515.0034480524257
3	-79.1802178402683	-335.887094528627
4	-235.9097078699753	-840.6346924897374
5	-375.38674264364414	-664.814676089874
6	-660.7986462163157	-713.6923538863563
7	-431.01274223109795	-262.7612181681769
8	-136.07323192897255	-499.62197805204255
9	-724.8581347268818	-532.7019622548275
10	-261.24426447612444	-455.95545845263024
11	-499.5483552281844	-452.18281402599763
12	-189.0431307694617	-747.731216730869
13	-158.75332206590647	-190.7707749309819
14	-574.5643082455742	-472.0458333194043
15	-254.8643359265065	-523.2340784849534
16	-331.05698028428037	-306.5050543844459
17	-233.21605099872713	-123.54893458796437
18	-497.42791306441677	-485.8052232896689
19	-551.053932832724	-245.31870842232894
20	-173.6989951809295	-322.25196789880147
21	-230.92540755242143	-266.2623399319847
22	-1018.5336040211096	-558.0855241552508
23	-92.85800592885505	-1270.5986578811548
24	-132.23802774942268	-425.8258063492277
25	63.178204830656625	-884.1681573568408
26	-573.7605431160448	-1481.863908290882
27	-764.3427902189578	-1841.339017006702
28	-728.1550612898325	-732.6642252675448
29	-483.3861667412425	-1174.7788924798815
30	-384.37393801181383	-875.5547263278924
31	-94.07304981601622	-779.8181100605567
32	-576.0285265326517	-901.0571966713849
33	-198.52675055145897	-453.9985777101365
34	-556.0748586055353	-287.1768355847994
35	-573.1074119977814	-506.89540470206873
36	-26.69658693591255	-1036.4374174994514
37	-108.7227652463891	-410.2369282147403
38	-484.8888475566835	-664.5625129837268
39	-293.44048919127624	-367.41647610788607
40	-218.95699652513989	-864.6714007288754
41	-454.106246916174	-343.0064841657544
42	-198.59920022217545	-346.3529610961267
43	-78.58869580916576	-453.09470312994694
44	-342.85987234223506	-1003.21408253041
45	-418.1675990209598	-481.6315207712801
46	-402.24687231797446	-1620.396753805871
47	-358.44834039738896	-141.53986533235144
48	-163.44505373119412	-585.4935129866998
