Environment: LunarLander-v2
Agent: PPO
Experiment: wind_and_turbulence_experiment
Parameter: Wind power = 1, Turbulence power = 0.5
Time Taken: 2730.859253883362 seconds
Episodes: 2000 episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	-409.11703482426475	-460.18812161180557
2	-127.37113894887395	-314.25966997012813
3	-140.2570241030727	-361.60641152670445
4	-97.82637430865874	-514.1177727617301
5	-174.89470104496897	-484.2815389988613
6	-266.8269661288051	-175.87564517281322
7	-158.5812150324684	-118.21524181877447
8	-62.38066780437424	-123.07650113405103
9	-208.88898115585815	-133.75225480558163
10	-119.4073853821906	-166.37630838005765
11	-127.62516148533624	-151.66613853781672
12	-94.0699845901729	-122.04832426807633
13	-240.4152546569967	-136.58649551785953
14	-194.65732423765357	-143.6003149491553
15	-95.68689466630505	-160.56012507741633
16	-208.1696904118965	-283.3335717149207
17	-163.47540082004164	-136.45597366184268
18	-11.964623270311904	-146.71388072506466
19	-112.6984138197519	-112.73526324731418
20	-344.3544627381249	-251.42374184498306
21	-165.10409324326832	-176.22483856461577
22	-261.1702312856437	-398.64283674656883
23	40.298957596971405	-201.86009435828464
24	-53.77307073506775	-70.98843587758985
25	-220.1273922027941	-70.53271802291412
26	-118.4065092947257	-155.90068730334497
27	-97.01290682649824	-135.19822358339388
28	-258.65566230850675	-111.13878521416473
29	-114.58048643898773	-163.12492305423365
30	-78.82462011074821	-129.6179771120522
31	-144.44245814302494	-51.95738534362056
32	-107.64910933657157	-113.3746424115256
33	-66.32695732007875	-73.67962751766831
34	-229.1913718065583	25.241157622633736
35	-69.54330059000256	-97.76209086116725
36	-88.35312198597288	-42.769476006803345
37	-62.04517460561788	-161.1213603543877
38	-84.00351431736402	-111.77286914718204
39	-107.2131345546233	-134.5549168675447
40	-201.24824889612808	-101.76279993365011
41	-98.32483887359997	-122.6858092846915
42	-363.4786556938453	-34.83557620419383
43	-41.25406654409906	-105.77542737180457
44	-118.36253335730831	-207.74555055519136
45	-125.24340235337527	-103.27066727968898
46	-102.22199237344742	-136.55403736346696
47	-148.6152600260168	-132.55815867974593
48	-12.816682737668671	-137.6789917174707
49	-97.26072198013627	-252.37544264612373
50	-80.61758880986969	-193.94058659202716
51	-66.49902864985646	-1308.6524754213863
52	-92.01419142942464	-888.049223037201
53	-95.54344162033617	-1082.2678607758107
54	-205.18862958931783	-1168.986730370485
55	-239.86182758180362	-1292.5959730264433
56	-251.34505170742386	-1472.1019630842582
57	-171.87044028016214	-1745.4785788633283
58	-340.9907409369568	-1996.5770249778318
59	-302.8459471069531	-941.4539223794503
60	-289.19982875238077	-251.03057301672288
61	-574.7340090044668	-1270.0763410764828
62	-258.45100281923794	-739.1520222991302
63	14.03501113582432	-737.3472379080719
64	-488.53949459475695	-1121.6891762495256
65	-56.91772206833997	-1141.5546749329624
66	-430.6557260881559	-485.23355254463377
67	-33.58689697716035	-192.41829150555205
68	-343.94811309516956	-105.35026302778218
69	25.700540307574528	-101.22433853061744
70	-405.54310015339365	-69.0019075160261
71	-42.50921091820339	-34.893870683156024
72	-344.6848981935416	-80.65034304014432
73	21.26648263107299	-31.316825512749197
74	-26.437176441003785	-91.66426044721439
