Environment: LunarLander-v2
Agent: PPO
Experiment: wind_and_turbulence_experiment
Parameter: Wind power = 1, Turbulence power = 0.5
Time Taken: 1099.5729808807373 seconds
Episodes: 726 episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	18.035663415116005	-655.1563589235153
2	-188.76699369390155	-739.4421294596974
3	-108.85383984062024	-176.76515998979266
4	-217.5684544474796	-170.09319380613283
5	-210.84359448377177	-477.7503787788286
6	-148.5968443854114	-410.89250084067
7	-126.14581922527586	-780.8144383109426
8	-238.33906570696118	-305.56587322744133
9	-169.60412998677418	-374.0273686393873
10	-360.06645481618915	-384.94814696467716
11	-120.22389974051674	-362.38726397860387
12	-384.2177062219494	-380.64002286991223
13	-181.7328262750061	-106.94910320957229
14	-183.1423324355296	-125.12749755213278
15	-143.33099450422927	-155.3282244823889
16	-102.46611058671766	-132.5466794800097
17	-85.99759893132068	-136.31235274228823
18	-95.26430945388455	-96.35375612272165
19	-119.85223992214388	-185.81794802089584
20	-152.4551085237856	-201.95729312640975
21	-167.49288528652767	-247.44963269842273
22	-79.7280445071036	-268.6135426398693
23	-147.40454163879036	10.605625348103928
24	-108.40766710205503	-120.08190973573005
25	-121.67724415339904	-140.1185472924405
26	-72.36960781334177	-31.661433963962452
27	-84.3627354755428	-158.06180975238027
28	-130.2083591341602	-14.23151112074602
29	-120.41725375703628	-171.234504784163
30	-178.421614057622	-150.19169883821974
31	-132.36262054061626	-377.15413280790466
32	-314.8758267173065	-150.40311208219362
33	-160.41143895364127	-130.59677556980145
34	-134.84075330569698	-126.34925559119925
35	-109.00188261520859	-54.614714180595065
36	-83.68058163900344	-90.4457264451139
37	-114.69833748351651	-30.476474487474448
38	-180.28196663601608	-217.87044808246515
39	-207.93916607615927	-10.909925323154795
40	-168.4680924099546	217.6242825327261
41	-46.53910623615671	68.58264806897299
42	-67.50229541781408	-395.35402826075125
43	-71.88079406646756	-617.5977327183775
44	-238.8882903835333	-766.8024277311494
45	-150.90617166341178	-755.6027800416446
46	-172.85380102284404	-832.7443130518352
47	-56.75730335023589	-701.2553727218032
48	-43.002210833741955	-727.085474607038
49	-281.04179378051083	-390.3560169019638
50	-58.16244682605327	-236.0335233534988
51	-53.74871604978615	-145.69051449799386
52	-76.657602319975	-101.28909707926897
53	-51.328814449315715	-60.55599576904995
54	-65.18399894478151	-10.82783671622363
55	-100.56157955599276	21.072642813620433
56	-64.12591787723589	-19.56495140673674
57	-57.62351652093321	-58.71291614680488
58	-106.27925924885136	-79.01052930480705
59	-112.09804486066413	-109.9611562557435
60	-139.95971032702434	-119.59481378548865
61	-86.14706007054002	-106.80611195417471
62	-71.41269143400419	-561.0444874093531
63	-174.35706366632473	-1642.419325311042
64	-83.34733194002607	-1593.3792977879239
65	-66.90782204116363	-2630.7317649039583
66	-44.164506970264	-1839.3062630820743
67	-56.554518497929884	-4100.475961086992
68	-71.57230517277138	-1077.1133427604814
69	-102.2340206523356	-1927.6844885889097
70	-101.15973227122629	-1436.3835373320615
71	-222.94926630880636	-437.7493429765648
72	-215.82123698803645	-1891.4899755054842
73	-14.960848347837683	-1889.3645750425032
74	-11.279532136430603	-2925.2284316628243
75	-165.41854084356677	-3305.199770248381
76	-621.4501525144569	-1668.3309699703468
77	-23.46686585520544	-1660.718144921525
78	-62.03091880948385	-1066.5566453656425
79	-60.07350743202563	-1979.2803021960935
80	-82.02479835152914	-1515.849350741285
81	-36.32166326821587	-1614.7642527292421
82	-42.63054171798987	-1344.0081794761504
83	-26.307937560551267	-2129.725481688559
84	-26.250762777318286	-1306.9203820089456
85	-66.15751910806745	-2006.657174494426
86	-85.4311959921497	-1327.056746836593
87	-14.06475061224505	-390.35724183427016
88	-1041.3204678018737	-1083.719598460937
89	-39.76612351892837	-1744.396070562659
90	-208.31401333893024	-1219.268147744337
91	-274.11793603175647	-1439.5202410911588
92	-504.68746952569444	-1073.539140244471
93	-175.57320752852848	-1726.3144000754287
94	2.7630160964207136	-1674.0190179982715
95	-863.6903279109956	-1507.6448733901652
96	-833.2871695116478	-354.1200728371343
97	-227.53534476152225	-2579.523971519648
98	-94.1070574443217	-1898.6060178105952
99	-1210.6370510553152	-1003.6673291022629
100	-419.69262949379106	-841.2865913649076
101	-99.39325546555364	-866.2835500599584
102	-214.146529997231	-1143.1689912839938
103	9.04189922234633	-1361.3667264836458
104	-49.220313050325196	-1852.3090639733896
105	14.947585538866278	-2231.160108118288
106	-47.69165249695754	-1915.387727044096
107	-55.22215043396224	-1992.1243659373476
108	-30.97078787683398	-2168.318294176844
109	-41.203800465113204	-2812.2543465404715
110	-118.43999755710857	-2505.227415706357
111	-49.58817874648912	-1827.6527012999832
112	0.07892287077619642	-1352.9695909979544
113	-36.248569567393204	-1017.4522595884646
114	-52.95399429513742	-862.7342335209393
115	-59.14590926961992	-699.7807201080433
116	24.6863824051604	-830.6339754477555
117	-74.4299851316944	-902.1826823097094
118	2.445729717758823	-657.9264868286832
