Environment: LunarLander-v2
Agent: PPO
Experiment: wind_and_turbulence_experiment
Parameter: Wind power = 20, Turbulence power = 2
Time Taken: 1902.1829917430878 seconds
Episodes: 2000 episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	-253.59303822050398	-180.646797572146
2	-310.47282965962836	-525.5471265339756
3	-100.16729540490546	-1040.4488025102817
4	-287.492349731094	-701.3825472566103
5	-117.28326336554649	-487.32643190763315
6	-159.40347864694064	-450.05337142992164
7	-585.1728905880989	-244.51095365016576
8	-273.2135529925894	-842.2917386221034
9	-368.1633763225478	-813.0830478190705
10	-168.0805291177012	-371.2017911976727
11	-523.4668754102568	-419.9211961730499
12	-437.2205657443881	-461.06685520281644
13	-161.40810248147915	-266.98397053541635
14	-487.19016943182623	-1289.5563360944914
15	-546.2690471467124	-612.8358543494988
16	-496.6834048656217	-607.5749066447835
17	-312.9521556877429	-129.79039790675628
18	-448.14251901576733	-185.59841026968067
19	-283.19459514751725	-215.0743367303217
20	-290.74256775779327	-174.5332086969939
21	-441.726439554024	-125.86848228513063
22	-245.4002055168933	-620.2656265271436
23	-330.1195815170892	-376.2107781837337
24	-301.14867813439605	-380.52517007070645
25	-268.8114848316218	-144.2273766298814
26	-519.431316852975	-154.55840485425017
27	-128.6457460152718	-163.22543357662397
28	-177.29761095411342	-150.54010321491586
29	-227.79517787746707	-138.47022666685706
30	-260.3398876155567	-199.29179479166186
31	-168.37845321330605	-249.63248403895128
32	-214.78507425194	-269.0965776577752
33	-211.6457419656029	-306.3802332995865
34	-227.44108350145194	-253.26119541810465
35	-57.85923432525692	-215.03420301399404
36	-161.43951084422866	-285.7703838521751
37	-370.3665605026063	-237.27018344756266
38	-161.05524844685124	-301.46407953323967
39	-173.3002355979237	-142.77103818076628
40	-223.19549088188523	-180.11134288739714
41	-69.49054579092838	-158.97711212735874
42	-291.81996821389157	-99.8066602692901
43	-286.96709425477354	-146.45784020359446
44	-206.2167134764727	-124.45362252474945
45	-173.9202073910254	-115.69978116090174
46	-339.9002490878897	-205.61323419750585
47	-188.38050082536506	-284.3784987932577
48	-123.64237456248388	-149.99638232789
49	-118.0883844227003	-162.1942634142619
50	-226.66023040186346	-149.62952296022053
51	-143.67218811854642	-103.29356703206957
52	-125.90812692756639	-160.580899781646
53	-80.1120897852762	-138.65792224156246
54	-112.67866324446399	-226.82588193987024
55	-170.45616695011074	-119.63409340390663
56	-235.59841030477492	-140.37136032376523
57	-227.63945708790666	-138.02013942897236
58	-179.1138526403724	-139.23735242993354
59	-185.48014900815284	-133.7936079432111
60	-298.83713123674227	-128.92991489188935
61	-140.80168932034556	-86.56361404551537
62	-213.25734390057818	-99.95474796269237
63	-150.02298713675384	-108.71881380834287
64	-150.08287187306718	-136.02317607233886
65	-190.07132239253616	-247.46501022921535
66	-142.5011144998401	-111.77452635113595
67	-131.0867066122062	-159.58136813479683
68	-176.2755527562083	-126.61438135811129
69	-116.27636002646034	-166.9492659198972
70	-119.40610301460356	-135.25999785617358
71	-158.00095486659848	-53.7188166098409
72	-184.39983161390515	-123.35776549913088
73	-97.5417920810893	-148.55225721064463
74	-152.98453070449136	-158.56911542530685
75	-24.175037165752897	-92.18890869969367
76	-179.41069817263548	-163.85770486229083
77	-157.23252027289428	-122.9257198780808
78	-96.30604840253885	-83.09829134332091
79	-244.89343454387586	-201.05209145019836
80	-158.05540683501283	-130.22068488479403
81	-122.61636162247761	-239.8658238717181
82	-75.48201685772732	-94.25645705807226
83	-112.87113527602389	-108.42492400715066
84	-147.46767457689083	-109.89610207826948
85	-188.07821263707015	-103.74340942083721
86	-152.1421816613123	-128.0179788929185
87	-189.7157032327438	-77.64682538610903
88	-129.5749530322598	-118.78054315823434
89	-175.5260335936521	-119.00342909666767
90	-101.51928782727904	-129.90767937711104
91	-174.11981381915177	-164.94826922350768
92	-179.9324102016207	-125.55108246797073
93	-132.89871696594497	-133.46548943907413
94	-101.7899216069797	-175.70750340049835
95	-209.28594431306675	-171.49333866098664
96	-69.82034904574674	-80.12152118402035
97	-107.25025438587728	-153.5940397321553
98	-155.79225527357767	-182.6266937770028
99	-119.14917149917488	-118.06978314042435
100	-151.48335999422295	-150.66991523222094
101	-172.2970095270313	-89.96687129744745
102	-204.80787372757976	-171.3141680500273
103	-145.07083181206718	-95.8860429463183
104	-92.97301825835031	-135.6373998122721
105	-123.36964512160601	-115.53887719272944
106	-81.5109194125185	-230.6057402369184
107	-118.38009539490406	-132.00192979165752
108	-64.20789001783416	-147.51056646415412
109	-123.67567627260362	-135.28694119549658
110	-151.9813109357168	-141.57711032138974
111	-80.40942497433136	-223.69978012777557
112	-102.75440176591997	-62.906799971872886
113	-141.3742546470928	-272.2389140765325
114	-237.65054814040195	-172.74091299400763
115	-134.2626887678938	-586.1919243954579
116	-97.28029257079997	-481.05228922489056
117	-148.7471452898855	-869.4813112665639
118	-118.80522289077838	-141.74969103565562
119	-195.78738493146608	-535.5822050891925
120	-35.55779576667011	-364.0340522308767
121	-107.59527928671558	-189.15886388813513
122	-2.5630258561158	-647.7162189815497
123	-171.25735701583545	-614.496403643353
124	-143.27394166937552	-630.2904818768269
125	-85.96786445075105	-474.0951068877569
126	-251.6659022167904	-834.2222928373037
127	-62.68747050064724	-429.6390059625446
128	-77.74259260563537	-491.85327118395605
129	-232.23250557981072	-403.64146573239157
