Environment: LunarLander-v2
Agent: PPO
Experiment: wind_and_turbulence_experiment
Parameter: Wind power = 1, Turbulence power = 0.5
Time Taken: 668.9877851009369 seconds
Episodes: 2000 episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	-308.2906886627957	-590.7483102052713
2	-99.60692643973513	-472.84122308687995
3	-440.8855987967671	-1178.9247801999993
4	-535.7825686440145	-828.0754609242879
5	-286.6071895675625	-543.786717758084
6	-547.2233895774982	-1052.2102466370407
7	-87.60676673093243	-935.3414275445947
8	-568.0483752462891	-583.7205083845323
9	-680.8661428047188	-643.7619845397597
10	-407.666606114959	-589.354766665816
11	-492.0947724530324	-734.8009221171699
12	-534.5193159722821	-713.6019128758685
13	-492.0181772266223	-1326.3446131342132
14	-617.8620216938357	-513.9266098853518
15	-321.81807454410267	-248.16842246338902
16	-395.83780813836825	-95.02174637396878
17	-162.89164529040772	-606.3217854998181
18	-339.03660520738026	-524.6367928925677
19	-231.8860337544254	-153.7096848066135
20	-132.3250364959352	-657.6577967728005
21	-560.5998708183841	-624.6529786361897
22	-396.04846720619116	-77.35953700728139
23	-93.69246818294727	-612.053727542084
24	-105.27409924586337	13.682262428797344
25	-486.8124713758484	-836.5434196895703
26	-345.02671027444455	-143.89111653740437
27	-420.99836752775326	-209.7082074655695
28	-552.0822392589901	-63.09063764513793
29	-435.80965114343917	-221.90812908986624
30	-372.72065037168363	-544.469099970166
31	-281.6691248124368	-163.18577122968955
32	-386.0960697263711	-7.478658064933541
33	-94.11814613023395	-16.48624151821305
34	-530.7554075824046	-577.2926524206168
35	-50.52216064731276	-511.82661669634297
36	-296.37737202098435	-151.81442572090413
37	-237.6578063128445	-571.5005466862938
38	-292.6246215027021	-409.3844747569616
39	-600.0790269028084	-728.2148670212418
40	-360.2454778209991	-233.8288909902301
41	-545.7202564791999	-569.2314392365818
42	-381.1160210253081	-447.0422333637509
43	-171.97920810721857	-148.64168557884756
44	-407.90676910689064	-237.4381288688062
45	-512.6092685602191	-580.2412387606189
46	-371.27703119677574	-580.1703941814633
47	-604.5973540415703	-589.8324746923795
48	-16.456738789559125	-148.93908015313423
49	-149.19612309043737	-420.0592632243206
50	-568.0495155271701	-71.08321067062141
51	90.9731680596978	-421.6084705840614
52	-178.30288921282278	-207.52488409324255
53	-404.7772831462394	-273.2417878341207
54	-262.8996678935317	-417.26576798462287
55	-466.80740390650556	-66.81985315082989
56	-315.0980361140566	-100.43142223668418
57	-589.5610191348534	-46.35064890710899
58	-98.91847542841532	-367.3271388085427
59	-121.72918961026363	51.320219079358026
60	-499.35967289427833	-163.77102061054188
61	-350.68224840645314	-299.9860757059854
62	-499.69493086697435	-121.91782577497455
63	-131.90445484940574	-370.0337987673818
64	-113.08560943870678	-18.714251139333285
65	-123.64150148519114	-192.3170332449073
66	-192.90382387209542	-105.52431913982933
67	-159.78385524223336	-155.461869530148
68	-98.07176220237965	-154.23983284858872
69	-392.11615956546973	-133.7112390271437
70	-149.01298612909005	-64.39456828512569
71	-269.8353988135676	-93.31811318185481
72	-294.25150683682034	-139.18918062613625
73	-88.25660439536291	-277.62493852679273
74	-84.22908277301977	-80.35901263391321
75	-113.4679650815392	-154.8514826889122
76	-195.300322870162	-134.426818901303
77	-151.6118951255972	-117.78682233956596
78	-125.88755009764233	-155.38167424637348
79	26.53445753087624	-134.59549736787952
80	-135.06236976137183	-162.29566782113605
81	-188.71840340512674	-88.83376542177385
82	-88.80218398645367	-138.93187706235622
83	-153.94916504191536	-159.36874583609557
84	-145.44517762195005	-118.01605696863993
85	-162.42649703723376	-141.28048662561426
86	-187.58082418028306	-149.0409356484144
87	-508.1834499001989	-154.12636991435326
88	-165.2449269209157	-130.06085504309792
89	-104.00698783189236	-173.6885359377286
90	-175.43442449153702	-186.28348117242413
91	-133.45699574540163	-157.27538811092182
92	-136.0476090837237	-208.5176437833374
93	-227.07561630181527	-142.63482700405447
94	-146.40011101059014	-208.79417640995564
95	-137.83506044672248	-119.05168342060995
96	-154.17440348438657	-166.19328496259024
97	-103.8917236856264	-133.42309273794038
98	-188.1307883779637	-124.5941426318391
99	-419.45421539833535	-122.96713954260923
100	-151.17295314226783	-136.07402195258865
101	-125.41177243308175	-90.41616624056175
102	-152.14923072653	-182.36453625537624
103	-156.31998018223098	-169.45957270324556
104	-134.334593692651	-120.47310091169462
105	-123.42519484601547	-103.72719277356222
106	-105.77132498205026	-157.49432057593253
107	-108.05743345882664	-201.5989008061382
108	-116.59579146073241	-176.02833352913717
109	-113.88900683891953	-178.2087880091933
110	-124.23177653072608	-132.16171479489225
111	-195.32880867558174	-124.14252115220904
112	-58.76201919882712	-134.25966883665296
113	-116.61604314078548	-229.49278907273725
114	-24.85270394951722	-160.57179838395817
115	-170.16744879658455	-114.20103853212046
116	-219.27361469131745	-44.43256947516679
117	-146.29947758529048	-127.76091388381641
118	-94.27799330959067	-168.68658778290725
119	-89.90106502609686	-85.34153505184062
120	-113.97501664570328	-8.287624241809596
121	-112.64360232383234	-185.06462279552585
122	-183.47827825292336	-133.59485270277384
123	-108.61722540945243	-123.16176115217775
124	-108.80982988467323	-190.93400936330144
125	-171.79994568709867	-191.7357670824474
126	-152.86034856493825	-22.010652340818297
127	-51.5489505412457	-163.5700140294057
128	-176.40774452338596	-129.95880720835086
129	-123.46046809735407	-139.43323535367006
130	-159.0018416299433	-161.98196831074264
131	-146.60046702628188	-123.9949663934685
132	-118.86987757632875	-152.2097470100184
133	-216.27102863452473	-135.83638308243593
134	26.324355439672217	-130.56096403501797
135	-84.92130043226348	-166.7550921351907
136	-97.33399059492379	-140.70028798599492
137	23.833916228257948	-153.27360291883622
138	-130.5187842327493	-127.98155815202102
139	-98.73407928671449	-228.98423690954553
140	-210.5751169879179	-185.28683847506426
