Environment: LunarLander-v2
Agent: PPO
Experiment: wind_and_turbulence_experiment
Parameter: Wind power = 1, Turbulence power = 0.5
Time Taken: 594.7063529491425 seconds
Episodes: 490 episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-80.4260009407534	-439.40499248573616
2	-46.03738531744419	-205.35123481492377
3	-58.45408634992944	-125.72250168329631
4	-47.024966806729786	-130.90342970692885
5	-102.64975616898026	-415.56482024107885
6	-381.9146295067901	-537.5236135851057
7	-163.96382772396927	-427.7169842927394
8	-201.24525690229578	-686.6542766833312
9	-208.31203514053064	-297.19824194792324
10	-96.01208525872869	-670.5240005609927
11	-186.20155575915408	-540.9113377967788
12	-185.5860716104998	-541.357683040644
13	-63.718773645708666	-474.55915587925824
14	-221.50835746441606	-951.9973864850286
15	-135.8122746110211	-261.04576921023715
16	-54.47517730734108	-322.95014785206735
17	-91.55013981830194	-1298.1540886546254
18	-140.7821832779171	-2083.927650061799
19	11.700994238028912	-1326.9693672462008
20	-104.20010337978013	-2201.1079495913577
21	38.26238541602146	-1394.131663249473
22	-42.464270934153646	-582.5622006099479
23	-109.63666434561658	-707.7432277724832
24	-123.54301344905387	-1134.753205083483
25	18.830292248161683	-561.7496575873046
26	-15.00832863467096	-802.0527505329715
27	-259.99904122969036	-777.787371579712
28	-695.8099312672604	-627.2039577066103
29	-27.872161421746256	-898.4226157648726
30	-891.4888024516108	-945.8938020993512
31	-26.426004132974555	-1642.6251876995666
32	30.026263689264397	-4299.9509640990045
33	-221.11169120035905	-429.26006247607427
34	-353.24727661520717	-584.459778792405
35	-74.98381893535029	-649.136796389571
36	-130.83302680079606	-2464.974595687413
37	-536.4272270472788	-1915.5242731089556
38	16.206573152814173	-782.2712553312623
39	-486.0156745285607	-957.7137373280713
40	-449.81190084603634	-984.8263237005001
41	-708.6682360359176	-816.5716391227159
42	-645.1456670870319	-820.1773565504822
43	-577.1462894236867	-527.9944752024578
44	-188.6635381535587	-2962.631844021827
45	-615.5637263399243	-571.0590610531824
46	-682.8167405707544	-582.204661045068
47	-392.58587012215315	-752.704792978474
48	-105.62829322806282	-715.6627398602432
49	-603.4283469896553	-475.1363174904925
50	12.797570826860149	-665.8322856016774
51	-525.168022280081	-966.0995541003921
52	-440.5880272323631	-801.8509709158332
53	-384.3142845727875	-289.9523165348519
54	-11.98944547488557	-571.5480650886366
55	-1.8185205176072383	-374.8551796630651
56	23.52681338417804	-616.6974185805799
57	-59.65558176083568	-287.5776628143859
58	-71.0752627564973	-355.45234927247554
59	-136.10198167757912	-267.50208469959284
