Environment: LunarLander-v2
Agent: PPO
Experiment: wind_and_turbulence_experiment
Parameter: Wind power = 20, Turbulence power = 2
Time Taken: 1308.5302982330322 seconds
Episodes: 1233 episodes
Max Episodes: 2000 episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-419.92397245352834	-521.3042915189977
2	-254.39936633793613	-449.87706732544
3	-393.8087907626981	-2170.008932735277
4	-366.2525266204821	-882.7089617258391
5	-123.24481803525273	-598.0466283159913
6	-213.22017113067682	-185.8577207798437
7	-224.06034248420542	-596.6645807043828
8	-87.99573813055554	-600.8512093591557
9	-389.7148351673849	-1182.859437716128
10	-215.9802888049303	-529.576856403296
11	-313.771197350318	-1078.0374858892028
12	-281.634425768058	-809.5492628867063
13	-86.75159040348181	-112.53970624489077
14	-123.21720807334013	-510.06906849130326
15	-109.05454063879428	-407.21882154969876
16	-114.64370097866275	-516.9365764534416
17	-98.80314505881236	-790.8549133705941
18	-112.93037528701367	-1565.0959386003026
19	-127.47906676485177	-1667.7733911757682
20	-110.08132492113502	-361.49499863219523
21	-225.0394402854176	-296.18008229612894
22	-108.97155692111258	-576.6400665558039
23	-154.6660367048645	-367.03833412667814
24	-127.78067991199102	-401.89142402455195
25	-184.8242724556202	-359.78193812371904
26	-46.301597385268735	-369.16905575919816
27	-259.67614572795196	-608.409065157153
28	-116.84911260156393	-433.3209624198596
29	-83.09199429718613	-494.7581720591343
30	-206.2125982033601	-439.31770160004174
31	-196.51536438383903	-900.1270611181769
32	-473.1663947779007	-913.541592969501
33	-158.1717500426441	-900.9641451151103
34	-501.21384825198345	-634.6799147029416
35	-475.1895083163781	-383.07037371756917
36	-488.54600371602555	-502.2208238668722
37	-279.7139902680393	-736.7058438799038
38	-121.11257955933738	-881.493038321908
39	-193.62376488870078	-1306.8156315230392
40	-115.5024848223753	-687.7285554946629
41	-259.2603893249719	-396.7827097447772
42	-65.3773215625813	-621.2979195685118
43	-54.431475317865264	-144.12452885280433
44	-242.25842291096464	-282.04229720689125
