Environment: LunarLander-v2
Agent: PPO
Experiment: wind_and_turbulence_experiment
Parameter: Wind power = 20, Turbulence power = 2
Time Taken: 3306.9637591838837 seconds
Episodes: 2000 episodes
Max Episodes: 2000 episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	-91.72461921203036	-153.6411349050673
2	-447.2367377674119	-347.5620508734772
3	-134.70901830488134	-144.78843386956834
4	-79.41378601671119	-703.9938810180233
5	-107.89499379537644	-902.2019281968468
6	-104.55203234368778	-581.0753758976134
7	-249.20114172027476	-133.45196103858913
8	-237.71022376449244	-129.8244883601371
9	-144.23401132549503	-123.62084456157731
10	-164.86498244184781	-250.99971418013328
11	-108.45746296595061	-716.2389021884508
12	-351.64464059902906	-554.8616806450748
13	-199.88791711349393	-201.10814591306013
14	-184.79400561729466	-123.63273335003225
15	-112.88595386571842	-540.9932152471396
16	-126.02049008776478	-142.30232602681653
17	-192.9742320872279	-158.74818141023587
18	-73.55604540348074	-160.14509361384077
19	-233.49046267700976	-512.4040922424363
20	-168.53278118532003	-2676.16341571337
21	-110.01925438486019	-1448.966234451152
22	-161.1043421198641	-420.5740844981569
23	-165.80755205481879	-618.4763491925679
24	-397.44889321592734	-715.1725810091061
25	18.440193810310817	-801.3216457345295
26	-381.0031467459809	-1367.3512818480897
27	-51.10760117616998	-483.905320367724
28	-573.9974746379951	-2728.086168547171
29	-489.26795629394906	-644.9290501930335
30	-572.779428510768	-1113.0410156770668
31	-410.28306941615114	-845.1301354655554
32	-542.1736578763498	-785.9440203022393
33	-496.0810674269666	-510.25810485265066
34	-472.9764256989362	-683.4362438470146
35	-446.7570310646148	-874.9472224507176
36	-651.7759207729301	-404.27620404651174
37	-451.2280360948924	-1623.8092947250607
38	-589.7610976024166	-483.082262091388
39	-251.6364040874591	-636.9496117758624
40	-371.6416311414883	-731.7937918743938
41	-227.01527008853236	-481.54747542199334
42	-115.17375113439086	-507.4270537508897
43	-66.13012700929809	-679.5640908209159
44	-102.96079987025416	-1147.9531713783774
45	-205.07395251451806	-1213.7331691151915
46	-305.3320204119825	-635.1262156171226
47	-59.69374453601659	-592.4555699659749
48	-310.5829298806051	-775.1121328458433
49	-303.55281675038384	-809.8492490380677
50	-170.28485338776647	-683.9479789053706
51	-414.36252927820664	-1229.5203409255196
52	-252.61478790776218	-312.6360598809971
53	-150.84951536750395	-1171.728967326399
54	-274.24946334816696	-173.9898836577315
55	-332.14605659673373	-711.6074628519627
56	-99.3389307630319	-204.94916972690322
57	-120.15514731519856	-407.99932116016794
58	-119.78017208668257	-830.389444460862
59	-129.63520240968217	-301.3284080591407
60	-207.25484146687182	-228.51301767999706
61	-150.48916065848408	-359.87471970048205
62	-49.89071917358312	-568.2635951434346
63	-215.31271691853408	-153.6056871957485
64	-214.73395142744846	-727.985964360642
65	-46.52507044716366	-862.960432306145
66	-140.31995768669543	-256.7769474985776
67	-175.12936326849615	-605.2492921024991
68	-28.59033599102665	-513.1550940547365
69	-426.19998286721204	-584.1151771275225
70	-852.6609305340437	-268.5948081178432
71	-574.6074200464598	-283.2105892663256
72	-53.400771596247424	-501.53746866398217
73	-490.52808848654394	-549.6514432475768
74	-363.08916741387856	-1378.2682913322706
75	-872.2790296341208	-188.61194547849752
76	-537.1181219459262	-430.8455368675907
77	-550.0955291649917	-835.6759351239109
78	-597.9482371129668	-541.4776624229388
79	-456.3900360008967	-599.7717023432181
80	-481.35346430630193	-657.7725959859323
81	-34.09935157638762	-605.9526159440252
82	-74.95927564199694	-184.97591881941554
83	-264.70782546176395	-385.67091906507994
84	-157.55145993561337	-128.32083746857455
85	-68.31308655794285	-180.19851739876492
86	-198.92057367630213	-118.0601345856051
87	-13.959222215976638	-71.63243544970874
88	-15.67571099929053	-118.33754335031148
89	-50.24525739059159	-129.5083225773881
90	-192.928001933519	-328.63794924677904
91	-302.7266050545676	-170.49078579253137
92	-34.09831195100452	-112.90264285847235
93	-162.1275827023926	-98.34116120994761
94	-38.44239813096475	-534.856762045404
95	-81.6814294841086	-152.83647736682343
96	-142.32898283485602	-153.1794242813614
97	-84.01257092027049	-777.7328492552082
98	-243.75786717365884	-287.24100219487525
99	-237.81616771647887	-220.02999269561568
100	-403.6065594674731	-632.8251851578797
101	-372.63568180835153	-352.40656198801116
102	-243.3148843482702	-207.15874454808153
103	-251.2488755563195	-407.5325745460622
104	-313.7558103471646	-1023.7161021165689
105	-280.82227457970697	-170.27640458360048
106	-129.80096776185277	-343.4975968231395
107	17.399415679477997	-211.46281732066524
108	-59.13505223476284	-346.6367795642258
109	-187.0578842124325	-240.85034240324927
110	-135.50270961795604	-234.32579163299016
111	-9.467485202806216	-419.2058319968636
112	-240.84775527983487	-142.44416388179144
113	18.584723757058896	-175.15095472848833
114	-257.28219362792214	-252.44674793358237
115	-334.1757995410406	-256.26150370780914
116	-44.256805622487946	-222.54620809823098
117	-37.12278785078833	-271.35812409734694
118	-81.67117841358753	-122.45298560586703
119	-107.83412547106732	-280.7738618914145
120	-155.8119253743511	-250.4553254624815
121	-281.5807972975545	-329.0285513065477
122	-323.97971699497737	-218.27927948389652
123	-15.910209109978442	-790.6445633187133
124	-306.4340507661165	-270.9662958966942
125	-216.34924406109127	-313.764063839635
126	-252.27739558354074	-447.92044594872334
127	-189.9022212394699	-364.21111431699785
128	-286.9396712680411	-310.76643419756954
129	-255.51195445433694	-492.1134517815117
130	-298.4448711724233	-375.1063791111322
131	-338.6670026346434	-975.5659460180791
132	-161.9360356685683	-299.4537105708134
133	-27.89097838764019	-349.32801342748616
134	-206.0611368063838	-645.7165084479126
135	-212.0435666466852	-272.9859508973564
136	-105.20392994528882	-1023.2900503740817
137	-12.628036781215933	-1367.0556678457317
138	-161.08630558053892	-307.99764506559103
139	-136.62845983676237	-523.0965157047751
140	-38.45668118374742	-545.1650177662079
141	9.803715463387931	-422.06808772050204
142	-50.39082522643919	-1135.1533579953905
143	-125.9010131082483	-301.2366675087758
144	-166.81279069996248	-732.6076321305501
145	61.77115227477368	-506.66211116160883
146	34.074457511227465	-599.6615899856415
147	3.066475754593097	-429.7955288847931
148	-90.37577880479782	-281.93569094280815
149	-34.86233946933312	-700.3343802837071
150	-14.008379435862906	-313.4774089707465
151	-268.36536490573053	-713.1285355591228
152	-331.1455211290199	-646.6472975671487
153	-241.81447104717176	-390.0506615453373
154	-228.36104261463404	-509.59845328754545
155	-29.4669652446224	-511.7724992872354
156	-52.20550824253692	-309.72090964575244
157	-19.284693707425404	-1073.018922627477
158	-321.05246589076125	-615.4535232946838
159	48.28914771364313	-459.86001988209455
160	37.27762436081563	-872.4994335089563
161	-78.54990377745108	-982.5894899673383
162	-314.9596269071625	-847.4213502321315
163	-141.20748996564572	-890.9616092272738
164	-233.93481905623025	-710.502123188085
165	-9.186398167106631	-727.3649915438555
166	1.235966206779139	-1236.5362496584512
167	38.79363114828478	-615.2922566544844
168	46.05596801515639	-610.3077734472079
169	-139.61855938222834	-378.0216953833217
170	-10.5379327064212	-416.81000561853006
171	-170.5527864541443	-608.8076900123892
172	-19.30608361893568	-843.1572102174406
173	-16.63268536435318	-855.8943181599105
174	-21.57856625976831	-846.938059545787
175	-40.129772160780696	-562.2244385642946
176	-69.14888954852583	-848.2464855313963
177	-8.406555464540808	-543.5669192834603
178	-26.88561571775338	-737.3539193299287
179	-81.45333805556625	-497.4033497879836
180	1.6032209023410218	-547.304087587464
181	-52.03821868737145	-738.4114518453049
182	80.1773051150295	-636.0535914681656
183	-1.3490834613998255	-647.2604219505504
184	13.139658585000888	-707.1143126832812
185	-18.058931655571484	-383.2340385834328
186	49.391951915531465	-539.0498952313271
187	3.5259629730994924	-472.13127089755136
188	82.41152313493312	-566.6176672754425
189	29.221430789631455	-556.0937849622942
190	2.987914512188305	-715.4168439517322
191	4.582234051008115	-451.66417345269423
192	0.16436773683406614	-538.6398035601126
193	-19.492465697861277	-381.70118619402916
194	-60.887135401769115	-638.8359630515598
195	-124.90428460829065	-495.0935180124455
196	-78.46936320110537	-617.2588768093738
197	-44.243189114230546	-1110.5590263600066
198	-1.6412693136395946	-1069.4278912572306
199	-17.786999474731154	-564.760561149532
200	-302.52449142863424	-484.21798528991695
201	5.916285315816898	-728.3356471417887
202	-13.792017738153243	-691.5991924617724
203	47.763660736572135	-576.0394728280423
204	-2.7483596351626183	-574.4665795614411
205	23.786755186060347	-666.7292958279463
206	1.4109340430727313	-470.0763581788349
207	47.7746281198591	-487.0349704928983
208	58.629523670732034	-349.0334834022958
209	35.13075867746411	-345.3112921769752
210	-216.9948746656256	-318.16397570802167
211	85.016645662128	-344.64481014133514
212	108.36897162791158	-421.4035067360113
213	70.19452266656043	-352.60517284718594
214	-70.43870890583405	-491.4560514210139
215	76.3374336934495	-582.0839048069345
216	74.71790264122993	-453.8232470238104
217	71.9842029764639	-404.1744067019455
218	68.06119894464106	-472.7499747132373
219	-5.6993461359889785	-409.75880348085445
220	44.24354538704115	-490.35207396369196
221	115.39108040254767	-364.6887621746656
222	130.03969737621026	-372.1022333945433
223	-10.493413024888412	-344.887340654747
224	49.2249690460273	-339.88942137836744
225	43.58442870749473	-289.9894449828918
226	-38.31617308397877	-227.88355198271208
227	6.002412237693406	-141.6277281881871
228	-40.23722763143496	-130.70784727421406
229	122.62287476766932	-224.5850705623827
230	-76.85046165001533	-290.6737650468077
231	-63.980742453959365	-338.76484752624225
232	207.3783679097875	-338.7835531230015
233	69.21233343515694	-364.0228470389378
234	-122.35940925450483	-372.69848739737165
235	-87.16336301270135	-434.3472602055381
236	-63.745010959772515	-287.8963168467194
237	-130.00442623320575	-324.40897689772
238	-30.211044539421977	-309.9466420775685
239	-220.90128571825394	-392.68264716299007
240	24.18826394854937	-325.51804425433664
241	-34.49024248405203	-259.5033240236137
242	57.53605987002315	-289.10863069037237
243	109.0228920748243	-307.6525828082021
244	90.5982257763897	-368.0791882202655
245	71.53771628197019	-283.47997750586944
246	-49.81535466700598	-200.70399125823567
247	133.2459739600218	-160.15505810518067
248	-30.14311952188868	-154.64681345845452
249	97.96710820362165	-208.3841841564953
250	-32.102819286331	-177.65290809032425
251	145.6493442514877	-269.1779621750714
252	58.3748213127368	-273.6107346011298
