Environment: LunarLander-v2
Agent: A2C
Experiment: gravity_experiment
Parameter: Gravity = -1
Time Taken: 2036.4845802783966 seconds
Episodes: 2000 episodes
Max Episodes: 2000 episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	-341.7633771642676	-478.8745782332991
2	-307.1536620999928	-358.39526436660253
3	-203.606426463352	-322.9958010280305
4	-147.13374519909095	-355.3853236247735
5	-61.045335049796414	-141.97807936752758
6	-133.95428241051025	-158.08194092481665
7	-110.65030139873983	-112.62372755298142
8	-187.85685233173723	-117.95798367948652
9	-267.7023088749944	-158.0426463999357
10	-77.9333961786114	-158.05736302174648
11	-245.7683473535442	-112.85995752312255
12	-149.17047094384347	-123.95985208343194
13	-122.01373240520269	-181.2821460932189
14	-322.23720815806365	-111.08710079146675
15	-105.45171486583259	-103.88250552892623
16	-230.50896041978442	-105.51008207857669
17	-137.99484157960364	-111.82572326728948
18	-161.69896688726587	-141.95914473978524
19	-142.43437393033003	-108.70791107730776
20	-94.74201608479376	-142.7720854073047
21	-105.623476104654	-125.23252574403111
22	-154.64750241238767	-151.73381250380484
23	-111.47693354358248	-117.99536095302747
24	-139.35308229931906	-116.4450195387544
25	-246.06137232420627	-146.05489760717398
26	-146.5148614030663	-159.44037161724077
27	-84.34497220390857	-148.83661935658813
28	-90.8461350514342	-158.1507120667092
29	-132.06362629497505	-136.67702096157166
30	-117.07284461315723	-184.33154706870152
31	-101.87383733559638	-172.926296932341
32	-266.6691345896851	-182.9577368090426
33	-72.54635140675924	-364.56340216987604
34	-224.64059663539672	-242.95151436944573
35	-209.49938917783302	-423.4125603112085
36	-412.80350688183927	-268.35266774743013
37	-199.75905670298724	-409.60339690621385
38	-107.85746160694917	-235.13500140708453
39	-86.48988688902196	-306.77966625904725
40	-149.8582838946499	-221.91208678433452
41	-211.7558143244484	-55.894812824249286
42	-212.26280396500118	-263.22451428087174
43	-364.9854659552823	-229.75590232712307
44	-95.57618104422718	-240.53534051063866
45	-140.3287851044908	-315.3950443290473
46	-234.1637023085953	-240.0740831692948
47	-319.7648222138419	-287.8900924775104
48	-434.9039061781198	-258.5578568806946
49	-176.238098325171	-209.78967778591135
50	-142.04523447016015	-240.02719603055687
51	-108.04022289121767	-273.1392695557529
52	-115.243095644165	-214.60007695928576
53	-102.37963520952533	-54.100230512818854
54	-208.78112791027928	-224.52379070904288
55	-221.50471669552005	-277.09291044990204
56	-111.11083164955133	-207.2819298900443
57	-76.18090199502032	-233.29373157552757
58	-83.50129089359719	10.023300539201244
59	-139.80324676045913	-166.01501754792278
60	-143.24728245568858	-190.0487556115568
61	-119.8592108912222	-167.0004141719498
62	-132.37086180233626	-165.59311836194377
63	-117.35618643006819	-179.04958123307662
64	-89.6932408220237	-145.81951180339533
65	-137.54777929940323	-63.56609318552926
66	-102.17637215852739	-59.01580113612684
67	-85.90018030964822	-180.69717543438077
68	-185.49357224214396	-778.732865314521
69	-168.6244178703722	-651.0233239370965
70	-113.01162818896705	-688.7215581339448
71	-391.08705183208485	-751.8930870416236
72	-71.07795340293748	-2925.0902345907975
73	-167.52368690599042	-1063.2523829726679
74	-108.208170004023	-902.036426249992
75	-96.36376210785727	-1107.6374876724833
76	-84.30815203297755	-971.3897153177091
77	-81.92260394199857	-556.7859009293634
78	-62.67457088870422	-655.9878529243562
79	-130.80051108016886	-1837.863757347481
80	-256.8724970924194	-2063.385246148573
81	-58.708652646958356	-964.9551732829098
82	-117.73537975236152	-1676.2260700818
83	-97.6717264229171	-534.9952841393526
84	-192.94585231529888	-1181.5355708328834
85	-111.38938997889622	-1012.3220726730824
86	-15.774846301877915	-800.6931310206347
87	-199.3458306927698	-1846.826184971443
88	-128.2833465521707	-912.7327138128433
89	-212.8661626171131	-923.188878040951
90	-138.52292878526433	-1123.9895513847541
91	-136.9390064856596	-490.93494814098364
92	-72.67800250378986	-543.1952252183553
93	-115.15397411771147	-1183.9517116456489
94	-348.0818493673838	-1292.0909416726142
95	-106.8735516249641	-1594.806013543485
96	-82.9043840609086	-990.4487429994986
