Environment: LunarLander-v2
Agent: A2C
Experiment: wind_and_turbulence_experiment
Parameter: Wind power = 20, Turbulence power = 2
Time Taken: 2273.458071708679 seconds
Episodes: 2000 episodes
Max Episodes: 2000 episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	-394.3767488642892	-130.67137685293778
2	-94.09470102118513	-183.6372645181762
3	-92.19273770233181	-70.40385401032245
4	-241.5408705404984	-148.37777881223346
5	-166.28537323076154	-127.23781418877499
6	-117.06173955651397	-183.32538505106888
7	-239.4297278137686	-105.37678143210604
8	-334.5412806628538	-118.17874074293701
9	-74.20598630123087	-127.78701783119396
10	-315.3024301661374	-124.35012479843908
11	-283.64062932652064	-175.9448566178224
12	-108.88136840731558	-150.46730055342678
13	-66.50366607119537	-125.85133734366559
14	-137.31193143328943	-190.8184710716098
15	-299.54858075952313	-156.91660844717967
16	-114.41144964932816	-156.18210234940807
17	-115.7042467667915	-150.89365053643976
18	-218.1601071837125	-141.79302029077294
19	-104.07519263865021	-146.18580461417477
20	-433.20320564388606	-66.0865829013349
21	-132.8012859683116	-167.20843295689767
22	-344.7123609637465	5.8203379920158795
23	-116.5788681179552	-154.53506374552103
24	-145.0658966635652	-90.91362361192535
25	-74.37359989833496	-162.65107549026087
26	-91.16505483213265	-119.48728488972117
27	-338.2557499031185	-129.3433352692703
28	-143.22667167662186	-151.05978481770964
29	-190.2772821487672	-164.31565616553377
30	-338.92960853983465	-163.02739243094692
31	-425.5186587044561	-423.1501160481849
32	-173.03920890709912	-158.3127030943901
33	-209.355256211636	-113.4518196016007
34	-155.25908466710104	-123.60864254012424
35	-299.2539623149595	-154.1115476020026
36	-105.1311186387837	24.275288056794466
37	-319.5831323106888	-155.6159328225312
38	-235.22184941841334	-414.5677416397252
39	-112.79678139238456	-312.7991108895449
40	-297.0007267047098	-162.1121457249745
41	-104.377252761027	-628.5197845088829
42	-102.90940108485616	-834.7602242557564
43	-353.08004779763223	-649.2175261358049
44	-198.02042995385085	-928.4540356178121
45	-326.1096053629562	-814.9400389829082
46	-228.83537170501202	-663.3764747283569
47	-54.964255040507695	-895.9200690228768
48	-87.28455792816325	-1006.5380735337707
49	-146.08626370600834	-607.8304751590981
50	-238.68751766582815	-582.7525312015416
51	-82.00809293564859	-216.46897735690783
52	-192.54954707673312	-595.4371849894958
53	-171.54497150703673	-1677.273924127933
54	-64.89600464519754	-1029.5409521767256
55	-138.87203915894767	-223.48658766450066
56	-137.61746965306457	-1211.9629171975705
57	-296.19839002828763	-2041.7538733817657
58	-543.7526023851353	-371.95072904042996
59	-99.28917680391199	-1617.7875388275
60	-170.39415624312977	-1379.5224289001337
61	-51.23629236622666	-1593.6178522908356
62	-179.12884811997804	-758.3514905555795
63	-111.80603319053267	-719.2081816595974
