Environment: LunarLander-v2
Agent: A2C
Experiment: wind_and_turbulence_experiment
Parameter: Wind power = 20, Turbulence power = 2
Time Taken: 1321.9549396038055 seconds
Episodes: 1612 episodes
Max Episodes: 2000 episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-73.73941138971101	-349.82534176037404
2	-119.59403721138469	-608.7534139038244
3	-142.23375596247408	-521.0912349492951
4	-187.55662239006114	-426.7961477816175
5	-356.365108946172	-1363.6682290502881
6	-117.58340910725384	-529.9172501835885
7	-324.42083836126824	-991.5134730678806
8	-130.7772743699394	-1314.690164642094
9	-102.27154291971353	-415.47045883915206
10	-208.67926612237264	-416.14933610332
11	-321.57246374648616	-525.4701750359735
12	-118.74584129510575	-601.4868164815288
13	-456.51210697664874	-390.769703544894
14	-87.90313845924781	-546.6059532499062
15	-425.96567735598643	-603.6752269797671
16	-96.49667705118648	-562.7290999158242
17	-88.36740452793883	-1966.9679961395814
18	-212.11666381745277	-1109.9158435504219
19	-104.36386217144975	-589.1610629536402
20	-299.80273057677624	-756.8819936273102
21	-119.21610347557315	-2051.0350013720754
22	-174.22624631426817	-706.7230790247655
23	11.1322491015884	-615.7551878319656
24	-184.8301199342519	-636.1611711909931
25	-138.38237555690205	-1143.921910306091
26	-363.93357152091596	-841.9160172822096
27	-131.04281480870225	-690.8113604076605
28	-136.6556353660042	-3307.019329159882
29	-116.38474928618024	-829.5503590419867
30	-123.73609021389717	-464.78220826524944
31	-168.93818037212614	-596.5590680891769
32	-273.2154333716877	-557.0366434777865
33	-290.0276544538203	-789.868946554731
34	-132.83849169610818	-1574.0165385047076
35	-143.8182328047148	-450.07659659285633
36	-101.8704739194993	-1495.0077970966784
37	-224.64646962243427	-1904.5709209038525
38	-307.80576407404965	-1164.3447850282535
39	-305.0160250923697	-857.0996647935161
40	-213.37616920482736	-755.2016560276908
41	-47.160254660348755	-583.8068890728841
42	-160.96946280771527	-1038.0448165071907
43	-88.71280288220538	-341.1666673904746
44	-118.32096121881436	-602.9710548484095
45	-102.02319919593089	-343.7122097886862
46	-61.195460282935734	-235.41693651181535
47	-107.42543650634126	-1371.910060652275
48	-290.0928825563012	-1209.9025242262346
49	-121.9761502576325	-212.80067939774347
50	-115.13492223519486	-171.63186116424504
51	-129.72979516585445	-855.6926732807498
52	-112.51502934335065	-1237.2007777792473
53	-124.38247890174335	-1392.7231992049449
54	-74.00341868270185	-636.5767107882399
55	-131.21361761495805	-609.54418186457
56	-76.2307752333204	-1216.56028020649
57	-77.80396297330961	-865.6644413862175
58	-163.25984111811385	-788.9856223989225
59	-190.1394851570147	-970.9261466481963
60	-119.35763824113988	-815.9154348422687
61	-126.7636465283653	-757.882599270884
62	-199.682391624854	-2336.3692188071095
63	-96.13826249361622	-853.9348898754774
64	-62.13612936431733	-1229.1127700289753
65	-127.45055600902364	-2515.87255029007
66	-49.4344891403062	-1463.8800444771166
67	-45.08309988202109	-1919.378968302322
68	-91.65842942653799	-614.1312767268785
69	-160.55589664496523	-1393.936920727517
70	-123.96979150491654	-1015.3964349917791
71	-89.68924199625786	-1161.8296221924836
72	-64.70053057335659	-686.9980699325673
73	22.796692251249937	-690.7465504609013
74	-333.6614650826742	-793.8217445548057
75	-198.42377044278595	-677.6533231939567
76	-122.74807803303568	-572.8594898475662
77	-142.18729968329149	-1316.1041100318591
78	-293.62125866617475	-805.8814199558493
79	-117.6848219118431	-598.109170991163
80	-113.58163262745403	-792.9210814978235
81	-74.32058519550563	-542.0661622165258
82	-286.189758185262	-705.4813015356051
83	-85.68850079111856	-978.5216312228794
84	-185.96055732908994	-1445.30080127694
85	-266.95599050978876	-863.1039034496918
86	-133.52632902219625	-529.86802584424
87	-3.337238899348165	-979.9705374819863
88	-67.2217142584237	-670.0655050395015
89	-103.93744844724557	-1030.094298329522
90	-136.93548087933425	-870.5793847114838
91	-51.24116980416103	-308.56929627830266
92	-78.62248713480716	-2910.1817705440194
93	-193.48731723018716	-365.0195066296529
94	-69.68041057806118	-918.2366281935005
95	-48.91608140769799	-478.91850667268494
96	-32.900112367024704	-1006.1696483657136
97	-73.0869969585048	-724.7800865186066
98	3.191660731623685	-1515.4574912466283
99	-89.81387313607172	-557.45028111406
100	-285.25824800458156	-1625.3292607696515
101	-97.01413548227684	-1162.9263443714467
102	-170.18606390818366	-896.3130157689228
103	-95.52742482976753	-3654.540127485994
104	-31.470392573139364	-688.1098826386057
105	-237.8040090462191	-2489.1382217665696
106	-261.30398165932434	-397.25976037153134
107	-60.65725196070988	-1013.1529923469192
108	-138.14484954592982	-1159.0759240726015
109	-95.06283764680336	-1675.25639062329
110	-458.1873757176115	-1316.837702222252
111	-299.5908700413065	-803.490222105743
112	-89.55655133546367	-683.8351577222979
113	-29.46914788205173	-1265.4204568850857
114	-67.62441337803804	-1147.2071391305583
115	-76.44879095063403	-611.8233289748639
116	-322.64761335608006	-639.2193868439356
117	-179.25471851074343	-1998.6354303108953
118	-182.0970502071873	-477.88589959794416
119	-267.57097701224427	-974.0434131357641
120	-95.8728144573786	-721.4772685593656
121	-10.83473901446456	-1986.820958223518
122	-38.88181139945138	-547.9313626894341
123	-185.14112215065109	-506.74333865931186
124	-55.756382327120114	-394.55392977709823
125	-63.790669128969675	-2469.904349564946
126	-14.3897063172154	-617.5756922227649
127	-100.40727078271311	-988.2415934368402
128	18.05482405635736	-761.9689896163037
129	-125.470447493198	-2278.649780097219
130	-207.61344414346502	-1428.172779681483
131	-268.22770045600805	-854.47511426877
132	-161.7573556660158	-561.3375335350465
133	-32.85275079903306	-427.6078234361741
134	-325.91725358001645	-524.3503248480285
135	-30.04866739313104	-1113.5038395553622
136	-316.4715137450943	-560.2036316116074
137	-508.64718548017595	-563.4194064624476
138	-28.87431183867629	-734.2506661772162
139	-129.8456915503592	-490.30225637772435
140	-58.581544472200015	-300.5794630733102
141	19.868535159888978	-433.9462265909445
142	-215.5795646826009	-1655.9512775059777
143	-89.4245685933986	-2411.303746408419
144	-4.9545277971729424	-1008.3428420956487
145	-21.891684417383075	-416.32646963207327
146	42.20308179314267	-692.1416801281102
147	-198.20009611603945	-1590.2551016945101
148	-53.40912647766001	-485.35849597591465
149	-127.0414577190161	-483.1903210647256
150	-122.47843876893808	-453.5893641207847
151	-3.0668725315369443	-1525.1168164186327
152	-154.2272734613939	-1249.5781578039075
153	-10.946535766527361	-4175.415981187151
154	40.06373020014212	-3225.0373940333902
155	-53.389127003167815	-1600.8862899284313
156	-31.84200210149706	-1104.5566711368526
157	9.827004081299435	-637.8130999593748
158	-56.21636316636729	-604.9521776969771
159	-24.570209063835605	-708.5258030474396
160	-56.0967769424059	-605.58463638661
161	-116.8274253021215	-571.6977992360426
162	-5.333130904774379	-541.8722324840528
163	-2.2925714612569124	-480.6839803263496
164	-7.802598646551232	-379.5778456630574
165	-76.5326392572405	-454.9446136543478
166	13.949074827613487	-412.01998950293665
167	-217.19380443112442	-372.150721810165
168	-80.6825406853404	-370.24113854284286
169	-48.198011659836794	-484.0332870780719
170	-0.18012305096212344	-429.09823390517306
171	-4.6291586250493	-458.6018666177811
172	-1.5738189995810359	-401.7718746418331
173	-18.703603794570554	-556.24237715654
174	-380.11560789528977	-688.5609952190653
175	-4.1178263262661545	-811.4860196970317
176	46.67606834995374	-1074.878699812394
177	64.06141998112255	-1398.0399178521523
178	-164.97496071538018	-1329.812907555226
179	-14.63914986730709	-3922.569394408517
180	-98.08307323825237	-1214.7007970994289
181	-67.46932864666366	-672.1142517536987
182	33.10161555930293	-467.9070002879298
183	-43.93461152840436	-491.9905915935092
184	-133.07367064428902	-499.04891712735144
185	-27.322419435857515	-414.5943323511055
186	-170.11598984759286	-426.5817385027115
187	-123.08859123643916	-344.0774057639745
188	-53.14983502102214	-312.2804402485393
189	-121.37514529894324	-270.88584062098596
190	10.501881499663256	-308.74929996432553
191	-74.8770144657542	-328.68501265058785
192	-62.892062155432185	-303.8499184988442
193	-87.20536430428757	-239.39197012866603
194	-155.53813537377124	-283.07469429552145
195	-109.18541314923277	-320.0507314836076
196	-38.6138562421535	-356.33100151666525
197	0.8066269707045848	-140.2122206243737
198	-20.939983843843933	-356.91100479837024
199	-76.39183582738654	-581.3371007962229
200	-71.50529808280615	-607.7085511838146
201	-51.397298477083716	-169.74597737455542
202	-51.863459469446745	-178.09019697386987
203	21.165311592333016	-1036.6475853131415
204	-38.159185363464445	-517.2674290705163
205	-66.36755184207911	-539.2462700744961
206	31.344889147677378	-660.526432919145
