Environment: LunarLander-v2
Agent: A2C
Experiment: standard_experiment
Parameter: standard
Time Taken: 2548.0659618377686 seconds
Episodes: 1116 episodes
Max Episodes: 2000 episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-113.37840488444577	-489.75187209752374
2	-250.86690407025202	-504.02275052843373
3	-278.55627514323317	-864.611625904974
4	-327.95668825934126	-737.7955222183384
5	-252.93836629708144	-600.8335181717423
6	-137.08496360696728	-260.5475569796455
7	-232.0234162179895	-521.855856919565
8	-151.9349725386287	-114.73014512644426
9	23.612767720465015	-115.71785846302299
10	-77.9211442152208	-103.43911794881225
11	-117.22645119589117	-139.33758525594794
12	-85.74757678052192	-124.9109013340024
13	-316.4897473771813	-136.16304885336598
14	-156.17015931486878	-127.58859858157871
15	-85.39668864139529	-158.07316840124497
16	-87.09645260509674	-76.23210568386358
17	-193.93145634140112	-186.69885395032105
18	-393.00042039412983	-332.76329000953064
19	-104.73282538052543	-256.684835279259
20	-239.09507099507886	-112.31464935890374
21	-174.93891365359957	-121.30995739478539
22	-114.90308327217244	-211.0884951359141
23	-112.73152267942659	-122.03560329353729
24	-65.41051357568334	-129.31055813857046
25	-74.5486648323694	-124.35451187323733
26	-74.94476462243924	-90.71070695380178
27	-98.36338978477376	-449.8988931721059
28	-98.84740263266652	-343.8241183935314
29	-16.126668255304466	-1390.9484745016634
30	-158.45723489016945	-610.8653187953046
31	-141.36627698986933	-536.4276228764913
32	-145.7944605932268	-1078.1688108668604
33	-83.82236480050783	-661.3864405369876
34	-154.34305743967252	-478.48842592076267
35	-145.29705745538217	-1165.5786933327674
36	-63.76115673833378	-1123.2399575980692
37	-141.90238950432553	-866.9424107520439
38	-177.78405056095434	-1020.7165826701081
39	-43.30076457707305	-408.69661796342064
40	-192.2239946644625	-1478.7300472713857
41	-66.9996095106077	-2191.4877374044772
42	-25.98559769958652	-1901.4782423285646
43	-112.47247236620557	-1886.552494355123
44	-426.78022661788737	-1228.1496479173247
45	-170.69043503699612	-730.50902575627
46	-47.56477970014206	-430.22096539953833
47	-358.05330061972734	-770.9216141620867
48	-114.89526358352879	-934.7311691374754
49	-33.50999037325798	-546.1194849269391
50	-113.3513836534699	-714.4206245486365
51	-107.70607394895464	-434.9097542543481
52	1.2876201346185354	-501.4578246606782
53	-37.28196295162081	-867.8207367138032
54	-117.17641189725389	-524.2349470037441
55	-580.2433942486077	-619.8298002365595
56	-338.32156788184125	-379.7650032027076
57	-1.462219992249885	-635.2132230847553
58	-120.12055664225872	-765.2523952300902
59	-98.18535127895814	-698.9105101246798
60	-48.86569113037555	-494.887366033287
61	-79.07314474379851	-765.2068866782685
62	-211.64855923193755	-470.9398691670351
63	-151.33328672370644	-673.8257201771023
64	-160.09874251662393	-1668.7297281993085
65	-82.323680917452	-770.488175786479
