Environment: LunarLander-v2
Agent: A2C
Experiment: standard_experiment
Parameter: standard
Time Taken: 7176.571712970734 seconds
Episodes: 2000 episodes
Max Episodes: 2000 episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	-178.37068725034823	-457.31554689768114
2	-294.53846753063146	-641.5765751069288
3	-224.60771464704527	-414.8135433205086
4	-389.250356468682	-519.8191300323323
5	-110.41601305124216	-496.7394739764869
6	-90.09593589883075	-548.9337932922614
7	-483.150786069717	-730.9029800735699
8	-575.2044701009843	-684.8080375862127
9	-140.94654932410765	-975.6533123845335
10	-64.9409560295381	-621.7618099515871
11	-84.8571316927989	-646.0121416794561
12	-264.2850999680457	-1200.9509360586922
13	-150.06126329907016	-742.0238322378923
14	-207.04497044375012	-650.7385511141316
15	-450.87949559524054	-642.6035557979644
16	-237.61629725956215	-579.330727824943
17	-389.50481168502256	-7124.078732271637
18	-140.2201922207285	-412.8974074170752
19	-222.5551663131091	-2838.0310214649103
20	-85.32349213268256	-920.0170276597821
21	-59.461219717659475	-455.0219349698559
22	-418.4401196534126	-623.5175688664451
23	-332.1682347499029	-388.1371164123522
24	-98.39741542586404	-753.2419792306463
25	-118.10004693178472	-2365.5108871425514
26	-310.2552302785775	-765.4543502305432
27	-406.9992753320904	-548.767018821404
28	-287.93640028756556	-373.8938523501582
29	-84.88305674664116	-621.3359132989583
30	-402.9491669881202	-536.1118778515221
31	-290.77147371620856	-571.1863334733341
32	-127.473730033916	-1167.9467706475666
33	-191.85698845141707	-459.9623048012305
34	-270.5228240996537	-833.037385373744
35	-293.8888414429639	-623.0242721354391
36	-132.66318261551703	-644.9294314930416
37	-178.49345313835028	-1144.0569073813813
38	-91.0597511022075	-979.2429518921281
39	-114.1047916471413	-602.841712364197
40	-76.42996537180235	-527.4552399599139
41	-175.75433528223328	-2072.675967452671
42	-57.964252708026635	-1383.227019185264
43	-280.9347433719179	-1373.9310017306962
44	-165.13150016643718	-1084.3087841368479
45	-442.7086149771968	-1104.756017790088
46	-102.38630565702137	-1209.2707384830915
47	-400.4396627045635	-602.2472420757877
48	-132.06747714800025	-454.28328461099096
49	18.0851313516591	-842.9088071241778
50	-582.1804534156809	-3172.3760435112467
51	-106.04562254660335	-1039.8674502786039
52	-108.47872204605022	-707.7536337888358
53	-116.47139342325937	-1089.599825093736
54	-240.5253858498386	-993.7007650424378
55	-107.44291024480145	-1469.1734715395887
56	-354.2482280573903	-1290.8335553188713
57	-135.4220856061581	-1147.4640025856102
58	-99.96327644030656	-470.7583937646548
59	-377.91513220596704	-911.5124170427792
60	-120.06455560135079	-520.2818928991296
61	-33.787920073088856	-426.73367550357534
62	-118.55052171373227	-558.5791018895347
63	-127.64787377522659	-1487.0636814073687
64	-155.4276970925924	-1550.975472585824
65	-249.12159825792313	-488.6859148009295
66	-317.71336635922125	-1043.7934471249841
67	-111.91103687407154	-947.6473401069213
68	-63.54731263495243	-1380.802757625431
69	-541.2667885117849	-1073.8691633217168
70	-222.32306612539315	-957.0379536646011
71	-115.21387811550562	-610.9353682790097
72	-224.81946732904214	-1761.9463933771094
73	-306.8223317948457	-1212.405550695512
