Environment: LunarLander-v2
Agent: A2C
Experiment: Random Gravity LunarLander experiment
Parameter: random gravity
Time Taken: 2169.4601175785065 seconds
Episodes: 2000 episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	-104.32986792658022	-768.8347587111193
2	-264.40959173161093	-599.5789772587826
3	-376.83965207122526	-674.1953398266103
4	-182.37125104050264	-728.8421567184025
5	-130.06179253195114	-720.4350685393921
6	-97.32477046721922	-690.0875611237675
7	-200.61346272345412	-712.4023260733182
8	-95.7463943460458	-417.61019470957996
9	-84.41987796285997	-420.28634393246665
10	-185.0355852030936	-844.3701989478285
11	-118.11757871008199	-800.98804324026
12	-284.26606880907696	-941.9982524730995
13	-84.48764189006869	-763.1190460203962
14	-77.61115706963629	-668.8229167907582
15	-81.44366443554986	-738.6218909102035
16	-332.49536884102383	-462.2662288092973
17	-358.3925643610616	-821.6982542044146
18	-142.16192834513163	-772.2852391159341
19	-24.08177302509148	-433.3278929280271
20	-91.04643937507265	-546.0106879059597
21	-327.25087895852164	-526.0129234419736
22	-100.62797086287851	-356.58857148598753
23	-169.18279559667957	-459.1558149695424
24	-220.54776841456777	-201.5993692612995
25	-196.24957931902364	-402.3202032518728
26	-286.9548654101143	-284.50612192072487
27	-147.87452727715117	-336.34000759850505
28	-83.43335896520878	-509.60904497901265
29	-321.7612689666734	-1044.9132792225728
30	-149.3177305279135	-1380.5166462902607
31	-144.9596298089379	-486.3634088194881
32	-77.01351692221569	-926.4472116660313
33	-217.66082566606045	-936.2567619127227
34	-40.654754591194546	-475.69583300504405
35	-214.27145425395543	-479.49651118933065
36	-176.475196222364	-907.1705937831495
37	-86.07692583611534	-868.6869679598051
38	-414.34173754652744	-514.208425083415
39	-408.4025842445969	-966.7170283164049
40	-250.92611413011028	-535.4921761631808
41	-59.17348339040682	-911.9814049936034
42	-370.2753324548694	-877.3614712809107
43	-67.57305515555856	-690.2903500511433
44	-338.3467262566943	-798.6168573594074
45	-312.11986826525543	-598.8948747108682
46	-195.359141903509	-869.3804832513943
47	-285.34797086144994	-1018.100358551504
48	-117.22161510924037	-3955.210118916771
49	-270.18547611668646	-890.2337219816125
50	-108.09089955858781	-1269.175349045132
51	-201.96695737085673	-956.7007353962157
52	-447.7790108277498	-1017.7710428346467
53	-168.43910180655047	-869.6071944873529
54	-252.54756141000095	-935.8961296227588
55	-246.67995610066816	-448.559832615452
56	-464.8090238925542	-364.48644163108867
57	-277.20164996471186	-1089.2172265108518
58	-255.5889081468459	-776.0277347200654
59	-103.34011000209418	-774.0412334833156
60	-251.2441411974036	-278.2634889289068
61	-54.07312396482867	-485.1995246874567
62	-182.7022495594195	-845.3694272430483
63	-54.52857205232604	-143.26156948018308
64	-98.13201849397079	-396.69160429348443
65	-79.44558143055201	-782.2926766492961
66	-125.2319083184555	-745.6957350259106
67	-137.96786756270268	-838.3028531298158
68	-164.72897889987155	-703.0697359969165
69	-187.1913070662561	-637.5021848902575
70	-137.97860843655465	-466.5289702862414
71	-179.36418951153865	-558.6111735262889
72	-109.57306841939504	-717.7835248796836
73	-336.26941648349066	-753.0841657752995
74	-83.36501294583695	-466.9228812229432
75	-258.52148617831875	-839.2394203589643
76	-105.95927264260989	-611.1140182379138
77	-112.29335557077162	-788.1771590545021
78	-337.93028699559545	-807.4208550954357
79	-318.05097991443125	-794.3061160707613
80	-74.18446435434261	-771.1101608030141
81	-12.16731107079093	-610.3576785459688
82	-82.2288078546705	-581.5186315614667
83	-170.45576626693472	-593.1304415246875
84	-29.30951353924125	-683.5115977857282
85	-193.34682227680207	-599.3721722892305
86	-61.1306188531946	-737.1244438433076
87	-82.76941847105923	-706.0430806030607
88	-42.66142316830811	-736.5680347260086
89	-381.1089393467526	-443.6394840505964
90	-66.07201975651115	-754.7604827028118
91	-38.10013541689391	-699.4715595914226
92	-106.46817454844434	-750.670618470055
93	-188.09329487796526	-594.0546000827806
94	-45.45251851297856	-525.7953573792167
95	-109.07106027117044	-746.8627256988965
96	-89.89218471629235	-767.2622549225572
97	-188.34564960566036	-832.914692657793
98	-104.05174244137322	-931.7360075697701
99	-288.6260697865721	-947.9784714132242
100	-162.64822488836694	-354.62489032902334
101	-167.90704343749977	-862.1277812907759
102	-297.2053066812306	-533.6036182598926
103	-48.89233956824397	-902.7241169435753
104	-156.72886331587827	-892.5026291395511
105	-257.4295677983467	-605.7510187474677
106	-288.8080956145639	-540.2901781553733
107	-281.5899043754978	-221.39174013412207
108	-96.38519771083307	-488.623328247718
109	-223.9807513505633	-351.39783227709006
110	-40.80729227401102	-571.3773932757447
111	-178.49205230207505	-267.01179852965976
112	-72.772142050372	-282.5317875392822
113	-157.68349634026484	-691.3625228872777
114	-347.10979783908294	-197.64478047200146
115	-298.7632483840558	-492.22654985990914
116	-156.68441053262046	-316.4860446591467
117	-47.93910519933412	-507.15464443259344
118	-279.59179793523964	-359.84569499325966
119	-64.43380371301473	-953.1667731444019
120	-56.945122261887086	-531.0273992483262
121	-413.41632451708654	-518.7701705321225
122	-59.774438458882784	-336.8464793478165
123	-50.891377241451934	-922.0022990274167
124	-227.07796481010996	-201.32996883952956
125	-298.73657602640185	-247.69731069031263
126	-202.80290360469007	-189.83834747930965
127	-44.259307734059846	-518.6759786319633
128	-152.4112778604789	-385.70734041525844
129	-383.8099232720768	-527.8804356685978
130	-47.169699603301055	-570.5822235778242
131	-419.79380764170406	-238.63751137175845
132	-74.88741892197356	-646.2682453590359
133	-326.6970407416712	-267.7804930180344
134	-95.32801335641129	-556.1210478880237
135	-98.77266366897757	-286.1200803693205
136	-79.49029592138064	-845.4059838051265
137	-137.0000682039786	-894.1624827672495
138	-24.870609296998055	-287.64497708586435
139	-66.32525252583255	-526.3533903515258
140	-103.59510629446146	-603.4412242583712
141	-123.40759026967407	-222.1064619350681
142	-81.90408666612026	-512.292433263234
143	-43.48795936199417	-399.4011020752844
144	33.174145616457395	-617.5836930034184
145	-99.573230088111	-311.53361113811525
146	-246.79672777721294	-337.29060930429165
147	-223.5942256621857	-322.7365661641162
148	-300.988375127048	-484.37217381732796
149	-311.2661873392526	-467.2255916429266
150	-296.95666511204234	-384.7198805580144
151	-77.14850217328822	-511.86730892495115
152	-92.1065619760426	-304.76643509525286
153	-174.26600769685916	-507.18898198014386
154	-156.1244739640852	-394.18494635969506
155	-156.57941236364923	-412.5478353294075
156	-135.18220438199052	-364.1653831683801
157	-94.3851088794184	-372.00848065639434
158	-50.801903656237556	-312.62474678956397
159	-53.007179837158006	-655.2111640464502
160	-201.16685626549128	-284.3298723270068
161	-384.6783405098733	-433.60260010829757
162	-30.92449569491218	-564.0511360142657
163	-67.16812999326609	-311.7606505924123
164	-194.86039512374958	-238.22946987732
165	-393.7324987321338	-373.1067623885868
166	-6.53800694960006	-327.2065110612393
167	-191.32993988975815	-390.8375097220244
