Environment: LunarLander-v2
Agent: A2C
Experiment: gravity experiment
Parameter: Gravity = -1
Time Taken: 734.7672715187073 seconds
Episodes: 2000 episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	-1170.301233472353	-468.3997315539872
2	-373.1561558839534	-664.4681229038907
3	-317.6067369226689	-1164.785956319538
4	-398.9347952106111	-1142.619779682788
5	-2841.8548701533587	-1187.1403154074287
6	-6851.3121948485705	-539.9112392699776
7	-994.1946924828793	-1766.267159816757
8	-1560.2654355333848	-1201.174608004286
9	-740.7535846082454	-623.195147427151
10	-7641.765251004376	-1245.5850708872867
11	-725.6002548911505	-1167.435853091303
12	-640.6559479395193	-1236.193597684425
13	-1019.9098233649711	-1200.3438490315025
14	-2030.4952415298033	-587.1408541666108
15	-545.8632534346798	-1739.868816205545
16	-635.9992756254571	-586.9409266711424
17	-607.0010383801527	-1077.532246383057
18	-765.0904814726623	-499.3513883417189
19	-1258.3522345080964	-1044.2655516889051
20	-928.0069403157308	-586.015282894117
21	-1834.718728972413	-569.0664151364504
22	-279.40809891936993	-720.9213734463501
23	-460.14994068886114	-1105.1460821473474
24	-473.02689588978774	-1728.0724828483933
25	-3087.1989362405398	-1101.1766449357729
26	-5940.277925684139	-663.9052104482439
27	-514.4278380758451	-1155.537705485393
28	-712.4521396742114	-426.8333751567161
29	-2176.6051935563646	-1387.4743669775023
30	-800.3210146807489	-685.5070105850621
31	-432.5557821820176	-628.9549985553115
32	-946.4924042343506	-523.0206880000269
33	-1107.9783922154572	-799.8410665530772
34	-244.6137661345117	-1337.6295721422432
35	-1421.2537027407561	-1188.2820184184607
36	-886.3523558835643	-1201.993631120591
37	-590.0813100817359	-1825.2145889056164
38	-1417.4103719271852	-2822.643851119358
39	-296.4205940261592	-3803.9402897766968
40	-358.34461825044434	-698.073859251603
41	-355.3000401888536	-1717.8810122624843
42	-941.4011556903372	-2003.0544804010647
43	-706.4006289035569	-1053.914936923998
44	-3925.1029953867096	-1915.8233460948095
45	-1094.6809094603113	-5725.393630983327
46	-1903.2704621416672	-2486.066264088755
47	-524.6387639237823	-1037.253665645514
48	-569.2505093776081	-5044.092072131441
49	-483.4327247979191	-504.418432089917
50	-1144.7813995709344	-1028.8627666636867
51	-1220.0821998459082	-4822.248803239122
52	-1001.9722491179235	-1733.6417081895102
53	-2901.013912453601	-1862.9353753006194
54	-600.504413674541	-1180.6908318205858
55	-562.7317523465258	-2417.2825772175956
56	-1295.9007345356017	-3252.9829590904315
57	-564.6848416950157	-2715.0951502565995
58	-1673.3248809715537	-2350.823288588594
59	-623.2044263985613	-1542.731312332421
60	-648.6245118593702	-1354.8768064309986
61	-1373.3024339343694	-1302.034166668694
62	-1852.175453930017	-3843.6836175272106
63	-654.1343731112286	-1402.7672066876887
64	-523.9843034902659	-1758.8111616337026
65	-352.08146277578123	-1252.9391235373075
66	-1714.595705582147	-519.795441224928
67	-3942.669187782874	-534.7826531555312
68	-1499.6686407877032	-1257.7897775839144
69	-645.5103028536827	-1219.8832716939987
70	-505.3023930166168	-386.7542307324498
71	-501.80996151757773	-1364.5496035797778
72	-686.6389479554359	-490.71431298779976
73	-752.8016358915972	-520.7729724938539
74	-563.7538268267338	-1111.5568823681547
75	-1363.5109661239385	-1850.245029231184
76	-989.2582547920393	-2372.256670208496
77	-502.81634683722797	-564.2088220644802
78	-598.9690876486958	-488.98214265938486
79	-526.978303237858	-486.194548990317
80	-1683.2430627273104	-710.8466996645541
81	-497.7729611071928	-474.8577796330329
82	-278.52195800781124	-678.2073797851232
83	-378.55870636654265	-1931.593824139768
84	-453.13507799984393	-3145.4039836379175
85	-240.90108245459487	-1031.5515521071313
86	-236.44163718016404	-683.797636242314
87	-820.567374467155	-1136.0488369092434
88	-571.3284845615232	-1030.7475358528668
89	-748.8880885226034	-913.0832998775862
90	-192.22657223310557	-649.746801916704
91	-491.82241713067776	-820.8891518393807
92	-381.17607949429305	-3175.0985096611685
93	-366.48731434772327	-1786.2064475243867
94	-658.7938993545654	-3052.190261878891
95	-572.2485324175022	-437.4233909060193
96	-217.8035739717838	-8052.767267815816
97	-4752.794457747414	-1770.889097960806
98	-511.8008702822185	-1481.7970449453662
99	-4038.4272449672194	-4251.907421930367
100	-581.7891694397545	-1432.4815784406862
101	-280.33268595158944	-1197.0302974975004
102	-169.29319548147055	-1996.2817758383833
103	-256.5272354093134	-1607.2430235925835
104	-636.2610514803511	-2104.7716738303034
105	-673.6610986523478	-3603.0521590596927
106	-235.4005377361082	-4096.065047575921
107	-697.2742205603546	-1702.2544461829686
108	-399.4882843655432	-7584.319980786081
109	-687.135431872109	-271.17302299672497
110	-2873.946254328628	-429.9795349697931
111	-737.2732584137595	25.955300039586817
112	-456.61238421967334	77.6768843217679
113	-201.02073653910412	-168.7216492910708
114	-528.253864986285	-302.3712854380368
115	-251.70692708973087	-174.1644532033041
116	-340.67700228390834	-300.03497528772846
117	-711.3453095050536	-20.086145974058894
118	-381.0939812699605	-253.24137490656912
119	-560.103704526158	13.06847681662056
120	-373.28603727748776	-165.90820624874843
121	-557.9057926364655	81.20654033864669
122	-414.5597996851173	-178.1549553396305
123	-474.8930566807303	-639.2983072348363
124	-332.2712004208257	-426.167138413929
125	-1317.9151317989613	-105.38253836828605
126	-252.86202028773798	-170.49932763815565
127	-1253.733110524401	-1557.4308879864743
128	-496.83570055947314	-317.5286956627045
129	-681.3863645697746	-315.369077305822
130	-501.8850836437612	-96.49610780183367
131	-754.2732789896667	109.26862875602905
132	-272.9477555060364	-421.42940822961845
133	-525.5714559545918	-232.06039650421067
134	-859.3139193137945	14.54428351955498
135	-308.9950122977674	19.364299680474357
136	-256.1253861816178	-298.5433974475982
137	-1265.3777387054183	-116.90838043361083
138	-1159.1693555686381	-331.0858887099098
139	-246.06281628231665	66.17314568687476
140	-211.1607921811968	-492.254103867134
141	-54.833984750985934	-356.84351001312865
142	-497.7673824850996	-212.8791720926389
143	-307.2052970996381	-299.3955225824359
144	-456.1123443297885	-157.4063831704226
145	-211.15357217839525	12.478005281168478
146	-305.8540336406453	-190.5778186971554
147	-213.02113950281006	-298.08148147649683
