Environment: LunarLander-v2
Agent: A2C
Experiment: gravity experiment
Parameter: Gravity = -10
Time Taken: 389.11617159843445 seconds
Episodes: 548 episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-158.0384526327607	-600.8813052787935
2	-93.93173809986348	-990.3996653653152
3	-85.23493840504774	-1553.4657469266563
4	-78.95999686845808	-3926.09597457493
5	-119.48096615429438	-903.0640952660202
6	-108.21525260750437	-5192.588826170115
7	-142.7416438375888	-592.351992302499
8	-86.22854632330339	-739.9146065792381
9	-454.34871086970116	-575.8378777472384
10	-57.67716722353951	-650.6204573672971
11	-187.41606041415582	-1818.8522084371075
12	-64.7916078390679	-612.2416316439954
13	-88.84526676893171	-334.4445295083827
14	-160.86304449740342	-703.1355805647507
15	-201.53086054553512	-1153.3068259907038
16	-264.6519098749427	-590.5183591360687
17	-283.61385014607185	-367.70497455771533
18	-168.20989849757908	-662.0281438234971
19	-118.55024193574035	-513.8942678585606
20	-564.096708883314	-750.8061946718118
21	-322.51510277904697	-660.6167000798458
22	-235.1136789854472	-924.4350677802186
23	-490.79590626678777	-582.3416718655053
24	-273.1945465264944	-561.0840804584548
25	-170.90458092398464	-732.8830902425672
26	-100.77500655708084	-475.9677867331609
27	74.68868209636189	-602.4083236447077
28	-377.49351607136265	-405.24347821269777
29	-104.20105149595776	-481.430488124302
30	-233.27631179266473	-401.88470810107935
31	-82.79596220008965	-461.1490910334384
32	-58.902199244596375	-1192.8548820688825
33	26.790742960338193	-1479.2803754988279
34	-169.2058782422763	-683.892072672147
35	-67.18821624128175	-737.6532624245185
36	-413.55982775444664	-1419.087880330609
37	-248.32778159146184	-1185.8123509561406
38	-186.53677699380643	-1220.9276118045784
39	-413.10845043618036	-909.5388669654405
40	-66.6440185900178	-832.2179790747496
41	-58.77973482999607	-1403.3075889914098
42	-75.43376304684469	-814.3482148787716
43	-62.89286593279061	-788.0414168248238
44	-111.29234642766268	-440.5231236335287
45	-268.0159084931806	-530.7870165906422
46	-478.63621000520857	-993.8282549663595
47	-143.83624095353946	-345.8811297628862
48	-135.77136601270803	-695.7094950585889
49	-266.44566161898786	-1067.1618262697707
50	-95.3996668240506	-607.8287311099796
51	-125.49809442745146	-620.8820528034295
52	-359.5918009254238	-1078.835844151871
53	-271.22345232327126	-737.5461970141918
54	-190.20442447440394	-538.1695151726017
